資料集名稱,檔案格式,下載連結,資料集類型,資料集描述,主要欄位說明,資料集提供機關,更新頻率,授權方式,授權說明網址,計費方式,編碼格式,資料集提供機關聯絡人,資料集提供機關聯絡人電話,備註
"行政院重大政策","xml","http://www.ey.gov.tw/Rss_News.aspx?n=3D06E532B0D8316C","rawData","提供行政院重大政策之訊息。","「主題」、「日期」、「連結」、「內容」。","行政院","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","洪先生","02-33568122",""
"院會決議","xml","http://www.ey.gov.tw/Rss_News.aspx?n=40A033D0C65F76EB","rawData","提供行政院歷次院會決議之訊息。","「主題」、「日期」、「連結」、「內容」。","行政院","每周","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","張小姐","02-33566698",""
"行政院即時新聞","xml","http://www.ey.gov.tw/Rss_News.aspx?n=F8BAEBE9491FC830","rawData","本院重要政策、事件與施政措施等相關新聞稿。","「主題」、「日期」、「連結」、「內容」。","行政院","每天","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","廖小姐","02-33568164",""
"消費者保護新聞稿","xml","http://www.ey.gov.tw/Rss_News.aspx?n=49559B255B3B9F27","rawData","提供消費者保護處發布之新聞。","「主題」、「日期」、「內容」。","行政院","每周","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","周先生","02-33567978",""
"消費資（警）訊","xml","http://www.ey.gov.tw/Rss_News.aspx?n=E7E343F6009EC241","rawData","提供消費者保護處發布之消費資（警）訊。","「主題」、「日期」、「內容」","行政院","每月","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","周先生","02-33567978",""
"警察局及所屬分駐所派出所資料","csv","http://tgos.nat.gov.tw/tgos/Web/MAPData/Apply/TGOS_Apply_FreeDownload.aspx?ID=9","rawData","警政署各縣(市)警察(分)局暨所屬分駐(派出)所點資料","單位名稱、電話、地址、點位資料(x軸)、點位資料(y軸)","內政部","每季","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","曾小姐","02-23931791#6117",""
"國家公園管制區圖","shp","http://tgos.nat.gov.tw/tgos/Web/MAPData/Apply/TGOS_Apply_FreeDownload.aspx?ID=44","rawData","圖資來自國家公園管制區圖區域計畫資料庫，建置年度：民國80年，座標系統採TWD67經緯度","NAME：國家公園名稱  ZONE_NAME：國家公園按區域內現有土地利用型態及資源特性劃分之分區  AREA：面積	  ","內政部","不定期","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費",";big-5","呂先生","02-87712586",""
"地政事務所轄區圖","shp","http://tgos.nat.gov.tw/tgos/Web/MAPData/Apply/TGOS_Apply_FreeDownload.aspx?ID=51","rawData","臺灣地區地政事務所轄區數值資料，座標系統採TWD97/121分帶","地政事物所別","內政部","不定期更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費",";BIG-5","周先生","04-22522966#305",""
"全國村里界圖","shp","http://tgos.nat.gov.tw/tgos/Web/MAPData/Apply/TGOS_Apply_FreeDownload.aspx?ID=607","rawData","各縣市村里界，座標系統採TWD97/121分帶","村里別","內政部","不定期更新","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費",";big-5","周先生","04-22522966#305",""
"救援與應變單位點位","csv","http://tgos.nat.gov.tw/tgos/Web/MAPData/Apply/TGOS_Apply_FreeDownload.aspx?ID=1080","rawData","全國消防單位位置及災害應變中心位置，座標系統採TWD97/121分帶","消防隊：隊別、名稱、聯絡電話、地址、X座標、Y座標；應變中心：名稱、地址、電話、是否與消防局同位置","內政部","不定期(提供單位視情況更新)","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費",";big-5","李先生","02-81966134",""
"歷年重大交通事故地點資料","csv","http://www.npa.gov.tw/NPAGip/wSite/public/Attachment/f1365640740030.csv","rawData","提供5年內死亡人數在3人以上、死亡及受傷人數在10人以上或受傷人數15人以上，以及運送之危險物品爆炸、燃燒，或有毒液 (氣) 體、放射性物質洩      漏等重大交通事故地點資料","重大交通事故日期、時間、肇事路段、死亡人數、受傷人數、車種、肇事因素","內政部","每年一次","政府資料開放平臺資料使用規範","http://data.gov.tw/opendata/principle","免費","UTF-8;","曾小姐","02-2393-1791#6117",""
