MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
C00868,北寧路2號對面,2019-10-22,基隆市,中正區,北寧路2號對面,落地型變壓器,1.12,mG,True
C00867,信一路16號對面,2019-07-05,基隆市,信義區,信一路16號對面,落地型變壓器,9.8,mG,True
F01498,蘆洲中山一路基地台,2019-10-25,新北市,蘆洲區,中山一路417號,手機基地臺,0.004613,mW/cm<sup>2</sup>,True
C00849,信二路268號(衛生福利部基隆醫院),2019-12-03,基隆市,信義區,信二路268號,無線區域網路(Wi-Fi),1.2E-07,mW/cm<sup>2</sup>,True
C00848,信二路176號(基隆市地政事務所),2019-12-03,基隆市,信義區,信二路176號,無線區域網路(Wi-Fi),1.9E-07,mW/cm<sup>2</sup>,True
A01361,大同區延平北路2段202樓頂廣播電臺,2019-12-17,臺北市,大同區,延平北路2段202號,FM廣播電臺,0.008,mW/cm<sup>2</sup>,True
A01360,中正區杭州南路15-1號廣播電臺,2019-12-17,臺北市,中正區,杭州南路一段15之一號,FM廣播電臺,0.0089,mW/cm<sup>2</sup>,True
C00847,信二路157號(基隆市稅務局信義分局),2019-12-03,基隆市,信義區,信二路157號,無線區域網路(Wi-Fi),2.5E-07,mW/cm<sup>2</sup>,True
C00872,北寧路242之2號對面,2019-10-22,基隆市,中正區,北寧路242-2號對面,落地型變壓器,0.36,mG,True
A01362,中正區羅斯福路2段100號頂樓屋凸廣播電臺,2019-12-16,臺北市,中正區,羅斯福路二段100號,FM廣播電臺,0.0111,mW/cm<sup>2</sup>,True
C00871,北寧路252巷6之10號對面,2019-10-22,基隆市,中正區,北寧路252巷6-10號對面,落地型變壓器,0.47,mG,True
C00870,北寧路69-1號圓環旁,2019-10-22,基隆市,中正區,北寧路69-1號,落地型變壓器,1.02,mG,True
C00869,北寧路69-1號旁,2019-10-22,基隆市,中正區,北寧路69-1號旁,落地型變壓器,0.58,mG,True
C00865,東信路324號對面,2019-07-05,基隆市,信義區,東信路324號對面,落地型變壓器,6.2,mG,True
C00861,東信路314號對面,2019-06-28,基隆市,信義區,東信路314號對面,落地型變壓器,10.8,mG,True
C00860,東信路294號對面,2019-06-28,基隆市,信義區,東信路294號對面,落地型變壓器,11.4,mG,True
F01504,亞洲廣播電臺(三峽無線電廣播廣播站),2019-11-29,新北市,三峽區,中埔段224-3號,FM廣播電臺,0.01175,mW/cm<sup>2</sup>,True
C00845,東勢街2號(暖暖區公所),2019-12-18,基隆市,暖暖區,東勢街2號,無線區域網路(Wi-Fi),2E-07,mW/cm<sup>2</sup>,True
C00842,觀海街136.138號(全家便利商店),2019-12-02,基隆市,中正區,觀海街136.138號,無線區域網路(Wi-Fi),2E-07,mW/cm<sup>2</sup>,True
C00840,愛四路56號(全家便利商店),2019-12-02,基隆市,仁愛區,愛四路56號,無線區域網路(Wi-Fi),3.4E-05,mW/cm<sup>2</sup>,True
C00839,過港路254號(全家便利商店),2019-12-02,基隆市,暖暖區,過港路254號,無線區域網路(Wi-Fi),2E-07,mW/cm<sup>2</sup>,True
C00838,源遠路189號(全家便利商店),2019-12-02,基隆市,暖暖區,源遠路189號,無線區域網路(Wi-Fi),1.2E-07,mW/cm<sup>2</sup>,True
