SiteName,SiteEngName,DamName,County,Township,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,SampleLayer,SampleDepth,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,9.2,μg/L
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,總磷,Total-Phosphate,TP,0.013,mg/L
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,134.8,%
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,總氮,Total Nitrogen,TN,0.75,mg/L
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,氨氮,NH3-N,NH3-N,0.02,mg/L
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,總有機碳,Total Organic Carbon,TOC,2.17,mg/L
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,化學需氧量,Chemical Oxygen Demand,COD,11.1,mg/L
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,溶氧(電極法),Dissolved Oxygen,DO,9.6,mg/L
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,懸浮固體,Suspended Solid,SS,4.5,mg/L
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,氣溫,Temperature,TMP,32.2,℃
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,採樣深度,Sampling Depth,SDP,0.5,m
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,導電度,Conductivity,EC,301,μmho/cm25℃
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,濁度,Turbidity,TB,3.8,NTU
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,酸鹼值,pH,pH,8.88,
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,透明度,Transparency,SD,1.8,m
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,水溫,Water Temperature,WT,31.0,℃
湖山水庫,,湖山水庫,雲林縣,莿桐鄉,120.6255556,23.6840833,211810.82,2620087.10,2019-08-06,表水,0.5m,卡爾森指數,Carlson Trophic State Index,CTSI,48.35,
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2019-08-13,表水,0.5m,葉綠素a,Chlorophyl-A,Chl-A,10.9,μg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2019-08-13,表水,0.5m,總磷,Total-Phosphate,TP,0.041,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2019-08-13,表水,0.5m,溶氧飽和度,Dissolved Oxygen Saturation,DOS,131.2,%
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2019-08-13,表水,0.5m,氨氮,NH3-N,NH3-N,0.02,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2019-08-13,表水,0.5m,化學需氧量,Chemical Oxygen Demand,COD,29.3,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2019-08-13,表水,0.5m,溶氧(電極法),Dissolved Oxygen,DO,9.3,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2019-08-13,表水,0.5m,懸浮固體,Suspended Solid,SS,6.5,mg/L
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2019-08-13,表水,0.5m,氣溫,Temperature,TMP,37.2,℃
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2019-08-13,表水,0.5m,採樣深度,Sampling Depth,SDP,0.5,m
蘭湖,Ian hu,蘭湖,金門縣,金城鎮,118.3811157,24.4519537,187254.78,2705217.48,2019-08-13,表水,0.5m,導電度,Conductivity,EC,460,μmho/cm25℃
