Content,Area,MajorPollutant,AQI,ForecastDate,MinorPollutant,MinorPollutantAQI,PublishTime
"1.今(21)日環境風場由東北風逐漸轉為偏東風，迎風面東部地區及竹苗以北擴散條件尚佳；中部以南位於下風處，污染物易累積。依18時監測結果，宜蘭、花東空品區、澎湖及馬祖為「良好」等級；北部、竹苗、中部空品區及金門多為「普通」等級；雲嘉南及高屏空品區為「普通」至「橘色提醒」等級。\r2.依氣象局21日18時氣象資料顯示：22日清晨時西半部風速仍偏弱，擴散條件差，且局部地區易有霧影響能見度，使污染物容易累積，白天起東北季風稍增強，中部以北擴散條件轉佳，中南部地區位於下風處，仍不利污染物消散，入夜後空氣品質再轉差。花東空品區為「良好」等級；北部、竹苗、中部、宜蘭空品區、馬祖及金門為「普通」等級，中部局部地區部分時段仍可能達橘色提醒等級；雲嘉南及高屏空品區為「橘色提醒」等級，局部地區短時間達「紅色警示」等級。\r3.23日受東北季風影響，中南部地區位於下風處，污染物易累積；清晨及夜間西半部局部地區易出現逆溫現象致垂直擴散條件不佳，且有局部霧影響能見度，污染物易累積致濃度偏高。花東空品區為「良好」等級；北部、竹苗及宜蘭空品區為「普通」等級；中部、雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風再減弱，環境風場轉為偏東風，西半部位背風側，風速微弱氣流停滯，擴散條件差，且會有局部霧出現影響能見度。竹苗以南地區清晨及夜晚可能出現逆溫現象，導致污染物易累積於近地面難以消散，局部地區污染物易累積致濃度偏高。宜蘭及花東空品區為「良好」等級；北部空品區為「普通」等級；竹苗、中部、雲嘉南及高屏空品區為「橘色提醒」等級。未來一週，22及23日東北季風稍增強，須留意下風處南部地區污染累積情形；23日傍晚至26日東北季風減弱，環境風場為偏東風至東南風，西半部污染物易累積；27日東北季風再增強，西半部地區空氣品質可望好轉；此期間西半部地區須留意清晨易有局部霧影響能見度。空氣品質受氣象條件影響大，請隨時留意最新空氣品質資訊，並歡迎下載「環境即時通」APP，依個人防護需求設定不同警戒值通知。",澎湖,,50,2020-02-22,,,2020-02-21 22:00
"1.今(21)日環境風場由東北風逐漸轉為偏東風，迎風面東部地區及竹苗以北擴散條件尚佳；中部以南位於下風處，污染物易累積。依18時監測結果，宜蘭、花東空品區、澎湖及馬祖為「良好」等級；北部、竹苗、中部空品區及金門多為「普通」等級；雲嘉南及高屏空品區為「普通」至「橘色提醒」等級。\r2.依氣象局21日18時氣象資料顯示：22日清晨時西半部風速仍偏弱，擴散條件差，且局部地區易有霧影響能見度，使污染物容易累積，白天起東北季風稍增強，中部以北擴散條件轉佳，中南部地區位於下風處，仍不利污染物消散，入夜後空氣品質再轉差。花東空品區為「良好」等級；北部、竹苗、中部、宜蘭空品區、馬祖及金門為「普通」等級，中部局部地區部分時段仍可能達橘色提醒等級；雲嘉南及高屏空品區為「橘色提醒」等級，局部地區短時間達「紅色警示」等級。\r3.23日受東北季風影響，中南部地區位於下風處，污染物易累積；清晨及夜間西半部局部地區易出現逆溫現象致垂直擴散條件不佳，且有局部霧影響能見度，污染物易累積致濃度偏高。花東空品區為「良好」等級；北部、竹苗及宜蘭空品區為「普通」等級；中部、雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風再減弱，環境風場轉為偏東風，西半部位背風側，風速微弱氣流停滯，擴散條件差，且會有局部霧出現影響能見度。竹苗以南地區清晨及夜晚可能出現逆溫現象，導致污染物易累積於近地面難以消散，局部地區污染物易累積致濃度偏高。宜蘭及花東空品區為「良好」等級；北部空品區為「普通」等級；竹苗、中部、雲嘉南及高屏空品區為「橘色提醒」等級。未來一週，22及23日東北季風稍增強，須留意下風處南部地區污染累積情形；23日傍晚至26日東北季風減弱，環境風場為偏東風至東南風，西半部污染物易累積；27日東北季風再增強，西半部地區空氣品質可望好轉；此期間西半部地區須留意清晨易有局部霧影響能見度。空氣品質受氣象條件影響大，請隨時留意最新空氣品質資訊，並歡迎下載「環境即時通」APP，依個人防護需求設定不同警戒值通知。",金門,細懸浮微粒,70,2020-02-22,,,2020-02-21 22:00
"1.今(21)日環境風場由東北風逐漸轉為偏東風，迎風面東部地區及竹苗以北擴散條件尚佳；中部以南位於下風處，污染物易累積。依18時監測結果，宜蘭、花東空品區、澎湖及馬祖為「良好」等級；北部、竹苗、中部空品區及金門多為「普通」等級；雲嘉南及高屏空品區為「普通」至「橘色提醒」等級。\r2.依氣象局21日18時氣象資料顯示：22日清晨時西半部風速仍偏弱，擴散條件差，且局部地區易有霧影響能見度，使污染物容易累積，白天起東北季風稍增強，中部以北擴散條件轉佳，中南部地區位於下風處，仍不利污染物消散，入夜後空氣品質再轉差。花東空品區為「良好」等級；北部、竹苗、中部、宜蘭空品區、馬祖及金門為「普通」等級，中部局部地區部分時段仍可能達橘色提醒等級；雲嘉南及高屏空品區為「橘色提醒」等級，局部地區短時間達「紅色警示」等級。\r3.23日受東北季風影響，中南部地區位於下風處，污染物易累積；清晨及夜間西半部局部地區易出現逆溫現象致垂直擴散條件不佳，且有局部霧影響能見度，污染物易累積致濃度偏高。花東空品區為「良好」等級；北部、竹苗及宜蘭空品區為「普通」等級；中部、雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風再減弱，環境風場轉為偏東風，西半部位背風側，風速微弱氣流停滯，擴散條件差，且會有局部霧出現影響能見度。竹苗以南地區清晨及夜晚可能出現逆溫現象，導致污染物易累積於近地面難以消散，局部地區污染物易累積致濃度偏高。宜蘭及花東空品區為「良好」等級；北部空品區為「普通」等級；竹苗、中部、雲嘉南及高屏空品區為「橘色提醒」等級。未來一週，22及23日東北季風稍增強，須留意下風處南部地區污染累積情形；23日傍晚至26日東北季風減弱，環境風場為偏東風至東南風，西半部污染物易累積；27日東北季風再增強，西半部地區空氣品質可望好轉；此期間西半部地區須留意清晨易有局部霧影響能見度。空氣品質受氣象條件影響大，請隨時留意最新空氣品質資訊，並歡迎下載「環境即時通」APP，依個人防護需求設定不同警戒值通知。",馬祖,細懸浮微粒,70,2020-02-22,,,2020-02-21 22:00
"1.今(21)日環境風場由東北風逐漸轉為偏東風，迎風面東部地區及竹苗以北擴散條件尚佳；中部以南位於下風處，污染物易累積。依18時監測結果，宜蘭、花東空品區、澎湖及馬祖為「良好」等級；北部、竹苗、中部空品區及金門多為「普通」等級；雲嘉南及高屏空品區為「普通」至「橘色提醒」等級。\r2.依氣象局21日18時氣象資料顯示：22日清晨時西半部風速仍偏弱，擴散條件差，且局部地區易有霧影響能見度，使污染物容易累積，白天起東北季風稍增強，中部以北擴散條件轉佳，中南部地區位於下風處，仍不利污染物消散，入夜後空氣品質再轉差。花東空品區為「良好」等級；北部、竹苗、中部、宜蘭空品區、馬祖及金門為「普通」等級，中部局部地區部分時段仍可能達橘色提醒等級；雲嘉南及高屏空品區為「橘色提醒」等級，局部地區短時間達「紅色警示」等級。\r3.23日受東北季風影響，中南部地區位於下風處，污染物易累積；清晨及夜間西半部局部地區易出現逆溫現象致垂直擴散條件不佳，且有局部霧影響能見度，污染物易累積致濃度偏高。花東空品區為「良好」等級；北部、竹苗及宜蘭空品區為「普通」等級；中部、雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風再減弱，環境風場轉為偏東風，西半部位背風側，風速微弱氣流停滯，擴散條件差，且會有局部霧出現影響能見度。竹苗以南地區清晨及夜晚可能出現逆溫現象，導致污染物易累積於近地面難以消散，局部地區污染物易累積致濃度偏高。宜蘭及花東空品區為「良好」等級；北部空品區為「普通」等級；竹苗、中部、雲嘉南及高屏空品區為「橘色提醒」等級。未來一週，22及23日東北季風稍增強，須留意下風處南部地區污染累積情形；23日傍晚至26日東北季風減弱，環境風場為偏東風至東南風，西半部污染物易累積；27日東北季風再增強，西半部地區空氣品質可望好轉；此期間西半部地區須留意清晨易有局部霧影響能見度。空氣品質受氣象條件影響大，請隨時留意最新空氣品質資訊，並歡迎下載「環境即時通」APP，依個人防護需求設定不同警戒值通知。",花東,,50,2020-02-24,,,2020-02-21 22:00
"1.今(21)日環境風場由東北風逐漸轉為偏東風，迎風面東部地區及竹苗以北擴散條件尚佳；中部以南位於下風處，污染物易累積。依18時監測結果，宜蘭、花東空品區、澎湖及馬祖為「良好」等級；北部、竹苗、中部空品區及金門多為「普通」等級；雲嘉南及高屏空品區為「普通」至「橘色提醒」等級。\r2.依氣象局21日18時氣象資料顯示：22日清晨時西半部風速仍偏弱，擴散條件差，且局部地區易有霧影響能見度，使污染物容易累積，白天起東北季風稍增強，中部以北擴散條件轉佳，中南部地區位於下風處，仍不利污染物消散，入夜後空氣品質再轉差。花東空品區為「良好」等級；北部、竹苗、中部、宜蘭空品區、馬祖及金門為「普通」等級，中部局部地區部分時段仍可能達橘色提醒等級；雲嘉南及高屏空品區為「橘色提醒」等級，局部地區短時間達「紅色警示」等級。\r3.23日受東北季風影響，中南部地區位於下風處，污染物易累積；清晨及夜間西半部局部地區易出現逆溫現象致垂直擴散條件不佳，且有局部霧影響能見度，污染物易累積致濃度偏高。花東空品區為「良好」等級；北部、竹苗及宜蘭空品區為「普通」等級；中部、雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風再減弱，環境風場轉為偏東風，西半部位背風側，風速微弱氣流停滯，擴散條件差，且會有局部霧出現影響能見度。竹苗以南地區清晨及夜晚可能出現逆溫現象，導致污染物易累積於近地面難以消散，局部地區污染物易累積致濃度偏高。宜蘭及花東空品區為「良好」等級；北部空品區為「普通」等級；竹苗、中部、雲嘉南及高屏空品區為「橘色提醒」等級。未來一週，22及23日東北季風稍增強，須留意下風處南部地區污染累積情形；23日傍晚至26日東北季風減弱，環境風場為偏東風至東南風，西半部污染物易累積；27日東北季風再增強，西半部地區空氣品質可望好轉；此期間西半部地區須留意清晨易有局部霧影響能見度。空氣品質受氣象條件影響大，請隨時留意最新空氣品質資訊，並歡迎下載「環境即時通」APP，依個人防護需求設定不同警戒值通知。",花東,,50,2020-02-23,,,2020-02-21 22:00
"1.今(21)日環境風場由東北風逐漸轉為偏東風，迎風面東部地區及竹苗以北擴散條件尚佳；中部以南位於下風處，污染物易累積。依18時監測結果，宜蘭、花東空品區、澎湖及馬祖為「良好」等級；北部、竹苗、中部空品區及金門多為「普通」等級；雲嘉南及高屏空品區為「普通」至「橘色提醒」等級。\r2.依氣象局21日18時氣象資料顯示：22日清晨時西半部風速仍偏弱，擴散條件差，且局部地區易有霧影響能見度，使污染物容易累積，白天起東北季風稍增強，中部以北擴散條件轉佳，中南部地區位於下風處，仍不利污染物消散，入夜後空氣品質再轉差。花東空品區為「良好」等級；北部、竹苗、中部、宜蘭空品區、馬祖及金門為「普通」等級，中部局部地區部分時段仍可能達橘色提醒等級；雲嘉南及高屏空品區為「橘色提醒」等級，局部地區短時間達「紅色警示」等級。\r3.23日受東北季風影響，中南部地區位於下風處，污染物易累積；清晨及夜間西半部局部地區易出現逆溫現象致垂直擴散條件不佳，且有局部霧影響能見度，污染物易累積致濃度偏高。花東空品區為「良好」等級；北部、竹苗及宜蘭空品區為「普通」等級；中部、雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風再減弱，環境風場轉為偏東風，西半部位背風側，風速微弱氣流停滯，擴散條件差，且會有局部霧出現影響能見度。竹苗以南地區清晨及夜晚可能出現逆溫現象，導致污染物易累積於近地面難以消散，局部地區污染物易累積致濃度偏高。宜蘭及花東空品區為「良好」等級；北部空品區為「普通」等級；竹苗、中部、雲嘉南及高屏空品區為「橘色提醒」等級。未來一週，22及23日東北季風稍增強，須留意下風處南部地區污染累積情形；23日傍晚至26日東北季風減弱，環境風場為偏東風至東南風，西半部污染物易累積；27日東北季風再增強，西半部地區空氣品質可望好轉；此期間西半部地區須留意清晨易有局部霧影響能見度。空氣品質受氣象條件影響大，請隨時留意最新空氣品質資訊，並歡迎下載「環境即時通」APP，依個人防護需求設定不同警戒值通知。",花東,,50,2020-02-22,,,2020-02-21 22:00
"1.今(21)日環境風場由東北風逐漸轉為偏東風，迎風面東部地區及竹苗以北擴散條件尚佳；中部以南位於下風處，污染物易累積。依18時監測結果，宜蘭、花東空品區、澎湖及馬祖為「良好」等級；北部、竹苗、中部空品區及金門多為「普通」等級；雲嘉南及高屏空品區為「普通」至「橘色提醒」等級。\r2.依氣象局21日18時氣象資料顯示：22日清晨時西半部風速仍偏弱，擴散條件差，且局部地區易有霧影響能見度，使污染物容易累積，白天起東北季風稍增強，中部以北擴散條件轉佳，中南部地區位於下風處，仍不利污染物消散，入夜後空氣品質再轉差。花東空品區為「良好」等級；北部、竹苗、中部、宜蘭空品區、馬祖及金門為「普通」等級，中部局部地區部分時段仍可能達橘色提醒等級；雲嘉南及高屏空品區為「橘色提醒」等級，局部地區短時間達「紅色警示」等級。\r3.23日受東北季風影響，中南部地區位於下風處，污染物易累積；清晨及夜間西半部局部地區易出現逆溫現象致垂直擴散條件不佳，且有局部霧影響能見度，污染物易累積致濃度偏高。花東空品區為「良好」等級；北部、竹苗及宜蘭空品區為「普通」等級；中部、雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風再減弱，環境風場轉為偏東風，西半部位背風側，風速微弱氣流停滯，擴散條件差，且會有局部霧出現影響能見度。竹苗以南地區清晨及夜晚可能出現逆溫現象，導致污染物易累積於近地面難以消散，局部地區污染物易累積致濃度偏高。宜蘭及花東空品區為「良好」等級；北部空品區為「普通」等級；竹苗、中部、雲嘉南及高屏空品區為「橘色提醒」等級。未來一週，22及23日東北季風稍增強，須留意下風處南部地區污染累積情形；23日傍晚至26日東北季風減弱，環境風場為偏東風至東南風，西半部污染物易累積；27日東北季風再增強，西半部地區空氣品質可望好轉；此期間西半部地區須留意清晨易有局部霧影響能見度。空氣品質受氣象條件影響大，請隨時留意最新空氣品質資訊，並歡迎下載「環境即時通」APP，依個人防護需求設定不同警戒值通知。",宜蘭,,50,2020-02-24,,,2020-02-21 22:00
"1.今(21)日環境風場由東北風逐漸轉為偏東風，迎風面東部地區及竹苗以北擴散條件尚佳；中部以南位於下風處，污染物易累積。依18時監測結果，宜蘭、花東空品區、澎湖及馬祖為「良好」等級；北部、竹苗、中部空品區及金門多為「普通」等級；雲嘉南及高屏空品區為「普通」至「橘色提醒」等級。\r2.依氣象局21日18時氣象資料顯示：22日清晨時西半部風速仍偏弱，擴散條件差，且局部地區易有霧影響能見度，使污染物容易累積，白天起東北季風稍增強，中部以北擴散條件轉佳，中南部地區位於下風處，仍不利污染物消散，入夜後空氣品質再轉差。花東空品區為「良好」等級；北部、竹苗、中部、宜蘭空品區、馬祖及金門為「普通」等級，中部局部地區部分時段仍可能達橘色提醒等級；雲嘉南及高屏空品區為「橘色提醒」等級，局部地區短時間達「紅色警示」等級。\r3.23日受東北季風影響，中南部地區位於下風處，污染物易累積；清晨及夜間西半部局部地區易出現逆溫現象致垂直擴散條件不佳，且有局部霧影響能見度，污染物易累積致濃度偏高。花東空品區為「良好」等級；北部、竹苗及宜蘭空品區為「普通」等級；中部、雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風再減弱，環境風場轉為偏東風，西半部位背風側，風速微弱氣流停滯，擴散條件差，且會有局部霧出現影響能見度。竹苗以南地區清晨及夜晚可能出現逆溫現象，導致污染物易累積於近地面難以消散，局部地區污染物易累積致濃度偏高。宜蘭及花東空品區為「良好」等級；北部空品區為「普通」等級；竹苗、中部、雲嘉南及高屏空品區為「橘色提醒」等級。未來一週，22及23日東北季風稍增強，須留意下風處南部地區污染累積情形；23日傍晚至26日東北季風減弱，環境風場為偏東風至東南風，西半部污染物易累積；27日東北季風再增強，西半部地區空氣品質可望好轉；此期間西半部地區須留意清晨易有局部霧影響能見度。空氣品質受氣象條件影響大，請隨時留意最新空氣品質資訊，並歡迎下載「環境即時通」APP，依個人防護需求設定不同警戒值通知。",宜蘭,細懸浮微粒,55,2020-02-23,,,2020-02-21 22:00
"1.今(21)日環境風場由東北風逐漸轉為偏東風，迎風面東部地區及竹苗以北擴散條件尚佳；中部以南位於下風處，污染物易累積。依18時監測結果，宜蘭、花東空品區、澎湖及馬祖為「良好」等級；北部、竹苗、中部空品區及金門多為「普通」等級；雲嘉南及高屏空品區為「普通」至「橘色提醒」等級。\r2.依氣象局21日18時氣象資料顯示：22日清晨時西半部風速仍偏弱，擴散條件差，且局部地區易有霧影響能見度，使污染物容易累積，白天起東北季風稍增強，中部以北擴散條件轉佳，中南部地區位於下風處，仍不利污染物消散，入夜後空氣品質再轉差。花東空品區為「良好」等級；北部、竹苗、中部、宜蘭空品區、馬祖及金門為「普通」等級，中部局部地區部分時段仍可能達橘色提醒等級；雲嘉南及高屏空品區為「橘色提醒」等級，局部地區短時間達「紅色警示」等級。\r3.23日受東北季風影響，中南部地區位於下風處，污染物易累積；清晨及夜間西半部局部地區易出現逆溫現象致垂直擴散條件不佳，且有局部霧影響能見度，污染物易累積致濃度偏高。花東空品區為「良好」等級；北部、竹苗及宜蘭空品區為「普通」等級；中部、雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風再減弱，環境風場轉為偏東風，西半部位背風側，風速微弱氣流停滯，擴散條件差，且會有局部霧出現影響能見度。竹苗以南地區清晨及夜晚可能出現逆溫現象，導致污染物易累積於近地面難以消散，局部地區污染物易累積致濃度偏高。宜蘭及花東空品區為「良好」等級；北部空品區為「普通」等級；竹苗、中部、雲嘉南及高屏空品區為「橘色提醒」等級。未來一週，22及23日東北季風稍增強，須留意下風處南部地區污染累積情形；23日傍晚至26日東北季風減弱，環境風場為偏東風至東南風，西半部污染物易累積；27日東北季風再增強，西半部地區空氣品質可望好轉；此期間西半部地區須留意清晨易有局部霧影響能見度。空氣品質受氣象條件影響大，請隨時留意最新空氣品質資訊，並歡迎下載「環境即時通」APP，依個人防護需求設定不同警戒值通知。",宜蘭,細懸浮微粒,55,2020-02-22,,,2020-02-21 22:00
"1.今(21)日環境風場由東北風逐漸轉為偏東風，迎風面東部地區及竹苗以北擴散條件尚佳；中部以南位於下風處，污染物易累積。依18時監測結果，宜蘭、花東空品區、澎湖及馬祖為「良好」等級；北部、竹苗、中部空品區及金門多為「普通」等級；雲嘉南及高屏空品區為「普通」至「橘色提醒」等級。\r2.依氣象局21日18時氣象資料顯示：22日清晨時西半部風速仍偏弱，擴散條件差，且局部地區易有霧影響能見度，使污染物容易累積，白天起東北季風稍增強，中部以北擴散條件轉佳，中南部地區位於下風處，仍不利污染物消散，入夜後空氣品質再轉差。花東空品區為「良好」等級；北部、竹苗、中部、宜蘭空品區、馬祖及金門為「普通」等級，中部局部地區部分時段仍可能達橘色提醒等級；雲嘉南及高屏空品區為「橘色提醒」等級，局部地區短時間達「紅色警示」等級。\r3.23日受東北季風影響，中南部地區位於下風處，污染物易累積；清晨及夜間西半部局部地區易出現逆溫現象致垂直擴散條件不佳，且有局部霧影響能見度，污染物易累積致濃度偏高。花東空品區為「良好」等級；北部、竹苗及宜蘭空品區為「普通」等級；中部、雲嘉南及高屏空品區為「橘色提醒」等級。\r4.24日東北季風再減弱，環境風場轉為偏東風，西半部位背風側，風速微弱氣流停滯，擴散條件差，且會有局部霧出現影響能見度。竹苗以南地區清晨及夜晚可能出現逆溫現象，導致污染物易累積於近地面難以消散，局部地區污染物易累積致濃度偏高。宜蘭及花東空品區為「良好」等級；北部空品區為「普通」等級；竹苗、中部、雲嘉南及高屏空品區為「橘色提醒」等級。未來一週，22及23日東北季風稍增強，須留意下風處南部地區污染累積情形；23日傍晚至26日東北季風減弱，環境風場為偏東風至東南風，西半部污染物易累積；27日東北季風再增強，西半部地區空氣品質可望好轉；此期間西半部地區須留意清晨易有局部霧影響能見度。空氣品質受氣象條件影響大，請隨時留意最新空氣品質資訊，並歡迎下載「環境即時通」APP，依個人防護需求設定不同警戒值通知。",高屏,細懸浮微粒,140,2020-02-24,臭氧八小時,115,2020-02-21 22:00
