SiteName,MonitorDate,Concentration,ItemUnit
馬公,2019-12-26,12,μg/m3
金門,2019-12-26,46,μg/m3
馬祖,2019-12-26,20,μg/m3
宜蘭,2019-12-26,9,μg/m3
陽明,2019-12-26,6,μg/m3
花蓮,2019-12-26,8,μg/m3
臺東,2019-12-26,7,μg/m3
恆春,2019-12-26,6,μg/m3
屏東,2019-12-26,26,μg/m3
前金,2019-12-26,35,μg/m3
美濃,2019-12-26,24,μg/m3
臺南,2019-12-26,29,μg/m3
新營,2019-12-26,27,μg/m3
嘉義,2019-12-26,27,μg/m3
朴子,2019-12-26,23,μg/m3
斗六,2019-12-26,21,μg/m3
南投,2019-12-26,17,μg/m3
彰化,2019-12-26,17,μg/m3
忠明,2019-12-26,15,μg/m3
豐原,2019-12-26,11,μg/m3
三義,2019-12-26,9,μg/m3
苗栗,2019-12-26,16,μg/m3
新竹,2019-12-26,24,μg/m3
竹東,2019-12-26,12,μg/m3
平鎮,2019-12-26,25,μg/m3
桃園,2019-12-26,25,μg/m3
萬華,2019-12-26,20,μg/m3
士林,2019-12-26,15,μg/m3
板橋,2019-12-26,23,μg/m3
汐止,2019-12-26,18,μg/m3
基隆,2019-12-26,17,μg/m3
馬公,2019-12-23,11,μg/m3
金門,2019-12-23,21,μg/m3
馬祖,2019-12-23,10,μg/m3
宜蘭,2019-12-23,6,μg/m3
陽明,2019-12-23,2,μg/m3
花蓮,2019-12-23,6,μg/m3
臺東,2019-12-23,5,μg/m3
恆春,2019-12-23,4,μg/m3
屏東,2019-12-23,,μg/m3
前金,2019-12-23,,μg/m3
美濃,2019-12-23,23,μg/m3
臺南,2019-12-23,31,μg/m3
新營,2019-12-23,,μg/m3
嘉義,2019-12-23,,μg/m3
朴子,2019-12-23,,μg/m3
斗六,2019-12-23,27,μg/m3
南投,2019-12-23,20,μg/m3
彰化,2019-12-23,14,μg/m3
忠明,2019-12-23,13,μg/m3
豐原,2019-12-23,13,μg/m3
三義,2019-12-23,13,μg/m3
苗栗,2019-12-23,12,μg/m3
新竹,2019-12-23,10,μg/m3
竹東,2019-12-23,9,μg/m3
平鎮,2019-12-23,10,μg/m3
桃園,2019-12-23,8,μg/m3
萬華,2019-12-23,7,μg/m3
士林,2019-12-23,6,μg/m3
板橋,2019-12-23,7,μg/m3
汐止,2019-12-23,7,μg/m3
基隆,2019-12-23,6,μg/m3
馬公,2019-12-20,7,μg/m3
金門,2019-12-20,,μg/m3
馬祖,2019-12-20,8,μg/m3
宜蘭,2019-12-20,,μg/m3
陽明,2019-12-20,,μg/m3
花蓮,2019-12-20,5,μg/m3
臺東,2019-12-20,3,μg/m3
恆春,2019-12-20,2,μg/m3
屏東,2019-12-20,30,μg/m3
前金,2019-12-20,30,μg/m3
美濃,2019-12-20,26,μg/m3
臺南,2019-12-20,19,μg/m3
新營,2019-12-20,17,μg/m3
嘉義,2019-12-20,20,μg/m3
朴子,2019-12-20,14,μg/m3
斗六,2019-12-20,,μg/m3
南投,2019-12-20,,μg/m3
彰化,2019-12-20,,μg/m3
忠明,2019-12-20,,μg/m3
豐原,2019-12-20,,μg/m3
三義,2019-12-20,,μg/m3
苗栗,2019-12-20,,μg/m3
新竹,2019-12-20,,μg/m3
竹東,2019-12-20,,μg/m3
平鎮,2019-12-20,4,μg/m3
桃園,2019-12-20,5,μg/m3
萬華,2019-12-20,4,μg/m3
士林,2019-12-20,2,μg/m3
板橋,2019-12-20,4,μg/m3
汐止,2019-12-20,3,μg/m3
基隆,2019-12-20,3,μg/m3
馬公,2019-12-17,12,μg/m3
金門,2019-12-17,,μg/m3
馬祖,2019-12-17,29,μg/m3
宜蘭,2019-12-17,13,μg/m3
陽明,2019-12-17,5,μg/m3
花蓮,2019-12-17,8,μg/m3
臺東,2019-12-17,6,μg/m3
恆春,2019-12-17,5,μg/m3
屏東,2019-12-17,23,μg/m3
前金,2019-12-17,29,μg/m3
美濃,2019-12-17,17,μg/m3
