發布日期,標題,網站連結
"2017-07-28","管制藥品簡訊第七十二期","http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=786&mid=142"
"2017-04-28","管制藥品簡訊第七十一期","http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=785&mid=142"
"2017-01-26","管制藥品簡訊第七十期","http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=784&mid=142"
"2016-10-28","管制藥品簡訊第六十九期","http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=783&mid=142"
"2016-07-29","管制藥品簡訊第六十八期","http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=781&mid=142"
"2016-04-29","管制藥品簡訊第六十七期","http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=779&mid=142"
"2016-01-29","管制藥品簡訊第六十六期","http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=778&mid=142"
"2015-10-30","管制藥品簡訊第六十五期","http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=777&mid=142"
"2015-07-31","管制藥品簡訊第六十四期","http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=776&mid=142"
"2015-04-30","管制藥品簡訊第六十三期","http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=775&mid=142"
"2015-01-29","管制藥品簡訊第六十二期","http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=771&chk=77c1ccf4-0932-43c4-8caa-0e108e0f0d21&mid=142&name=fdContent"
"2014-10-31","管制藥品簡訊第六十一期","http://www.fda.gov.tw/TC/includes/GetFile.ashx?id=748&chk=57e5d73e-e070-4522-8623-da9cf8a3f85f&mid=142&name=fdContent"
"2014-07-31","管制藥品簡訊第六十期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=679&chk=60e6b7db-a0e6-40f4-a06a-d9373fa55e0d&mid=142&name=fdContent"
"2014-04-30","管制藥品簡訊第五十九期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=662&chk=976ddfc5-e159-4d77-9bfa-89bca10683b4&mid=142&name=fdContent"
"2014-03-27","管制藥品簡訊第五十八期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=656&chk=484f231f-9c13-4aad-b61a-b7faee89c4d7&mid=142&name=fdContent"
"2013-11-01","管制藥品簡訊第五十七期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=634&chk=3763d66d-45e6-49f6-99a2-8383c862c5a9&mid=142&name=fdContent"
"2013-08-01","管制藥品簡訊第五十六期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=619&chk=461644e4-e628-4362-8adf-2e83bba54d77&mid=142&name=fdContent"
"2013-08-01","管制藥品簡訊第五十五期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=618&chk=cb63e601-5f3b-4ccd-8aa1-9fe976231091&mid=142&name=fdContent"
"2013-08-01","管制藥品簡訊第五十四期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=617&chk=40b3286f-20a1-4160-89b4-0da97b305a83&mid=142&name=fdContent"
"2012-10-26","管制藥品簡訊第五十三期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=574&chk=c29f2ce1-4f76-43ce-b9d7-ab4589065f74&mid=142&name=fdContent"
"2012-07-24","管制藥品簡訊第五十二期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=559&chk=b577b434-8a53-47dc-8e78-929932eb596a&mid=142&name=fdContent"
"2012-04-30","管制藥品簡訊第五十一期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=542&chk=cb7b55a9-9772-4953-aa55-a0d66e20aef2&mid=142&name=fdContent"
"2012-03-07","管制藥品簡訊第五十期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=533&chk=0b79f73a-9624-4d2c-889a-15a7ecf8774e&mid=142&name=fdContent"
"2011-11-10","管制藥品簡訊第四十九期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=513&chk=e57eecb0-9bff-4591-912e-e2fca07cb834&mid=142&name=fdContent"
"2011-07-07","管制藥品簡訊第四十八期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=489&chk=0b2cc766-df86-4660-994e-7a448c6a51d8&mid=142&name=fdContent"
"2011-04-15","管制藥品簡訊第四十七期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=472&chk=f0f2ea22-f6d8-4dbe-a960-b6de0434ed67&mid=142&name=fdContent"
"2011-03-15","管制藥品簡訊第四十六期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=466&chk=e8517530-9f6b-43f5-b10b-bb66eb405cb8&mid=142&name=fdContent"
