製劑別,申請廠商,製劑名稱,製造批號,有效期限,包裝,封緘數量,封緘劑量,封緘日期,備註
"","臺灣綠十字股份有限公司","”基立福”乾燥第九凝血因子注射劑","CV05003A","03 7 2007 12:00AM","530 IU/瓶/盒","530 IU/瓶/盒 × 386盒","386","01 5 2006 12:00AM",""
"","世信生物科技股份有限公司","”必凝易得P”批號:50065011A繳檢驗費等","50065011A","07 31 2007 12:00AM","250 IU/瓶/盒","250 IU/瓶/盒","536","01 3 2006 12:00AM",""
"疫苗及類毒素類","美商默沙東藥廠股份有限公司台灣分公司","紐蒙肺多價性肺炎鏈球菌疫苗","G3808,0535R/0652720","12 6 2007 12:00AM","0.5mL/瓶 ×10瓶/盒","0.5mL × 10瓶/盒 × 1,472盒","14720","01 20 2006 12:00AM","破損及缺號：AC873849,AC873392,AC873868,AC873678,AC874131,AC874431,AC874436"
"血液製劑類","瑪里士實業有限公司","＂瑪里斯＂兔抗胸腺細胞免疫球蛋白","TH130-04","05 31 2008 12:00AM","5 mL/瓶/盒","5 mL/瓶/盒 × 395盒","395","01 13 2006 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","賀百克B型流行感冒嗜血桿菌疫苗","A72CA159A,A72FA159A/AHIBB364A","09 30 2008 12:00AM","1劑/瓶/盒","1劑/瓶/盒 × 12,970盒","12970","02 10 2006 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","嬰護寧","AC14B022AA,AC14B022A","05 31 2008 12:00AM","0.5 mL/支/盒","0.5 mL/支/盒 × 24,090盒","24090","03 10 2006 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","派立克","A69CA409A, A69FA409A/AMJRB248A","07 31 2007 12:00AM","1劑/瓶/盒","1劑/瓶/盒×1,532盒","1532","02 17 2006 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","嬰護寧五合一疫苗(白喉/破傷風/無細胞性百日咳/去活性小兒麻痺/b型流行性感冒嗜血桿菌混合疫苗)","A20CA200A, A20LA200A/A20FA200A","03 31 2008 12:00AM","1 劑/盒","1 劑/盒 × 11,775 盒","11775","03 9 2006 12:00AM",""
"疫苗及類毒素類","荷商葛蘭素史克藥廠股份有限公司台灣分公司","嬰護寧六合一疫苗","A21CA143A,A21LA143A/A21FA143A","03 31 2008 12:00AM","1劑/盒","1劑/盒 × 60,770盒","60770","03 21 2006 12:00AM",""
"血液製劑類","寶隆貿易股份有限公司","＂百特＂威保500U抗抑制子凝血複合物","VNF1A009","08 31 2007 12:00AM","500 U/vial/box","500 U/瓶/盒 x 960盒","960","02 8 2006 12:00AM",""
"疫苗及類毒素類","美商惠氏藥廠(亞洲)股份有限公司台灣分公司","沛兒肺炎球菌七價接合型疫苗-針筒裝注射劑","18955, A56078C","04 11 2008 12:00AM","0.5 mL/支/盒","0.5 mL/支/盒 × 22,220盒","22220","02 15 2006 12:00AM","小封緘條缺AC993005,AC984423,AC989000"
