許可證字號,核准日期,英文品名,藥品有效成分,藥商名稱,期滿日期,類別
"衛署藥輸字第022048號","19 01 1998 12:00:00","Taxotere Concentrate for Infusion","Docetaxel 40mg","台灣安萬特藥品股份有限公司","24 04 2008 12:00:00","新適應症"
"衛署菌疫輸字第000515號","02 02 1999 12:00:00","Tritanrix-HB","Each Dose (0.5ml) Contains: Diphtheria Toxoid Not Less Than 30iu; Tetanus Toxoid Not Less Than 60iu; Bordetella Pertussis, Killed Not Less Than 4 Iu; R-Dna Hepatitis B Virus Surface Antigen 10ug","荷商葛蘭素史克藥廠股份有限公司台灣分公司","02 02 2006 12:00:00","新成分"
"衛署菌疫輸字第000525號","20 04 1999 12:00:00","Botox","Botulinum Toxin Type A","香港商愛力根有限公司台灣分公司","20 04 2006 12:00:00","新成分"
"衛署藥輸字第022507號","07 06 1999 12:00:00","Topamax F.C.T 50 mg","Topiramate 50mg","嬌生股份有限公司楊森大藥廠","07 06 2006 12:00:00","新適應症"
"衛署藥輸字第022508號","07 06 1999 12:00:00","Topamax F.C.T 100 mg","Topiramate 100mg","嬌生股份有限公司楊森大藥廠","07 06 2006 12:00:00","新適應症"
"衛署藥輸字第022509號","07 06 1999 12:00:00","Topamax F.C.T 25 mg","Topiramate 25mg","嬌生股份有限公司楊森大藥廠","07 06 2006 12:00:00","新適應症"
"衛署藥輸字第022510號","07 06 1999 12:00:00","Topamax F.C.T 200 mg","Topiramate 200mg","嬌生股份有限公司楊森大藥廠","07 06 2006 12:00:00","新適應症"
"衛署菌疫輸字第000552號","05 08 1999 12:00:00","Twinrix","Each Ml Contains: Hepatitis A Virus Antigen (Hm175 Strain)--720 Elisa Units; R-Dna Hepatitis B Virus Surface Antigen 20ug","荷商葛蘭素史克藥廠股份有限公司台灣分公司","05 08 2006 12:00:00","新成分"
"衛署藥輸字第022570號","05 08 1999 12:00:00","Omniscan Inj 0.5 mmol/mL","Gadodiamide 287 Mg/Ml Caldiamide Sodium 12 Mg/Ml","新加坡商安莘有限公司台灣分公司","05 08 2006 12:00:00","新成分"
"衛署藥製字第043302號","12 10 1999 12:00:00","Zeffix Tablets 100mg","Lamivudine","荷商葛蘭素史克藥廠股份有限公司台灣分公司","09 02 2005 12:00:00","新成分"
"衛署菌疫輸字第000573號","19 10 1999 12:00:00","Hiberix","Each Vial Contains: Conjugate Of: Haemophilus Influenzae Type B Capsular Polysaccharide (Prp) And Tetanus Toxoid Than--10ug Prp","荷商葛蘭素史克藥廠股份有限公司台灣分公司","16 10 2006 12:00:00","新成分"
"衛署藥輸字第022781號","09 02 2000 12:00:00","Pariet F. C. Tab 10 mg","Sodium Rabeprazole 10 mg","衛采製藥股份有限公司","09 02 2007 12:00:00","新成分"
"衛署藥輸字第022782號","09 02 2000 12:00:00","Pariet F. C. Tab 20 mg","Sodium Rabeprazole 20 mg","衛采製藥股份有限公司","09 02 2007 12:00:00","新成分"
"衛署藥製字第043698號","24 04 2000 12:00:00","UFUR CAPSULE","Tegafu 100mg + Uracil 224mg","台灣東洋藥品工業股份有限公司","24 04 2007 12:00:00","新複方"
"衛署藥製字第043847號","10 07 2000 12:00:00","Zalain Cream 2 %","Sertaconazole Nitrate 20 Mg/G","科進製藥科技股份有限公司","10 07 2007 12:00:00","新成分"
