編號,通報時間,中文品名,英文品名,許可證字號,成分學名,劑型劑量,許可證持有藥商,短缺原因,評估結果及建議
"1","201301","複力維他注射液","Infuvita Injection 5 mL/amp, 2 amps/set","衛署藥製字第030763號","PANTHENOL D- (EQ TO D-PANTHENOL), VITAMIN A (PALMITATE), BIOTIN, NIACINAMIDE (NICOTINAMIDE), THIAMINE HYDROCHLORIDE, RIBOFLAVIN(5’-PHOSPHATE SODIUM), PYRIDOXINE HCL, CYANOCOBALAMIN (VIT B12), FOLIC ACID, ASCORBIC ACID (VIT C), VITAMIN D, TOCOPHEROL ACETATE ALPHA DL-","5 mL/amp 2 amps/set","優良化學製藥股份有限公司","原製造廠停產，正轉換製造廠","經評估後建議使用包含下列成分之替代藥品：PANTHENOL D- (EQ TO D-PANTHENOL),VITAMIN A PALMITATE,BIOTIN,NIACINAMIDE (NICOTINAMIDE), THIAMINE HYDROCHLORIDE, RIBOFLAVIN PHOSPHATE SODIUM, PYRIDOXINE HCL, CYANOCOBALAMIN (VIT B12), FOLIC ACID,ASCORBIC ACID (VIT C), CHOLECALCIFEROL ( EQ TO VIT D3) ( EQ TO VITAMIN D3),TOCOPHEROL (ACETATE ALPHA DL- ), PHYTOMENADIONE(VIT K1) ;針對兒科專用維生素針劑，可依2012年ASPEN Parenteral Nutrition Multivitamin Product Shortage Considerations建議給予主要單方維生素，或醫院可視其臨床需求申請專案進口(Hospira:M.V.I.Pediatric)。"
"2","20140502","適妥品眼藥膏","ATROPINE EYE OINTMENT","衛署藥製字第003948號","ATROPINE SULFATE","點眼膏劑","綠洲化學工業有限公司","與PIC/S相關","由於目前供應ATROPINE EYE OINTMENT之藥廠綠洲化學無法供應，建議改以同成份之眼藥水替代使用(共計23張效期內持續供應藥品許可證)，以免醫療中斷。"
"3","20140804","鎝-99M孳生器","ULTRA TECHNEKOW (STERILE 99M TCGENERATOR)","衛署藥輸字第R00053號","ALUMINUM OXIDE (ALUMINA)","注射劑","元新儀器有限公司","藥證到期、查驗登記未過或代理權變更","如發生短缺將造成檢驗與治療上的不便，影響民眾就醫權益，供應商應加速申請。如未能及時供應，建議使用該品項醫療院所更換供應廠商並學習新孳生器沖提等使用方法。"
"4","20140827","新赫寶克","HAVRIX 1440/720 JUNIOR","衛署菌疫輸字第000456號","HEPATITIS A","注射劑","GSK","供貨不穩定","葛蘭素史克之Havrix 720缺貨時，可由默沙東之Vaqta取代之，此兩廠牌A肝疫苗可交替使用。(2016年以後才會穩定供貨)"
"5","20140923","＂永豐＂ 芻基青黴素鈉注射液用粉","PENICILLIN G SODIUM INJECTION 3000000U","衛署藥製字第014756號","PENICILLIN G SODIUM","3 MU/乾粉注射劑","永豐化學工業股份有限公司","原物料缺貨","短缺期間建議照護感染科醫師，改以其他後線替代用藥（如：ceftriaxone, ampicillin-sulbactam , amoxicillin-clavulanate, vancomycin）"
"6","20140930","長效歐力女蒙注射液（纈草酸氫偶素）","DEPO-OVADIOL INJECTION ＂ORIENTAL＂","衛署藥製字第022940號","ESTRADIOL VALERATE","10mg/ml/amp","東洲化學製藥廠股份有限公司","與PIC/S相關","建議於Estradiol valerate10mg/mL/Amp 長效針劑雌激素藥品短缺的情況下，可依臨床需求，斟酌選用短效針劑、或口服的雌激素替代使用。"
"7","20141023","＂汎生＂僕樂彼錠５０毫克","Propylthiouracil","衛署藥製字第043335號","PROPYLTHIOURACIL","50mg/Tab","臺灣汎生製藥股份有限公司","與PIC/S相關","Propylthiouracil缺貨期間，可以請醫師評估是否調整處方以methimazole作為替代藥品。"
"8","20150209","氧化鋅軟膏","ZINC OXIDE OINTMENT ＂WST＂","衛署藥製字第014238號","ZINC OXIDE","20% 20gm/tube","華盛頓製藥廠股份有限公司","與PIC/S相關","建議可選用其他含氧化鋅的洗劑或考慮類固醇軟膏進行治療。"
"9","20150209","耐膚淨軟膏","NIFUCIN OINTMENT ＂PATRON＂","衛署藥製字第010777號","Nitrofurazone","2mg/GM","臺灣派頓化學製藥股份有限公司","與PIC/S相關","可改用其他藥廠同成分同含量之藥品替代"
"10","20150212","“鎰浩”利多卡因液 4%","Lidocaine Solution 4%“Yihhaw”","衛署藥製字第049979號","LIDOCAINE HCL","4%/30ml Soln","利達製藥股份有限公司","與PIC/S相關","於缺貨時改以同成份不同劑型之lidocaine替代使用(共計2張效期內持續供應藥品許可證)，免於醫療中斷。"
"11","20150409","＂協和＂ 排多癌注射劑１０公絲","MITOMYCIN-C KYOWA 10MG","衛署藥輸字第021026號","Mitomycin","10mg/vial","台灣協和醱酵麒麟股份有限公司","供需不平衡、供貨延遲","本品國內無其他同成份之証照，本品各項適應症均可以其他藥品取代，如doxorubicin(輝瑞)、cisplatin(諾華)、etoposide(海喬)，故應無醫療中斷虞慮。若一定要以本品治療可考慮自美國專案進口。"
"12","20150413","優富多膠囊","UFT CAPSULE","衛署藥輸字第023484號","TEGAFUR (FTORAFUR), URACIL","120 /224/ Capsule","台灣大塚製藥股份有限公司","供需不平衡、供貨延遲","同成分同含量產品尚有衛署藥製043698及藥製049563兩張許可證，有藥品短缺之虞的醫院可與供貨公司聯繫先行調整。"
"13","20150415","鈣臨錠６６７公絲（醋酸鈣）","CAPHOS TABLETS 667MG (CALCIUM ACETATE) ＂M.S.＂","衛署藥製字第037520號","CALCIUM ACETATE","667 mg/tab","美時化學製藥股份有限公司","原料藥來源或供應出狀況","建議改以同成分規格之其他廠牌(培力、溫士頓)替代，但因部分廠牌碳酸鈣錠下架，恐造成替代藥品醋酸鈣錠需求增加而發生短缺情形，建議後續追蹤廠商是否仍可以正常供貨。"
"14","20150423","意福灌腸液","EVAC ENEMA","衛署藥製字第034255號","SODIUM PHOSPHATE DIBASIC ANHYDROUS, SODIUM PHOSPHATE MONOBASIC ANHYDROUS","118ml/bt","瑞安大藥廠股份有限公司","供需不平衡、供貨延遲","EVAC enema的適應症包括便秘之緩解，大腸檢查前腸道內容物之排空，腹部手術前之緩下劑。用於緩解便秘尚有其他藥物，包括sennoside、bisacodyl、magnesium oxide、normacol等選擇。腸胃道檢查用藥亦包括耐福力散、鎂福和佛利特護舒達口服液等選擇。"
"15","20150423","“菲尼斯”盤庫諾林注射液","Pancuronium Bromide-Fresenius 4mg/2ml Injection","衛署藥輸字第 025278號","PANCURONIUM BROMIDE","4 MG/2 ML/AMP","恆富企業有限公司","供需不平衡、供貨延遲","目前國內同機轉藥品有cisatracurium besylate、atracurium besylate、vecuronium bromide、rocuronium bromide等共8張藥證，若藥品短缺時，可考慮同機轉替代藥品。"
"16","20150428","好鐵咀嚼錠100毫克","HOTE CHEWABLE TABLETS 100MG","衛署藥製字第047456號","IRON (HYDROXIDE POLYMALTOSE COMPLEX)","CHEWABLE TABLETS 100MG","優生製藥廠股份有限公司","生產線整合及安排","建議改用其他供應廠商提供之同成分、同劑型、同劑量藥品替代使用，供應廠商有躍欣生技、應元、元宙、皇佳、歐帕生技、正和製藥等。"
"17","20140428","鎂福內服液","MAGVAC ORAL SDUTION","衛署藥製字第033998號","POTASSIUM BICARBONATE, MAGNESIUM CARBONATE, CITRIC ACID ANHYDROUS","口服溶液","瑞安大藥廠股份有限公司","生產線整合及安排","建議改用同藥理作用藥物，如：1.鹽類高滲透壓型瀉劑 FleetR Phospho-soda；2.等滲透壓型瀉劑PEG-ELS, Klean-PreR或 NiflecR powder, 用於術前或檢查前清腸。另可用其他緩瀉劑 如：Dulcolax、MgO等藥品，做為便祕治療之替代瀉劑使用。"
