試驗藥品監視新藥成分,申請者,許可證,報告書BA,報告書BE,報告書Dis,報告書核准日期,對照品商品名,對照品製造廠名,國別
"Aceclofenac tab 100mg","永勝","衛署藥製 057239","","Y","","1001103","Tonec tab 100mg","五洲","Taiwan"
"Aceclofenac tab 100mg","生達","衛署藥製 057798","","Y","","1010619","Tonec tab 100mg","五洲","Taiwan"
"Aceclofenac tab 100mg","健亞","衛部藥製 058604","","Y","","1030811","Tonec tab 100mg","五洲","Taiwan"
"Aceclofenac tab 100mg","健喬信元","衛部藥製 058623","","Y","","1030429","Airtal tab 100mg","Industrias Farmaceuticas Almirall","Spain"
"Acemetacin cap 60mg","五洲","衛署藥製 043545","","Y","","890208","Rantudil cap 60mg","Troponwerke","Germany"
"Acemetacin cap 60mg","健喬信元","衛署藥製 040011","","Y","","850510","Rantudil cap 60mg","Troponwerke","Germany"
"Acyclovir tab 200mg","國嘉","衛部藥製 058373","","","Y","1030626","Lipaoshu tab 400mg","國嘉","Taiwan"
"Acyclovir tab 200mg","永信","衛署藥製 034583","","Y","","800812","Zovirax tab 200mg","Wellcome","UK"
"Acyclovir tab 200mg","生達","衛署藥製 042755","","Y","","871027","Zovirax tab 200mg","Wellcome","UK"
"Acyclovir tab 200mg","中國化學","衛署藥製 040090","","","Y","850612","Acylete tab 400mg","中國化學","Taiwan"
"Acyclovir tab 200mg","回春堂","衛署藥製 039629","","","Y","841128","Zovirax tab 200mg","Wellcome","UK"
"Acyclovir tab 200mg","信東","衛署藥製 046143","","","Y","930107","Acylo tab 400mg","信東","Taiwan"
"Acyclovir tab 400mg","中國化學","衛署藥製 039315","","Y","","840911","Zovirax tab 400mg","Wellcome","UK"
"Acyclovir tab 400mg","信東","衛署藥製 044122","","Y","","890927","Zovirax tab 400mg","Wellcome","UK"
"Acyclovir tab 400mg","國嘉","衛署藥製 057292","","Y","","1010704","Zovirax tab 400mg","Glaxo Smithkline","Australia"
"Acyclovir tab 400mg","雙正","衛署藥輸 022927","","Y","","890607","Zovirax tab 400mg","Wellcome","UK"
