試驗藥品非監視新藥成分,申請者,許可證,報告書BA,報告書BE,報告書Dis,報告書核准日期,對照品商品名,對照品製造廠名,國別
"Acebutolol tab 400mg","育生","衛署藥製 047472","","Y","","940623","Sectral tab 400mg","Aventis","UK"
"Acetaminophen tab 500mg (104.10.30 註銷BE核備函)","溫士頓","衛署藥製 018432","","Y","","880112","Panadol tab 500mg","施德齡","Taiwan"
"Acetaminophen tab 500mg","中國化學","衛署藥製 040130","","Y","","870818","Panadol tab 500mg","施德齡","Taiwan"
"Acetaminophen tab 500mg","永信","衛署藥製 006271","","Y","","931109","Panamax tab 500mg","施德齡","Taiwan"
"Acetaminophen tab 500mg","生達","衛署藥製 020444","","Y","","890814","Scanol tab 500mg","Scanpharm A/S","Denmark"
"Acetaminophen tab 500mg","榮民","衛署藥製 020707","","Y","","870325","Scanol tab 500mg","Scanpharm A/S","Denmark"
"Acetaminophen ER tab 650mg","永信","衛署藥製 048970","","Y","","960319","Tylenol ER tab 650mg","Mcneil-PPC","US"
"Acetaminophen/Tramadol tab 325mg/37.5mg","健喬信元","衛部藥製 058302","","Y","","1030218","Ultracet tab 325/37.5mg","Janssen Korea","Korea"
"Acetaminophen/Tramadol tab 325mg/37.5mg","瑩碩","衛部藥製 058188","","Y","","1020131","Ultracet tab 325/37.5mg","Janssen Korea","Korea"
"Acetylcysteine Eff. tab 600mg","健喬信元","衛署藥製 045993","","Y","","980213","Fluimucil A 600 Eff tab 600mg","Inpharzam","Switzerland"
"Allopurinol tab 100mg","永信","衛署藥製 014228","","Y","","891222","Zyloric tab. 100mg","Wellcome","UK"
"Allopurinol tab 100mg","生達","衛署藥製 014154","","Y","","890315","Zyloric tab. 100mg","Wellcome","UK"
"Allopurinol tab 100mg","信元","衛署藥製 040106","","Y","","870429","Zyloric tab. 100mg","Wellcome","UK"
"Allopurinol tab 100mg","信東","衛署藥製 043074","","Y","","890425","Zyloric tab. 100mg","Wellcome","UK"
"Allopurinol tab 100mg","華興","衛署藥製 044031","","Y","","900619","Zyloric tab. 100mg","Wellcome","UK"
"Allopurinol tab 100mg","雙正","衛署藥輸 009008","","Y","","900301","Zyloric tab. 100mg","Wellcome","UK"
"Allopurinol tab 300mg (103.7.17 註銷BE核備函)","五洲","衛署藥製 044127","","Y","","900718","Zyloric tab. 300mg","Wellcome","UK"
"Amantadine tab 100mg (104.10.5 註銷BE核備函)","瑞士","衛署藥製 039431","","Y","","951128","PK-Merz tab 100mg","Ursapharm Arzneimittel","Germany"
"Amikacin inj 125mg/ml","生達","衛署藥製 037550","","Y","","860630","Amikin inj 125mg/ml","BMS","Taiwan"
"Amikacin inj 125mg/ml","聯邦","衛署藥製 028151","","Y","","851017","Amikin inj 125mg/ml","BMS","Taiwan"
"Amikacin inj 250mg/ml","永信","衛署藥製 028477","","Y","","901022","Amikin inj 250mg/ml","BMS","Taiwan"
"Amiodarone tab 200mg","健喬信元","衛署藥製 046077","","Y","","950530","Cordarone tab 200mg","Sanofi Winthrop","France"
"Amitriptyline SR cap 25mg","瑞士","衛署藥製 049202","","Y","","961112","Saroten Retard cap 25mg","H. Lundbeck A/S","Denmark"
"Amoxicillin susp 1.5g/60ml","永豐","衛署藥製 036160","","Y","","840610","Amoxil 1.5g/60ml","Benchard","UK"
"Amoxicillin cap 250mg","中國化學","衛署藥製 012051","","","Y","890119","Amoxicillin cap 500mg","中化","Taiwan"
"Amoxicillin cap 250mg","台灣汎生","衛署藥製 007822","","","Y","890711","Amoxicillin cap 500mg","台灣汎生","Taiwan"
