試驗藥品監視新藥成分,報告書准,報告書不准,報告書小計
"Aceclofenac tab 100mg","5","0","5"
"Acemetacin cap 60mg","2","0","2"
"Acemetacin retard cap 90mg","2","0","2"
"Acyclovir tab 200mg","2","0","2"
"Acyclovir tab 400mg","4","1","5"
"Acyclovir tab 800mg","3","0","3"
"Alendronate tab 70mg","2","0","2"
"Alfuzosin tab 10mg","2","0","2"
"Alfuzosin XL tab 10mg","1","0","1"
"Alminoprofen tab 300mg","2","0","2"
"Alprazolam tab 0.5mg","6","0","6"
"Alprazolam tab 1mg","1","0","1"
"Alprazolam tab 2mg","1","0","1"
"Alprazolam SR tab 1mg","2","1","3"
"Ambroxol solution 3mg/ml","2","0","2"
"Ambroxol tab 30mg","17","3","20"
"Ambroxol tab 60mg","1","0","1"
"Ambroxol SR cab 75mg","2","0","2"
"Ambroxol SR tab 75mg","3","1","4"
"Amezinium metilsulfate tab 10mg","1","0","1"
"Amisulpride tab 200mg","6","1","7"
"Amisulpride tab 400mg","1","0","1"
"Amlodipine tab 5mg","20","1","21"
"Amlodipine tab 10mg","4","0","4"
"Amlodipine/Benazepril cap 5mg/10mg","1","0","1"
"Amlodipine/Benazepril tab 5mg/10mg","3","1","4"
"Amlodipine/Valsartan tab 5mg/80mg","3","0","3"
"Amlodipine/Valsartan tab 5mg/160mg","1","0","1"
"Amoxicillin/Clavulanic acid syrup 25mg/6.25mg/ml","2","0","2"
"Amoxicillin/Clavulanic acid tab 250mg/125mg","1","0","1"
"Amoxicillin/Clavulanic acid tab 500mg/125mg","2","0","2"
"Amoxicillin/Clavulanic acid tab 875mg/125mg","1","0","1"
"Ampicillin/Sulbactam inj. 1g/0.5g","2","0","2"
"Anastrozole tab 1mg","5","0","5"
"Aripiprazole oral solution 1 mg/ml","1","0","1"
"Aripiprazole OD tab 15mg","1","0","1"
"Aripiprazole tab 10mg","8","1","9"
"Aripiprazole tab 15mg","1","0","1"
"Aripiprazole tab 20mg","2","0","2"
"Atomoxetine cap 25mg","1","0","1"
"Atomoxetine tab 40mg","2","0","2"
"Atorvastatin tab 10mg","6","0","6"
"Atorvastatin tab 20mg","1","0","1"
"Atorvastatin tab 40mg","8","0","8"
"Azelastine Nasal Spray 0.1%W/V","2","0","2"
"Azithromycin powder for susp 47.78mg/g","1","0","1"
"Azithromycin tab 250mg","5","0","5"
"Bambuterol tab 10mg","4","1","5"
"Benidipine tab 4mg","1","0","1"
"Benzonatate cap 100mg","3","1","4"
"Benzonatate cap 200mg","1","0","1"
"Betaxolol tab 20mg","3","0","3"
"Bicalutamide tab 50mg","1","0","1"
"Bisoprolol fumarate tab 1.25mg","3","0","3"
"Bisoprolol fumarate tab 5mg","9","0","9"
"Bisoprolol hemifumarate tab 5mg","2","0","2"
"Brotizolam tab 0.25 mg","1","0","1"
"Budesonide inhaler 200 mcg/dose","1","0","1"
"Budesonide/Procaterol HFA MDI 180mcg/10mcg","1","0","1"
"Budesonide/Formoterol fumarate inhaler 160mcg/4.5mcg","1","0","1"
"Buprenorphine SL tab 8mg","1","0","1"
"Buprenorphine/Naloxone SL tab 8mg/2mg","1","0","1"
"Bupropion ER tab 150mg","1","0","1"
"Bupropion SR tab 150mg","7","0","7"
"Bupropion ER tab 300mg","1","0","1"
"Buspirone tab 5mg","2","1","3"
"Buspirone tab 10mg","4","1","5"
"Butorphanol tartrate nasal spray 10mg/ml","1","0","1"
"Candesartan cilexetil tab 8mg","2","0","2"
"Candesartan cilexetil tab16mg","1","1","2"
"Captopril tab 25mg","13","3","16"
"Captopril tab 50mg","2","0","2"
"Captopril tab 100mg","1","0","1"
"Carvedilol tab 6.25mg","5","0","5"
"Carvedilol tab 25mg","10","0","10"
"Cefepime inj 500mg","4","0","4"
"Cefepime inj 1000mg","1","0","1"
"Cefixime cap 100mg","3","1","4"
"Ceftazidime inj 1g","4","1","5"
"Ceftriaxone inj 500mg","2","0","2"
"Ceftriaxone inj 1g","3","0","3"
"Cefuroxime inj 750mg","4","0","4"
"Cefuroxime axetil tab 250mg","4","0","4"
"Celecoxib cap 200 mg","6","1","7"
"Cetirizine tab 10mg","15","5","20"
"Cetirizine/Pseudoephedrine SR cap 5mg/120mg","1","0","1"
"Cetirizine/Pseudoephedrine SR tab 5mg/120mg","2","0","2"
