年度,餐飲業別,業者名稱,營業地址,等級
"102","一般餐廳","福泰桔子商旅","臺中市中區公園路17號","優"
"102","一般餐廳","德義先生","臺中市北區一中街217號2樓","優"
"102","一般餐廳","二口美食","臺中市北區一中街83-2號","優"
"102","一般餐廳","米格魯美食專賣店","臺中市北區錦新街70號","優"
"102","一般餐廳","韓鶴亭","臺中市北區三民路三段186號","優"
"102","一般餐廳","金屋飲食店","臺中市東區十甲東路411號","優"
"102","一般餐廳","京華煙企業股份有限公司","臺中市西區五權一街51號1樓","良"
"102","一般餐廳","新月餐飲股份有限公司吉凡尼國美店","臺中市西區五權七街58號","良"
"102","一般餐廳","新月餐飲股份有限公司新月梧桐國美店","臺中市西區五權西三街123號","優"
"102","一般餐廳","巴瓦企業股份有限公司","臺中市西區五權西四街170號","良"
"102","一般餐廳","屋馬園邸店","臺中市西區公益路111號","優"
"102","一般餐廳","蓮湖餐廳有限公司","臺中市南屯區向上路二段198號","優"
"102","一般餐廳","潮港城事業股份有限公司","臺中市南屯區環中路四段2號","良"
"102","一般餐廳","京屋飲食店","臺中市太平區中興東路70號","優"
"102","美食街之小型餐飲店","兩班家有限公司","臺中市西屯區中港路二段111號10樓","優"
"102","美食街之小型餐飲店","瓦城泰統股份有限公司-1010湘","臺中市西屯區中港路二段111號10樓","優"
"102","美食街之小型餐飲店","瓦城泰統股份有限公司─瓦城泰式料理","臺中市西屯區中港路二段111號10樓","良"
"102","美食街之小型餐飲店","麥當勞","臺中市西屯區中港路二段111號12樓","優"
"102","美食街之小型餐飲店","湄南河泰式料理店","臺中市西屯區中港路二段111號12樓","優"
"102","美食街之小型餐飲店","三味食品有限公司","臺中市西屯區中港路二段111號12樓","優"
"102","美食街之小型餐飲店","興葉企業有限公司","臺中市西屯區中港路二段111號12樓","良"
"102","美食街之小型餐飲店","東惠企業有限公司","臺中市西屯區中港路二段111號12樓","優"
"102","美食街之小型餐飲店","旺隆食品行","臺中市西屯區中港路二段111號12樓","優"
"102","美食街之小型餐飲店","豆腐村有限公司-雪嶽山","臺中市西屯區中港路二段111號12樓","良"
"102","美食街之小型餐飲店","雙印食品有限公司","臺中市西屯區中港路二段111號12樓","良"
"102","美食街之小型餐飲店","眾雄有限公司-郭老師養生料理","臺中市西屯區中港路二段111號12樓","良"
"102","美食街之小型餐飲店","晶旺餐飲股份有限公司","臺中市西屯區中港路二段111號12樓","優"
"102","美食街之小型餐飲店","寶橋食品","臺中市西屯區中港路二段111號12樓","良"
"102","美食街之小型餐飲店","統一多拿滋股份有限公司","臺中市西屯區中港路二段111號12樓","優"
"102","美食街之小型餐飲店","吉比鮮釀股份有限公司","臺中市西屯區中港路二段111號13樓","優"
"102","美食街之小型餐飲店","紅酒乾杯台中劇場","臺中市西屯區中港路二段111號13樓","優"
"102","美食街之小型餐飲店","邦保羅股份有限公司","臺中市西屯區中港路二段111號2樓","良"
"102","美食街之小型餐飲店","馥盛股份有限公司","臺中市西屯區中港路二段111號4樓","良"
"102","美食街之小型餐飲店","怡和餐飲股份有限公司","臺中市西屯區中港路二段111號7樓","優"
"102","美食街之小型餐飲店","安心食品服務股份有限公司","臺中市西屯區中港路二段111號8樓","優"
"102","美食街之小型餐飲店","雲屯有限公司","臺中市西屯區中港路二段111號9樓","良"
"102","美食街之小型餐飲店","勝成餐飲股份有限公司","臺中市西屯區中港路二段111號9樓","良"
"102","美食街之小型餐飲店","貓頭鷹國際股份有限公司","臺中市西屯區中港路二段111號9樓","良"
"102","美食街之小型餐飲店","阿官火鍋專家","臺中市西屯區中港路二段111號B2","優"
"102","美食街之小型餐飲店","東西實業社","臺中市西屯區中港路二段111號B2","優"
"102","美食街之小型餐飲店","泰奧萱有限公司","臺中市西屯區中港路二段111號B2","優"
"102","美食街之小型餐飲店","統一多拿滋股份有限公司","臺中市西屯區中港路二段111號B2","優"
"102","美食街之小型餐飲店","古典玫瑰園事業股份有限公司","臺中市西屯區中港路二段111號B2","優"
"102","美食街之小型餐飲店","高平摩志股份有限公司","臺中市西屯區中港路二段111號B2","優"
"102","美食街之小型餐飲店","21世紀風味館","臺中市西屯區中港路二段111號B2","優"
"102","美食街之小型餐飲店","詩特莉食品股份有限公司","臺中市西屯區中港路二段111號B2","優"
"102","早餐店","番茄村-大甲育英店","臺中市大甲區育英路244號","優"
"102","早餐店","摩斯漢堡-大甲店","臺中市大甲區經國路480號1.2F","優"
"102","早餐店","麥當勞-大甲經國餐廳","臺中市大甲區經國路502號 1樓","優"
"102","早餐店","大甲媽早餐店","臺中市大甲區經國路91-1號","優"
"102","早餐店","得來素-大肚店","臺中市大肚區沙田路一段451號","優"
"102","早餐店","摩斯漢堡-大里中興店","臺中市大里區中興路二段436號1F","優"
"102","早餐店","怡和餐飲(股)公司大里-肯德基","臺中市大里區中興路二段478號","優"
"102","早餐店","怡和餐飲(股)公司大里國光-肯德基","臺中市大里區國光路2段75號","優"
"102","早餐店","肯德基-台中大雅","臺中市大雅區中清南路255號","優"
"102","早餐店","奇豆早午餐","臺中市太平區永和街65號","優"
"102","早餐店","肯德基-台中文心","臺中市北屯區文心路四段153號","優"
"102","早餐店","麥當勞-台中文心五","臺中市北屯區文心路四段341號","優"
"102","早餐店","摩斯漢堡-臺中軍功店","臺中市北屯區軍功路一段605號1~3樓","優"
"102","早餐店","番茄村-松竹店","臺中市北屯區崇德六路一段106號","優"
"102","早餐店","摩斯漢堡-台中崇德二店","臺中市北屯區崇德路二段326號","優"
"102","早餐店","摩斯漢堡-曉明女中","臺中市北區大雅路454號","優"
"102","早餐店","麥當勞-台中新大雅","臺中市北區大雅路576號","優"
"102","早餐店","摩斯漢堡-臺中學士店","臺中市北區學士路300號1、2樓","優"
"102","早餐店","蕃茄村-台中福上店","臺中市西屯區中平路210號","優"
"102","早餐店","摩斯漢堡-中港澄清店","臺中市西屯區中港路三段116-5號","優"
