試驗藥品非監視新藥成分,報告書准,報告書不准,報告書小計
"Acebutolol tab 400mg","1","0","1"
"Acetaminophen tab 500mg","6","1","7"
"Acetaminophen ER tab 650mg","1","0","1"
"Acetaminophen/Tramadol HCl Tab 325mg/37.5mg","2","0","2"
"Acetylcysteine eff tab 600mg","1","0","1"
"Allopurinol tab 100mg","6","0","6"
"Allopurinol tab 300mg","1","0","1"
"Amantadine tab 100mg","1","0","1"
"Amikacin inj 125mg/ml","2","0","2"
"Amikacin inj 250mg/ml","1","1","2"
"Amiodarone tab 200mg","1","0","1"
"Amitriptyline SR cap 25mg","1","0","1"
"Amoxicillin cap 250mg","0","1","1"
"Amoxicillin cap 500mg","6","1","7"
"Amoxicillin susp 25mg/ml","1","0","1"
"Amphotericin B liposome inj. 50mg","1","1","2"
"Ampicillin cap 250mg","0","1","1"
"Ampicillin/Cloxacillin cap 250mg","0","1","1"
"Arginine Vasopressin inj 20UI/ml","1","0","1"
"Aspirin cap 100mg","1","0","1"
"Aspirin EM cap 100mg","3","1","4"
"Aspirin tab 324mg","0","1","1"
"Atenolol tab 50mg","6","3","9"
"Atenolol tab 100mg","23","3","26"
"Atenolol/Chlorthalidone tab 100/25mg","3","1","4"
"Baclofen tab 5mg","2","0","2"
"Baclofen tab 10mg","1","1","2"
"Benzbromarone cap 50mg","1","0","1"
"Benzbromarone cap 100mg","1","0","1"
"Benzbromarone tab 50mg","9","1","10"
"Benzbromarone tab 100mg","4","0","4"
"Bethanechol chloride tab 25mg","2","0","2"
"Bezafibrate retard tab 400mg","1","0","1"
"Biperiden tab 2mg","3","0","3"
"Biperiden SR tab 4mg","1","1","2"
"Bromhexine tab 8mg","1","0","1"
"Buflomedil tab 150mg","3","1","4"
"Calcium para-aminosalicylate hydrate granules 1gm/gm","1","0","1"
"Carbamazepine mixture 20mg/ml","1","0","1"
"Carbamazepine tab 200mg","4","0","4"
"Carbamazepine CR tab 200mg","1","0","1"
"Carbamazepine SR tab 400mg","1","0","1"
"Cefaclor cap 250mg","6","1","7"
"Cefaclor cap 500mg","1","0","1"
"Cefaclor ER cap 375mg","1","0","1"
"Cefaclor oral susp 250mg/gm","1","0","1"
"Cefadroxil cap 500mg","5","0","5"
"Cefamandole inj 1gm/vial","1","0","1"
"Cefazolin inj 500mg","1","0","1"
"Cefazolin inj 1g","8","0","8"
"Cefazolin inj 2g","2","0","2"
"Cefmetazole inj 1g","1","0","1"
