製造廠名稱,製造廠地址,登錄號碼,登錄品項,是否在3年有效期間內,有效期限
"太平洋醫材股份有限公司銅鑼三廠","苗栗縣銅鑼鄉銅鑼村民生路16號","GMP1228","腰椎穿刺護理包(沖洗棉枝棒、紗布塊、紙洞巾)(滅菌)","Y","2018-11-26"
"太平洋醫材股份有限公司銅鑼三廠","苗栗縣銅鑼鄉銅鑼村民生路16號","GMP1228","口腔海綿(滅菌)","Y","2018-11-26"
"信都電子科技股份有限公司","台中市潭子區栗林里中山路3段493巷4弄8號1、2樓","GMP0701","心電圖描記器","Y","2018-11-02"
"信都電子科技股份有限公司","台中市潭子區栗林里中山路3段493巷4弄8號1、2樓","GMP0701","血氧飽和測定儀之傳導線材","Y","2018-11-02"
"信都電子科技股份有限公司","台中市潭子區栗林里中山路3段493巷4弄8號1、2樓","GMP0701","心電圖機傳導線","Y","2018-11-02"
"明士股份有限公司中科分公司","台中市大雅區科雅路26號4樓","GMP1229","內視鏡及其附件(影像系統及其配件)","Y","2018-12-01"
"十全有限公司","新北市中和區建康路276號7樓","GMP1219","血氧飽和測定儀","Y","2018-11-10"
"十全有限公司","新北市中和區建康路276號7樓","GMP1219","氧氣產生器","Y","2018-11-10"
"十全有限公司","新北市中和區建康路276號7樓","GMP1219","非電磁性血球與血漿加熱裝置","Y","2018-11-10"
"十全有限公司","新北市中和區建康路276號7樓","GMP1219","動力式肌肉刺激器","Y","2018-11-10"
"十全有限公司","新北市中和區建康路276號7樓","GMP1219","生理監視器","Y","2018-11-10"
"十全有限公司","新北市中和區建康路276號7樓","GMP1219","非侵入性血壓測量系統","Y","2018-11-10"
"十全有限公司","新北市中和區建康路276號7樓","GMP1219","動力式抽吸幫浦","Y","2018-11-10"
"十全有限公司","新北市中和區建康路276號7樓","GMP1219","呼吸器用氣體潮濕器","Y","2018-11-10"
"育德中西醫儀器有限公司","新北市中和區中正路820號","GMP0116","電子肌肉刺激器","Y","2018-08-20"
"文匯工業有限公司","新北市汐止區福德一路392巷48號1-3樓","GMP1226","皮膚電極片","Y","2018-12-01"
"香港商瑞健股份有限公司台灣分公司南山廠","桃園市蘆竹區內厝里南山路二段313-1號","GMP1223","皮下單腔針","Y","2018-11-30"
"昱昇藥業有限公司桃園廠","桃園市蘆竹區南山路一段436號","GMP1227","真空採血管之分裝及貼標作業","Y","2018-12-07"
"昱昇藥業有限公司桃園廠","桃園市蘆竹區南山路一段436號","GMP1227","人工腎臟之分裝及貼標作業","Y","2018-12-07"
"昱昇藥業有限公司桃園廠","桃園市蘆竹區南山路一段436號","GMP1227","口腔研磨磨光劑之分裝及貼標作業","Y","2018-12-07"
"昱昇藥業有限公司桃園廠","桃園市蘆竹區南山路一段436號","GMP1227","消毒劑之分裝及貼標作業","Y","2018-12-07"
"朕江生物科技股份有限公司","臺中市西屯區協和里工業區15路8號","GMP0956","補體成分免疫試驗系統","Y","2019-01-27"
"朕江生物科技股份有限公司","臺中市西屯區協和里工業區15路8號","GMP0956","C反應蛋白免疫試驗系統","Y","2019-01-27"
"朕江生物科技股份有限公司","臺中市西屯區協和里工業區15路8號","GMP0956","β-2-微球蛋白免疫試驗系統","Y","2019-01-27"
"朕江生物科技股份有限公司","臺中市西屯區協和里工業區15路8號","GMP0956","免疫球蛋白A、G、M、D 及E 免疫試驗系統","Y","2019-01-27"
"朕江生物科技股份有限公司","臺中市西屯區協和里工業區15路8號","GMP0956","類風濕性因子免疫試驗系統","Y","2019-01-27"
"朕江生物科技股份有限公司","臺中市西屯區協和里工業區15路8號","GMP0956","鈉試驗系統","Y","2019-01-27"
"朕江生物科技股份有限公司","臺中市西屯區協和里工業區15路8號","GMP0956","鉀試驗系統","Y","2019-01-27"
"朕江生物科技股份有限公司","臺中市西屯區協和里工業區15路8號","GMP0956","氯化物試驗系統","Y","2019-01-27"
"朕江生物科技股份有限公司","臺中市西屯區協和里工業區15路8號","GMP0956","纖維蛋白原/纖維蛋白崩解產品分析","Y","2019-01-27"
"朕江生物科技股份有限公司","臺中市西屯區協和里工業區15路8號","GMP0956","膽氨基乙酸試驗系統","Y","2019-01-27"
"南光化學製藥股份有限公司","台南市新化區全興里中山路1001號、1001-1號","GMP1230","軟式隱形眼鏡保存用產品","Y","2018-12-09"
"帝視寰宇醫材股份有限公司","新北市新莊區五權一路一號3樓之6","GMP1161","檢查鏡","Y","2018-03-26"
"遠東新世紀股份有限公司內壢紡織廠","桃園市中壢區興仁里遠東路2、80、128號","GMP0883","再吸收鈣鹽骨洞填充裝置","Y","2018-03-08"
"達邑應用材料股份有限公司","桃園市中壢區內定里內定二十街158巷5號","GMP1163","氧化鋯瓷塊","Y","2018-03-30"
"永勝光學股份有限公司","台中市大雅區科雅二路8號、科雅西路28號3樓","GMP0888","軟式隱形眼鏡保存用產品","Y","2018-04-08"
"新駿實業股份有限公司","新北市五股區中興路一段168號","GMP0070","蒸氣滅菌器","Y","2020-05-10"
"承啟醫系股份有限公司","台北市中山區民權西路11號9樓之1","GMP1160","醫學圖像紀錄傳輸系統","Y","2018-03-24"
"新駿實業股份有限公司","新北市五股區中興路一段168號","GMP0070","動力式抽吸幫浦","Y","2020-05-10"
"寶億生技股份有限公司三廠","新北市五股區中興路一段六號六樓之一至之三","GMP1151","鑽孔蓋","Y","2018-02-02"
"寶億生技股份有限公司三廠","新北市五股區中興路一段六號六樓之一至之三","GMP1151","鑽孔蓋","Y","2021-02-01"
"聯合骨科器材股份有限公司","新竹市東區科學工業園區園區二路51,53,55,57號1、2樓","GMP0617","骨水泥分配器","Y","2020-09-30"
"光弘生醫科技股份有限公司","桃園市蘆竹區大豐街21號","GMP0862","陶瓷人工牙根","Y","2020-11-30"
"光弘生醫科技股份有限公司","桃園市蘆竹區大豐街21號","GMP0862","牙科用氧化鋯瓷塊","Y","2020-11-30"
"柏登生醫股份有限公司","台北市內湖區內湖路1段322號3樓","GMP1130","視原生物眼角膜(滅菌)","Y","2020-11-09"
"台灣科學地股份有限公司","新北市新店區民權路88-4號10樓","GMP1157","非侵入式血壓量測儀","Y","2018-03-24"
"商之器科技股份有限公司","台北市內湖區內湖路一段516號5樓","GMP1162","心電圖掃描器","Y","2018-03-25"
"商之器科技股份有限公司","台北市內湖區內湖路一段516號5樓","GMP1162","心臟監視器(包含心動數計和心率警示器)","Y","2018-03-25"
"商之器科技股份有限公司","台北市內湖區內湖路一段516號5樓","GMP1162","葡萄糖試驗系統","Y","2018-03-25"
"商之器科技股份有限公司","台北市內湖區內湖路一段516號5樓","GMP1162","臨床電子體溫計","Y","2018-03-25"
"商之器科技股份有限公司","台北市內湖區內湖路一段516號5樓","GMP1162","血氧飽和測定儀","Y","2018-03-25"
"商之器科技股份有限公司","台北市內湖區內湖路一段516號5樓","GMP1162","心電圖管理系統","Y","2018-03-25"
"商之器科技股份有限公司","台北市內湖區內湖路一段516號5樓","GMP1162","心律不整檢測器和警示器","Y","2018-03-25"
"商之器科技股份有限公司","台北市內湖區內湖路一段516號5樓","GMP1162","非侵入性血壓測量系統","Y","2018-03-25"
"台灣特浦股份有限公司","高雄市大寮區華中路40號","GMP1148","灌洗注射筒(滅菌)","Y","2018-01-26"
"台灣特浦股份有限公司","高雄市大寮區華中路40號","GMP1148","灌洗注射筒用保護栓(滅菌)","Y","2018-01-26"
"慶旺科技股份有限公司","新北市五股區興珍里五權三路25號5樓","GMP1146","心電圖描記器","Y","2018-01-11"
"宇仁醫療器材科技股份有限公司頭份廠","苗栗縣頭份市蘆竹里蘆竹路172號","GMP1164","親水性創傷覆蓋材(滅菌)","Y","2018-11-04"
"宇仁醫療器材科技股份有限公司頭份廠","苗栗縣頭份鎮蘆竹里蘆竹路172號1、2樓","GMP1164","醫療用可丟棄式的冷熱敷包之包裝作業","Y","2018-04-08"
"宇仁醫療器材科技股份有限公司頭份廠","苗栗縣頭份鎮蘆竹里蘆竹路172號1、2樓","GMP1164","閉合用傷口/燒燙傷敷料之包裝作業","Y","2018-04-08"
"宇仁醫療器材科技股份有限公司頭份廠","苗栗縣頭份鎮蘆竹里蘆竹路172號1、2樓","GMP1164","彈性繃帶之包裝作業","Y","2018-04-08"
"宇仁醫療器材科技股份有限公司頭份廠","苗栗縣頭份鎮蘆竹里蘆竹路172號1、2樓","GMP1164","醫療用吸收纖維(滅菌)","Y","2018-04-08"
"宇仁醫療器材科技股份有限公司頭份廠","苗栗縣頭份市蘆竹里蘆竹路172號","GMP1164","醫療用吸收纖維(滅菌)","Y","2018-11-04"
"宇仁醫療器材科技股份有限公司頭份廠","苗栗縣頭份鎮蘆竹里蘆竹路172號1、2樓","GMP1164","醫療用冷敷包之包裝作業","Y","2018-04-08"
"宇仁醫療器材科技股份有限公司頭份廠","苗栗縣頭份市蘆竹里蘆竹路172號","GMP1164","醫療用冷敷包之包裝作業","Y","2018-11-04"
"佳合醫材股份有限公司","新北市五股區五權七路63號","GMP0105","外科單股化學可吸收縫線(附針/不附針)","Y","2018-06-10"
"佳合醫材股份有限公司","新北市五股區五權七路63號","GMP0105","外科用可吸收縫線(附針/不附針)","Y","2018-06-10"
"佳合醫材股份有限公司","新北市五股區五權七路63號","GMP0105","外科用單股化學可吸收性縫線(25)(附針/不附針)","Y","2018-06-10"
"佳合醫材股份有限公司","新北市五股區五權七路63號","GMP0105","外科用單股化學可吸收性倒鉤縫合線(附針/不附針)","Y","2018-06-10"
"瑪旺幹細胞醫學生物科技股份有限公司","新北市汐止區康寧街169巷29-1號7樓","GMP1167","血小板血漿收集容器","Y","2018-04-30"
"愛譜實業有限公司","新北市三重區重新路五段609巷12號8樓之17","GMP0895","耳鏡","Y","2018-05-06"
"愛譜實業有限公司","新北市三重區重新路五段609巷12號8樓之17","GMP0895","檢查鏡及其附件","Y","2018-05-06"
"磊信國際有限公司","新北市新莊區中正路657-5號8樓","GMP1169","非膨脹式四肢用夾板","Y","2018-04-30"
"磊信國際有限公司","新北市新莊區中正路657-5號8樓","GMP1169","放射科病患用支架","Y","2018-04-30"
"磊信國際有限公司","新北市新莊區中正路657-5號8樓","GMP1169","放射線造影頭部固定器","Y","2018-04-30"
"長暙有限公司","台中市烏日區慶光路79-17號","GMP1168","滅菌包","Y","2018-04-30"
"台灣義鼎醫研股份有限公司","新北市土城區承天路4巷2-1號2樓","GMP1174","動力式熱敷墊","Y","2018-05-21"
"精國醫療器材有限公司","新北市蘆洲區國道路二段68號2樓","GMP1166","非侵入性血壓量測系統","Y","2018-04-29"
"精國醫療器材有限公司","新北市蘆洲區國道路二段68號2樓","GMP1166","血壓壓脈帶","Y","2018-04-29"
"鉅邦醫材股份有限公司","彰化縣田中鎮沙崙里新工二路168號","GMP1010","呼氣末端正壓之呼吸裝置","Y","2017-12-23"
"協記精密工業股份有限公司霧峰廠","台中市霧峰區林森路947號","GMP1175","非侵入性血壓測量系統","Y","2018-05-25"
"利衛股份有限公司","桃園市觀音區草漯里大同二路22號","GMP1170","醫療用衣物(滅菌)","Y","2018-05-05"
"利衛股份有限公司","桃園市觀音區草漯里大同二路22號","GMP1170","體內用不被吸收紗布(滅菌)","Y","2018-05-05"
"利衛股份有限公司","桃園市觀音區草漯里大同二路22號","GMP1170","外科用覆蓋巾及其附件","Y","2018-05-05"
"利衛股份有限公司","桃園市觀音區草漯里大同二路22號","GMP1170","綿墊","Y","2018-05-05"
"利衛股份有限公司","桃園市觀音區草漯里大同二路22號","GMP1170","滅菌組合包(紗布、棉棒、治療巾、洞巾、手術衣、醫療用膠帶)","Y","2018-05-05"
"利衛股份有限公司","桃園市觀音區草漯里大同二路22號","GMP1170","醫療用吸收纖維(滅菌)","Y","2018-05-05"
"利衛股份有限公司","桃園市觀音區草漯里大同二路22號","GMP1170","氣管支氣管抽吸導管(滅菌)","Y","2018-05-05"
"利衛股份有限公司","桃園市觀音區草漯里大同二路22號","GMP1170","尿液收集器及其附件(滅菌)","Y","2018-05-05"
"利衛股份有限公司","桃園市觀音區草漯里大同二路22號","GMP1170","吸收性尖端塗藥器(滅菌)","Y","2018-05-05"
"世亨科技股份有限公司","新北市新莊區福營路145巷25號","GMP1091","負壓傷口敷料及其附件(滅菌)","Y","2018-05-11"
"柏登生醫股份有限公司","臺北市內湖區內湖路一段322號3樓","GMP1176","牙槽修復材料","Y","2018-05-26"
"台灣先進手術醫療器材股份有限公司","新竹縣竹北市新竹科學工業園區生醫路二段12號3樓","GMP1173","抛棄式氣腹針(滅菌)","Y","2018-05-26"
"越聖儀器廠股份有限公司員林廠","彰化縣員林鎮三多里中山路二段556巷36號","GMP1165","一次性手控電刀筆","Y","2018-05-01"
"越聖儀器廠股份有限公司員林廠","彰化縣員林鎮三多里中山路二段556巷36號","GMP1165","電刀清潔片","Y","2018-05-01"
"越聖儀器廠股份有限公司員林廠","彰化縣員林鎮三多里中山路二段556巷36號","GMP1165","一次性電刀筆匣","Y","2018-05-01"
"鴻君科技股份有限公司路科廠","南部科學工業園區高雄市路竹區路科一路12號","GMP1194","平滑或螺紋之金屬類骨固定物","Y","2019-01-29"
"鴻君科技股份有限公司路科廠","南部科學工業園區高雄市路竹區路科一路12號","GMP1194","椎弓螺釘系統","Y","2018-08-05"
"鴻君科技股份有限公司路科廠","南部科學工業園區高雄市路竹區路科一路12號","GMP1194","椎弓螺釘系統","Y","2019-01-29"
"鴻君科技股份有限公司路科廠","南部科學工業園區高雄市路竹區路科一路12號","GMP1194","椎弓螺釘系統","Y","2019-01-29"
"鴻君科技股份有限公司路科廠","南部科學工業園區高雄市路竹區路科一路12號","GMP1194","單一或多重之金屬類骨固定裝置","Y","2018-08-05"
"鴻君科技股份有限公司路科廠","南部科學工業園區高雄市路竹區路科一路12號","GMP1194","單一或多重之金屬類骨固定裝置","Y","2019-01-29"
"鴻君科技股份有限公司路科廠","南部科學工業園區高雄市路竹區路科一路12號","GMP1194","單一或多重之金屬類骨固定裝置","Y","2019-01-29"
"捷佳科技股份有限公司中和橋和廠","新北市中和區橋和路120號13樓之3","GMP1184","血紅素測試儀","Y","2018-06-21"
"捷佳科技股份有限公司中和橋和廠","新北市中和區橋和路120號13樓之3","GMP1184","血紅素測試片","Y","2018-06-21"
"磁量生技股份有限公司","新北市新店區中正路538巷7、12號3樓","GMP1196","Tau蛋白免疫磁減量檢測試劑","Y","2018-08-12"
"磁量生技股份有限公司","新北市新店區中正路538巷7、12號3樓","GMP1196","乙型澱粉樣蛋白1-40(Aβ1-40)免疫磁減量檢測試劑","Y","2018-08-12"
"磁量生技股份有限公司","新北市新店區中正路538巷7、12號3樓","GMP1196","乙型澱粉樣蛋白1-42(Aβ1-42)免疫磁減量檢測試劑","Y","2018-08-12"
"繁葵實業股份有限公司宜蘭廠","宜蘭縣五結鄉國民南路33-12號","GMP1198","四肢用壓縮套","Y","2018-08-13"
"州巧科技股份有限公司新竹廠","新竹縣湖口鄉鳳凰村光復路42號2樓","GMP1195","電動輪椅","Y","2018-08-12"
"清華電子股份有限公司","桃園市桃園區汴洲里鹽庫西街48號","GMP0860","切割及止血用電刀及其附件","Y","2018-09-09"
"台灣植體科技股份有限公司高科分公司","高雄市路竹區路科二路63號5樓","GMP0932","神經系統立體定位用器械","Y","2018-09-23"
"旭邦醫療器材有限公司","台中市后里區后里里泉州路4-30巷12號","GMP0679","硬式喉頭鏡(滅菌)","Y","2018-08-04"
"康健欣生化科技有限公司","新北市五股區五權七路52號3樓","GMP1200","疼痛舒緩用經皮神經電刺激器","Y","2018-09-09"
"康健欣生化科技有限公司","新北市五股區五權七路52號3樓","GMP1200","動力式肌肉刺激器","Y","2018-09-09"
"康健欣生化科技有限公司","新北市五股區五權七路52號3樓","GMP1200","紅外線燈","Y","2018-09-09"
"中外儀器股份有限公司五股廠","新北巿五股區五權八路16號","GMP1199","醫療用氣體流量計","Y","2018-09-14"
"中外儀器股份有限公司五股廠","新北巿五股區五權八路16號","GMP1199","醫療用負壓調節錶","Y","2018-09-14"
"杏力醫療器材生技股份有限公司南崗廠","南投縣南投市工業北六路3號","GMP1201","液體藥物給藥器(滅菌)","Y","2018-09-16"
"杏力醫療器材生技股份有限公司南崗廠","南投縣南投市工業北六路3號","GMP1201","液體藥物給藥器(滅菌)","Y","2018-09-16"
"雅登企業有限公司","新北市新莊區中正路657之2、657之3、657之5、657之6號6樓","GMP1197","蒸氣式消毒鍋","Y","2018-08-12"
"雅登企業有限公司","新北市新莊區中正路657之2、657之3、657之5、657之6號6樓","GMP1197","光固化機","Y","2018-08-12"
"雅登企業有限公司","新北市新莊區中正路657之2、657之3、657之5、657之6號6樓","GMP1197","牙齒漂白光熱源機","Y","2018-08-12"
"雅登企業有限公司","新北市新莊區中正路657之2、657之3、657之5、657之6號6樓","GMP1197","醫用牙科臭氧產生器","Y","2018-08-12"
"雅登企業有限公司","新北市新莊區中正路657之2、657之3、657之5、657之6號6樓","GMP1197","潔牙噴砂機","Y","2018-08-12"
"雅登企業有限公司","新北市新莊區中正路657之2、657之3、657之5、657之6號6樓","GMP1197","根管充填器","Y","2018-08-12"
"喬聯科技股份有限公司南崁二廠","桃園市蘆竹區內厝村五福一路92巷16號1樓","GMP1212","採血針(滅菌)","Y","2018-10-04"
"杏合生醫股份有限公司台中一廠","台中市梧棲區中港加工出口區經三路39號","GMP1171","血液透析系統及其附件(滅菌)","Y","2018-05-01"
"杏合生醫股份有限公司台中一廠","台中市梧棲區中港加工出口區經三路39號","GMP1171","血液透析系統及其附件(滅菌)","Y","2018-05-01"
