製造廠名稱,製造廠地址,登錄號碼,登錄品項,國別,藥商名稱,是否在3年有效期間內,有效期限
"NovaTec Immundiagnostica GmbH","Waldstraße 23 A 6, 63128 Dietzenbach , Germany","QSD2696","Treponema pallidum treponemal test reagents","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraβe 23 A 6, D-63128, Germany","QSD2696","Trichinella spiralis serological reagents","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraße 23 A 6, 63128 Dietzenbach , Germany","QSD2696","Trichinella spiralis serological reagents","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraβe 23 A 6, D-63128, Germany","QSD2696","Dengue virus serological reagents","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraße 23 A 6, 63128 Dietzenbach , Germany","QSD2696","Dengue virus serological reagents","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraβe 23 A 6, D-63128, Germany","QSD2696","Rubeola (measles) virus serological reagents","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraße 23 A 6, 63128 Dietzenbach , Germany","QSD2696","Rubeola (measles) virus serological reagents","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraβe 23 A 6, D-63128, Germany","QSD2696","Borrelia burgdorferi serological reagents","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraße 23 A 6, 63128 Dietzenbach , Germany","QSD2696","Borrelia burgdorferi serological reagents","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraβe 23 A 6, D-63128, Germany","QSD2696","Candida albicans serological reagents","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraße 23 A 6, 63128 Dietzenbach , Germany","QSD2696","Candida albicans serological reagents","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraβe 23 A 6, D-63128, Germany","QSD2696","Leishmania serological reagents","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraße 23 A 6, 63128 Dietzenbach , Germany","QSD2696","Leishmania serological reagents","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraβe 23 A 6, D-63128, Germany","QSD2696","Microorganism differentiation and identification device","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"NovaTec Immundiagnostica GmbH","Waldstraße 23 A 6, 63128 Dietzenbach , Germany","QSD2696","Microorganism differentiation and identification device","DE","太暘生物科技股份有限公司","Y","2018-02-13"
"Omega Diagnostics Ltd.","Omega House, Hillfoots Business Village, Alva, Clackmannanshire, Scotland, FK12 5DQ, United Kingdom","QSD2697","Treponema Pallidum Nontreponemal Test Reagents(Carbon Antigen Reagent)","GB","醫誠有限公司","Y","2018-02-14"
"Omega Diagnostics Ltd.","Omega House, Hillfoots Business Village, Alva, Clackmannanshire, Scotland, FK12 5DQ, United Kingdom","QSD2697","Rheumatoid Factor Immunological Test System[Rheumatoid Factor(RF) Kit]","GB","醫誠有限公司","Y","2018-02-14"
"Omega Diagnostics Ltd.","Omega House, Hillfoots Business Village, Alva, Clackmannanshire, Scotland, FK12 5DQ, United Kingdom","QSD2697","Systemic Lupus Erythematosus Immunlogical Test System[Systemic Lupus Erythematosus(SLE) Kit]","GB","醫誠有限公司","Y","2018-02-14"
"Omega Diagnostics Ltd.","Omega House, Hillfoots Business Village, Alva, Clackmannanshire, Scotland, FK12 5DQ, United Kingdom","QSD2697","C-Reactive Protein Immunological Test System[C-Reactive Protein(CRP) Kit]","GB","醫誠有限公司","Y","2018-02-14"
"Omega Diagnostics Ltd.","Omega House, Hillfoots Business Village, Alva, Clackmannanshire, Scotland, FK12 5DQ, United Kingdom","QSD2697","Treponema Pallidum Nontreponemal Test Reagents[Rapid Plasma Reagin (RPR) Kit]","GB","醫誠有限公司","Y","2018-02-14"
"Omega Diagnostics Ltd.","Omega House, Hillfoots Business Village, Alva, Clackmannanshire, Scotland, FK12 5DQ, United Kingdom","QSD2697","Treponema Pallidum Treponemal Test Reagents (Treponema Pallidum Hemagglutination Kit)","GB","醫誠有限公司","Y","2018-02-14"
"Omega Diagnostics Ltd.","Omega House, Hillfoots Business Village, Alva, Clackmannanshire, Scotland, FK12 5DQ, United Kingdom","QSD2697","VISTECT Syphilis","GB","醫誠有限公司","Y","2018-02-14"
"Varian Medical Systems, Inc.","911 Hansen Way Palo Alto. CA94304, U.S.A.","QSD2699","Medical Charged-Particle Radiation Therapy System等乙項。","US","洽泰企業有限公司","Y","2018-03-01"
"Siemens AG, Medical Solutions, Business Unit AX","Siemensstraβe 1, DE-91301 Forchheim, Germany","QSD2702","Angiographic x-ray system","DE","西門子股份有限公司","Y","2018-02-20"
"Siemens AG, Medical Solutions, Business Unit AX","Siemensstraβe 1, DE-91301 Forchheim, Germany","QSD2702","Angiographic x-ray system","DE","西門子醫療設備股份有限公司","Y","2018-02-20"
"Siemens Healthcare GmbH, Advanced Therapies","Siemensstraβe 1, DE-91301 Forchheim, Germany","QSD2702","Angiographic x-ray system","DE","西門子醫療設備股份有限公司","Y","2018-02-20"
"Siemens Healthcare GmbH, Advanced Therapies","Siemensstraβe 1, 91301 Forchheim, Germany","QSD2702","Angiographic x-ray system","DE","西門子醫療設備股份有限公司","Y","2021-02-20"
"Siemens AG, Medical Solutions, Business Unit AX","Siemensstraβe 1, DE-91301 Forchheim, Germany","QSD2702","Programmable diagnostic computer","DE","西門子股份有限公司","Y","2018-02-20"
"Siemens AG, Medical Solutions, Business Unit AX","Siemensstraβe 1, DE-91301 Forchheim, Germany","QSD2702","Programmable diagnostic computer","DE","西門子醫療設備股份有限公司","Y","2018-02-20"
"Siemens Healthcare GmbH, Advanced Therapies","Siemensstraβe 1, DE-91301 Forchheim, Germany","QSD2702","Programmable diagnostic computer","DE","西門子醫療設備股份有限公司","Y","2018-02-20"
"Siemens Healthcare GmbH, Advanced Therapies","Siemensstraβe 1, 91301 Forchheim, Germany","QSD2702","Programmable diagnostic computer","DE","西門子醫療設備股份有限公司","Y","2021-02-20"
"Siemens AG, Medical Solutions, Business Unit AX","Siemensstraβe 1, DE-91301 Forchheim, Germany","QSD2702","Picture archiving and communication system","DE","西門子股份有限公司","Y","2018-02-20"
"Siemens AG, Medical Solutions, Business Unit AX","Siemensstraβe 1, DE-91301 Forchheim, Germany","QSD2702","Picture archiving and communication system","DE","西門子醫療設備股份有限公司","Y","2018-02-20"
"Siemens Healthcare GmbH, Advanced Therapies","Siemensstraβe 1, DE-91301 Forchheim, Germany","QSD2702","Picture archiving and communication system","DE","西門子醫療設備股份有限公司","Y","2018-02-20"
"Siemens Healthcare GmbH, Advanced Therapies","Siemensstraβe 1, 91301 Forchheim, Germany","QSD2702","Picture archiving and communication system","DE","西門子醫療設備股份有限公司","Y","2021-02-20"
"Smiths Medical ASD, Inc.","1265 Grey Fox Road, St. Paul, MN 55112, U.S.A.","QSD2706","Catheter Introducer","US","潔昇興業股份有限公司","Y","2018-02-16"
"Smiths Medical ASD, Inc.","1265 Grey Fox Road, St. Paul, MN 55112, U.S.A.","QSD2706","Catheter Introducer","US","耀瑞有限公司","Y","2018-02-16"
"Smiths Medical ASD, Inc.","1265 Grey Fox Road, St. Paul, MN 55112, U.S.A.","QSD2706","Cardiovascular Surgical Instruments(Sterile)","US","潔昇興業股份有限公司","Y","2018-02-16"
"Smiths Medical ASD, Inc.","1265 Grey Fox Road, St. Paul, MN 55112, U.S.A.","QSD2706","Cardiovascular Surgical Instruments(Sterile)","US","耀瑞有限公司","Y","2018-02-16"
"Smiths Medical ASD, Inc.","1265 Grey Fox Road, St. Paul, MN 55112, U.S.A.","QSD2706","Infusion Pump【Including Communication Systems and Accessories, External Power Source (EPS) System and Accessories】","US","潔昇興業股份有限公司","Y","2018-02-16"
"Smiths Medical ASD, Inc.","1265 Grey Fox Road, St. Paul, MN 55112, U.S.A.","QSD2706","Infusion Pump【Including Communication Systems and Accessories, External Power Source (EPS) System and Accessories】","US","耀瑞有限公司","Y","2018-02-16"
"Smiths Medical ASD, Inc.","1265 Grey Fox Road, St. Paul, MN 55112, U.S.A.","QSD2706","Subcutaneous, Implanted, Intravascular Infusion Port and Catheter","US","潔昇興業股份有限公司","Y","2018-02-16"
"Smiths Medical ASD, Inc.","1265 Grey Fox Road, St. Paul, MN 55112, U.S.A.","QSD2706","Subcutaneous, Implanted, Intravascular Infusion Port and Catheter","US","耀瑞有限公司","Y","2018-02-16"
"Smiths Medical ASD, Inc.","1265 Grey Fox Road, St. Paul, MN 55112, U.S.A.","QSD2706","Port & Catheter, Implanted, Subcutaneous, Intraperitoneal","US","潔昇興業股份有限公司","Y","2018-02-16"
"Smiths Medical ASD, Inc.","1265 Grey Fox Road, St. Paul, MN 55112, U.S.A.","QSD2706","Port & Catheter, Implanted, Subcutaneous, Intraperitoneal","US","耀瑞有限公司","Y","2018-02-16"
"Smiths Medical ASD, Inc.","1265 Grey Fox Road, St. Paul, MN 55112, U.S.A.","QSD2706","Catheter, Percutaneous, Long Term, Intraspinal","US","潔昇興業股份有限公司","Y","2018-02-16"
"Smiths Medical ASD, Inc.","1265 Grey Fox Road, St. Paul, MN 55112, U.S.A.","QSD2706","Catheter, Percutaneous, Long Term, Intraspinal","US","耀瑞有限公司","Y","2018-02-16"
"Tomey Corporation","2-11-33, Noritakeshinmachi, Nishi-Ku, Nagoya-Shi, Aichi, 451-0051, Japan","QSD2711","Ultrasonic Pulsed Echo Imaging System","JP","台灣光學有限公司","Y","2018-02-21"
"Tomey Corporation","2-11-33, Noritakeshinmachi, Nishi-Ku, Nagoya-Shi, Aichi, 451-0051, Japan","QSD2711","Ophthalmic Refractometer","JP","台灣光學有限公司","Y","2018-02-21"
"Tomey Corporation","2-11-33, Noritakeshinmachi, Nishi-Ku, Nagoya-Shi, Aichi, 451-0051, Japan","QSD2711","Keratoscope","JP","台灣光學有限公司","Y","2018-02-21"
"Tomey Corporation","2-11-33, Noritakeshinmachi, Nishi-Ku, Nagoya-Shi, Aichi, 451-0051, Japan","QSD2711","Diagnostic Ultrasonic Transducer","JP","台灣光學有限公司","Y","2018-02-21"
"Tomey Corporation","2-11-33, Noritakeshinmachi, Nishi-Ku, Nagoya-Shi, Aichi, 451-0051, Japan","QSD2711","Ophthalmic Camera","JP","台灣光學有限公司","Y","2018-02-21"
"Tomey Corporation","2-11-33, Noritakeshinmachi, Nishi-Ku, Nagoya-Shi, Aichi, 451-0051, Japan","QSD2711","Tonometer","JP","台灣光學有限公司","Y","2018-02-21"
"Tomey Corporation","2-11-33, Noritakeshinmachi, Nishi-Ku, Nagoya-Shi, Aichi, 451-0051, Japan","QSD2711","Ophthalmoscope","JP","台灣光學有限公司","Y","2018-02-21"
"Tomey Corporation","2-11-33, Noritakeshinmachi, Nishi-Ku, Nagoya-Shi, Aichi, 451-0051, Japan","QSD2711","AC-Powered Slitlamp Biomicroscope","JP","台灣光學有限公司","Y","2018-02-21"
"Ulrich GmbH & Co. KG","Buchbrunnenweg 12, 89081 Ulm, Germany","QSD2716","Orthopedic Manual Surgical Instrument","DE","冠亞生技股份有限公司","Y","2018-12-26"
"Ulrich GmbH & Co. KG","Buchbrunnenweg 12, 89081 Ulm, Germany","QSD2716","Spinal Intervertebral Body Fixation Orthosis","DE","冠亞生技股份有限公司","Y","2018-12-26"
"Ulrich GmbH & Co. KG","Buchbrunnenweg 12, 89081 Ulm, Germany","QSD2716","Pedicle Screw Spinal System","DE","冠亞生技股份有限公司","Y","2018-12-26"
"Ulrich GmbH & Co. KG","Buchbrunnenweg 12, 89081 Ulm, Germany","QSD2716","Polymethylmethacrylate (PMMA) Bone Cement","DE","冠亞生技股份有限公司","Y","2018-12-26"
"Biotronik SE & Co. KG","Woermannkehre 1, 12359 Berlin, Germany","QSD2727","Arrhythmia Detector and Alarm","DE","台灣百多力有限公司","Y","2018-02-22"
"Biotronik SE & Co. KG","Woermannkehre 1, 12359 Berlin, Germany","QSD2727","Diagnostic Intravascular Catheter","DE","台灣百多力有限公司","Y","2018-02-22"
"Biotronik SE & Co. KG","Woermannkehre 1, 12359 Berlin, Germany","QSD2727","Percutaneous Catheter","DE","台灣百多力有限公司","Y","2018-02-22"
"Biotronik SE & Co. KG","Woermannkehre 1, 12359 Berlin, Germany","QSD2727","Vessel Dilator for Percutaneous Catheterization","DE","台灣百多力有限公司","Y","2018-02-22"
"Biotronik SE & Co. KG","Woermannkehre 1, 12359 Berlin, Germany","QSD2727","Catheter Guide Wire","DE","台灣百多力有限公司","Y","2018-02-22"
"Biotronik SE & Co. KG","Woermannkehre 1, 12359 Berlin, Germany","QSD2727","Catheter Introducer","DE","台灣百多力有限公司","Y","2018-02-22"
"Biotronik SE & Co. KG","Woermannkehre 1, 12359 Berlin, Germany","QSD2727","Catheter Stylet","DE","台灣百多力有限公司","Y","2018-02-22"
"Biotronik SE & Co. KG","Woermannkehre 1, 12359 Berlin, Germany","QSD2727","Patient Transducer and Electrode Cable (Including Connector)","DE","台灣百多力有限公司","Y","2018-02-22"
"Biotronik SE & Co. KG","Woermannkehre 1, 12359 Berlin, Germany","QSD2727","Radiofrequency Physiological Signal Transmitter and Receiver","DE","台灣百多力有限公司","Y","2018-02-22"
