年度,病因物質判明合計,細菌性中毒小計,腸炎弧菌,沙門氏桿菌,病原性大腸桿菌,金黃色葡萄球菌,仙人掌桿菌,肉毒桿菌,其它,化學物質,天然毒,諾羅病毒,病因物質不明合計
"70年至74年","137","119","85","11","17","17","4","1","6","8","10","","163"
"75年","27","21","7","6","4","4","3","2","0","2","4","","35"
"76年","43","40","16","3","11","11","11","2","1","0","3","","41"
"77年","54","48","16","3","4","22","12","0","0","1","5","","38"
"78年","41","40","18","0","2","20","6","0","0","1","0","","43"
"79年","35","31","2","0","2","22","8","2","0","0","4","","22"
"80年","47","42","12","3","0","23","13","0","1","3","2","","46"
"81年","55","49","20","3","4","18","15","0","0","2","4","","33"
"82年","57","54","25","0","0","24","12","0","2","2","1","","20"
"83年","68","62","35","5","2","13","12","0","0","1","5","","34"
"84年","79","75","46","8","7","12","11","0","4","2","2","","44"
"85年","128","122","105","9","1","7","7","0","1","0","6","","50"
"86年","180","177","160","4","0","14","15","0","0","0","3","","54"
"87年","117","114","102","5","0","3","12","0","0","0","3","","63"
"88年","96","91","75","7","0","6","12","0","0","1","4","","54"
"89年","126","116","84","9","1","22","5","0","0","2","8","","82"
"90年","86","78","52","9","0","9","8","0","3","1","7","","92"
"91年","124","111","86","6","0","18","4","0","1","2","11","","138"
"92年","113","105","82","11","0","7","11","0","0","3","5","","138"
"93年","96","81","64","8","0","9","7","0","0","4","11","","178"
"94年","96","88","62","7","0","12","9","0","1","2","6","","151"
"95年","97","92","58","8","2","18","10","1","1","2","3","","168"
"96年","89","85","38","11","1","23","7","8","0","1","3","","159"
"97年","102","98","52","14","1","14","12","6","4","1","3","","170"
"98年","131","125","61","22","10","30","11","1","6","3","3","","220"
"99年","207","170","60","27","11","41","46","8","5","2","11","35","296"
"100年","160","128","52","11","16","27","36","3","1","1","13","26","266"
"101年","152","106","32","16","5","33","23","0","2","2","11","37","375"
"102年","137","111","37","21","9","31","14","1","4","1","8","17","272"
"103年","186","156","66","32","7","36","20","0","4","1","14","17","294"
"104年","135","72","16","16","4","27","9","2","3","0","5","64","497"
"總計","3201","2807","1626","295","121","573","385","37","50","51","177","196","4236"
