年度,原因食品判明合計,水產品,水產加工品,肉類及其加工品,蛋類,乳類,穀類,蔬果類,糕餅糖果類,複合調理食品,其他,原因食品不明合計
"70年","10","1","1","1","0","0","0","0","6","0","1","25"
"71年","17","5","1","2","1","0","0","0","3","5","0","34"
"72年","15","5","1","1","0","0","1","0","0","7","0","66"
"73年","13","6","0","2","0","0","0","0","0","4","2","40"
"74年","17","6","1","7","2","0","1","1","0","3","0","63"
"75年","17","10","0","2","0","0","2","3","1","3","0","45"
"76年","36","15","0","9","1","0","8","3","0","9","3","48"
"77年","45","14","0","4","1","0","4","6","3","15","3","47"
"78年","28","4","0","3","1","1","2","4","1","13","2","56"
"79年","32","7","2","2","2","0","6","5","3","8","0","25"
"80年","34","5","2","7","1","0","7","5","6","3","1","59"
"81年","37","6","1","9","2","0","4","3","6","7","1","51"
"82年","31","5","0","6","0","0","2","4","3","19","0","46"
"83年","37","8","2","3","0","0","2","4","2","20","0","65"
"84年","39","7","2","5","1","0","5","2","3","23","3","84"
"85年","36","19","1","4","1","0","1","3","1","15","1","142"
"86年","47","12","3","7","2","1","1","0","3","21","0","187"
"87年","21","3","1","0","1","0","2","1","2","10","1","159"
"88年","18","6","0","3","0","0","1","1","0","6","1","132"
"89年","29","8","0","2","0","0","2","1","3","13","0","179"
"90年","21","5","0","2","0","0","0","2","3","7","2","157"
"91年","38","15","0","2","0","0","3","1","0","17","1","224"
"92年","27","7","1","0","0","0","4","1","0","14","1","224"
"93年","32","6","0","0","0","0","0","8","2","16","1","242"
"94年","34","7","0","5","0","0","2","2","0","18","0","213"
"95年","39","5","2","7","0","0","4","2","1","20","0","226"
"96年","30","4","0","5","1","0","6","1","0","13","0","218"
"97年","36","10","0","2","1","0","2","0","2","18","1","236"
"98年","55","4","0","2","0","0","3","0","4","42","1","296"
"99年","83","11","1","1","0","1","5","5","4","56","0","420"
"100年","111","20","3","4","1","0","2","7","1","73","0","315"
"101年","104","18","1","7","1","0","2","7","2","65","1","423"
"102年","71","10","0","6","2","0","3","6","1","42","1","338"
"103年","99","17","1","6","6","0","2","4","3","59","1","381"
"104年","81","16","1","1","2","0","1","6","1","50","3","551"
"總計","1420","307","28","129","30","3","90","98","70","714","32","6017"
