年度,自宅,供膳之營業場所,學校,辦公場所,醫療場所,運輸工具,部隊,野外,攤販,外燴,監獄,其他,總計
"70年","20","4","6","4","0","0","1","0","0","0","0","0","35"
"71年","25","11","3","6","0","0","1","2","1","0","0","2","51"
"72年","36","19","12","8","0","0","1","2","1","0","0","2","81"
"73年","23","11","10","6","0","0","1","0","0","0","0","2","53"
"74年","37","3","10","22","0","0","4","1","1","0","0","2","80"
"75年","33","10","7","11","0","0","0","0","0","0","0","1","62"
"76年","39","22","13","7","0","0","0","0","0","0","0","3","84"
"77年","40","10","23","12","0","1","2","3","0","0","0","1","92"
"78年","15","19","23","14","1","2","1","1","2","6","0","0","84"
"79年","18","7","23","5","0","1","0","0","1","2","0","0","57"
"80年","31","13","21","8","1","4","0","0","1","9","0","5","93"
"81年","16","19","25","10","1","1","2","1","0","9","0","4","88"
"82年","17","15","19","12","1","1","1","0","0","10","0","1","77"
"83年","16","25","30","15","1","0","4","1","2","9","0","0","102"
"84年","14","26","22","21","1","0","5","0","2","26","0","6","123"
"85年","14","61","27","24","1","1","3","2","4","35","0","6","178"
"86年","20","89","26","37","5","3","2","2","3","45","0","2","234"
"87年","14","54","39","18","2","1","4","2","3","41","0","2","180"
"88年","18","47","30","11","1","2","4","0","0","36","0","2","150"
"89年","17","71","35","29","3","4","3","4","2","32","0","9","208"
"90年","22","57","36","21","0","6","3","1","0","26","0","6","178"
"91年","30","106","51","24","0","0","6","2","6","29","0","8","262"
"92年","33","105","51","15","1","1","4","2","7","23","0","9","251"
"93年","31","127","56","27","0","4","4","0","5","14","1","7","274"
"94年","33","102","54","19","1","1","4","1","8","15","0","13","247"
"95年","41","117","47","24","3","2","11","0","7","15","0","1","265"
"96年","39","109","51","21","0","1","2","2","5","10","2","7","248"
"97年","39","125","48","22","3","0","1","1","3","20","0","11","272"
"98年","57","157","79","14","3","2","4","2","9","17","1","6","351"
"99年","65","246","116","22","3","3","2","1","19","14","2","10","503"
"100年","44","231","78","11","3","1","7","1","23","14","1","12","426"
"101年","57","297","89","25","3","0","4","4","33","7","1","7","527"
"102年","55","217","75","12","5","1","4","0","23","12","1","5","409"
"103年","59","256","81","29","6","0","3","1","29","7","2","7","480"
"104年","70","393","93","14","7","3","6","3","23","9","2","9","631"
"總計","1138","3181","1409","580","56","46","104","42","223","492","13","168","7437"
