年度,自宅,供膳之營業場所,學校,辦公場所,醫療場所,食品工廠,攤販,販賣地點,部隊,原料食品採集場所,野外,外燴,監獄,其他,不明場所,總計
"79年","3","13","5","0","0","6","0","2","0","0","0","2","0","0","26","57"
"80年","9","23","3","2","0","4","3","10","0","1","0","9","0","0","34","93"
"81年","7","27","7","2","1","7","4","4","0","2","0","9","0","0","20","88"
"82年","9","43","8","2","0","2","0","1","1","0","0","10","0","0","1","77"
"83年","7","59","8","4","0","1","1","2","3","1","2","9","0","0","5","102"
"84年","4","39","5","8","1","10","4","2","4","0","0","26","0","0","20","123"
"85年","9","78","5","5","0","15","5","3","5","0","0","35","0","0","21","178"
"86年","11","128","9","10","2","17","2","1","1","0","0","45","0","0","9","234"
"87年","7","76","19","4","0","18","5","1","4","0","0","41","0","0","6","180"
"88年","11","57","13","5","0","11","2","8","3","0","0","36","0","0","4","150"
"89年","8","85","11","18","1","17","5","16","2","0","0","32","0","0","13","208"
"90年","13","67","7","8","0","28","2","11","3","0","0","27","0","0","12","178"
"91年","12","125","19","7","0","27","9","19","5","0","0","29","0","0","10","262"
"92年","19","125","11","0","0","33","10","9","3","0","0","30","0","0","11","251"
"93年","23","146","27","7","0","26","6","6","3","1","0","14","1","2","13","274"
"94年","20","79","10","5","1","16","6","8","2","0","0","17","0","6","77","247"
"95年","18","78","4","3","0","17","5","7","9","0","0","14","0","5","106","265"
"96年","19","105","11","2","0","10","8","7","2","0","0","7","2","3","72","248"
"97年","19","102","10","4","3","15","4","9","0","0","0","22","0","3","81","272"
"98年","24","176","22","3","2","36","14","19","5","1","0","17","0","6","26","351"
"99年","8","35","15","1","0","16","3","0","0","0","0","4","1","3","417","503"
"100年","6","49","12","1","0","24","4","3","3","1","0","11","1","2","309","426"
"101年","9","60","15","5","1","16","4","0","0","3","0","3","0","3","408","527"
"102年","11","56","5","0","3","15","8","1","1","2","0","7","0","1","299","409"
"103年","9","86","5","6","2","14","7","1","2","4","0","4","2","2","336","480"
"104年","4","57","9","1","4","8","1","0","2","0","0","4","1","3","538","632"
"總計","296","1961","270","113","21","403","122","148","63","16","2","462","8","39","2848","6758"
