核備函字號,類別,中文名稱,英文名稱,同一配方品牌,發證日期,有效日期,申請商名稱,申請商電話,申請商地址,劑型,包裝規格,成分,產地,簽審文件編號
"0970048782","嬰兒配方食品","貝比卡兒嬰兒牛奶粉","BABECARE COW INFANT FORMULA","","2009-02-04","2019-02-04","友華生技醫藥股份有限公司","02-27554881","台北市大安區和安里復興南路1段368號7樓","粉劑","400.00000公克;900.00000公克","COW MILK SOLIDS;LACTOSE;TRISODIUM CITRATE DIHYDRATE;HIGH OLEIC SUNFLOWER OIL;RBD SOYABEAN OIL;CANOLA OIL;COCONUT OIL;SUNFLOWER OIL;MALTODEXTRIN;WHEY PROTEIN CONCENTRATE;CALCIUM HYDROXIDE;TRI-POTASSIUM CITRATE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;FERROUS SULPHATE;ZINE SULPHATE (35.5% ZN);SODIUM SELENITE;COPPER SULPHATE;MANGANESE SULPHATE MONOHYDRATE;POTASSIUM IODIDE;ASCORBIC ACID;MESO INOSITOL;DL-ALPHA TOCOPHERYL ACETATE , 50%;VIT A (RETINYL ACETATE);NIACINAMIDE;CHOLECALCIFEROL;CALCIUM D-PANTOTHENATE;TOCOPHEROLS CONCENTRATE, MIXED;CYANOCOBALAMINE 100%(VIT B12);PHYTONADIONE(VITAMIN K1, 5%);THIAMINE HYDROCHLORIDE;PYRIDOXINE HYDROCHLORIDE;RIBOFLAVIN;FOLIC ACID;BIOTIN;CHOLINE CHLORIDE;TAURINE;L-CARNITINE;MONO-AND DIGLYCERIDES;CITRIC ACID","紐西蘭","DHD09700487824"
"0980401610","較大嬰兒配方輔助食品","卡洛塔妮較大嬰兒新配方奶粉","KARIHOME COW FOLLOW-ON FORMULA","","2009-02-13","2019-02-13","友華生技醫藥股份有限公司","02-27554881","台北市大安區和安里復興南路1段368號7樓","粉劑","900.00000公克","COW MILK SOLIDS;LACTOSE;WHEY PROTEIN,(80%);HIGH OLEIC SUNFLOWER OIL;RBD SOYABEAN OIL;CANOLA OIL;COCONUT OIL;SUNFLOWER OIL;MALTODEXTRIN;TRI-SODIUM CITRATE;CALCIUM HYDROXIDE;TRI-POTASSIUM CITRATE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;FERROUS SULPHATE;ZINC SULPHATE;SODIUM SELENITE;COPPER SULPHATE;MANGANESE SULPHATE MONOHYDRATE;POTASSIUM IODIDE;ASCORBIC ACID;MESO INOSITOL;DL-ALPHA TOCOPHERYL ACETATE , 50%;VIT A (RETINYL ACETATE);NIACINAMIDE;CHOLECALCIFEROL 1 000 000 IU/g(VIT D3);CALCIUM D-PANTOTHENATE;TOCOPHEROLS CONCENTRATE, MIXED;CYANOCOBALAMINE 100%(VIT B12);PHYTONADIONE(VITAMIN K1, 5%);THIAMINE HYDROCHLORIDE;PYRIDOXINE HYDROCHLORIDE;RIBOFLAVIN;FOLIC ACID;BIOTIN;CHOLINE CHLORIDE;TAURINE;L-CARNITINE;MONO-AND DIGLYCERIDES;CITRIC ACID","紐西蘭","DHD09804016108"
"0980401611","嬰兒配方食品","卡洛塔妮育嬰新配方奶粉","KARIHOME COW INFANT FORMULA","","2009-02-13","2019-02-13","友華生技醫藥股份有限公司","02-27554881","台北市大安區和安里復興南路1段368號7樓","粉劑","400.00000公克;900.00000公克","COW MILK SOLIDS;LACTOSE;TRISODIUM CITRATE DIHYDRATE;HIGH OLEIC SUNFLOWER OIL;RBD SOYABEAN OIL;CANOLA OIL;COCONUT OIL;SUNFLOWER OIL;MALTODEXTRIN;WHEY PROTEIN CONCENTRATE;CALCIUM HYDROXIDE;TRI-POTASSIUM CITRATE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;FERROUS SULPHATE;ZINE SULPHATE (35.5% ZN);SODIUM SELENITE;COPPER SULPHATE;MANGANESE SULPHATE MONOHYDRATE;POTASSIUM IODIDE;ASCORBIC ACID;MESO INOSITOL;DL-ALPHA TOCOPHERYL ACETATE , 50%;VIT A (RETINYL ACETATE);NIACINAMIDE;CHOLECALCIFEROL;CALCIUM D-PANTOTHENATE;TOCOPHEROLS CONCENTRATE, MIXED;CYANOCOBALAMINE 100%(VIT B12);PHYTONADIONE(VITAMIN K1, 5%);THIAMINE HYDROCHLORIDE;PYRIDOXINE HYDROCHLORIDE;RIBOFLAVIN;FOLIC ACID;BIOTIN;CHOLINE CHLORIDE;TAURINE;L-CARNITINE;MONO-AND DIGLYCERIDES;CITRIC ACID","紐西蘭","DHD09804016119"
"0991301747","嬰兒配方食品","卡洛塔妮A3添加鐵質嬰兒羊奶粉","KARIHOME A3 GOAT INFANT FORMULA WITH IRON","貝比卡兒添加鐵質嬰兒羊奶粉","2010-06-01","2020-06-01","友華生技醫藥股份有限公司","02-27554881","台北市大安區和安里復興南路1段368號7樓","粉劑","400.00000公克;900.00000公克;800.00000公克","GOATS MILK;LACTOSE;VEGETAL OILS;CANOLA OIL;HIGH OLEIC SUNFLOWER OIL;SUNFLOWER OIL;OLIGOFRUCTOSE (DRY BASIS);MINERALS;CALCIUM HYDROXIDE;TRI-SODIUM CITRATE;FERROUS SULFATE;ZINC SULFATE;COPPER SULPHATE;MANGANESE SULPHATE;POTASSIUM IODIDE;SODIUM SELENITE;VITAMINS;ASCORBIC ACID;DL-ALPHA TOCOPHERYL ACETATE , 50%;NIACINAMIDE;RETINYL-ACETATE;CHOLECALCIFEROL 1 00 000 IU/g(VIT D3);CALCIUM PANTOTHENATE;TOCOPHEROLS CONCENTRATE, MIXED;CYANOCOBALAMIN;PHYTONADIONE 5% SD;THIAMINE HYDROCHLORIDE;RIBOFLAVIN;PYRIDOXINE HYDROCHLORIDE;FOLIC ACID;BIOTIN;CITRIC ACID;CHOLINE CHLORIDE;L-TRYPTOPHAN;LECITHIN;L-ISOLEUCINE;TAURINE;L-CARNITINE;MOISTURE","紐西蘭","DHD09913017477"
"1005047587","嬰兒配方食品","新安琪兒嬰兒奶粉-新配方","NEOANGELAC PLUS INFANT FORMULA","","2012-03-06","2022-03-06","端強實業股份有限公司","(02)7701-6888","台北市中山區松江路72號3樓","粉劑","400.00000公克;900.00000公克","DEMINERALIZED WHEY;PALM OIL;RAPESEED OIL;SOYA OIL;SKIMMED MILK;MALTODEXTRIN;TRICALCIUM PHOSPHATE;POTASSIUM CHLORIDE;MAGNESIUM CHLORIDE;TRISODIUM CITRATE DIHYDRATE;FERRIC PYROPHOSPHATE;POTASSIUM HYDROXIDE;CALCIUM CARBONATE;ZINC SULPHATE;SODIUM SELENITE;POTASSIUM IODIDE;COPPER SULPHATE;MANGANESE SULPHATE;ARACHIDONIC ACID (AA) FROM M ALPINA;FISH OIL ( CONTAINS DHA );LECITHIN;VITAMIN C (SODIUM ASCORBATE);NICOTINAMIDE;RETINOL PALMITATE;PHYLLOQUINONE;CALCIUM D-PANTOTHENATE;THIAMINE HYDROCHLORIDE (VIT B1);VITAMIN D3 (CHOLECALCIFEROL);VITAMIN B6 ( PYRIDOXINE HYDROCHLORIDE );VIT B2 RIBOFLAVIN;FOLIC ACID;BIOTIN;CYANOCOBALAMINE 100%(VIT B12);TAURINE;L-PHENYLALANINE;ANTIOXIDANT ASCORBYL PALMITATE;ANTIOXIDANT(MIXED TOCOPHEROLS);L-CARNITINE;L-TYROSINE;INOSITOL;CHOLINE CHLORIDE","法國","DHD0A050475870"
"1025013809","嬰兒配方食品","小維特嬰兒配方奶粉","VETTER INFANT MILK FORMULA","","2013-09-09","2018-09-09","權鋒國際股份有限公司","23451356","台北市忠孝東路五段410號9樓之3","粉劑","900.00000公克","DEMINERALISED WHEY POWDER;PALM OIL;COCONUT OIL;RAPESEED OIL;SUNFLOWER OIL;SKIMMED MILK POWDER;LACTOSE;半乳寡醣(Galactooligosaccharide);CALCIUM PHOSPHATE, DIBASIC;CALCIUM PHOSPHATE, TRIBASIC;POTASSIUM CITRATE;POTASSIUM CHLORIDE;CALCIUM CARBONATE;MAGNESIUM CHLORIDE;SODIUM CITRATE;SODIUM CHLORIDE;FERROUS SULPHATE;ZINC SULPHATE;COPPER SULPHATE;POTASSIUM IODIDE;MANGANESE SULPHATE;SODIUM SELENATE;WHEY PROTEIN CONCENTRATE;GLUCOSE SYRUP SOLIDS;REFINED EDIBLE FISH OIL (CONTAINS DHA);CITRIC ACID;ARACHIDONIC ACID (AA) FROM M ALPINA;ASCORBIC ACID;VIT B3(NICOTINAMIDE);ALPHA TOCOPHERYL ACETATE;CALCIUM PANTOTHENATE;VIT A (RETINYL ACETATE);RIBOFLAVIN;THIAMINE HYDROCHLORIDE;PYRIDOXIN HYDROCHLORIDE (VIT B6);FOLIC ACID;PHYLLOQUINONE;CHOLECALCIFEROL;BIOTIN;INOSITOL;TAURINE;CYTIDINE-5’-MONOPHOSPHORIC ACID;URIDINE 5’-MONOPHOSPHATE,DISODIUM SALT;ADENOSINE 5’-MONOPHOSPHATE;DISODIUM INOSINE-5-MONOPHOSPHATE;DISODIUM GUANOSINE-5-MONOPHOSPHATE;CARNITINE;BETA-CAROTENE","荷蘭","DHD0A250138093"
"1005037963","嬰兒配方食品","育樂嬰兒奶粉","YOULUCK INFANT MILK FORMULA","","2012-01-16","2022-01-16","權鋒國際股份有限公司","23451356","台北市忠孝東路五段410號9樓之3","粉劑","800.00000公克","DEMINERALIZED WHEY POWDER;PALM OIL;COCONUT OIL;SUNFLOWER OIL;SOYA OIL;SKIMMED MILK POWDER;LACTOSE;WHEY PROTEIN CONCENTRATE;GLUCOSE SYRUP SOLIDS;GALACTO-OLIGOSACCHARIDES;DICALCIUM PHOSPHATE;CALCIUM CARBONATE;CALCIUM CHLORIDE;POTASSIUM CITRATE;SODIUM CITRATE;MAGNESIUM CHLORIDE;POTASSIUM CHLORIDE;POTASSIUM IODIDE;FERROUS SULFATE;ZINC SULPHATE;COPPER SULPHATE;MANGANESE SULPHATE;SODIUM SELENITE;CITRIC ACID;VIT C (ASCORBIC ACID);CHOLINE CHLORIDE;TAURINE;MESO INOSITOL;L-CARNITINE;VIT E (DL-ALPHA-TOCOPHEROL);VIT B3(NICOTINAMIDE);D-CALCIUM PANTOTHENATE;VIT B1 THIAMINE HYDROCHLORIDE;VIT A (RETINYL ACETATE);VIT B6 PYRIDOXINE HYDROCHLORIDE;VIT B2 RIBOFLAVIN;VIT B9 FOLIC ACID;PHYLLOQUINONE 5%(VIT K1);VIT B8 D-BIOTINE;VITAMIN D (CHOLECALCIFEROL);CYANOCOBALAMINE 100%(VIT B12);ARACHIDONIC ACID;DHA(DOCOSAHEXAENOIC ACID);LACTOFERRIN;CYTIDINE 5’-MONOPHOSPHATE;DISODIUM URIDINE-5-MONOPHOSPHATE;ADENOSINE 5’-MONOPHOSPHATE;DISODIUM INOSINE-5-MONOPHOSPHATE;DISODIUM GUANOSINE-5-MONOPHOSPHATE","荷蘭","DHD0A050379639"
"1046078274","較大嬰兒配方輔助食品","優寶A＋較大嬰兒配方奶粉(新升級)","ENFAPRO A+ STAGE 2 FOLLOW-UP INFANT FORMULA POWDER","","2016-06-08","2021-06-08","美強生營養品股份有限公司","02-81725888","台北市松山區健康路156號5樓","粉劑","900.00000公克","WHEY PROTEIN CONCENTRATE;CORN SYRUP SOLIDS;LACTOSE;SKIMMED MILK POWDER;PALM OLEIN OIL;COCONUT OIL;SOYBEAN OIL;GALACTO-OLIGOSACCHARIDES;HIGH OLEIC SUNFLOWER OIL;POLYDEXTROSE;LECITHIN;CALCIUM CARBONATE;ARACHIDONIC ACID (ARA) FROM MORTIERELLA ALPINA;DOCOSAHEXAENOIC ACID (DHA) (FROM C.cohnii OIL);SODIUM ASCORBATE;CHOLINE CHLORIDE;POTASSIUM HYDROXIDE;MAGNESIUM PHOSPHATE;INOSITOL;FERROUS SULFATE;TAURINE;VITAMIN E (DL-ALPHA-TOCOPHERYL ACETATE);ZINC SULPHATE;CMP;VITAMIN A PALMITATE;ASCORBYL PALMITATE;ASCORBIC ACID;NIACINAMIDE;AMP;UMP;VITAMIN K1 ( PHYTONADIONE );VITAMIN D3 (CHOLECALCIFEROL);CALCIUM PANTOTHENATE;CUPRIC SULFATE;BIOTIN;GMP;VITAMIN B2 (RIBOFLAVIN);THIAMINE HYDROCHLORIDE;VITAMIN B6 (PYRIDOXINE HYDROCHLORIDE);MANGANESE SULFATE;MALTODEXTRIN;FOLIC ACID;SODIUM IODIDE;SODIUM SELENITE;VITAMIN B12 (CYANOCOBALAMIN)","荷蘭","DHD0A460782742"
"1025005379","特殊醫療用途嬰兒配方食品","S-26金愛兒樂-PDF早產兒出院後專用配方奶粉","S-26 SMA PDF GOLD","","2013-04-30","2019-12-01","台灣雀巢股份有限公司","02-27739910","台北市內湖區瑞光路399號8樓及8樓之1","粉劑","400.00000公克","REDUCED MINERALS WHEV;SKIMMED MILK POWDER;CORN SYRUP SOLIDS;OLEIC SUNFLOWER OIL;COCONUT OIL;SOYBEAN OIL;REFINED PALM OIL;LACTOSE;PREMIUM WHEY PROTEIN CONCENTRATE;MEDIUM CHAIN TRIGLYCERIDES;SOY LECITHIN;INOSITOL;CALCIUM CARBONATE;SODIUM PHOSPHATE;CALCIUM CHLORIDE;CALCIUM HYDROXIDE;SODIUM CITRATE;POTASSIUM BICARBONATE;ASCORBIC ACID;SODIUM CHLORIDE;ARASCO (ARACHIDONIC ACID SINGLE CELL OIL);MAGNESIUM CHLORIDE;CITRIC ACID;DHASCO (DOCOSAHEXAENOIC ACID SINGLE CELL OIL);SODIUM BICARBONATE;FERROUS SULFATE;TAURINE;CHOLINE CHLORIDE;ZINC SULFATE;DL ALPHA TOCOPHEROL 100%(VIT E);CYTIDINE 5’-MONOPHOSPHATE;L-CARNITINE;NICOTINAMIDE;DISODIUM URIDINE-5-MONOPHOSPHATE;MIXED TOCOPHEROL CONCENTRATE;L-ASCORBYL PALMITATE;ADENOSINE 5’-MONOPHOSPHATE;CALCIUM PANTOTHENATE;DISODIUM INOSINE-5-MONOPHOSPHATE;DISODIUM GUANOSINE-5-MONOPHOSPHATE;COPPER SULFATE;VITAMIN A PALMITATE;THIAMINE HYDROCHLORIDE;PYRIDOXINE HYDROCHLORIDE;CHOLECALCIFEROL;RIBOFLAVIN;BETA CAROTENE POWDER;FOLIC ACID;MANGANESE SULFATE;POTASSIUM IODIDE;PHYTONADIONE;SODIUM SELENITE;BIOTIN;CYANOCOBALAMIN","愛爾蘭","DHD0A250053795"
"1046013754","特殊醫療用途嬰兒配方食品","雀巢能恩水解早產及低體重嬰兒專用奶水STAGE 1","PRENAN STAGE 1","","2015-07-17","2020-07-17","台灣雀巢股份有限公司","02-27739910","台北市內湖區瑞光路399號8樓及8樓之1","液劑","70.00000毫升","WATER;MALTODEXTRIN;LACTOSE;WHEY PROTEIN;MEDIUM CHAIN TRIGLYCERIDES;LOW ERUCIC RAPESEED OIL;HIGH 2 PALMITIC VEGETABLE OIL;SUNFLOWER OIL;HIGH OLEIC SUNFLOWER OIL;CALCIUM PHOSPHATE;POTASSIUM CHLORIDE;POTASSIUM HYDROXIDE;L-HISTIDINE;MAGNESIUM CHLORIDE;SODIUM HYDROXIDE;L-ARGININE;CHOLINE BITARTRATE;ARACHIDONIC ACID (AA) FROM M ALPINA;DOCOSAHEXAENOIC ACID (DHA) (FROM C.cohnii OIL);POTASSIUM PHOSPHATE, MONOBASIC;CITRIC ACID;SODIUM L-ASCORBATE;MYO-INOSITOL;FERROUS SULFATE;TAURINE;VITAMIN E (DL-ALPHA TOCOPHERYL ACETATE);ZINC SULFATE;L-CARNITINE;PREMIX NUCLEOTIDES;CMP;DISODIUM URIDINE-5-MONOPHOSPHATE;ADENOSINE 5’-MONOPHOSPHATE;DISODIUM GUANOSINE-5-MONOPHOSPHATE;NICOTINAMIDE;ASCORBYL PALMITATE;CALCIUM PANTOTHENATE;MIXED TOCOPHEROL CONCENTRATE;VITAMIN A (RETINYL ACETATE);COPPER SULFATE;VITAMIN B1 (THIAMINE MONONITRATE);VITAMIN B2 (RIBOFLAVIN);VITAMIN B6 ( PYRIDOXINE HYDROCHLORIDE );FOLIC ACID;POTASSIUM IODIDE;MANGANESE SULPHATE;VITAMIN K1 (PHYLLOQUINONE);VITAMIN D3 (CHOLECALCIFEROL);D-BIOTIN;SODIUM SELENATE;CYANOCOBALAMINE","德國","DHD0A460137542"
