標題,發布日期,連結
"09039 焦糖色素","2015-04-28","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=13308&t=s"
"附錄A 一般試驗法","2015-09-07","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=13958"
"12017 玉米糖膠","2015-09-17","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=14070"
"01019 乳酸鏈球菌素","2015-09-17","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=14071"
"07003 硫酸鈣","2016-05-26","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=20253"
"08319 亞鐵磷酸銨","2016-11-02","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=21965"
"08281 鉬酸鈉","2016-11-02","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=21970"
"11009 檸檬酸鈉","2016-11-02","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=21971"
"07009 磷酸鈣","2016-11-02","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=21972"
"11028 胺基乙酸","2016-11-08","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=22001"
"07091 麥芽糖醇","2016-11-08","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=22002"
"11-1-017 麥芽糖醇","2016-11-08","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=22003"
"07053 二氧化矽 (合成無定形二氧化矽)","2016-11-09","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=22005"
"08033 焦磷酸鐵","2016-11-09","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=22006"
"07090 D-甘露醇","2013-10-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8277&t=s"
"07092 麥芽糖醇糖漿 (氫化葡萄糖漿)","2013-10-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8279&t=s"
"07093 異麥芽酮糖醇(巴糖醇)","2013-10-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8280&t=s"
"07094 乳糖醇","2013-10-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8282&t=s"
"07095 赤藻糖醇","2013-10-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=8283&t=s"
"06010 碳酸氫銨","2016-11-24","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=22126"
"08318 乙烯二胺四醋酸鐵鈉","2016-11-24","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=22127"
"16006 單及雙脂肪酸甘油．二乙醯酒石酸酯","2017-02-14","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=22596"
"08321 氟化鈉","2017-02-24","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=22743"
"08320 氟化鉀","2017-02-24","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=22744"
"凡例","2017-11-16","http://www.fda.gov.tw/TC/siteListContent.aspx?sid=1798&id=24674"
"01001 己二烯酸","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2619&t=s"
"01002 己二烯酸鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2620&t=s"
"01003 己二烯酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2621&t=s"
"01004 丙酸鈣","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2622&t=s"
"01005 丙酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2623&t=s"
"01006 去水醋酸","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2624&t=s"
"01007 去水醋酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2625&t=s"
"01008 苯甲酸","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2626&t=s"
"01009 苯甲酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2627&t=s"
"01010 對羥苯甲酸乙酯","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2628&t=s"
"01011 對羥苯甲酸丙酯","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2629&t=s"
"01012 對羥苯甲酸丁酯","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2630&t=s"
"01013 對羥苯甲酸異丙酯","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2631&t=s"
"01014 對羥苯甲酸異丁酯","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2632&t=s"
"01016 二醋酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2633&t=s"
"01018 苯甲酸鉀","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2634&t=s"
"01020 雙十二烷基硫酸硫胺明","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2636&t=s"
"01021 丙酸","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2637&t=s"
"02001 氯化石灰 (漂白粉)","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2638&t=s"
"02002 次氯酸鈉液","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2639&t=s"
"02003 過氧化氫 (雙氧水)","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2640&t=s"
"03001 二丁基羥基甲苯","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2641&t=s"
"03002 丁基羥基甲氧苯","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2642&t=s"
"03003 L－抗壞血酸 (維生素C)","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2643&t=s"
"03004 L－抗壞血酸鈉","2013-10-25","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2644&t=s"
"03005 L－抗壞血酸硬脂酸酯","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2645&t=s"
"03006 L－抗壞血酸棕櫚酸酯","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2646&t=s"
"03007 異抗壞血酸","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2647&t=s"
"03008 異抗壞血酸鈉","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2648&t=s"
"03009 生育醇 (維生素E)","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2649&t=s"
"03010 沒食子酸丙酯","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2650&t=s"
"03011 癒創樹脂","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2651&t=s"
"03012 L－半胱胺酸鹽酸鹽","2013-09-02","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=2652&t=s"
