標題,連結,發布日期
"[藥物食品安全週報第106期]--第二型糖尿病治療藥物rosiglitazone與pioglitazone風險/睡不上道/營養補充劑有銅中毒風險？","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=258&chk=5136BC17-3626-4CCE-8CAC-806F1CFBFA29&mid=138&name=fdContent","2007-09-27"
"[藥物食品安全週報第107期]-- 「吩坦尼(fentanyl)」止痛類藥品/誇大不實藥品勿買勿吃/餐盒食品工廠應符合HACCP","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=259&chk=7D2AF2A4-55D5-4D27-8D78-31638B93035E&mid=138&name=fdContent","2007-10-04"
"[藥物食品安全週報第109期]--勿隨意購服來路不明中藥 /腸病毒也會紅眼睛/一起來關心『藥』事","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=261&chk=E47B1FCA-F853-4B66-9E37-6A5A26ED5140&mid=138&name=fdContent","2007-10-18"
"[藥物食品安全週報第10期]--牛肉與「狂牛症」（二）/禽流感不是經由食物傳染的疾病/勿上網購買藥物","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=162&chk=1C4D0705-C991-4755-ABD7-AF539FE4862E&mid=138&name=fdContent","2005-11-24"
"[藥物食品安全週報第110期]--使用治療性功能障礙藥品應小心不良反應/化粧品為何含有「丙烯醯胺」？/正確診治，克服失眠","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=262&chk=724E9679-E91B-4433-B49F-14D8DC67DFBD&mid=138&name=fdContent","2007-10-25"
"[藥物食品安全週報第111期]--勿選購色彩太鮮豔不自然食材/出入境攜帶藥品應備妥診斷證明或醫師處方/藥品GMP保證用藥安全","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=263&chk=C47C251C-0640-44D5-887F-005BA9BB61F3&mid=138&name=fdContent","2007-11-01"
"[藥物食品安全週報第112期]--懷孕前後應避服含mycophenolate成分藥品/勿信不實化粧品廣告/食品不得標示或引述衛署食字號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=264&chk=C5108C6C-8E12-491E-AE66-879BBA8B38CA&mid=138&name=fdContent","2007-11-08"
"[藥物食品安全週報第113期]--選用合格中藥 健康安心/細說血糖/蟹後語－談硝基呋喃","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=265&chk=CE88C528-83EA-41AA-994C-1181C19529A9&mid=138&name=fdContent","2007-11-15"
"[藥物食品安全週報第114期]--第二型糖尿病治療藥物thiazolidinedione/接種疫苗防流感/醫療專業人員應遵藥品核准投與途徑給藥","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=266&chk=54A2398D-10D7-4E03-A226-91B139953681&mid=138&name=fdContent","2007-11-22"
"[藥物食品安全週報第115期]--趁早打流感疫苗，否則就來不及了！/桿菌性痢疾的真面目/沿海居民血液含汞量高？","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=267&chk=6FF51EDF-BE41-426A-B565-034859879882&mid=138&name=fdContent","2007-11-29"
"[藥物食品安全週報第116期]--糖尿病用降血糖藥胰島素/河魨香魚片？","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=268&chk=49FF8D06-79C6-4EE3-98ED-D5E92F1C905D&mid=138&name=fdContent","2007-12-06"
"[藥物食品安全週報第117期]--洋芋片含溴酸鉀嗎？/性功能障礙及減肥瘦身藥品是醫師處方藥/包裝食品應標示有效日期","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=269&chk=CB4CC640-8488-4E4B-B170-5F23FF89A1A2&mid=138&name=fdContent","2007-12-13"
"[藥物食品安全週報第118期]--藥物安全警示/加工食品追溯e起來","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=270&chk=C0BC0FCF-F76D-4E72-A50A-311589FE1375&mid=138&name=fdContent","2007-12-20"
"[藥物食品安全週報第119期]--快速追查暴斃鴨真相/謹慎使用omeprazole及esomeprazole成分藥品/勿買賣來源不明藥品","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=271&chk=EAEC5262-DCF7-4B3A-B686-7C6565DB1AF8&mid=138&name=fdContent","2007-12-27"
"[藥物食品安全週報第11期]--減肥知多少？/牛肉與「狂牛症」（三）/增強免疫力七招","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=163&chk=F15C227C-3817-469D-AE7D-3089B1B72990&mid=138&name=fdContent","2005-12-01"
"[藥物食品安全週報第122期]--戴奧辛牛肉說分明/藥物安全警示","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=272&chk=5C23279E-299B-4C94-9F24-5336E8FA086C&mid=138&name=fdContent","2008-01-17"
"[藥物食品安全週報第123期]--什麼是雙酚A？/化粧品禁用鄰苯二甲酸酯類/藥物濫用會感染愛滋病嗎？","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=273&chk=18CEDE50-F111-4CA2-B807-5E6F94A4DE5E&mid=138&name=fdContent","2008-01-24"
"[藥物食品安全週報第124期]--精挑細選辦年貨/含汞疫苗經研究證實與自閉症無關/春節期間「藥」準備","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=274&chk=7F3AED6E-ABA9-4955-8DBE-21FCF4215D70&mid=138&name=fdContent","2008-01-31"
"[藥物食品安全週報第125期]--切勿購買非法兜售的「龜鹿二仙膠」偽藥/企業響應推動「兒童健康飲食」/年後養生多吃蔬果","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=275&chk=35A58AFA-D8C2-4E69-8B76-EF80FFBEB937&mid=138&name=fdContent","2008-02-07"
"[藥物食品安全週報第126期]--女性應慎用避孕貼片/慎防「笑氣」濫用/銀髮族「藥」怎麼吃？","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=276&chk=7086B433-27A1-4509-880C-0DFA39097E3D&mid=138&name=fdContent","2008-02-14"
"[藥物食品安全週報第127期]--慎選湯圓/醫師應謹慎評估使用「肉毒桿菌毒素」必要性/認識「管制藥品」與「毒品」區別","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=277&chk=65B3F7C6-8E92-4A21-BDE9-69F93F37E728&mid=138&name=fdContent","2008-02-21"
"[藥物食品安全週報第128期]--非苯二氮平類安眠藥/提醒醫師停用處方aprotinin抗血栓溶解藥/民眾莫購服動力一號核桃素片","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=278&chk=7FECB5DA-2BF3-4117-AB9D-6058757FA135&mid=138&name=fdContent","2008-02-28"
"[藥物食品安全週報第129期]--服用含zolpidem成分鎮靜安眠類藥品/日本再現麻疹疫情/注意第二型糖尿病藥物Avandia梵帝美錠","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=279&chk=F2945D38-E9F1-4FDA-AF45-9D2948B19F90&mid=138&name=fdContent","2008-03-06"
"[藥物食品安全週報第12期]--感冒了怎麼辦 ﹖/進口大閘蟹檢出DDT殘留","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=164&chk=B12465CF-A51B-40F8-BC9E-5095146751AF&mid=138&name=fdContent","2005-12-08"
"[藥物食品安全週報第130期]--小心增加性能力膳食補充品潛藏的危機/來路不明化粧品的品質堪憂/吃魚有益健康","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=280&chk=B5C66D4F-3150-4096-80CE-8EFA3B89CCC0&mid=138&name=fdContent","2008-03-13"
"[藥物食品安全週報第131期]--正確使用PC材質奶瓶/勿購服未經核准販售減肥製品/化粧品添加「鄰苯二甲酸二辛酯」將禁止","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=281&chk=76FA4F49-7BBB-4BEF-90D8-CCB42B5F1049&mid=138&name=fdContent","2008-03-20"
"[藥物食品安全週報第132期]--勿購服來源不明的減肥產品/選購素食產品，注重包裝與標示之完整性/按時完成百日咳疫苗接種","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=282&chk=4A2E0588-99F1-48DA-8236-5B7D1D040A29&mid=138&name=fdContent","2008-03-27"
"[藥物食品安全週報第133期]--危機四伏的助性產品/加速毒品鑑驗上路/銀髮族的營養餐食手冊","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=283&chk=AE574579-2045-4571-9A6D-CA16166A410B&mid=138&name=fdContent","2008-04-03"
"[藥物食品安全週報第134期]--謹慎使用氣喘治療藥物Montelukast (Singular)/安心品嚐蔬果 /嬰幼兒感冒藥應由醫師診治處方使用","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=284&chk=FA4707D6-F7E7-404A-A5BA-F3B0CB014C82&mid=138&name=fdContent","2008-04-10"
"[藥物食品安全週報第135期]-- 治療及預防流感之藥物Relenza的用藥風險/當心化粧品微生物污染問題/認識葡萄糖胺","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=285&chk=F709DBFF-7B96-4225-92C0-6A115D58A7B1&mid=138&name=fdContent","2008-04-17"
"[藥物食品安全週報第136期]--自備餐具 安全多更多/請勿買賣非法胎盤素/不信、不聽、不買、不吃、不推薦","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=286&chk=8BE3D0AC-FBD0-457D-9495-47D47B6EC3B9&mid=138&name=fdContent","2008-04-24"
"[藥物食品安全週報第137期]--慎防肉毒桿菌危害/維生素A及D過量也會危害健康/歐、日出現麻疹、百日咳疫情，請加強防護","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=287&chk=B1ECB105-6650-4973-8F59-3A9CD3B4373F&mid=138&name=fdContent","2008-05-01"
"[藥物食品安全週報第138期]--謹慎使用避孕貼片/不可過量服用維生素E及K/偶爾使用搖頭丸也會危害健康","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=288&chk=44E49EBE-41FF-410A-BF92-36BBE3C8BD57&mid=138&name=fdContent","2008-05-08"
"[藥物食品安全週報第139期]--過期藥物不可隨意拋/依醫師建議補充葡萄糖胺/適量攝取葉酸","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=289&chk=B41FD919-3C75-4FBA-8369-92DEC187FB25&mid=138&name=fdContent","2008-05-15"
"[藥物食品安全週報第13期]-- 小心肉毒桿菌中毒！/茼蒿檢出殘留農藥/藥品與職業","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=165&chk=CC40F735-22AD-409C-B9CC-286610032448&mid=138&name=fdContent","2005-12-15"
"[藥物食品安全週報第140期]--來路不明中藥易傷身體/麻醉鎮痛劑阿華吩坦尼之用藥安全/母乳是嬰兒最佳的食物","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=290&chk=C95260C4-0F25-4708-96BB-903F554824FE&mid=138&name=fdContent","2008-05-22"
"[藥物食品安全週報第141期]-- 不當使用 RU486易增不孕風險/磷對健康的影響/當心「K 它命」","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=291&chk=1A1DF25C-B301-42DA-901B-94DB05FCB769&mid=138&name=fdContent","2008-05-29"
"[藥物食品安全週報第142期]--勿用Mommy’s Bliss Nipple Cream乳頭膏/勿自行購服減重或助性產品/品嚐香粽重視健康","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=292&chk=797A2BB3-AE07-4532-86E5-FCC4808A1468&mid=138&name=fdContent","2008-06-05"
"[藥物食品安全週報第143期]-- 認識藥害救濟/注意輔助戒菸藥品Varenicline之不良反應/癌症疼痛控制與嗎啡之使用","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=293&chk=C14264D2-02C5-4152-80FE-AD9A1D6D7E76&mid=138&name=fdContent","2008-06-12"
"[藥物食品安全週報第144期]--藥品存放要謹慎/大家聯手暑假防毒/均衡飲食更勝營養補充劑","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=294&chk=34F7FBD5-C96F-4520-931B-FE69671774A6&mid=138&name=fdContent","2008-06-19"
"[藥物食品安全週報第145期]--遠離來源不明的減重、助性或美顏產品/適齡適量補充副食品，喝母乳「鐵」安心","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=295&chk=A6FCD3FC-F251-4993-A9BA-1626306C441A&mid=138&name=fdContent","2008-06-26"
"[藥物食品安全週報第146期]--濫用藥物何處驗？/「自備環保筷」今夏最夯","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=296&chk=5CA634BB-314A-4231-B08C-C890A8FD3979&mid=138&name=fdContent","2008-07-03"
"[藥物食品安全週報第147期]--嚐毒非兒戲 /慎防夏季食品中毒/慎防艷陽曝曬傷害皮膚","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=297&chk=D8D6BE99-C376-41E8-B855-7ABF9596DEB8&mid=138&name=fdContent","2008-07-10"
"[藥物食品安全週報第148期]--小心fluoroquinolone類抗生素藥品的不良反應/正確使用隱形眼鏡/減鹽保健康","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=298&chk=7A91A408-BCC5-405A-ACAF-670A97A7227B&mid=138&name=fdContent","2008-07-17"
"[藥物食品安全週報第149期]--小心Nimesulide成分藥物的副作用/慎防夏季食品中毒(Ⅱ)/牙齒美白DIY有風險","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=299&chk=67481CF3-9B63-44E5-8A7C-697CEDB31D23&mid=138&name=fdContent","2008-07-24"
"[藥物食品安全週報第14期]--嬰兒胡蘿蔔泥罐頭食品疑含鎘金屬事件/盒裝餐飲HACCP/不萎凋的蘋果","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=166&chk=17917BEA-DC63-472A-92C1-A7A0D1D46297&mid=138&name=fdContent","2005-12-22"
"[藥物食品安全週報第150期]--雙磷酸鹽(Bisphosphonate)藥品可能引起顎骨壞死/瘦身減肥請循正軌/安全使用染髮劑","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=300&chk=4D6A856A-91CB-4F45-87D5-90BDFB732E4B&mid=138&name=fdContent","2008-07-31"
"[藥物食品安全週報第151期]--使用Carbamazepine等11種抗癲癇藥品要嚴防自殺傾向/認識食品添加物","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=301&chk=E570FFD7-3B58-452E-AC4C-D3F3FC403E45&mid=138&name=fdContent","2008-08-07"
"[藥物食品安全週報第152期]--我國未核准任何胎盤素成分藥品/Q感十足的卡德蘭膠/慶讚中元","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=302&chk=D175FF15-B451-4129-AF63-8B9DD289F1D3&mid=138&name=fdContent","2008-08-14"
"[藥物食品安全週報第153期]--不要購買誇大不實的藥品或食品/認清「俱樂部」用藥","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=303&chk=C68E3A6D-796C-48EB-9E7E-504BCBF5AACB&mid=138&name=fdContent","2008-08-21"
"[藥物食品安全週報第154期]--注意Simvastatin之用藥風險/認識巴比妥類安眠藥","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=304&chk=2DF7DC5F-EEEC-4402-AE3B-3349485BAE9E&mid=138&name=fdContent","2008-08-28"
"[藥物食品安全週報第155期]--市售醬油中的單氯丙二醇符合規定/美食當前別忘了檢視反式脂肪含量/吃藥喝水最速配","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=305&chk=CBE1C8E9-F4C3-48DC-ACE4-386A162053B4&mid=138&name=fdContent","2008-09-04"
"[藥物食品安全週報第157期]--野外毒菇不可採(一)/如何避免抗藥性？/非法減肥用藥-芬他命","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=306&chk=D21E4CC2-F6FE-47F4-B451-BECE5102D1CD&mid=138&name=fdContent","2008-09-18"
"[藥物食品安全週報第158期]--三聚氰胺知多少/野外毒菇不可採(二)/違法含藥產品再現蹤","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=307&chk=39383B9D-D16E-4FF3-BC74-2DE0CB5C7A06&mid=138&name=fdContent","2008-09-25"
"[藥物食品安全週報第159期]--使用癌症用藥Erlotinib宜監測肝功能/三聚氰胺問與答","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=308&chk=E5F5045A-49EF-4E96-85F5-58BBA279A1C9&mid=138&name=fdContent","2008-10-02"
"[藥物食品安全週報第15期]--狂牛病疫區與牛肉的出口/認明中藥材包裝標示/快樂派對不搖頭","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=167&chk=CF0FD694-0617-44FC-9A0B-36D177411048&mid=138&name=fdContent","2005-12-29"
"[藥物食品安全週報第161期]--為老年人用藥安全把關/母乳最優/「分子醫學」對生活的影響","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=309&chk=6B53380F-CA37-4694-8DF3-901444B5AD50&mid=138&name=fdContent","2008-10-16"
"[藥物食品安全週報第162期]--「三聚氰胺食品污染管制措施國際專家會議」/精挑細選買柿餅/吩坦尼貼片使用安全須知","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=310&chk=BC5CD7D7-2814-4892-B78B-76DBF42BDA03&mid=138&name=fdContent","2008-10-23"
"[藥物食品安全週報第163期]--古早味無銨粉油條/不買及服用來源不明的藥品/正確解決疼痛問題","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=311&chk=F2385291-7C37-4FF2-A549-51ECBD6D207F&mid=138&name=fdContent","2008-10-30"
"[藥物食品安全週報第164期]-- 藥品中的防腐劑使用限量和食品不同/選用染髮劑前應看清標示/認識「濫用藥物」檢驗","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=312&chk=0F7FAA28-BBC4-4ACB-86EA-F0325A2A35D2&mid=138&name=fdContent","2008-11-06"
"[藥物食品安全週報第165期]--化粧品禁用鄰苯二甲酸二辛酯成分/用藥安全/謹慎使用含Propofol成分藥品/海峽兩岸食品安全協議","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=313&chk=A12572AA-A845-4802-8C95-DE1A429A80A2&mid=138&name=fdContent","2008-11-13"
"[藥物食品安全週報第166期]--注意輔助戒菸藥物Varenicline的不良反應/不法藥物播報站/部分市售紅辣椒粉含過量黃麴毒素","http://www.fda.gov.tw/tc/includes/GetFile.ashx?id=314&chk=21E6AD55-073C-4451-92C9-82B6E5CBACBB&mid=138&name=fdContent","2008-11-20"
