類別,標題,發布日期,連結
"101年輸入食品安全管理國際研討會","2012輸入食品安全管理國際研討會議程海報","2014-11-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10010"
"102年輸入食品安全管理國際研討會","2013輸入食品安全管理國際研討會議程海報","2014-11-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10011"
"103年台歐食品安全管理國際研討會","2014台歐食品安全管理國際研討會-第一天議程海報","2014-11-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10012"
"103年台歐食品安全管理國際研討會","2014台歐食品安全管理國際研討會-第二天議程海報","2014-11-13","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=10013"
"103年台歐食品安全管理國際研討會","Authorisation of GMOs","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9335"
"102年輸入食品安全管理國際研討會","EU legislative framework for food safety management system and border control system","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9318"
"102年輸入食品安全管理國際研討會","EU legislative framework for food safety management sysytem","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9314"
"103年台歐食品安全管理國際研討會","EU legislative on Food Information to Consumers","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9332"
"102年輸入食品安全管理國際研討會","EU tracebaility system","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9322"
"103年台歐食品安全管理國際研討會","Food Controls in the EU-NVWA","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9329"
"102年輸入食品安全管理國際研討會","Food product traceability implementation in France","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9324"
"102年輸入食品安全管理國際研討會","Food safety management sysytem in the Netherlands","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9315"
"103年台歐食品安全管理國際研討會","Food Traceability in the EU","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9333"
"103年台歐食品安全管理國際研討會","HACCP in the EU from the Frence Experience","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9337"
"102年輸入食品安全管理國際研討會","Implementation of feed and live animal traceability in Belgium","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9323"
"102年輸入食品安全管理國際研討會","Implementation of food safety in Belgium","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9316"
"102年輸入食品安全管理國際研討會","Implementation of food safety in France","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9317"
"102年輸入食品安全管理國際研討會","Implementation of import food management and border control in Belgium","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9320"
"102年輸入食品安全管理國際研討會","Implementation of import food management and border control in France","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9321"
"102年輸入食品安全管理國際研討會","Implementation of import food management and border control in the Netherlands","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9319"
"103年台歐食品安全管理國際研討會","Industry Self-Regulation","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9334"
"103年台歐食品安全管理國際研討會","Labelling of GMOs in the EU","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9336"
"101年輸入食品安全管理國際研討會","日本輸入查驗措施相關議題","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9307"
"101年輸入食品安全管理國際研討會","日本輸入食品管理制度及政策","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9306"
"103年台歐食品安全管理國際研討會","台灣食品安全衛生管理法與食品安全法規","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9325"
"101年輸入食品安全管理國際研討會","美國FDA-輸入查驗措施相關議題","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9309"
"101年輸入食品安全管理國際研討會","美國FDA-輸入食品管理制度及政策","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9308"
"101年輸入食品安全管理國際研討會","美國USDA-輸入查驗措施相關議題","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9311"
"101年輸入食品安全管理國際研討會","美國USDA-輸入食品管理制度及政策","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9310"
"103年台歐食品安全管理國際研討會","歐盟法規協調(WTO/國際標準)","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9327"
"103年台歐食品安全管理國際研討會","歐盟食品安全危機處理與溝通","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9330"
"103年台歐食品安全管理國際研討會","歐盟食品安全體系","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9326"
"103年台歐食品安全管理國際研討會","歐盟食品管理-一般架構","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9328"
"103年台歐食品安全管理國際研討會","歐盟食品管理-歐盟層級處理食品摻偽與假冒","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9331"
"101年輸入食品安全管理國際研討會","澳洲DAFF-輸入查驗措施相關議題","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9313"
"101年輸入食品安全管理國際研討會","澳洲DAFF-輸入食品管理制度及政策","2014-06-24","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mid=133&id=9312"
