名稱,地址,電話,全國性講習機構,連結
"大仁科技大學","新二村維新路20號","08-7624002","否","http://www.tajen.edu.tw"
"大台南市中餐服務人員職業工會","崑大路152號","06-2051999","否","http://www.3in1.com.tw"
"大台南西餐服務人員職業工會","文正里興農路10號","06-5815257","否",""
"大台南廚師業職業工會","南新街13巷40號","06-6568542","否",""
"大台南餐飲業職業工會","裕民路58巷4號","06-6562437","否",""
"大高雄廚師職業工會","新安街43號","07-7632060","否",""
"大高雄餐飲業職業工會","忠義街47號","07-7450383","否","http://tw.myblog.yahoo.com/kao.chef"
"大臺中廚師業職業工會","臺灣大道七段432巷78號","04-26633650","否",""
"大臺中餐飲業職業工會","圓環西路23號5F","04-25227376","否",""
"中國青年救國團直屬台灣省南投縣團務指導委員會","中興路700號","09-26-961239","是",""
"中國青年救國團直屬台灣省桃園縣團務指導委員會","成功路2段7號","03-3332153","是","http://tyntc.cyc.org.tw/"
"中國青年救國團直屬台灣省彰化縣團務指導委員會","卦山路2號","04-7231157","是",""
"中華慈心健康安全醫事暨輻射防護發展協會","中正路868號11樓","02-32344482","是","http://www.chef.org.tw/"
"中華新世代人才培訓協會","長青西街94巷34號","03-4818941","是",""
"中華餐飲業產業工會","景華街47號1樓","02-29325187","是","http://meihsiu.com/union3/index.asp"
"台中市中餐服務人員職業工會","光復路151號4樓之1","04-36082258","否","http://chinfood.org"
"台中市廚師職業工會","中山路369號","04-22221050","否","http://tai2194.chef.msa.hinet.net"
"台北市旅館業職業工會","中山北路三段26號7樓","02-25962107","否","http://taipeihotelunion.com"
"台北市進出口商業同業公會","松江路350號","02-25813521","否",""
"台北市廚師業職業工會","景華街21號1樓","02-29350559","否","http://www.29350559.com/chef/index.php"
"台北市餐飲業職業工會","舊宗路一段18號2樓","02-27961234","否","http://www.chtda.org.tw/"
"台北海洋技術學院","延平北路九段212號","02-28102292","否","Department of Food and Beverage Management"
"台東縣外燴服務人員職業工會","興安路一段602號","089-220066","否","http://www.089220066.com/"
"台南市外燴服務工作人員職業工會","國民路583巷6號","06-2134348","否","http://sunmean.twbbs.org/gh/012/index.htm"
"台灣食品技師協會","五權西一街123號","04-23760893","是",""
"台灣優良食品發展協會","忠孝東路四段219號6樓","02-27512777","是","http://www.gmp.org.tw/"
"弘光科技大學","中棲路34號","04-26318652","是",""
