學名,中文名稱,殘留部位,動物種類,殘留容許量ppm
"Abamectin","阿巴汀","肌肉、脂","牛","0.1"
"Abamectin","阿巴汀","腎","牛","0.05"
"Acetylisovaleryltylosin","乙醯異戊醯泰樂黴素","肌肉、肝、腎、脂","豬、雞","0.04"
"Albendazole","","肌肉、脂、乳","牛、綿羊","0.1"
"Albendazole","","肝、腎","牛、綿羊","5"
"Amoxicillin","安默西林","肌肉、肝、腎、脂","家畜類、家禽類","0.05"
"Amoxicillin","安默西林","乳","家畜類","0.004"
"Amoxicillin","安默西林","蛋","家禽類","0.01"
"Amoxicillin","安默西林","肌肉","魚","0.05"
"Ampicillin","安比西林","肌肉、肝、腎、脂","家畜類、家禽類","0.01"
"Ampicillin","安比西林","乳","家畜類","0.01"
"Ampicillin","安比西林","蛋","家禽類","0.01"
"Ampicillin","安比西林","肌肉","魚","0.05"
"Amprolium","安保寧","肌肉、肝、腎","家畜類","0.5"
"Amprolium","安保寧","脂","家畜類","2"
"Amprolium","安保寧","肌肉、脂","家禽類","0.5"
"Amprolium","安保寧","肝、腎","家禽類","1"
"Amprolium","安保寧","蛋","家禽類","4"
"Apramycin","安痢黴素","肌肉、脂","牛、豬、 綿羊、山羊、家禽類","0.05"
"Apramycin","安痢黴素","肝、腎","牛、豬、綿羊、山羊","2"
"Apramycin","安痢黴素","肝、腎","家禽類","1"
"Arsanilic acid","胺苯亞砷酸","肌肉","豬、雞","0.5"
"Arsanilic acid","胺苯亞砷酸","肝","豬、雞","2"
"Arsanilic acid","胺苯亞砷酸","腎","豬","2"
"Arsanilic acid","胺苯亞砷酸","腎","雞","0.5"
"Avilamycin","阿美拉黴素","肌肉、脂、肝、腎、其他可供食用部位","豬、肉雞","0.05"
"Azaperone"," ","肌肉、脂","豬","0.06"
"Azaperone","","肝、腎","豬","0.1"
"Bacitracin","枯草菌素","肌肉、肝、腎、脂","牛、豬、雞、火雞、雉、鵪鶉","0.5"
"Bacitracin","枯草菌素","乳","牛","0.5"
"Bacitracin","枯草菌素","蛋","雞、火雞、雉、鵪鶉","0.5"
"Benzylpenicillin及Procaine benzylpenicillin","芐青黴素及普羅卡因芐青黴素","肌肉、肝、腎、脂","家畜類、家禽類","0.05"
"Benzylpenicillin及Procaine benzylpenicillin","芐青黴素及普羅卡因芐青黴素","乳","家畜類","0.004"
"Betamethasone","貝他美沙松","肌肉、腎、脂","家畜類","0.001"
"Betamethasone","貝他美沙松","肝","家畜類","0.002"
"Betamethasone","貝他美沙松","乳","家畜類","0"
"Bicozamycin","培可黴素","肌肉、肝、腎","牛、豬","0.2"
"Bicozamycin","培可黴素","脂","牛、豬","0.05"
"Bicozamycin","培可黴素","肌肉、肝、腎、脂","雞","0.05"
"Bovine Somatotropin (Recombinant)","牛生長素","肌肉、肝、腎、脂、乳","牛","免訂容許量"
"Buquinolate"," ","肌肉、脂","雞","0.1"
"Buquinolate","","肝、腎","雞","0.4"
"Buquinolate","","蛋","雞","0.2"
"Carazolol"," ","肌肉、脂 (含皮)","豬","0.005"
"Carazolol","","肝、腎","豬","0.025"
"Carbadox","卡巴得","肝","豬","0.03"
"Carbadox","卡巴得","肌肉","豬","0.005"
"Cefapirin (Cephapirin)","西華比林","肌肉、脂、肝、腎","牛","0.02"
"Cefapirin (Cephapirin)","西華比林","乳","牛","0.01"
"Cefquinome","","肌肉、脂","牛、豬","0.05"
"Cefquinome","","肝","牛、豬","0.1"
"Cefquinome","","腎","牛、豬","0.2"
"Cefquinome","","乳","牛","0.02"
"Ceftiofur","畜福","肌肉","牛、豬、綿羊、山羊","1"
"Ceftiofur","畜福","肝、脂","牛、豬、綿羊、山羊","2"
"Ceftiofur","畜福","腎","牛、豬、綿羊、山羊","6"
"Ceftiofur","畜福","乳","牛、綿羊、山羊","0.1"
"Cefuroxime","","肌肉、肝、腎、脂、乳","牛","0.02"
"Cephalexin","雪華力新","肌肉、肝、脂","豬、家禽類","0.2"
"Cephalexin","雪華力新","腎","豬、家禽類","1"
"Cephalonium","","乳","牛","0.02"
"Chlortetracycline、Oxytetracycline及Tetracycline","氯四環黴素、羥四環黴素及四環黴素","肌肉、脂","家畜類、家禽類","0.2"
"Chlortetracycline、Oxytetracycline及Tetracycline","氯四環黴素、羥四環黴素及四環黴素","肝","家畜類、家禽類","0.6"
"Chlortetracycline、Oxytetracycline及Tetracycline","氯四環黴素、羥四環黴素及四環黴素","腎","家畜類、家禽類","1.2"
"Chlortetracycline、Oxytetracycline及Tetracycline","氯四環黴素、羥四環黴素及四環黴素","蛋","家禽類","0.4"
"Chlortetracycline、Oxytetracycline及Tetracycline","氯四環黴素、羥四環黴素及四環黴素","乳","家畜類","0.1"
"Chlortetracycline、Oxytetracycline及Tetracycline","氯四環黴素、羥四環黴素及四環黴素","肌肉","魚(2)","0.2"
"Chlortetracycline、Oxytetracycline及Tetracycline","氯四環黴素、羥四環黴素及四環黴素","肌肉","十足目(2)、龜鱉目(2) 、無尾目(2)","0.1"
"Clopidol","氯吡啶","肌肉、脂","牛、綿羊、山羊","0.2"
"Clopidol","氯吡啶","肝","牛、綿羊、山羊","1.5"
"Clopidol","氯吡啶","腎","牛、綿羊、山羊","3"
"Clopidol","氯吡啶","肌肉、肝、腎、脂","豬","0.2"
