名稱,地址,電話,連結
"大台南市中餐服務人員職業工會","崑大路152號","06-2051999","http://www.3in1.com.tw"
"大台南廚師業職業工會","南新街13巷40號","06-6568542",""
"大台南餐飲業職業工會","裕民路58巷4號","06-6562437",""
"大高雄廚師職業工會","新安街43號","07-7632060",""
"大高雄餐飲業職業工會","忠義街47號","07-7450383","http://tw.myblog.yahoo.com/kao.chef"
"大臺中直轄市小吃業職業工會","中山路422號5樓","04-25292160",""
"大臺中廚師業職業工會","臺灣大道七段432巷78號","04-26633650",""
"大臺中餐飲業職業工會","圓環西路23號5F","04-25227376",""
"中華餐飲業產業工會","景華街47號1樓","02-29325187","http://meihsiu.com/union3/index.asp"
"台中市中餐服務人員職業工會","光復路151號4樓之1","04-36082258","http://chinfood.org"
"台中市廚師職業工會","中山路369號","04-22221050","http://tai2194.chef.msa.hinet.net"
"台中市餐飲業職業工會","中華路一段83-1號","04-22296055",""
"台北市旅館業職業工會","中山北路三段26號7樓","02-25962107","http://taipeihotelunion.com"
"台北市廚師業職業工會","景華街21號1樓","02-29350559","http://www.29350559.com/chef/index.php"
"台北市餐飲業職業工會","舊宗路一段18號2樓","02-27961234","http://www.chtda.org.tw/"
"台東縣外燴服務人員職業工會","興安路一段602號","089-220066","http://www.089220066.com/"
"台南市外燴服務工作人員職業工會","國民路583巷6號","06-2134348","http://sunmean.twbbs.org/gh/012/index.htm"
"宜蘭縣餐飲業職業工會","中正南路127之12號","03-9543361",""
"宜蘭縣總工會","環河路111號","03-9532508",""
"花蓮縣餐飲業職業工會","國聯二路35號","03-8330531",""
"金門縣飲食商業同業公會","珠浦東路4巷35號3樓","082-325337",""
"南投縣烹飪商業同業公會","民權街24號","049-2237573","http://www.culinary.org.tw"
"南投縣廚師職業工會","信義街五巷十五號","049-2240880","http://www.chefunion.org.tw"
"南投縣餐飲業職業工會","中山街240巷16號","049-2221050",""
"屏東縣廚師職業工會","延平路34號","08-8336228","Cooker928@yahoo.com.tw"
"屏東縣餐飲業職業工會","健豐路217號","08-7371359","http://www/ptdining.org,tw/"
"苗栗縣外燴服務工作人員職業工會","中山路28號","037-758308",""
"苗栗縣餐飲業職業工會","中正路191號","037-321540",""
"桃園市烹飪商業同業公會","環北路400號13樓之2","03-4269769",""
"桃園市餐飲業職業工會","春日路241號4樓","03-3324814",""
"桃園縣廚師業職業工會","四維街68號","03-3363341",""
"高雄巿烹飪商業同業公會","復興二路209號","07-2812332","www.cakc.org.tw"
"高雄市外燴飲食職業工會","建國路三段108-1號","07-7802199","www.bonton.url.tw"
"高雄市廚師職業工會","班超路132號5樓之5","07-7153762","http://kchef.org"
"高雄市餐飲業職業工會","二聖一路288號4樓","07-7117828","http://www.krwu.org.tw"
"基隆市烹飪商業同業公會","孝一路78之3號4樓","02-24274868",""
"基隆市廚師業職業工會","愛一路71號2樓","02-24221267",""
"基隆市餐飲業職業工會","中正路12之2號3樓","02-24271438",""
"連江縣商業會","福沃村19號","083-622426",""
"雲林縣烹飪商業同業公會","北平路75號","05-5320666",""
"雲林縣廚師職業工會","民生路238-3號","05-5353076",""
"雲林縣餐飲業職業工會","雲東里永樂街35號3樓","05-5327721",""
"新北市烹飪商業同業公會","五工五路5號4樓","02-2298-0193","http://www.be-boss.org.tw"
"新北市廚師業職業工會","仁愛街53巷4號","02-29768710~1","http://www.cook.org.tw"
"新北市餐飲業職業工會","三民路二段37號9樓","02-29634041","http://www.cookery.org.tw"
"新竹市廚師業職業工會","經國路一段454巷46號1樓","03-5353813","http://cook.hc@hotmail.com"
"新竹市餐飲業職業工會","民富街293號","03-5259775",""
"新竹縣餐飲業職業工會","縣政八街77號2樓","03-5516058","http://dining-hc.org.tw/"
"嘉義市廚師職業工會","廣州街219之3號2樓","05-2363397",""
"嘉義市餐飲業職業工會","東區林森東路111巷1號","05-2765095",""
"嘉義縣廚師業職業工會","新榮路167巷46號1樓","05-3705536",""
"嘉義縣餐飲業職業工會","興業東路316號2樓之1","05-2254574",""
"彰化縣廚師業職業工會","東隆路119之3號","04-7775440",""
"彰化縣餐飲業職業工會","三民路249巷1號","04-7220901",""
"臺中市外燴人員職業工會","中山路442號","04-25257843",""
"臺中市美食烹飪商業同業公會","中山路252號2樓","04-25272889",""
"臺中市烹飪商業同業公會","大墩路25號","04-24737766","http://www.cooking.org.tw"
"臺東縣烹飪商業同業公會","傳廣路97巷47號","089-322143",""
"臺東縣餐飲業職業工會","中興路二段741號","089-228024",""
"臺南市小吃業職業工會","金華路二段447號","09-80-383399","http://sunmean.twbbs.org/gh/007/index.htm"
"臺南市烹飪商業同業公會","金華路三段257號2樓之4","06-2223435",""
"臺南市廚師業職業工會","西門路一段177號","06-2925890~2","http://www.chefunion.org.tw/"
"臺南市餐飲業職業工會","大埔街50號3樓","06-2131301",""
"澎湖縣餐飲業職業工會","民福路2號2樓","06-9279214",""
