燈號,標題名稱,事件過程,處置建議,附檔,更新日期
"黃燈","歐盟(希臘)發布消費警訊，malef品牌之化粧品OMICRON KIDS Shampoo & Shower Gel，因產品遭微生物汙染，而回收乙事。","◎歐盟(希臘)發布消費警訊，malef品牌之化粧品OMICRON KIDS Shampoo & Shower Gel，批號：1547003，因該產品遭微生物汙染 (檢測值高達1.1 x 10⁶ cfu/g) 超出歐盟化粧品規範限量，故進行回收。 ◎為確保化粧品之品質及消費者之使用安全，衛生福利部已於94年9月間公告訂定「化粧品中微生物容許量基準」，規範生菌數容許量如下：（1）嬰兒用、眼部周圍用及使用於接觸黏膜部位之化粧品必須在100 CFU/g或mL以下。（2）其他類化粧品必須在1000 CFU/g或mL以下。且不得檢出大腸桿菌（Escherichia coli）、綠膿桿菌（Pseudomonas aeruginosa）或金黃色葡萄球菌（Staphylococcus aureus）等。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「全國化粧品不良事件通報系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者勿自國外、網路或其他通路商購買該產品使用。","","2016-04-20"
"黃燈","歐盟(希臘)發布消費警訊，malef品牌之化粧品Barbie Shampoo & Bath gel，因產品遭微生物汙染，而回收乙事。","◎歐盟(希臘)發布消費警訊，malef品牌之化粧品Barbie Shampoo & Bath gel，批號：1450174，因該產品遭微生物汙染 (檢測值高達6.8 x 10⁶ cfu/g) 超出歐盟化粧品規範限量，故進行回收。 ◎為確保化粧品之品質及消費者之使用安全，衛生福利部已於94年9月間公告訂定「化粧品中微生物容許量基準」，規範生菌數容許量如下：（1）嬰兒用、眼部周圍用及使用於接觸黏膜部位之化粧品必須在100 CFU/g或mL以下。（2）其他類化粧品必須在1000 CFU/g或mL以下。且不得檢出大腸桿菌（Escherichia coli）、綠膿桿菌（Pseudomonas aeruginosa）或金黃色葡萄球菌（Staphylococcus aureus）等。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「全國化粧品不良事件通報系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者勿自國外、網路或其他通路商購買該產品使用。","","2016-04-20"
"黃燈","歐盟(希臘)發布消費警訊，American Greetings /|malef品牌之化粧品Φραουλίτσα (’Fraoulitsa’/’Strawberry’) Shampoo & Bath gel，因產品遭微生物汙染，而回收乙事。","◎歐盟(希臘)發布消費警訊，American Greetings /malef品牌之化粧品Φραουλίτσα (’Fraoulitsa’/’Strawberry’) Shampoo & Bath gel，批號：1150029，因該產品遭微生物汙染 (檢測值高達1.5 x 10⁶ cfu/g) 超出歐盟化粧品規範限量，故進行回收。 ◎為確保化粧品之品質及消費者之使用安全，衛生福利部已於94年9月間公告訂定「化粧品中微生物容許量基準」，規範生菌數容許量如下：（1）嬰兒用、眼部周圍用及使用於接觸黏膜部位之化粧品必須在100 CFU/g或mL以下。（2）其他類化粧品必須在1000 CFU/g或mL以下。且不得檢出大腸桿菌（Escherichia coli）、綠膿桿菌（Pseudomonas aeruginosa）或金黃色葡萄球菌（Staphylococcus aureus）等。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「全國化粧品不良事件通報系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者勿自國外、網路或其他通路商購買該產品使用。","","2016-04-20"
"黃燈","歐盟(比利時)發布消費警訊，Capil’liss system品牌之化粧品Crème capilaire lissante - traitement à la nanokeratine - fort - étape 2，因產品含formaldehyde超量，而回收乙事。","◎歐盟(比利時)發布消費警訊，Capil’liss system品牌之化粧品Crème capilaire lissante - traitement à la nanokeratine - fort - étape 2，批號：未明示，因該產品含formaldehyde超標(測量值高達4.7%)，不符合歐盟化粧品規範，故進行回收。 ◎按甲醛成分，衛生福利部已於94年公告禁止使用在化粧品中，並規定凡含此類成分之化粧品一律禁止輸入、製造或販賣，惟化粧品中使用DMDM hydantoin等9種成分作為防腐劑時(詳見化粧品中防腐劑成分使用及限量規定基準表)，其總釋出之Free Formaldehyde量，不得超過1,000 ppm。若未添加上述9種成分且於製造過程中因技術上無法避免，致含微量殘留之游離甲醛（Free formaldehyde）時，則其最終總殘留限量為75ppm。違反者，依化粧品衛生管理條例可處一年以下有期徒刑、拘役或科或併科新台幣十五萬元以下罰金。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「全國化粧品不良事件通報系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者勿自國外、網路或其他通路商購買該產品使用。","","2016-04-22"
"綠燈","日本(PMDA)發布消費警訊，株式会社 セントラル・メディック之ㄧ系列化粧品，因產品全成分描述錯誤，而回收乙事。","◎日本(PMDA)發布消費警訊，株式会社 セントラル・メディック之化粧品「ウインマックス　ネイルア‐ト用エナメル」(批號：黃色-C4A1、E4A1、H4A1、I4A1、I5A1、J5A1、GL16、UH3、UH8、UH20、VI15、VI23、WJ1、WJ19、WJ29、TG16、TG23；橙色-C4B1、E4B1、H4B1、I4B1、GL17、TG24、UH9、UH21、VI1、VI7、VI16、WJ2、WJ20、WJ30、TG17、TG24；赤色-B4C1、C4C1、E4C1、H4C1、I4C1、G5C1、I5C1、J5C1、GL18、UH4、UH10、UH22、VI2、VI8、VI17、VI24、WJ3、WJ21、WJ31、TG18、TG25、YG28、UH4、UH19；櫻色-C4D1、E4D1、H4D1、I4D1、GL19、UH5、UH11、UH23、VI3、VI9、VI18、WJ4、WJ22、WJ32、TG26、SF22；茶色-E4E1、H4E1、D5E1、E5E1、G5E1、I5E1、J5E1、GL20、TG27、UH24、VI10、WJ5、WJ23、WJ33、TG27、SF23；青色-C4F1、E4F1、H4F1、I4F1、J5F1、GL21、UH6、UH13、UH25、VI11、VI19、WJ6、WJ24、WJ32、TG19、TG28；紫色-C4G1、H4G1、I4G1、TG30、GL22、UH15、UH27、VI4、VI12、VI20、WJ7、WJ25、WJ35、TG20、TG30；綠色-C4H1、H4H1、I4H1、K4H1、TG31、GL23、UH16、UH28、WJ8、WJ26、WJ37、TG5、TG31；白色-C4I1、E4I1、H4I1、I4I1、D5J1、E5J1、G5J1、H5J1、I5J1、J5J1、GL24、UH7、UH17、UH29、UH31、VI5、VI6、VI13、VI21、VI25、WJ27、WJ37、WJ38、TG14、TG21、TG32；黑色-C5L1、E4J1、H4J1、I4J1、K4J1、C5L1、E5L1、I5L1、GL25、UH2、UH19、TG22、TG34、VI6、VI14、VI22、VI26、WJ28、WJ38。)、 「ウインマックス　ネイルブライト」(批號：(NO1.)-I5A1、G5A1、H5A1、F5A1、J5A1、C4A1、I4A1、EC1、EC11、EC16、EC21、DB1、DB11、DB21、DB31、CA1；(NO2.)-C4B1、I4B1、EC2、EC12、EC22、DB2、DB12、DB22、DB32、CA2；(NO3.)-C4C1、I4C1、EC3、EC13、EC23、DB3、DB13、DB23、DB33、CA3；(NO4.)-I5D1、G5D1、H5D1、F5D1、J5D1、C4D1、I4D1、DB34；(NO5.)-I5E1、G5E1、H5E1、F5E1、J5E1、C4E1、I4E1、DB35；(NO6.)-E4F1、K4F1、C4F1、EC4、EC14、EC24、EC25、DB4、DB14、DB24、DB34；(NO7.)-C4G1、I4G1、EC5、EC15、DB5、DB15、DB25、DB35、CA5；(NO8.)-I5H1、H5H1、F5H1、J5H1、C4H1、I4H1、EC6、EC11、EC16、DB6、DB16、DB26、DB36、CA6；(NO9.)-I5I1、G5I1、H5I1、F5I1、J5I1、D5I1、C4I1、I4I1、EC26、EC7、EC17、DB7、DB17、DB27、DB37、DB39、CA7；(NO10.)-D5J1、E5J1、H5J1、C4J1、I4J1、EC27、EC8、EC18、DB8、DB18、DB28、DB38、DB40、DB48、CA8。)、 「ウインマックス　ネイルエナメル　デリシア」(批號：(NO1.)-I5A1、G5H1、H5A1、F5A1、J5A1、H4A1、I4A1、C4A1、LB1、LB13、LB25、LB36、KA1、KA4、KA16、KA28、JZ15、JZ27、IY9、IY26、IY28；(NO2.)-C4B1、I4B1、KA5、KA17、KA29、LB2、LB14、LB26、JZ 9、JZ16、JZ28、JZ29、IY10、IY17、IY29、IY30、IY31；(NO3.)-I5C1、G5C1、H5C1、F5C1、C5C1、J5C1、C4C1、I4C1、LB3、LB15、LB27、LB37、KA2、KA6、KA18、KA30、JZ2、JZ17、JZ29、IY11、IY18、IY30、IY31；(NO4.)-I5D1、G5D1、H5D1、F5D1、I4D1、A5D1、J5D1、C4D1、KA7、KA19、KA31、LB4、LB16、LB28、JZ3、JZ10、JZ18、JZ30、IY12、IY19、IY20、IY31、IY32、IY33；(NO5.)-I5E1、G5E1、H5E1、F5E1、H4E1、I4E1、J5E1、C4E1、LB5、LB17、LB29、LB39、KA8、KA20、KA32、JZ3、JZ11、JZ19、JZ31、IY13、IY20；(NO6.)-I5F1、G5F1、H5F1、F5F1、H$F1、I4F1、J5F1、C4F1、LB6、LB18、LB30、LB40、KA9、KA21、JZ20、JZ32、IY6、IY21、IY34；(NO7.)-I5G1、G5G1、H5G1、F5G1、J5G1、I4G1、C4G1、H4G1、LB7、LB19、LB31、LB41、KA10、KA22、JZ4、JZ12、JZ33、IY13、IY22、IY35；(NO8.)-I5H1、G5H1、H5H1、F5H1、J5H1、I4H1、C4H1、H4H1、LB8、LB20、LB42、KA11、KA23、JZ5、JZ22、JZ34、IY8、IY23、IY36；(NO9.)：I5I1、G5I1、H5I1、F5I1、J5I1、I4I1、C4I1、H4I1、LB8、LB21、LB34、LB43、KA3、KA12、KA24、KA33、VM3、JZ6、JZ13、JZ23、JZ35、IY14、IY24、IY37；(NO10.)-I5J1、H5J1、F5J1、J5J1、I4J1、K4J1、C4J1、LB10、LB22、LB33、LB44、KA13、KA25、VM2、JZ24、JZ36、IY25、IY38、IY40；(NO11.)-I5K1、J5K1、I4K1、K4K1、C4K1、LB11、LB23、LB32、LB45、KA14、KA26、KA34、JZ7、JZ25、JZ27、JZ37、IY26、IY36、IY39；(NO12.)-H5L1、I5L1、I4L1、K4L1、LB12、LB24、LB25、LB35、LB46、KA15、KA27、JZ14、JZ26、JZ38、IY16、IY27、IY39、IY40。)、 「ウインマックス　ネイルスパークス」(批號：(ラピスラズリ)-G5A1、H5A1、E5A1、D5A1、B5A1、A5A1、I4A1、J5A1、K4A1、C4A1、WT7、WT26、VS1、VS7、VS17、VS27、UR1、UR6、UR16、UR26、TQ11、TQ21；(ビリジアン)-G5B1、H5B1、E5B1、D5B1、B5B1、A5B1、I4B1、J5B1、K4B1、C4B1、WT8、WT27、VS2、VS8、VS12、VS18、VS28、UR7、UR17、UR27、SP2、TQ2；(アメシスト)-G5C1、H5C1、E5C1、J5C1、I4C1、K4C1、WT9、WT28、VS3、VS9、VS13、VS19、VS29、UR8、UR18、UR28、SP8、TQ3；(レッドスピネル)-G5D1、H5D1、E5D1、J5D1、I4D1、K4D1、H4D1、C4D1、WT10、WT20、WT29、VS4、VS14、VS30、UR9、UR2、UR19、UR29、SP4、TQ24；(ピンクサファイヤ)-G5E1、E5E1、K4E1、H4E1、I4E1、C4E1、WT1、WT11、WT21、WT30、VS5、VS15、VS21、VS31、UR10、UR20、UR30、SP5、TQ25；(ピンクオパール)-G5F1、H5F1、E5F1、D5F1、J5F1、I4F1、K4F1、C4F1、WT2、WT12、WT22、WT31、VS6、VS16、VS22、VS32、UR4、UR11、UR21、UR31、SP6、TQ30；(サーモンピンク)-G5G1、H5G1、J5G1、K4G1、C4G1、I4G1、WT3、WT13、WT23、WT31、VS7、VS17、VS23、VS33、UR5、UR12、UR22、UR32、SP7、TQ26；(オレンジムーンストン)-G5H1、H5H1、E5H1、J5H1、K4H1、C4H1、I4H1、WT4、WT14、WT33、VS8、VS18、VS24、VS34、UR13、UR23、UR33、SP8、TQ27；(エレガントゴールド)-G5I1、H5I1、E5I1、D5I1、J5I1、K4I1、C4I1、I4I1、WT5、WT15、WT24、WT34、VS9、VS19、VS25、VS35、UR14、UR24、UR34、SP9、TQ19、TQ28；(オーロラコート)-G5J1、H5J1、E5J1、I5J1、J5J1、K4J1、G4J1、I4J1、WT6、WT16、WT25、WT35、VS10、VS20、VS26、VS36、UR15、UR25、UR35、SP10、TQ29)，因產品全成分描述錯誤，故主動進行回收。 ◎化粧品衛生管理條例規定，化粧品須標示全成分，標示不實者可處新台幣十萬元以下罰鍰，妨害衛生之物品沒入銷燬之。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「藥物食品化粧品上市後品質管理系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者勿自國外、網路或其他通路商購買該產品使用。","","2016-04-29"
"黃燈","中國CFDA發布消費警訊，重慶市5家企業化粧品產品檢測出甲硝唑、汞、甲醇、酮康唑等違法添加，而回收乙事。","◎中國CFDA發布消費警訊，下列產品檢測出甲硝唑 (Metronidazole)、汞、甲醇、酮康唑(Ketoconazole)，不符合中國化粧品法規，故進行回收。 1. 南陽市森源生物技術開發有限責任公司之化粧品「蘆薈祛痘凝膠」(無批號) 檢測出甲硝唑。 2. 上海晶典化妝品有限公司之化粧品「水循環本草凝萃」(批號：J11) 檢測出汞。 3. 佛山市南海區黃岐嘉純生物工程有限公司之化粧品「大長今淨白補水祛角質素」(批號：NHJC-0108) 檢測出甲醇(測值: 6209 mg/kg)。 4. 廣州市白雲區威爾美化妝品廠之化粧品「去黑頭面膜」(批號：WE122668) 檢測出甲醇 (測值: 3445mg/kg)。 5. 廣州市姿蒂化妝品有限公司之化粧品「發炫矢車菊去屑洗髮乳」(批號：150923) 檢測出酮康唑。 ◎ Metronidazole、Ketoconazole等係為藥品成分，衛生福利部未核准可添加在化粧品中，如違法添加涉違反藥事法之規定，可處十年以下有期徒刑，並得併科新台幣1億元以下罰金。 ◎ 甲醇為化粧品中禁用成分，化粧品於製造過程中，因所需原料或其他因素，且技術上無法避免，致含自然殘留微量之甲醇時，則其最終製品中所含甲醇(methyl alcohol)之總殘留限量0.2%。違反者，依化粧品衛生管理條例可處一年以下有期徒刑、拘役或科或併科新台幣十五萬元以下罰金。 ◎ 汞為化粧品中禁用成分，化粧品於製造過程中，因所需原料或其他因素，且技術上無法避免，致含自然殘留微量之汞(水銀)時，則其最終製品中所含不純物汞(水銀)之殘留量為1ppm( 0.0001%）。違反者，依化粧品衛生管理條例可處一年以下有期徒刑、拘役或科或併科新台幣十五萬元以下罰金。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「藥物食品化粧品上市後品質管理系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者自國外、網路或其他通路商購買該產品使用。","","2017-01-09"
"紅燈","有關歐盟(義大利)發布消費警訊，原產地巴西BioNaza Cosmetics品牌之「KeraHair – Premiere Brazilian Keratin System (Hair treatment product)」化粧品含甲醛乙事","◎義大利發布消費警訊，原產地巴西BioNaza Cosmetics品牌之「KeraHair – Premiere Brazilian Keratin System (Hair treatment product)」化粧品，批號:1. 5248700202 (946 ml), 2. 5248700210 (473 ml), 3. 5248700201 (236 ml), 4. Unknown (119 ml)，因含2.3% (產品1), 2.4% (產品2), 0.7% (產品3) and 2.6% (產品4) of free and liberated formaldehyde 及 2.5% (產品1及2), 0.9% (產品3) and 2.5% (產品4) of free formaldehyde，可能對人體產生危害。 ◎按甲醛（Formaldehyde）成分，衛生署已於94年公告禁止使用在化粧品中，並規定凡含此類成分之化粧品一律禁止輸入、製造或販賣，違反者，依化粧品衛生管理條例可處一年以下有期徒刑、拘役或科或併科新台幣十五萬元以下罰金。 ◎衛生署並未核准該產品進口販售，呼籲消費者不要自國外、網路或其他通路商購買該產品使用。 ◎為強化化粧品管理及取締不法，衛生署歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生署所建置「全國化粧品不良品通報系統」，網址：http://cosmetic-recall.fda.gov.tw，通報專線：02-2396-0100。","為維護消費者健康與權益，衛生署呼籲消費者，勿自行由國外、網路或其他通路商購買該產品使用。","","2013-06-19"
"紅燈","有關歐盟(比利時)發布消費警訊，原產地南非Inecto品牌之「Superblack - guaranteed permanent hair colour creme - 28ml (Hair dye)」化粧品含間苯二胺（m-phenylenediamine）乙事","◎比利時發布消費警訊，原產地南非Inecto品牌之「Superblack - guaranteed permanent hair colour creme - 28ml (Hair dye)」化粧品，批號: 6002058000036，因含間苯二胺（m-phenylenediamine），具化學性危害。 ◎按間苯二胺（m-phenylenediamine）成分，衛生署已於98年公告禁止使用在化粧品中，並規定凡含此類成分之化粧品一律禁止輸入、製造或販賣，違反者，依化粧品衛生管理條例可處一年以下有期徒刑、拘役或科或併科新台幣十五萬元以下罰金。 ◎衛生署並未核准該產品進口販售，呼籲消費者不要自國外、網路或其他通路商購買該產品使用。 ◎為強化化粧品管理及取締不法，衛生署歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及消保服務專線02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生署所建置「全國化粧品不良品通報系統」，網址：http://cosmetic-recall.fda.gov.tw，通報專線：02-2396-0100。","為維護消費者健康與權益，衛生署呼籲消費者，勿自行由國外、網路或其他通路商購買該產品使用。","","2013-06-19"
"黃燈","中國CFDA發布消費警訊，浙江省抽驗8家企業之化粧品產品檢測出氯倍他索丙酸酯、曲安奈德、汞，而回收乙事。","◎中國CFDA發布消費警訊，下列產品檢測出氯倍他索丙酸酯(Clobetasol propionate)、曲安奈德(Triamcinolone acetonide)、汞，不符合中國化粧品法規，故進行回收。 1. 廣州妙麗生物科技有限公司之化粧品「活細胞美白精華素」(無批號)檢測出氯倍他索丙酸酯。 2. 之化粧品「夢蝶VC真白霜」(無批號)檢測出汞(測值:NA)。 3. 委託公司(不詳)之化粧品「美白亮膚水」(無批號)檢測出曲安奈德。 4. 委託公司(不詳)之化粧品「添麗白雪肌細膚冰膜」(無批號)檢測氯倍他索丙酸酯。 5. 東三九軍大生物科技有限公司之化粧品「基茵壹號索斑堂智能美白原子液」(無批號)檢測出氯倍他索丙酸酯。 6. 杭州沃鑫化妝品貿易有限公司之化粧品「蝸牛蠶絲蛋白面膜」(批號：15E06)檢測出氯倍他索丙酸酯。 7. 委託公司(不詳)之化粧品「AK-06 AGH瑩白霜」檢測出汞。 8. 委託公司(不詳)之化粧品「強效祛斑增白王」檢測出汞。 ◎ Clobetasol propionate、Triamcinolone acetonide 係為藥品成分，衛生福利部未核准可添加在化粧品中，如違法添加涉違反藥事法之規定，可處十年以下有期徒刑，並得併科新台幣1億元以下罰金。 ◎ 汞為化粧品中禁用成分，化粧品於製造過程中，因所需原料或其他因素，且技術上無法避免，致含自然殘留微量之汞(水銀)時，則其最終製品中所含不純物汞(水銀)之殘留量為1ppm (0.0001%）。違反者，依化粧品衛生管理條例可處一年以下有期徒刑、拘役或科或併科新台幣十五萬元以下罰金。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「藥物食品化粧品上市後品質管理系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者自國外、網路或其他通路商購買該產品使用。","","2017-01-17"
"黃燈","美國FDA發布消費警訊，Cleanlife Products LLC之化粧品「Cardinal Health Shampoo Cap Fragrance Free」，因產品發現黴菌滋生，而回收乙事。","◎美國FDA發布消費警訊，Cleanlife Products LLC之化粧品「Cardinal Health Shampoo Cap Fragrance Free」(批號：004316, 005316, 018316, 019316, 020316, 021316, 022316, 062316, 063316, 064316, 067316, 068316, 090316, 091316, 092316, 095316, 096316, 097316, 128415, 131415, 132415, 133415, 134415, 153316, 154316, 155316, 158316, 159316, 160316, 166316, 167316, 168316, 169316, 172316, 281315, 282315, 285315, 286315, 317315, 320315, 321315, 322315, 323315, 362315, 363315, 364315)，因產品發現黴菌滋生，故業者主動進行回收。 ◎為確保化粧品之品質及消費者之使用安全，衛生福利部已於94年9月間公告訂定「化粧品中微生物容許量基準」，規範生菌數容許量如下：（1）嬰兒用、眼部周圍用及使用於接觸黏膜部位之化粧品必須在100 CFU/g或mL以下。（2）其他類化粧品必須在1000 CFU/g或mL以下。且不得檢出大腸桿菌（Escherichia coli）、綠膿桿菌（Pseudomonas aeruginosa）或金黃色葡萄球菌（Staphylococcus aureus）等。 ◎為強化化粧品管理及取締不法，衛生福利部歡迎全國民眾共同協同監督不法情事，並設置為民服務電子信箱：http://faq.fda.gov.tw/Message/Default.aspx及為民服務諮詢專線02-2787-8080或02-2787-8200，以供民眾檢舉及諮詢。民眾如因購用之化粧品發現有不良品或不良反應發生時，可通報衛生福利部所建置「全國化粧品不良事件通報系統」，網址：https://qms.fda.gov.tw/tcbw/，通報專線：02-66251166轉6401。","為維護消費者健康與權益，呼籲消費者，勿自國外、網路或其他通路商購買該產品使用。","","2017-01-18"
