違規項目,機構業者別_醫院,機構業者別_診所,機構業者別_藥局,機構業者別_西藥製造,機構業者別_西藥販賣,機構業者別_畜牧獸醫機構,機構業者別_獸醫診療機構,機構業者別_動物用藥品製造,機構業者別_動物用藥品販售,機構業者別_醫藥教育研究試驗機構,機構業者別_其他,機構業者別_合計
"管制藥品簿冊登載不實","21","79","93","2","1","0","11","0","0","0","1","208"
"未依規定定期申報收支結存情形","4","17","20","5","11","0","4","0","0","0","1","62"
"未設簿冊登載管制藥品收支結存情形","0","17","8","0","0","0","1","0","0","0","0","26"
"使用管制藥品未詳實登載病歷","1","22","0","0","0","0","2","0","0","0","0","25"
"使用過期管制藥品","0","17","4","0","0","0","2","0","0","0","0","23"
"1-3級管制藥品未開立專用處方箋","2","20","0","0","0","0","0","0","0","0","0","22"
"非藥事人員調劑管制藥品","0","20","0","0","0","0","0","0","0","0","0","20"
"涉醫療不當使用管制藥品","0","16","0","0","0","0","1","0","0","0","0","17"
"未依藥品優良調劑作業準則調劑","1","4","9","0","0","0","0","0","0","0","0","14"
"管制藥品減損未依規定辦理","2","3","2","0","3","0","0","0","0","0","0","10"
"銷燬使用殘餘管制藥品無紀錄","3","2","0","0","0","0","5","0","0","0","0","10"
