年度,區域,觀光夜市名稱或美食街名稱,店家名稱,供餐型式
"100","南區","六合夜市","古早味豆花","飲料類"
"100","南區","六合夜市","王牌傳統豆花","飲料類"
"100","南區","六合夜市","高雄東山鴨頭","油炸類"
"100","南區","六合夜市","鄭老牌木瓜牛奶","飲料類"
"100","南區","大東夜市","水玲瓏黑糖奶舖","飲料類"
"100","南區","大東夜市","陳記麻辣鴨血","其他"
"100","南區","大東夜市","小統一牛排","火烤類"
"100","南區","大東夜市","東東拔絲地瓜","油炸類"
"100","南區","六合夜市","陳家木瓜牛奶","飲料類"
"100","南區","六合夜市","田園甘蔗汁","飲料類"
"100","南區","六合夜市","呂之家果汁","飲料類"
"100","南區","六合夜市","美心臭豆腐","油炸類"
"100","南區","六合夜市","拔絲地瓜","油炸類"
"100","南區","六合夜市","ㄚ子兵團煙燻滷味","滷製類"
"100","南區","六合夜市","莊記鹹湯圓","小型餐飲店"
"100","南區","六合夜市","百年傳承台南擔仔麵","小型餐飲店"
"100","南區","六合夜市","土魠魚羹","小型餐飲店"
"100","南區","六合夜市","莊記海產粥","小型餐飲店"
"100","南區","六合夜市","鐵板黃金堡","其他"
"100","南區","六合夜市","正宗純手工牛軋糖","其他"
"100","南區","六合夜市","肉圓、割包","小型餐飲店"
"100","南區","六合夜市","美味園杏鮑菇","油炸類、火烤類"
"100","南區","六合夜市","石頭包餅","油炸類、火烤類"
"100","南區","六合夜市","吳記廣東粥","其他"
"100","南區","大東夜市","韓國風","火烤類"
"100","南區","大東夜市","二師兄古早味","滷製類"
"100","南區","大東夜市","椰仁乳","飲料類"
"100","南區","大東夜市","鹽水蒙古烤肉","小型餐飲店"
"100","南區","大東夜市","傑旗魚黑輪","油炸類"
"100","南區","大東夜市","加賀煙燻雞腳凍","滷製類"
"100","中區","中華夜市","龍川冰菓室","飲料類"
"100","中區","逢甲夜市","魚要醬吃","油炸類"
"100","中區","逢甲夜市","港式小吃","其他"
"100","中區","東海夜市","東海蓮心冰、雞腳凍","滷製類"
"100","中區","東海夜市","東海龍門客棧美食","小型餐飲店"
"100","中區","逢甲夜市","巧蕉王","飲料類"
"100","中區","中華夜市","來來海鮮","小型餐飲店"
"100","中區","逢甲夜市","川燙魷魚","其他"
"100","中區","逢甲夜市","劉師傅菱角酥","油炸類"
"100","中區","逢甲夜市","采唐泡芙專賣店","其他（烘焙類）"
"100","中區","逢甲夜市","吳記QQ腸粉","觀光夜市小型餐飲店"
"100","中區","東海夜市","黑肉圓","油炸類"
"100","中區","東海夜市","東海刈包大王","小型餐飲店"
"100","中區","東海夜市","北港快炒小館","其他（小型餐飲店）"
"100","北區","寧夏夜市","豆花莊","飲料類"
"100","北區","寧夏夜市","第一壽司","現切生冷食品類"
"100","北區","樂華夜市","咖哩王子","小型餐飲店"
"100","北區","樂華夜市","好又多美食飲料","油炸類+飲料類"
"100","北區","樂華夜市","許願樹義式麵坊","小型餐飲店"
"100","北區","樂華夜市","口吅品牛排館","火烤類"
"100","北區","樂華夜市","小歇館","小型餐飲店"
"100","東區","羅東夜市","小丸町天然愛玉","飲料類"
"100","東區","羅東夜市","魏姐包心粉圓（二店）","飲冰品類"
"100","東區","羅東夜市","原味果汁","飲料類"
"100","東區","羅東夜市","宜蘭滷之鄉","滷製類"
"100","東區","羅東夜市","肯德基羅東店","油炸類"
"100","東區","羅東夜市","Come buy羅東店","飲料類"
"100","東區","羅東夜市","八方雲集羅東店","其他小型餐飲店"
"100","東區","羅東夜市","魏姐包心粉圓（一店）","飲冰品類"
"100","東區","羅東夜市","鴨肉冬粉","其他"
"100","東區","羅東夜市","晶圓包心粉圓總店","飲料冰品類"
"100","東區","羅東夜市","田納希牛排","小型餐飲店火烤類"
"100","東區","羅東夜市","晶圓包心粉圓（創始店）","飲料冰品類"
"100","東區","羅東夜市","晶圓包心粉圓（福德店）","飲料冰品類"
"100","東區","羅東夜市","芳香虱目魚","小型餐飲店"
"100","中區","鹿港美食街","阿振肉包","小型餐飲店"
"100","中區","鹿港美食街","什倆漉餅行","其他（烘焙類）"
"100","中區","台中港觀光漁港（梧棲漁港）","珍珠港海鮮店","美食街小型餐飲店"
"100","中區","台中港觀光漁港（梧棲漁港）","中港好家","美食街小型餐飲店"
"100","中區","台中港觀光漁港（梧棲漁港）","鹿港海鮮總匯","美食街小型餐飲店"
"100","北區","板橋火車站美食街","乾杯列車-板橋站（乾杯股份有限公司）","火烤類"
"100","北區","淡水老街","曾記阿給（志賢冰品店）","蒸煮類"
"100","北區","永安漁港觀光漁市","東鑫活海鮮","小型餐飲店"
"100","北區","永安漁港觀光漁市","東陽現燙海鮮","水煮海鮮"
"100","北區","台北車站美食街（台北車站微風廣場）","冰果師國際事業股份有限公司","飲料類"
"100","北區","板橋火車站美食街","詮鑽新鮮小站果汁店","現切生冷食品類"
"100","北區","板橋火車站美食街","買便當-環球板橋店（展荺有限公司）","其他"
"100","北區","永安漁港觀光漁市","百鴻海產","小型餐飲店"
"100","北區","永安漁港觀光漁市","永安港海產小吃","小型餐飲店"
"100","北區","永安漁港觀光漁市","圓意客家湯圓","小型餐飲店"
"100","北區","永安漁港觀光漁市","永安老店","油炸類"
"100","北區","永安漁港觀光漁市","永安現炸海鮮","油炸類"
"100","東區","新月廣場","壹番屋定食","小型餐飲店"
"100","東區","新月廣場","摩斯漢堡","小型餐飲店"
"100","東區","新月廣場","晶湯匙","小型餐飲店"
"100","東區","新月廣場","伯朗咖啡","小型餐飲店"
"100","東區","新月廣場","魏姐包心粉圓","小型餐飲店"
"100","東區","新月廣場","麥當勞","小型餐飲店"
"100","東區","新月廣場","西堤牛排","小型餐飲店"
"100","東區","新月廣場－家樂福","龍都料理","小型餐飲店"
"100","東區","羅東商圈","新平價牛排（二店）","小型餐飲店"
"100","東區","新月廣場","和民（居酒屋）","小型餐飲店"
"100","東區","新月廣場","勝博殿","小型餐飲店"
"100","東區","新月廣場","八道和風鐵板燒","小型餐飲店"
"100","東區","新月廣場－家樂福","韓二寶","小型餐飲店"
"100","東區","新月廣場－家樂福","皇廚一品牛排","小型餐飲店"
"100","東區","新月廣場－家樂福","花蓮扁食","小型餐飲店"
"100","東區","羅東商圈","新平價牛排（一店）","小型餐飲店"
"100","東區","新月廣場","義式古拉爵","小型餐飲店"
"100","南區","安平商圈","松稜滷味","小型餐飲店"
"100","南區","文化商圈","阿潘肉包","小型餐飲店"
"100","南區","文化商圈","阿銘牛肉麵","小型餐飲店"
"100","南區","文化商圈","林聰明沙鍋魚頭","小型餐飲店"
"100","南區","安平商圈","壹等品","小型餐飲店"
"100","南區","安平商圈","兩角銀","小型餐飲店"
"101","北區","桃園機場美食街","昇恆昌-好饗廚房homee kitchen 輕食吧(南區)","輕食"
"101","北區","桃園機場美食街","illy(北區)","飲料類"
"101","北區","桃園機場美食街","homee kitchen好饕廚房(南區)","套餐"
"101","北區","桃園機場美食街","homee kitchen好饕廚房(北區)","套餐"
"101","北區","桃園機場美食街","昇恆昌-好饗廚房homee kitchen 輕食吧(北區)","輕食"
"101","北區","桃園機場美食街","illy(南區)","飲料類"
"101","北區","桃園機場美食街","伯朗咖啡","飲料類"
"101","北區","桃園機場美食街","西雅圖極品咖啡","飲料類"
"101","北區","桃園機場美食街","爭鮮壽司","其他"
"101","北區","桃園機場美食街","寶島晶華","麵食"
"101","北區","桃園機場美食街","頂呱呱","油炸類"
"101","北區","桃園機場美食街","Just Café 捷食驛","套餐　"
"101","北區","桃園機場美食街","義美-大稻埕台灣美食","其他"
"101","北區","桃園機場美食街","義美-米拉咖啡餐飲","飲料類"
"101","北區","桃園機場美食街","義美-點心世界","麵食"
"101","北區","桃園機場美食街","義美-IRIS CAFE","飲料類"
"101","北區","桃園機場美食街","義美-米拉香草廚房","套餐"
"101","北區","桃園機場美食街","漢堡王","速食"
"101","北區","桃園機場美食街","麗思坊","套餐"
"101","北區","桃園機場美食街","皇家傳承","套餐"
"101","北區","桃園機場美食街","勝博殿(Saboten)","套餐"
"101","北區","桃園機場美食街","老農夫","飲料類"
"101","北區","桃園機場美食街","歐米咖啡","飲料類"
"101","北區","桃園機場美食街","丹尼斯小廚","套餐"
"101","北區","桃園機場美食街","漢堡王","速食"
"101","北區","桃園機場美食街","五花馬","麵食"
"101","北區","桃園機場美食街","糖朝","小吃"
"101","北區","桃園機場美食街","星巴克","飲料類"
"101","北區","桃園機場美食街","小南門","小吃"
"101","北區","桃園機場美食街","好好吃－溫州大餛飩","麵食"
"101","北區","桃園機場美食街","悅香亭","麵食"
"101","中區","逢甲夜市","按摩G排","油炸類"
"101","中區","逢甲夜市","蝦仁肉圓","其他"
"101","中區","逢甲夜市","金門炒泡麵","其他"
"101","中區","逢甲夜市","起司雞排","油炸類"
"101","中區","逢甲夜市","泡蛋蝦","油炸類"
"101","中區","逢甲夜市","琳干貝燒","其他"
"101","中區","逢甲夜市","黃金賊","油炸類"
"101","中區","逢甲夜市","豬寶盒","油炸類"
"101","中區","逢甲夜市","即品甜筒披薩","其他"
"101","中區","逢甲夜市","甜筒披薩","其他"
"101","中區","逢甲夜市","麻糬鯛魚燒","其他"
"101","中區","逢甲夜市","帝鈞碳烤胡椒餅","其他"
"101","中區","逢甲夜市","半天香豆漿紅茶","飲料類"
"101","中區","逢甲夜市","韓國辣炒年糕","其他"
"101","中區","逢甲夜市","好食雞","油炸類"
"101","中區","逢甲夜市","阿華黑輪店","其他"
"101","中區","逢甲夜市","如花鮮果汁","飲料類"
"101","中區","逢甲夜市","茗家茶飲","飲料類"
"101","南區","六合觀光夜市","檸檬愛玉冰","飲料類"
"101","南區","六合觀光夜市","亞舍紅茶冰","飲料類"
"101","南區","六合觀光夜市","哈嘟造型熱狗","油炸類"
"101","南區","六合觀光夜市","阿嬤の燒番賣","其他"
"101","南區","六合觀光夜市","陳記肉舖","火烤類"
"101","南區","六合觀光夜市","白柚果","其他"
"101","南區","六合觀光夜市","螃蟹大王","其他"
"101","南區","六合觀光夜市","蔡家烏魚子","火烤類"
"101","南區","六合觀光夜市","湯太閒麻油腰子","其他"
"101","南區","六合觀光夜市","六合七里香","火烤類"
"101","南區","六合觀光夜市","邱記10元炭烤","火烤類"
"101","南區","六合觀光夜市","生猛泰國蝦","火烤類"
"101","南區","六合觀光夜市","現做脆皮甜筒","其他"
"101","南區","六合觀光夜市","沙茶蟹.炸蝦","油炸類"
"101","南區","六合觀光夜市","高雄東山鴨頭","油炸類"
