國際普通名稱,普通名稱,作物類別,容許量ppm,備註
"2,4-D","二‧四地","小麥","2","殺草劑"
"2,4-D","二‧四地","小漿果類","0.1","殺草劑"
"2,4-D","二‧四地","玉米","0.05","殺草劑"
"2,4-D","二‧四地","甘蔗類","0.05","殺草劑"
"2,4-D","二‧四地","米類","0.1","殺草劑"
"2,4-D","二‧四地","李","0.05","殺草劑"
"2,4-D","二‧四地","杏","0.05","殺草劑"
"2,4-D","二‧四地","杏仁","0.2","殺草劑"
"2,4-D","二‧四地","油桃","0.05","殺草劑"
"2,4-D","二‧四地","柑桔類","2","殺草劑"
"2,4-D","二‧四地","桃","0.05","殺草劑"
"2,4-D","二‧四地","馬鈴薯","0.2","殺草劑"
"2,4-D","二‧四地","高粱","0.01","殺草劑"
"2,4-D","二‧四地","堅果類","0.2","殺草劑"
"2,4-D","二‧四地","梅","0.05","殺草劑"
"2,4-D","二‧四地","其他梨果類(李、杏、油桃、桃、梅、櫻桃除外)","0.01","殺草劑"
"2,4-D","二‧四地","大豆","0.02","殺草劑"
"2,4-D","二‧四地","黑麥","2","殺草劑"
"2,4-D","二‧四地","葡萄","0.1","殺草劑"
"2,4-D","二‧四地","蔓越莓","0.1","殺草劑"
"2,4-D","二‧四地","蘆筍","1","殺草劑"
"2,4-D","二‧四地","櫻桃","0.2","殺草劑"
"2,4-D","二‧四地","其他(蔬果類)*","0.02*","殺草劑"
"2,4-D","二‧四地","其他(穀類)*","0.02*","殺草劑"
"2,4-D","二‧四地","其他(茶類)*","0.1*","殺草劑"
"2,6-DIPN","","馬鈴薯","1","生長調節劑"
"2-Phenylphenol","","柑桔類","10","殺菌劑"
"2-Phenylphenol","","梨","20","殺菌劑"
"Abamectin","阿巴汀","辣椒(乾)","0.2","殺蟲劑"
"Abamectin","阿巴汀","蘋果","0.02","殺蟲劑"
"Abamectin","阿巴汀","櫻桃","0.09","殺蟲劑"
"Abamectin","阿巴汀","其他(蔬果類)*","0.01*","殺蟲劑"
"Abamectin","阿巴汀","其他(穀類)*","0.01*","殺蟲劑"
"Abamectin","阿巴汀","其他(茶類)*","0.05*","殺蟲劑"
"Acephate","毆殺松","其他小葉菜類(芹菜除外)","1","殺蟲劑"
"Acephate","毆殺松","其他包葉菜類(結球萵苣除外)","1","殺蟲劑"
"Acephate","毆殺松","菜豆(乾)","0.5","殺蟲劑"
"Acephate","毆殺松","瓜菜類","1","殺蟲劑"
"Acephate","毆殺松","白木耳","0.5","殺蟲劑"
"Acephate","毆殺松","米類","0.5","殺蟲劑"
"Acephate","毆殺松","豆菜類","1","殺蟲劑"
"Acephate","毆殺松","其他果菜類(甜椒除外)","1","殺蟲劑"
"Acephate","毆殺松","花豆(乾豆)","1","殺蟲劑"
"Acephate","毆殺松","芹菜","4","殺蟲劑"
