農藥名稱,英文名稱
"印楝素","Azadirachtin"
"枯草桿菌","Bacillus subtilis"
"蘇力菌","Bacillus thuringiensis"
"保米黴素","Blasticidin-S"
"碳酸鈣","Calcium Carbonate"
"松香酯銅","CITCOP"
"乙醇胺銅","Copper Chelate"
"鹼性氯氧化銅","Copper Oxychloride"
"硫酸銅","Copper Sulfate"
"氫氧化銅","Cupric Hydroxide"
"氧化亞銅","Cuprous Oxide"
"細胞分裂素","Cytokinins"
"DL-甲硫胺酸","DL-methionine"
"治芽素","Fatty alcohols"
"吲哚丁酸","IBA"
"石灰硫黃","Lime & Sulfur"
"萘乙酸鈉","NAA, sodium salt"
"抑芽醇","n-Decanol"
"亞納銅","Nonylphenol Coppersulfonate"
"土黴素","Oxytetracycline"
"礦物油","Petroleum Oils"
"保粒黴素","Polyoxins"
"碳酸氫鉀","Potassium Hydrogen Carbonate"
"核黃素","Riboflavin"
"甜菜葉蛾費洛蒙 ","Sex pheromone of Spodoptera exiqua"
"斜紋夜盜蛾費洛蒙","Sex pheromone of Spodoptera litura"
"硝基苯酚鈉","Sodium Nitrophenol"
"鏈黴素","Streptomycin"
"可濕性硫黃","Sulfur"
"四環黴素","Tetracycline"
"三元硫酸銅","Tribasic Copper Sulfate"
"維利黴素","Validamycin A"
