農藥名稱,英文名稱,禁止製造或輸入日期,禁止銷售或使用日期
"有機水銀劑","Organic mercury","六十年十月二十五日","六十一年十月二十五日"
"安特靈","Endrin","六十年元月一日","六十一年元月一日"
"滴滴涕","DDT","六十二年七月一日","六十三年七月一日"
"飛佈達","Heptachlor","六十四年元月一日","六十四年十月一日"
"阿特靈","Aldrin","六十四年元月一日","六十四年十月一日"
"地特靈","Dieldrin","六十四年元月一日","六十四年十月一日"
"蟲必死","BHC","六十四年元月一日","六十四年十月一日"
"福賜松","Leptophos","六十六年六月一日","六十七年六月一日"
"護谷、護谷殺丹、護得壯、丁拉護谷","Nitrofen","七十年元月一日","七十二年元月一日"
"二溴氯丙烷","DBCP","七十年六月六日",""
"克氯苯","Chlorobenzilate","七十一年九月二十一日","七十二年九月二十一日"
"毒殺芬","Toxaphene","七十二年七月十九日","七十三年元月十九日"
"五氯酚鈉","PCP-Na","七十二年七月十九日","七十三年元月十九日"
"二溴乙烷","EDB","七十三年二月二十二日",""
"靈丹","γ-BHC (Lindane)","七十三年八月七日","七十四年二月一日"
"達諾殺","Dinoseb","七十五年十二月八日","七十五年十二月二十日"
"氰乃淨","Cyanazine","七十六年七月九日","七十七年七月一日"
"滴滴","Dichloropropane-","七十六年七月九日","七十六年七月九日"
"","Dichloropropene","",""
"樂乃淨","Fenchlorphos","七十六年九月二日","七十六年九月二日"
"四氯丹","Captafol","七十六年十月二十二日","七十七年十月一日"
"亞拉生長素","Daminozide","七十八年六月二十一日","七十九年元月一日"
"福爾培","Folpet","七十八年七月十三日","七十九年七月一日"
"錫蟎丹","Cyhexatin","七十八年七月十三日","七十九年七月一日"
"五氯硝苯","PCNB","七十八年七月十三日","七十九年七月一日"
"白粉克","Dinocap","七十九年五月九日","七十九年十二月三十一日"
"大脫蟎","Dinobuton","八十年五月二十七日","八十年十二月一日"
"得滅克","Aldicarb","八十年十月十五日","八十一年元月一日"
"全滅草","Chlornitrofen, CNP","輸入：八十三年七月十五日","八十六年元月一日"
"","","製造：八十四年十二月三十一日",""
"得脫蟎","Tetradifon","八十三年十月四日","八十五年七月一日"
"能死蟎","MNFA (Nissol)","八十五年七月三日","八十八年十一月一日"
"得氯蟎","Dienochlor","八十五年十月十四日","八十七年八月一日"
"一品松","EPN","八十五年十二月九日(得加工至八十六年十月三十一日止)","八十七年八月一日"
"亞環錫","Azocyclotin","八十六年九月三十日(得加工至八十六年十二月三十一日止)","八十八年元月一日"
"三苯醋錫","TPTA","八十六年九月三十日(得加工至八十六年十二月三十一日止)","八十八年元月一日"
"三苯羥錫","TPTH","八十六年九月三十日(得加工至八十六年十二月三十一日止)","八十八年元月一日"
"鋅乃浦","Zineb","八十六年九月三十日(得加工至八十六年十二月三十一日止)","八十八年元月一日"
"百蟎克","Binapacryl","九十年七月一日","九十年七月一日"
"溴化甲烷","Methyl Bromide","","九十二年四月一日"
"西脫蟎","Benzoximate","九十二年六月三日","九十二年六月三日"
"克氯蟎","Chlorophylate","九十二年六月三日","九十二年六月三日"
"殺蟎多","smite","九十二年六月三日","九十二年六月三日"
"可力松","Conen","九十二年六月三日","九十二年六月三日"
"得滅多","Buthiobate","九十二年六月三日","九十二年六月三日"
"普得松","Ditalimfos","九十二年六月三日","九十二年六月三日"
"加芬松","Carbophenothion","九十二年六月三日","九十二年六月三日"
"甲基滅賜松","Demephion","九十二年六月三日","九十二年六月三日"
"美福松","Mephosfolan","九十二年六月三日","九十二年六月三日"
"得拉松","Dialifos","九十二年六月三日","九十二年六月三日"
"殺力松","Salithion","九十二年六月三日","九十二年六月三日"
"溴磷松","Bromophos","九十二年六月三日","九十二年六月三日"
"繁福松","Fensulfothion","九十二年六月三日","九十二年六月三日"
"福木松","Formothion","九十二年七月一日","九十五年一月一日"
"殺佈蟎","Cycloprate","九十三年二月二十五日","九十三年二月二十五日"
"賜加落","Pyracarbolid","九十三年二月二十五日","九十三年二月二十五日"
"滅蘇民","Aziprotryne","九十三年二月二十五日","九十三年二月二十五日"
"固毆寧","Glyodin","九十三年二月二十五日","九十三年二月二十五日"
"益多松","Etrimfos","九十三年二月二十五日","九十三年二月二十五日"
"普滅克","Promecarb","九十三年二月二十五日","九十三年二月二十五日"
