類別,農作物類農產品
"米類","水稻、旱稻等。"
"麥類","大麥、小麥(含黑小麥)、燕麥、黑麥等。"
"雜糧類","玉米、高粱等。"
"乾豆類","大豆(黃豆、黑豆)、落花生、綠豆、紅豆、花豆(乾)、樹豆(乾)、豇豆(乾燥)、小扁豆、紅花籽、油菜籽、葵花籽、棉籽、蠶豆(乾)、蓮子、芝麻、亞麻籽、茶籽(含茶葉籽及油茶籽)等。"
"包葉菜類","十字花科包葉菜【甘藍(含球莖甘藍、抱子甘藍)、花椰菜、結球白菜、青花菜、包心芥菜、大心芥菜】、結球萵苣、朝鮮薊等。"
"小葉菜類","十字花科小葉菜(小白菜、油菜、青江菜、芥藍、甘藍菜苗、葉用蘿蔔、芥菜、薺菜、羽衣甘藍、芥藍菜芽、青花菜芽、蘿蔔菜芽)、不結球萵苣、半結球萵苣、茼蒿、紅鳳菜、白鳳菜、山茼蒿、芳香萬壽菊、闊包菊、蒜、青蔥、韭菜、韭黃、韭菜花、芹菜、蕹菜、菠菜、菾菜、葉用甘藷、羅勒、龍鬚菜、紫蘇、葉用豌豆、莧菜、枸杞葉、珠蔥、蕗蕎、洋牛蒡葉、香椿等。"
"根莖菜類","蘿蔔、胡蘿蔔、薑、洋蔥(含威爾士洋蔥、樹洋蔥、銀皮洋蔥等)、馬鈴薯、竹筍、蘆筍、茭白筍、芋頭、甘藷、山藥、樹薯、甜菜根、紅蔥頭、蕎頭、百合鱗莖、牛蒡、豆薯、蓮藕、碧玉筍、蒜頭、黑皮波羅門參、闊葉大豆根、狗尾草根、菱角、人參(鮮)、蕪菁、根芹菜、山葵等。"
"蕈菜類","香菇、洋菇、草菇、金菇、木耳、白木耳等。"
"果菜類","番茄、茄子、甜椒、辣椒、金針、枸杞、秋葵、洛神葵、香瓜茄、酸漿、樹番茄、野茄等。"
"瓜菜類","胡瓜(含小黃瓜)、苦瓜、絲瓜、冬瓜、南瓜、扁蒲、隼人瓜、越瓜、夏南瓜等。"
"豆菜類","菜豆(粉豆、醜豆、四季豆、敏豆、海軍豆)、豌豆、毛豆、扁豆、豇豆(含長豇豆)(鮮)、萊豆、蠶豆(鮮)、翼豆、花豆(鮮)、鷹嘴豆、樹豆(鮮)、刀豆等。"
"芽菜類","大豆芽、苜蓿芽、綠豆芽、豌豆芽、落花生芽、紅豆芽等。"
"瓜果類","西瓜、香瓜、洋香瓜(含波斯瓜)等。"
"大漿果類","香蕉、木瓜、鳳梨、奇異果、番荔枝、酪梨、火龍果、百香果、山竹、榴槤、紅毛丹、石榴、黃金果、榴槤蜜、波羅蜜等。"
"小漿果類","葡萄、草莓、楊桃、蓮霧、番石榴、木莓(包括覆盆子、黑莓等)、蔓越莓、藍莓、桑椹、無花果、穗醋栗、醋栗(鵝莓)、山桑、接骨木莓、露珠莓等。"
"核果類","芒果、龍眼、荔枝、楊梅、橄欖等。"
"梨果類","蘋果、梨、桃(含油桃)、李、梅、櫻桃、杏、棗、柿子、印度棗、枇杷、榅桲、山楂等。"
"柑桔類","柑桔、檸檬(含萊姆)、柚子、葡萄柚等。"
"茶類","茶葉等。"
"甘蔗類","甘蔗等。"
"堅果類","椰子、杏仁、胡桃、美洲胡桃、榛果、澳洲胡桃(夏威夷果)、開心果、腰果、巴西豆、栗子、松子等。"
"香辛植物及其他草木本植物","(1)       香辛植物(種子)：[歐洲]大茴香子、羅勒籽、葛縷籽、芹菜籽、鼠尾草種子、芫荽籽、馬芹籽、蒔蘿籽、小茴香籽、葫蘆巴籽、拉維紀草種子、肉豆蔻、香芹籽等。 (2)  香辛植物(果實)：草豆蔻、小豆蔻(莢果及種子)、白荳蔻、杜松子、神奇果、胡椒、蓽拔、花椒、眾香子、砂仁、八角茴香、香草豆等。 (3)  香辛植物(根莖)：黃精、南薑、拉維紀草根、薑黃等。 (4)  草木本植物：香蜂草、月桂葉、琉璃苣、貓薄荷、葛縷、芫荽、咖哩葉、蒔蘿、小茴香、葫蘆巴、絞股藍、苦薄荷、排香草、薰衣草、檸檬香茅、菩提、拉維紀草、馬鬱蘭、馬黛葉、薄荷、奧勒岡草、巴西利、迷迭香、鼠尾草、歐洲薄荷、酸模、甜菊葉、百里香、馬鞭草、洋蓍草、風茹草、咸豐草、蟛蜞菊、艾草、仙草、食用花卉(含玫瑰、菊花、蓮花、洋甘菊、百合花、野薑花、蘭花、金盞花、茉莉花、桂花、天竺葵、曇花)等。"
