證書編號,縣市別,類別,廠商名稱,負責人,地址,電話,證書狀況,證書有效期限,最大安全生產量,食品衛生管理專責人員,管制小組成員,承包商名稱,承包商負責人,承包商地址,承包商電話,備註
"衛評餐服字第003號","桃園市","餐飲服務業","衛生福利部桃園療養院供膳場所","簡以嘉","330 桃園市 龍壽街71號","03-3698553","廢止","2015-11-15","3,000餐食份/日","蘇O","食品衛生管理(專責)人員暨營養師 蘇O院方營養師 王O予營養師助理 郭O芬","鼎正有限公司","陳再昌","台北縣板橋市幸福路60巷4-2號","02-29021316",""
"衛評餐服字第005號","宜蘭縣","餐飲服務業","田江股份有限公司(蘭城晶英酒店百匯自助餐供膳場所)","江素芬","260 宜蘭市 民權路2段36號","03-9101000","廢止","2014-02-07","400餐食份/日","朱O雯","行政總主廚 林O勇廚務人員 陳O貴","","","","","中華民國98年12月9日衛署食字0980036197號公告發布"
"衛評餐服字第006號","臺北市","餐飲服務業","豐隆大飯店股份有限公司(台北君悅大飯店漂亮海鮮餐廳供膳場所)","郭令明","110 信義區 松壽路2號","02-27201234","廢止","2015-12-28","280餐食份/日","李O鎮","食品衛生管理(專責)人員暨餐飲部協理 李O鎮漂亮廳經理 黃O翔漂亮廳副主廚 詹O文執行副總主廚 陳O烽","","","","","中華民國100年11月16日食研檢字第1000004135號展延申請"
"衛評餐服字第007號","高雄市","餐飲服務業","高雄市私立復華高級中學中央廚房","康木村","802 苓雅區 民權一路42號","07-537-3882","廢止","2014-01-16","2,000餐食份/日","鄭O琦","提案人：蕭O祥 同意人：謝O安 小組召集人：謝O安 食品衛管人員：鄭O琦","健一食品有限公司","謝騏安","高雄市三民區應安街424之4號5樓","07-7021966","中華民國99年2月2日署授食字第0990003808號公告發布"
"衛評餐服字第008號","臺北市","餐飲服務業","豐隆大飯店股份有限公司台北君悅大飯店雲錦中餐廳(YUN JIN)","郭令明","110 信義區 松壽路2號","02-27201200","廢止","2016-04-08","260餐食份/日","李O鎮","食品衛生管理(專責)人員 李O鎮執行副總主廚 陳O烽雲錦中餐廳經理 洪O棟","","","","","中華民國99年4月9日署授食字第0991301127號函公告發布中華民國101年5月8日食研檢字第1010002091號函申請展延中華民國103年6月24日食研檢字第1030003026號函申請展延"
"衛評餐服字第124號","南投縣","餐飲服務業","台中榮民總醫院埔里分院供膳場所","呂炳榮","545 埔里鎮 榮光路1號","049--2990833","廢止","2014-08-30","2200","楊O佩","營養師 陳O祺秘書 莊O澐","大道食品有限公司承包","趙瑞美","台南市大福街6號","06-2223305",""
"衛評餐服字第019號","高雄市","餐飲服務業","高雄市立高雄啟智學校供膳場所","陳樹城","802 苓雅區 憲政路233巷2號","07-2235904","廢止","2012-07-04","400 餐食份/日","謝O純","提案人-謝O純 業務經理兼衛管人員同意人-謝O菊 負責人小組召集人-曾O惠 廚師","耕耘食品有限公司","謝錦菊","高雄市三民區河北一路173號1樓","07-2355758",""
"衛評餐服字第065號","高雄市","餐飲服務業","國賓大飯店股份有限公司高雄分公司(高雄國賓大飯店粵菜廳供膳場所)","徐迎秋","801 前金區 國民里民生二路202號","07-2115211","廢止","2015-01-24","1500 餐食份/日","吳O裕","食品衛生管理(專責)人員暨粵菜廚房副主廚 吳O裕財務部資深經理 蔡O成人事部資深經理 張O秀餐飲部資深經理 莊O淨餐飲部協理 梁O科","","","","","100.01.25 套印"
"衛評餐服字第078號","臺中市","餐飲服務業","長榮國際股份有限公司台中分公司(長榮桂冠酒店(台中)咖啡廳供膳場所)","張明哲","40759 西屯區 台灣大道2段666號","04-23139988","廢止","2015-06-06","400 餐食份/日","才O","食品衛生管理(專責)人員暨餐飲部行政副主廚 才O餐飲部主廚 黃O榮咖啡廳副主廚 劉O安","","","","",""
"衛評餐服字第105號","宜蘭縣","餐飲服務業","五鳳旗實業股份有限公司(礁溪老爺大酒店雲天自助餐廳)","林清波","宜蘭縣 礁溪鄉 五峰路69號","03-9885211","廢止","2016-02-21","1200","林O茹","雲天自助餐廳主廚 江O德雲天自助餐廳經理 朱O志餐務主任暨衛生管理專責人員 林O茹","","","","",""
