衛署健食字第A00107號	衛署健食字	白蘭氏旭沛蜆精	2007/9/28	馬來西亞商食益補國際股份有限公司台灣分公司	核可	1.肝糖(glycogen) 2.總水解精胺酸(arginine)、丙胺酸(alanine)、甘胺酸(glycine)	護肝功能（針對化學性肝損傷）	根據動物試驗結果，對四氯化碳誘發之大鼠肝臟損傷，有助於降低血清中GOT (AST)和GPT (ALT)值。			
衛署健食字第A00108號	衛署健食字	益齒達®無糖口香糖－沁甜草莓	2007/10/31	台灣留蘭香股份有限公司	失效	木糖醇	牙齒保健功能	1.有助於減少口腔內的牙菌斑。 2.有助於減少牙菌斑內突變形鏈球菌數量(Streptococcus mutans)。 3.有助於降低蛀牙的發生率。			
衛署健食字第A00109號	衛署健食字	統一綺麗健康植物固醇油	2007/11/20	統一企業股份有限公司	核可	植物固醇	調節血脂功能	有助於降低血中總膽固醇			
衛署健食字第A00110號	衛署健食字	金宏裕人蔘膠囊	2007/12/12	金宏裕生物科技有限公司	核可	人蔘抽出物	免疫調節功能	經動物試驗結果顯示，具有下列功效: 1.有助於促進免疫細胞增生能力 2.有助於促進吞噬細胞活性 3.有助於促進自然殺手細胞活性 4.有助於促進血清抗體生成			
衛署健食字第A00111號	衛署健食字	果醋覺醒蘋果醋飲料	2007/12/20	統一企業股份有限公司	核可	菊苣纖維	胃腸功能改善	有助於增加腸內益菌			
衛署健食字第A00112號	衛署健食字	植物固醇牛乳	2008/1/12	光泉牧場股份有限公司	核可	植物固醇	調節血脂功能	1.有助於降低血中總膽固醇2.有助於降低血中低密度脂蛋白膽固醇3.有助於減少發生心血管疾病的危險因子			
衛署健食字第A00113號	衛署健食字	愛之味鮮採番茄汁(OLIGO保健)	2008/1/28	愛之味股份有限公司	核可	異麥芽寡醣 (Isomalto-oligosaccharides)	胃腸功能改善	1.有助於增加腸內益生菌 2.有助於改善腸內細菌菌相			
衛署健食字第A00114號	衛署健食字	桂格養氣人蔘雞精	2008/3/24	佳格食品股份有限公司	核可	抗疲勞功能品管指標成分:總支鏈胺基酸 BCAA「Leucine(白胺酸)、Isoleucine(異白胺酸)、Valine(纈胺酸)」。護肝功能品管指標成分:總水解丙胺酸(Alanine)、甘胺酸(Glycine)、精胺酸(Arginine)。		(1)抗疲勞功能:根據動物實驗結果顯示：有助於改善血液中尿素氮與乳酸代謝，具有延緩疲勞發生之功效。(2)護肝功能:根據動物試驗結果，對四氯化碳誘發之大鼠肝臟損傷：有助於降低血清中AST (GOT) 和ALT (GPT)值。」	支鏈有機酸尿症（例如楓糖尿症）患者應避免食用。	請洽詢醫師或營養師有關食用本品之意見；均衡的飲食及適當的運動為身體健康之基礎。請依建議量攝食，多食無益。	
衛署健食字第A00115號	衛署健食字	福樂健康雙效優酪乳	2008/2/29	佳乳食品股份有限公司	失效	乳酸菌(Lactobacilli) 其中含雙叉桿菌(龍根菌 Bifidobacterum Longum )	免疫調節功能	有助於增加腸內益生菌。 經動物實驗證實：本產品有助於調節T細胞功能。			
衛署健食字第A00116號	衛署健食字	賜多利菁華 (粉末食品)	2008/3/12	連法國際實業股份有限公司	核可	1.特定免疫球蛋白G 2.總免疫球蛋白G	輔助調整過敏體質功能,免疫調節功能	I. 免疫調節功能: 「根據動物實驗結果顯示： 1.有助於促進體內IgA抗體生成。 2.有助於促進自然殺手細胞活性。 3.有助於調節T細胞功能。」 II. 輔助調整過敏體質: 「經動物實驗證實：1.有助於減緩過敏造成的呼吸道阻力現象。 2.有助於降低促發炎細胞激素IFN-γ含量。 3.有助於抑制Th2過敏免疫反應的特異性IgE及IgG1抗體生成。 4.有助於降低脾臟細胞在過敏原刺激下IL-4的分泌。」			
衛署健食字第A00117號	衛署健食字	双健茶王	2008/4/7	愛之味股份有限公司	核可	難消化性麥芽糊精(膳食纖維)	調節血糖功能,不易形成體脂肪功能	調節血糖功能認證:經動物實驗證實，本產品對於禁食血糖偏高者，具有輔助調節作用。不易形成體脂肪功能認證:有助於減少體脂肪之形成。			
衛署健食字第A00118號	衛署健食字	統一陽光高纖燕麥穀奶	2008/5/2	統一企業股份有限公司	核可	β葡萄聚糖（Beta-glucan） 菊苣纖維（Inulin）	調節血脂功能	1.有助於降低血中總膽固醇。 2.有助於降低血中低密度脂蛋白膽固醇。 3.有助於增加血中高密度脂蛋白膽固醇。 4.有助於減少發生心血管疾病的危險因子。			
衛署健食字第A00119號	衛署健食字	田邊甲殼質健康膠囊	2008/5/20	台灣田邊製藥股份有限公司	核可	幾丁聚醣(甲殼質)	調節血脂功能	1.有助於降低血中總膽固醇。 2.有助於降低血中低密度脂蛋白膽固醇。 3.有助於減少發生心血管疾病的危險因子。			
衛署健食字第A00120號	衛署健食字	統一健康 3D 錠狀食品	2008/5/28	統一企業股份有限公司	失效	Monacolin K	調節血脂功能,調節血糖功能	1.根據動物實驗證實，有助於降低血中總膽固醇。2.經動物實驗證實,本產品對禁食血糖值偏高者,具有輔助調節作用。			
衛署健食字第A00122號	衛署健食字	養樂多草苺高鈣優酪乳	2008/5/30	養樂多股份有限公司	核可	活性乳酸菌(包含Lactobacillus casei Shirota、Streptococcus thermophilus)	胃腸功能改善	經動物實驗證實： 1.有助於增加腸內益生菌 2.有助於改善腸內細菌菌相			
衛署健食字第A00123號	衛署健食字	養樂多原味高鈣優酪乳	2008/5/30	養樂多股份有限公司	核可	活性乳酸菌(包含Lactobacillus casei Shirota、Streptococcus thermophilus)	胃腸功能改善	經動物實驗證實： 1.有助於增加腸內益生菌 2.有助於改善腸內細菌菌相			
衛署健食字第A00124號	衛署健食字	國鼎牛樟芝菌絲體	2008/5/30	國鼎生物科技股份有限公司	核可	安卓奎諾爾® (Antroquinonol®)為品管指標成分	護肝功能（針對化學性肝損傷）	根據動物試驗結果，對四氯化碳誘發大鼠肝臟的損傷，有助於降低血清中GPT (ALT)值。			
衛署健食字第A00125號	衛署健食字	普羅敏膠囊	2008/6/5	東宇生物科技股份有限公司	核可	Lactobacillus salivarius	輔助調整過敏體質功能	經動物實驗結果證實： 1.有助於減少血清中特異性IgE 抗體之生成。 2.有助於促進脾臟細胞IFN-γ分泌量。			
衛署健食字第A00126號	衛署健食字	“科達”股立補膠囊	2008/7/21	科達製藥股份有限公司	核可	Imperatorin;Osthol	骨質保健功能	經動物實驗結果推論：本產品可能有助於減緩骨質流失。			
衛署健食字第A00127號	衛署健食字	甘喜康膠囊	2008/7/31	泰宗生物科技股份有限公司	核可	多醣	護肝功能（針對化學性肝損傷）	根據動物試驗結果：對四氯化碳誘發之大鼠肝臟損傷，有助於降低血清中GOT (AST)和GPT (ALT)值。			
