國際統一編號,產品類型,種類,品名,轉殖品系,申請者,核准日期,有效期限
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6xSYN-IR162-4xMON-ØØ6Ø3-6","混合品系","玉米","混合型基因改造玉米","TC1507xMON810xMIR162xNK603","台灣杜邦股份有限公司","2013-05-02","2018-05-02"
"SYN-IR162-4","單一品系","玉米","抗蟲基因改造玉米","MIR162","台灣先正達股份有限公司","2009-04-20","2019-04-20"
"DP-3Ø5423-1","單一品系","黃豆","高油酸基因改造黃豆","DP-305423-1","台灣杜邦股份有限公司","2010-07-23","2020-07-23"
"MON-877Ø1-2","單一品系","黃豆","抗蟲基因改造黃豆","MON87701","香港商孟山都遠東股份有限公司台灣分公司","2011-07-06","2021-07-06"
"MON-89Ø34-3xDAS-Ø15Ø7-1xMON-ØØ6Ø3-6","混合品系","玉米","混合型基因改造玉米","MON89034xTC1507xNK603","台灣道禮股份有限公司","2011-08-22","2021-08-22"
"DAS-81419-2xDAS-444Ø6-6","混合品系","黃豆","混合型基因改造黃豆","DAS-81419-2xDAS-44406-6","台灣道禮股份有限公司","2016-07-12","2021-07-12"
"ACS-BNØØ5-8xACS-BNØØ3-6xMON-ØØØ73-7","混合品系","油菜","混合型基因改造油菜","MS8xRF3xGT73","台灣拜耳股份有限公司","2016-04-22","2021-04-22"
"BCS-GHØØ4-7","單一品系","棉花","抗蟲及耐除草劑基因改造棉花","T304-40","台灣拜耳股份有限公司","2015-07-02","2020-07-02"
"DAS-21Ø23-5","單一品系","棉花","抗蟲基因改造棉花","3006-210-23","台灣道禮股份有限公司","2015-11-12","2020-11-12"
"DAS-24236-5","單一品系","棉花","抗蟲基因改造棉花","281-24-236","台灣道禮股份有限公司","2015-11-12","2020-11-12"
"DAS-24236-5xDAS-21Ø23-5","混合品系","棉花","混合型基因改造棉花","281-24-236x3006-210-23","台灣道禮股份有限公司","2015-12-14","2020-12-14"
"SYN-IR1Ø2-7xMON-15985-7xMON-88913-8","混合品系","棉花","混合型抗蟲暨耐嘉磷塞基因改造棉花","COT102xMON15985xMON88913","香港商孟山都遠東股份有限公司台灣分公司","2016-01-21","2021-01-21"
"MON-874Ø3-1","單一品系","玉米","提升玉米穗生物量基因改造玉米","MON87403","香港商孟山都遠東股份有限公司台灣分公司","2017-08-01","2022-08-01"
"SYN-BTØ11-1xDAS-Ø15Ø7-1xMON-ØØØ21-9","混合品系","玉米","混合型基因改造玉米","Bt11xTC1507xGA21","台灣先正達股份有限公司","2016-06-08","2021-06-08"
"MON-87419-8","單一品系","玉米","耐除草劑基因改造玉米","MON87419","香港商孟山都遠東股份有限公司台灣分公司","2017-06-02","2022-06-02"
"BCS-GHØØ2-5xBCS-GHØØ4-7xBCS-GHØØ5-8xSYN-IR1Ø2-7","混合品系","棉花","混合型基因改造棉花","GHB614xT304-40xGHB119xCOT102","台灣拜耳股份有限公司","2016-02-05","2021-02-05"
"MON-87751-7xMON-877Ø1-2xMON-877Ø8-9xMON-89788-1","混合品系","黃豆","混合型基因改造黃豆","MON87751xMON87701xMON87708xMON89788","香港商孟山都遠東股份有限公司台灣分公司","2017-09-10","2022-09-10"
"DAS-4Ø278-9","單一品系","玉米","抗除草劑基因改造玉米","DAS-40278-9","台灣道禮股份有限公司","2011-11-07","2021-11-07"
"MON-89Ø34-3","單一品系","玉米","抗蟲基因改造玉米","MON89034","香港商孟山都遠東股份有限公司台灣分公司","2008-07-25","2018-07-25"
"SYN-E3272-5xSYN-BTØ11-1xSYN-IR6Ø4-5xMON-ØØØ21-9","混合品系","玉米","混合型基因改造玉米","3272xBt11xMIR604xGA21","台灣先正達股份有限公司","2011-09-05","2021-09-05"
"ACS-BNØØ3-6","單一品系","油菜","耐除草劑基因改造油菜","RF3","台灣拜耳股份有限公司","2015-03-17","2020-03-17"
"SYN-IR1Ø2-7","單一品系","棉花","抗蟲基因改造棉花","COT102","台灣先正達股份有限公司","2015-01-20","2020-01-20"
"MON-87411-9","單一品系","玉米","抗根蟲及耐嘉磷塞基因改造玉米","MON87411","香港商孟山都遠東股份有限公司台灣分公司","2015-08-17","2020-08-17"
"ACS-GHØØ1-3","單一品系","棉花","耐除草劑基因改造棉花","LLCotton25","台灣拜耳股份有限公司","2015-04-19","2020-04-19"
"SYN-BTØ11-1xSYN-IR162-4xSYN-IR6Ø4-5xMON-ØØØ21-9","混合品系","玉米","混合型基因改造玉米","Bt11xMIR162xMIR604xGA21","台灣先正達股份有限公司","2011-05-30","2021-05-30"
"MON-88913-8","單一品系","棉花","耐嘉磷塞基因改造棉花","MON88913","香港商孟山都遠東股份有限公司台灣分公司","2015-05-25","2020-05-25"
"SYN-E3272-5xSYN-BTØ11-1xSYN-IR6Ø4-5xDAS-Ø15Ø7-1xSYN-Ø53Ø7-1xMON-ØØØ21-9","混合品系","玉米","混合型基因改造玉米","3272xBt11xMIR604xTC1507x5307xGA21","台灣先正達股份有限公司","2015-05-05","2020-05-05"
"MON-89Ø34-3xDAS-Ø15Ø7-1xMON-ØØ6Ø3-6xDAS-4Ø278-9","混合品系","玉米","混合型基因改造玉米","MON89034xTC1507xNK603xDAS-40278-9","台灣道禮股份有限公司","2015-01-20","2020-01-20"
"ACS-BNØØ5-8","單一品系","油菜","耐除草劑基因改造油菜","MS8","台灣拜耳股份有限公司","2015-03-18","2020-03-18"
"MON-877Ø8-9xMON-89788-1","混合品系","黃豆","混合型耐汰克草暨耐嘉磷塞基因改造黃豆","MON87708xMON89788","香港商孟山都遠東股份有限公司台灣分公司","2014-09-24","2019-09-24"
"MON-15985-7","單一品系","棉花","保鈴棉II基因改造棉花","MON15985","香港商孟山都遠東股份有限公司台灣分公司","2015-05-25","2020-05-25"
"MON-ØØØ73-7","單一品系","油菜","耐嘉磷塞基因改造油菜","GT73","香港商孟山都遠東股份有限公司台灣分公司","2015-06-08","2020-06-08"
"BCS-GHØØ2-5xBCS-GHØØ4-7xBCS-GHØØ5-8","混合品系","棉花","混合型基因改造棉花","GHB614xT304-40xGHB119","台灣拜耳股份有限公司","2015-08-19","2020-08-19"
"ACS-GHØØ1-3xMON-15985-7","混合品系","棉花","混合型基因改造棉花","LLCotton25xMON15985","台灣拜耳股份有限公司","2015-12-14","2020-12-14"
"MON-87769-7xMON-89788-1","混合品系","黃豆","混合型十八碳四烯酸暨耐嘉磷塞基因改造黃豆","MON87769xMON89788","香港商孟山都遠東股份有限公司台灣分公司","2015-06-26","2020-06-26"
"BCS-GHØØ2-5","單一品系","棉花","耐除草劑基因改造棉花","GHB614","台灣拜耳股份有限公司","2015-04-19","2020-04-19"
"BCS-GHØØ5-8","單一品系","棉花","抗蟲及耐除草劑基因改造棉花","GHB119","台灣拜耳股份有限公司","2015-04-19","2020-04-19"
"BCS-GHØØ2-5xACS-GHØØ1-3xMON-15985-7","混合品系","棉花","混合型基因改造棉花","GHB614xLLCotton25xMON15985","台灣拜耳股份有限公司","2015-12-14","2020-12-14"
"DAS-68416-4xMON-89788-1","混合品系","黃豆","混合型基因改造黃豆","DAS-68416-4xMON89788","台灣道禮股份有限公司","2015-02-26","2020-02-26"
