年度,月份,分類,檢體名稱,農藥殘留量,抽樣衛生局,抽樣地點
"106","07~08","米類","精選濁水白米","合格","新北市政府衛生局","德興雜糧行/新北市土城區延平街33巷6號"
"106","07~08","米類","梗種白米(國產)","合格","新北市政府衛生局","上將食品有限公司/新北市新莊區幸福東路86號"
"106","07~08","米類","國寶糙米","合格","新北市政府衛生局","陳順記商店/新北市淡水區中正路42號"
"106","07~08","米類","三好糙米","合格","新北市政府衛生局","大永行銷有限公司/新北市汐止區南陽街23號"
"106","07~08","米類","蓬萊糙米","合格","新北市政府衛生局","茂發雜糧行/新北市新店區光明街58號"
"106","07~08","米類","白米","合格","臺北市政府衛生局","惠康百貨股份有限公司大安分公司/台北市大安區和平東路2段311巷29號"
"106","07~08","米類","稉型白米","合格","臺北市政府衛生局","家福股份有限公司台北南港分公司/台北市南港區南港路2段20巷5號B1-1樓"
"106","07~08","米類","黑糯糙米","合格","基隆市政府衛生局","基隆市農會/基隆市七堵區明德一路151號"
"106","07~08","麥類","有機燕麥片-細","合格","臺南市政府衛生局","統健實業股份有限公司湖美門市/台南市中西區中華西路二段773號"
"106","07~08","雜糧類","有機甜玉米","合格","苗栗縣政府衛生局","大潤發頭份店/苗栗縣頭份市東庄里自強路230號"
"106","07~08","雜糧類","有機玉米","合格","臺南市政府衛生局","全聯實業股份有限公司永康永大分公司/台南市永康區永大路三段39號"
"106","07~08","雜糧類","有機小米","合格","臺南市政府衛生局","統健實業股份有限公司湖美門市/台南市中西區中華西路二段773號"
"106","07~08","雜糧類","玉米","合格","連江縣衛生福利局","市攤-陳炎金/連江縣南竿鄉介壽村267號"
"106","07~08","雜糧類","玉米","合格","宜蘭縣政府衛生局","美雲果菜行/宜蘭縣宜蘭市果菜批發市場36攤"
"106","07~08","雜糧類","玉米","合格","宜蘭縣政府衛生局","金是金股份有限公司/宜蘭縣員山鄉永同路3段20號"
"106","07~08","雜糧類","玉米","合格","南投縣政府衛生局","涵碧樓大飯店中餐廳/南投縣魚池鄉中興路142號"
"106","07~08","乾豆類","精選綠豆","合格","嘉義市政府衛生局","大九九大賣場興達店/嘉義市西區興達路286號"
"106","07~08","乾豆類","毛綠豆","合格","嘉義市政府衛生局","全聯嘉義南京店/嘉義市西區南京路416號"
"106","07~08","乾豆類","有機黃豆(非基因改造)","合格","臺南市政府衛生局","統健實業股份有限公司湖美門市/台南市中西區中華西路二段773號"
"106","07~08","乾豆類","有機綠豆","合格","臺南市政府衛生局","統健實業股份有限公司湖美門市/台南市中西區中華西路二段773號"
"106","07~08","乾豆類","綠豆","合格","新北市政府衛生局","耆盛企業股份有限公司/新北市樹林區八德街280巷3號3樓"
"106","07~08","乾豆類","油綠豆","合格","苗栗縣政府衛生局","詮紘食品有限公司/苗栗縣苑裡鎮苑南里五鄰新生路17號"
"106","07~08","包葉菜類","結球萵苣","合格","高雄市政府衛生局","自由農產行/高雄市左營區自由三路261號"
"106","07~08","包葉菜類","大白菜","合格","雲林縣衛生局","千葉火鍋(斗六店)/雲林縣斗六市民生南路182號"
"106","07~08","包葉菜類","甘藍","合格","雲林縣衛生局","全聯實業股份有限公司雲林斗六分公司/雲林縣斗六市莊敬路43號"
"106","07~08","包葉菜類","高麗菜","合格","連江縣衛生福利局","市攤-陳招弟/連江縣南竿鄉介壽村245-1號5F"
"106","07~08","包葉菜類","高麗菜","合格","連江縣衛生福利局","市攤-陳秀金/連江縣南竿鄉復興村174號"
"106","07~08","包葉菜類","萵苣","合格","連江縣衛生福利局","市攤-陳法清/連江縣南竿鄉介壽村314號"
"106","07~08","包葉菜類","高麗菜","合格","雲林縣衛生局","里仁事業股份有限公司斗六分公司/雲林縣斗六市慶生路8號1樓"
"106","07~08","包葉菜類","高麗菜","合格","雲林縣衛生局","里仁事業股份有限公司斗六分公司/雲林縣斗六市慶生路8號1樓"
"106","07~08","包葉菜類","青花菜","合格","雲林縣衛生局","斗六文化分公司/雲林縣斗六市文化路65號"
"106","07~08","包葉菜類","有機高麗菜","合格","雲林縣衛生局","里仁事業股份有限公司斗六分公司/雲林縣斗六市慶生路8號1樓"
"106","07~08","包葉菜類","韓國大白菜","合格","彰化縣衛生局","全聯實業股份有限公司彰化彰新分公司/彰化縣彰化市新興里彰新路1段72號"
"106","07~08","包葉菜類","山東大白","合格","彰化縣衛生局","小城百貨有限公司埔心店/彰化縣埔心鄉東門村員鹿路2段201號"
"106","07~08","包葉菜類","綠花椰","合格","臺北市政府衛生局","菜攤/台北市北投區中和街320巷14號對面"
"106","07~08","包葉菜類","有機轉型期高麗菜","合格","臺南市政府衛生局","(家福)便利購台南開元店/台南市北區開元路501號503號505號507號"
"106","07~08","包葉菜類","高麗菜","合格","連江縣衛生福利局","市攤-劉好金/連江縣南竿鄉介壽村100號"
"106","07~08","包葉菜類","大白菜","合格","連江縣衛生福利局","大眾商店/連江縣南竿鄉介壽村359號"
"106","07~08","包葉菜類","結球萵苣","合格","嘉義市政府衛生局","全聯竹圍門市/嘉義市西區四維路368號"
"106","07~08","包葉菜類","萵苣","克凡派Chlorfenapyr 0.06 (不符使用規定)","臺中市政府衛生局","全聯實業股份有限公司台中青海分公司/台中市西屯區河南路二段466號"
"106","07~08","包葉菜類","日本結球萵苣280G/粒","合格","臺中市政府衛生局","愛買/台中市南區復興路1段359號1樓及地下2樓"
"106","07~08","包葉菜類","進口高麗菜","合格","嘉義縣衛生局","全聯實業股份有限公司/嘉義縣太保市中興路一段609號"
"106","07~08","包葉菜類","青花菜(進口)","合格","臺南市政府衛生局","全聯實業股份有限公司台南湖美分公司/台南市北區和緯路5段30號1樓"
"106","07~08","包葉菜類","結球萵苣","合格","臺南市政府衛生局","全聯實業股份有限公司台南湖美分公司/台南市北區和緯路5段30號1樓"
"106","07~08","包葉菜類","結球萵苣","合格","臺南市政府衛生局","全聯股份有限公司仁德中清店/台南市仁德區中清路167、169號"
"106","07~08","包葉菜類","結球萵苣","合格","臺南市政府衛生局","大潤發流通事業股份有限公司-安平分公司/台南市安平區郡平路42號"
"106","07~08","包葉菜類","青花菜","合格","臺南市政府衛生局","大潤發流通事業股份有限公司-安平分公司/台南市安平區郡平路42號"
"106","07~08","包葉菜類","美國結球萵苣","合格","臺南市政府衛生局","大潤發流通事業股份有限公司台南佳里店分公司/台南市佳里區民安里同安寮80-2號"
"106","07~08","包葉菜類","美國青花菜","合格","臺南市政府衛生局","大潤發流通事業股份有限公司台南佳里店分公司/台南市佳里區民安里同安寮80-2號"
"106","07~08","包葉菜類","韓國天津白菜","合格","臺南市政府衛生局","大潤發流通事業股份有限公司台南佳里店分公司/台南市佳里區民安里同安寮80-2號"
"106","07~08","包葉菜類","萵苣","合格","高雄市政府衛生局","拉亞漢堡店/高雄市旗山區文中路69號"
"106","07~08","包葉菜類","高麗菜","合格","高雄市政府衛生局","老先覺/高雄市大寮區鳳林四路12號"
"106","07~08","包葉菜類","萵苣","合格","高雄市政府衛生局","阿帕碳烤吐司/高雄市大社區中山路189號"
"106","07~08","包葉菜類","美生菜","合格","高雄市政府衛生局","貴族世家/高雄市前鎮區中華五路789號6樓"
"106","07~08","包葉菜類","美生菜","合格","高雄市政府衛生局","小牧人異國料理餐廳/高雄市路竹區民強街12號"
"106","07~08","小葉菜類","台灣紫蘇","合格","金門縣衛生局","存仁/金門縣金城鎮莒光路59號"
"106","07~08","小葉菜類","紫蘇","合格","金門縣衛生局","存德中藥房/金門縣金城鎮莒光路38號"
"106","07~08","小葉菜類","青江菜","合格","金門縣衛生局","全聯實業股份有限公司金門慈湖分公司/金門縣金寧鄉下埔下56-1號"
"106","07~08","小葉菜類","青江菜","合格","雲林縣衛生局","廖志能/雲林縣西螺鎮果菜市場第3棟68號"
"106","07~08","小葉菜類","油菜","合格","雲林縣衛生局","楊坤錫/雲林縣西螺鎮果菜市場第3棟907號"
"106","07~08","小葉菜類","芥藍菜","合格","雲林縣衛生局","蘇墾佐/雲林縣西螺鎮果菜市場669號"
"106","07~08","小葉菜類","青江菜","合格","雲林縣衛生局","蘇墾佐/雲林縣西螺鎮果菜市場669號"
"106","07~08","小葉菜類","蚵白菜","合格","雲林縣衛生局","蘇墾佐/雲林縣西螺鎮果菜市場669號"
"106","07~08","小葉菜類","蚵白菜","合格","雲林縣衛生局","廖志能/雲林縣西螺鎮果菜市場第3棟68號"
"106","07~08","小葉菜類","芥藍菜","合格","雲林縣衛生局","李昆岳/雲林縣西螺鎮西螺果菜市場第三棟936號"
"106","07~08","小葉菜類","青江菜","合格","雲林縣衛生局","卓裕盛/雲林縣西螺鎮果菜市場第三棟841號"
"106","07~08","小葉菜類","青江菜","合格","雲林縣衛生局","林秋合/雲林縣西螺鎮果菜市場第三棟837號"
"106","07~08","小葉菜類","油菜","合格","雲林縣衛生局","廖義城/雲林縣西螺鎮果菜市場第三棟916號"
"106","07~08","小葉菜類","油菜","毆殺斯Oxadixyl 0.15 (不符使用規定)","雲林縣衛生局","鄧氏金鑾/雲林縣西螺鎮"
"106","07~08","小葉菜類","青江菜","合格","雲林縣衛生局","程明瓏/雲林縣西螺鎮果菜市場第三棟729號"
"106","07~08","小葉菜類","青江菜","合格","高雄市政府衛生局","頂好超市(美術店)/高雄市鼓山區美術東二路175號"
"106","07~08","小葉菜類","油菜","合格","高雄市政府衛生局","頂好超市(美術店)/高雄市鼓山區美術東二路175號"
"106","07~08","小葉菜類","地瓜葉","合格","高雄市政府衛生局","頂好超市(美術店)/高雄市鼓山區美術東二路175號"
"106","07~08","小葉菜類","青江菜","合格","高雄市政府衛生局","吉品市蔬菜/高雄市旗山區"
"106","07~08","小葉菜類","青泉菜","合格","高雄市政府衛生局","里仁事業股份有限公司/高雄市旗山區德昌路53號"
"106","07~08","小葉菜類","白菜","合格","高雄市政府衛生局","里仁事業股份有限公司/高雄市旗山區德昌路53號"
"106","07~08","小葉菜類","白菜","合格","高雄市政府衛生局","高雄市美濃區農會附設生鮮超市/高雄市美濃區雙峰街1-17號"
"106","07~08","小葉菜類","茼蒿菜","合格","高雄市政府衛生局","六龜農會生鮮超市/高雄市六龜區光復路107號"
"106","07~08","小葉菜類","油菜","普硫松Prothiofos 1.8 (0.5)","高雄市政府衛生局","六龜區農會生鮮超市/高雄市六龜區光復路107號"
"106","07~08","小葉菜類","油菜","護矽得Flusilazole 0.032 (不得檢出)","高雄市政府衛生局","金月號/高雄市甲仙區中正路43號"
"106","07~08","小葉菜類","芥藍菜","合格","高雄市政府衛生局","施家班青菜大賣場/高雄市三民區大順二路741號"
"106","07~08","小葉菜類","有機青江菜","合格","高雄市政府衛生局","JASONS超市(漢神百貨公司)/高雄市前金區成功一路266之1號B3"
"106","07~08","小葉菜類","大陸妹","合格","高雄市政府衛生局","漢來大飯店(漢來美食股份有限公司高雄分公司)-海港自助餐廳/高雄市前金區成功一路266號43樓"
"106","07~08","小葉菜類","菠菜","合格","高雄市政府衛生局","漢來大飯店(漢來美食股份有限公司高雄分公司)-海港自助餐廳/高雄市前金區成功一路266號43樓"
"106","07~08","小葉菜類","青江菜","合格","高雄市政府衛生局","大潤發流通事業股份有限公司/高雄市鳳山區文華里文化路59號"
"106","07~08","小葉菜類","芥藍","合格","高雄市政府衛生局","俗俗的賣生鮮超市五甲店/高雄市鳳山區(二)五甲二路398號"
"106","07~08","小葉菜類","有機青江菜","合格","高雄市政府衛生局","大港生鮮超市(友集商行)/高雄市林園區東林西路97號"
"106","07~08","小葉菜類","空心菜","合格","高雄市政府衛生局","東揚便利商店有限公司林園門市部/高雄市林園區東林西路211號"
"106","07~08","小葉菜類","青江菜","合格","高雄市政府衛生局","九久大賣場/高雄市大寮區大寮村大仁路1號"
"106","07~08","小葉菜類","韮菜","愛殺松Ethion 0.145 (不得檢出)","高雄市政府衛生局","愛國生鮮超市/高雄市大寮區鳳林四路14-2號"
"106","07~08","小葉菜類","青葱","合格","高雄市政府衛生局","愛國生鮮超市/高雄市大寮區鳳林四路14-2號"
"106","07~08","小葉菜類","青江白菜","合格","高雄市政府衛生局","全聯實業股份有限公司鳥松本館分公司/高雄市鳥松區本館路391-3號"
"106","07~08","小葉菜類","蔥","合格","高雄市政府衛生局","可口自助美食屋-可口企業社/高雄市大社區中山路177-3號"
"106","07~08","小葉菜類","青江菜","合格","高雄市政府衛生局","旺來昌實業股份有限公司/高雄市前鎮區公正路181號"
"106","07~08","小葉菜類","菠菜","合格","高雄市政府衛生局","葉清祥-旗后賣菜攤販/高雄市旗津區大關路14巷1號"
"106","07~08","小葉菜類","芥藍菜","合格","高雄市政府衛生局","小港醫院/高雄市小港區山明路482號"
"106","07~08","小葉菜類","青江菜","合格","高雄市政府衛生局","小港醫院/高雄市小港區山明路482號"
"106","07~08","小葉菜類","菠菜","合格","高雄市政府衛生局","小港醫院/高雄市小港區山明路482號"
"106","07~08","小葉菜類","甜菠菜","合格","高雄市政府衛生局","小港醫院/高雄市小港區山明路482號"
"106","07~08","小葉菜類","油菜","合格","高雄市政府衛生局","東齊生鮮超市(柏茂商行)/高雄市岡山區仁壽里柳橋西路166號一樓"
"106","07~08","小葉菜類","茼蒿","合格","高雄市政府衛生局","菜攤(曹智慧)/高雄市岡山區文賢市場(9號)"
"106","07~08","小葉菜類","青江菜","合格","高雄市政府衛生局","燕巢鄉農會生鮮超市/高雄市燕巢區中民路573號"
"106","07~08","小葉菜類","菠菜","合格","高雄市政府衛生局","燕巢鄉農會生鮮超市/高雄市燕巢區中民路573號"
"106","07~08","小葉菜類","油菜","合格","高雄市政府衛生局","燕巢鄉農會生鮮超市/高雄市燕巢區中民路573號"
"106","07~08","小葉菜類","青江菜","合格","高雄市政府衛生局","龍德鄉村屋/高雄市阿蓮區忠孝路73號"
"106","07~08","小葉菜類","茼蒿","克凡派Chlorfenapyr 1.1 (1.0)","高雄市政府衛生局","大賜商行(大立生鮮超市)/高雄市路竹區竹南村國昌路53號1樓"
"106","07~08","小葉菜類","油菜","合格","高雄市政府衛生局","大賜商行(大立生鮮超市)/高雄市路竹區竹南村國昌路53號1樓"
"106","07~08","小葉菜類","善美的有機青江菜","合格","高雄市政府衛生局","全聯實業股份有限公司高雄路竹分公司/高雄市路竹區竹南村中正路180號"
"106","07~08","小葉菜類","善美的有機小白菜","合格","高雄市政府衛生局","全聯實業股份有限公司高雄路竹分公司/高雄市路竹區竹南村中正路180號"
"106","07~08","小葉菜類","善美的有機油菜","合格","高雄市政府衛生局","全聯實業股份有限公司高雄路竹分公司/高雄市路竹區竹南村中正路180號"
"106","07~08","小葉菜類","青江菜","合格","屏東縣政府衛生局","凱撒大飯店/屏東縣恆春鎮墾丁路6號"
"106","07~08","小葉菜類","韭菜","合格","屏東縣政府衛生局","尚青菜籃子有限公司/屏東縣屏東市中山路65號"
