核備函字號,中文品名,英文品名,有效日期,發證日期,申請商名稱,申請商電話,申請商地址,成分,簽審文件編號
"1015027530","超級 280 魚油DHA 膠囊","FISH OIL DHA SUPER 280","1110807","1010807","全日通商業有限公司","02-22603879","新北市板橋區四川路2段245巷35號4樓","FISH OIL ( CONTAINS DHA );;FISH OIL ( CONTAINS EPA );;DUNALIELLA EXTRACT;;ALGAE EXTRACT;;SAFFLOWER OIL;;BEESWAX;;GLYCERIN ESTER OF FATTY ACIDS;;GELATIN;;GLYCERIN","DHC0A150275306"
"1015027553","特加綜維他錠狀食品","TOTAL PLUS TABLETS","1110827","1010827","德效國際有限公司","03-3219568","桃園市蘆竹區南興村南福街169-1號","VITAMIN B2;;VITAMIN B6;;VITAMIN B1;;VITAMIN C;;SOY PROTEIN POWDER;;VITAMIN B12;;CALCIUM PANTOTHENATE;;NIACINAMIDE;;FOLIC ACID;;BIOTIN;;CHOLINE BITARTRATE;;INOSITOL;;CITRUS BIOFLAVONOIDS;;ALFALFA;;WATERCRESS;;RICE BRAN;;BREWERS YEAST;;SOYBEAN LECITHIN;;PARSLEY;;CALCIUM CARBONATE;;XANTHAN GUM;;MAGNESIUM STEARATE;;STEARIC ACID;;MICROCRYSTALLINE CELLULOSE;;D-SORBITOL;;IRON OXIDE RED","DHC0A150275530"
"1015027555","舒也通膠囊食品","OMEGALIPO CAPSULES","1110828","1010828","德效國際有限公司","03-3219568","桃園市蘆竹區南興村南福街169-1號","SALMON FISH OIL;;SAFFLOWER SEED OIL;;GELATIN;;GLYCERIN;;PURIFIED WATER;;TITANIUM DIOXIDE;;FD & C YELLOW #5;;FD & C RED #40","DHC0A150275552"
"1015027556","新速立清膠囊食品","SULICHIN CAPSULES","1110723","1010723","德效國際有限公司","03-3219568","桃園市蘆竹區南興村南福街169-1號","GINKGO BILOBA FRUIT POWDER;;SOYBEAN LECITHIN;;RICE GERM;;RED ALGAE;;VITAMIN B1;;VITAMIN B2;;VITAMIN B6;;CHOLINE BITARTRATE;;INOSITOL;;GELATIN;;GLYCERIN;;SAFFLOWER YELLOW;;BLUEBERRY COLOR;;TITANIUM DIOXIDE","DHC0A150275563"
"1015027566","源素 膠囊食品","GEN SO","1110910","1010910","呈汝生物科技股份有限公司","07-2413386","高雄市三民區十全里九如二路616號5樓","VITAMIN C ( ASCORBIC ACID );;GREEN TEA EXTRACT;;APPLE PECTIN;;APPLE EXTRACT;;GLYCYRRHIZA EXTRACT;;MAGNESIUM STEARATE;;GELATIN;;WATER;;TITANIUM DIOXIDE;;SODIUM IRON CHLOROPHYLLIN","DHC0A150275665"
"1015027666","六鵬南瓜子油複方膜衣錠 (食品)","LP PUMPKIN SEED OIL COMPLEX COATED TABLET","1110807","1010807","六鵬貿易股份有限公司","02-29588790","新北市中和區民德路394號2樓","ZINC HVP CHELATE;;STEARIC ACID;;MICROCRYSTALLINE CELLULOSE;;HYDROXYPROPYL METHYLCELLULOSE;;DICALCIUM PHOSPHATE;;MAGNESIUM STEARATE;;FD & C YELLOW #6;;PURIFIED WATER;;POLYETHYLENE GLYCOL 400;;TITANIUM DIOXIDE;;PHYTOSTEROL;;CORN;;PUMPKIN SEED OIL;;BETA SITOSTEROL;;STINGING NETTLE EXTRACT;;TOMATO EXTRACT;;POLLEN","DHC0A150276668"
"1015028712","固立節錠狀食品","GOODLIJIE TABLETS","1110730","1010730","德效國際有限公司","03-3219568","桃園市蘆竹區南興村南福街169-1號","MSM(METHYLSULFONYL METHANE);;GLUCOSAMINE HCL;;COLLAGEN;;CHONDROITIN;;CHICKEN STERNUM COLLAGEN;;FURSULTIAMINE HYDROCHLORIDE;;VITAMIN B6;;CAT’S CLAW EXTRACT;;VITAMIN B12;;STEARIC ACID;;MAGNESIUM STEARATE;;MICROCRYSTALLINE CELLULOSE;;TITANIUM DIOXIDE","DHC0A150287121"
"1015028931","琉璃苣油膠囊食品","BORAGE OIL","1110727","1010727","台灣健而婷生化科技股份有限公司","04-23113199","台中市西屯區甘肅路二段25號2樓","BORAGE SEED OIL;;GELATIN;;GLYCERIN;;PURIFIED WATER","DHC0A150289310"
"1015029013","10合1迅速清軟膠囊","TOP 10 SYUN SU CINE SOFTGELS","1110827","1010827","昆昱國際有限公司","05-2211899","嘉義市東區太平里新生路617號","FISH BODY OIL;;GINKGO SEMEN;;RED YEAST RICE;;NIACINAMIDE;;CHROMIUM YEAST;;FLAX SEED OIL;;SAFFLOWER SEED OIL;;COENZYME Q10;;GRAPE SEED EXTRACT;;BILBERRY FRUIT EXT;;GELATIN;;GLYCERIN;;FD & C RED #40;;FD & C BLUE #1;;TITANIUM DIOXIDE","DHC0A150290131"
"1015029016","卡妮婷膠囊","SUPER L-CARNITINE","1110827","1010827","昆昱國際有限公司","05-2211899","嘉義市東區太平里新生路617號","L-CARNITINE;;MICROCRYSTALLINE CELLULOSE;;TALC;;MEDIUM CHAIN TRIGLYCERIDES;;HYDROXYPROPYL METHYLCELLULOSE;;SILICON DIOXIDE","DHC0A150290161"
