查驗登記證號,中文品名,英文品名,有效日期,發證日期,申請商名稱,申請商電話,申請商地址,成分
"1015058815","活力高單位左旋C錠","Vitamin C","1070207","1020207","輔凱生物科技股份有限公司","02-23455880","台北市信義區信義路五段5號6樓F02","維生素C;;葡萄子萃取物;;D-山梨醇;;微結晶纖維素;;二氧化矽;;硬脂酸鎂"
"1005004432","渡邊納豆紅麴軟膠囊","WATANABE NATTOKINASE","1100526","1000526","人生製藥股份有限公司","04-23592345","台中巿工業區五路3號","納豆萃取物(含納豆激酶);;紅麴;;維生素E;;精製魚油(精製魚油、混合濃縮生育醇、葵花油);;卵磷脂;;脂肪酸甘油酯;;蜂蠟;;明膠;;甘油;;蒸餾水;;二氧化鈦;;食用紅色40號;;食用黃色5號;;食用藍色1號"
"1005010282","井田優蓇保膠囊","CHINTENG IO KU PAO CAPSULES","1100526","1000526","井田生化科技股份有限公司","04-26814585","台中市大甲區日南里工九路9號","N-乙醯葡萄糖胺;;牡蠣貝殼粉末;;鯊魚軟骨粉;;膽鈣化醇(維生素D3) 0.25%(辛烯基丁二酸鈉澱粉、蔗糖、抗壞血酸鈉、中鏈三酸甘油酯、二氧化矽、生育醇、膽鈣化醇);;維生素B12;;膠原蛋白;;結晶性纖維素;;滑石粉;;銀杏果粉;;硫酸鎂;;蕁麻粉;;磷酸氫鈣;;明膠;;純水;;二氧化鈦;;食用藍色一號;;食用紅色六號;;食用黃色五號"
"1005025600","優倍多維他命E400軟膠囊","YOUBEST VITAMIN E 400 I.U. SOFT CAPSULES","1100706","1000706","杏輝藥品工業股份有限公司","03-9581101","宜蘭縣冬山鄉中山村中山路84號","乙酸 DL-ALPHA-生育醇酯（維生素E）;;大豆油;;明膠;;甘油;;純水"
"1005042811","新舒維康錠","NEW SOSTRESS FORMULA TABLETS","1101110","1001110","健業生物科技有限公司","02-86471113","新北市汐止區大同路3段196之7號8樓","氧化鎂;;啤酒酵母;;紫花苜蓿乾燥粉;;荷蘭芹乾燥粉;;玫瑰果乾燥粉;;卵磷脂;;啤酒花乾燥粉;;食用黃色4號;;食用紅色6號;;食用藍色1號;;鹽酸硫胺明（維生素B1）;;核黃素（維生素B2）;;鹽酸吡哆辛（維生素B6）;;維生素B12 (麥芽糊精、檸檬酸鈉、檸檬酸、維生素B12);;L-抗壞血酸（維生素C）;;菸鹼醯胺;;本多酸鈣;;葉酸;;生物素;;重酒石酸膽鹼;;肌醇;;碳酸鈣"
"1005045171","活沛多維他命B群膠囊","NUTRIPLUS VITAMIN B COMPLEX CAPSULES","1101117","1001117","健喬信元醫藥生技股份有限公司","03-5983500","新竹縣湖口鄉湖南村光復北路21巷4號","硝酸硫胺明（維生素B1）;;核黃素磷酸鈉（維生素B2）;;鹽酸口比哆辛（維生素B6）;;氰鈷胺明（維生素B12）;;菸鹼醯胺;;葉酸;;生物素;;本多酸鈣;;肌醇;;牛磺酸;;微晶纖維素;;硬脂酸鎂;;明膠;;純水;;食用黃色四號;;食用黃色五號;;二氧化鈦"
"1015059918","NEW B群鋅男人錠","Vitamin B complex & Zinc tablet","1070117","1020117","元璽生醫股份有限公司","02-66216259","新北市板橋區干城路158號8樓","維生素 B1;;維生素B2;;維生素B6;;菸鹼醯胺;;維生素C;;維生素E 50%;;維生素B12;;生物素;;本多酸鈣;;葡萄糖酸鋅;;乳酸菌（L. rhamnosus）;;乳糖顆粒;;葡萄糖漿粉;;硬脂酸鎂;;食用紅色六號;;食用藍色一號;;葉酸"
"1015059920","活力B群錠","Vitamin B Complex","1070108","1020108","輔凱生物科技股份有限公司","02-23455880","台北市信義區信義路五段5號6樓F02","維生素B1;;維生素B2;;維生素B6;;菸鹼醯胺;;葉酸;;生物素;;泛酸鈣;;牛磺酸;;刺五加萃取物;;硬脂酸鎂;;維生素B12 0.1%;;麥芽糊精;;微結晶纖維素;;二氧化矽"
"1015059961","營養密碼-維生素B群+C加強錠","Super B complex+C","1070117","1020117","美德耐股份有限公司　","02-27091088","台北市大安區延吉街239號3樓","蔗糖;;食用黃色4號;;食用黃色5號;;磷酸氫鈣;;二氧化鈦;;二氧化矽;;滑石粉;;核黃素（維生素B2）;;鹽酸口比哆辛（維生素B6）;;硝酸硫胺明（維生素B1）;;維生素C;;牛磺酸;;菸鹼醯胺;;本多酸鈣;;維生素B12;;葉酸;;生物素;;羥丙基纖維素;;微結晶狀ALPHA-纖維素;;麥芽糖粉末;;羧甲基澱粉鈉;;硬脂酸鎂;;羥丙基甲基纖維素;;酒精;;純水;;阿拉伯膠;;明膠"
"1015059962","營養密碼-補錠","LipoIron + Folic acid","1070415","1020415","美德耐股份有限公司　","02-27091088","台北市大安區延吉街239號3樓","焦磷酸鐵 32.27%;;葡萄糖酸鋅;;維生素E 50%;;丁烯二酸亞鐵;;鹽酸口比哆辛（維生素B6）;;亞麻仁油粉;;硝酸硫胺明（維生素B1）;;核黃素（維生素B2）;;葉酸;;維生素B12;;麥芽糖粉末;;羥丙基甲基纖維素;;羧甲基澱粉鈉;;二氧化鈦;;二氧化矽;;硬脂酸鎂;;聚乙二醇;;酒精;;純水"
"1015060505","諾寶美妍C口含錠","","1070218","1020218","諾貝兒寶貝股份有限公司","07-7356888","高雄市三民區大昌二路87號","覆盆莓果汁粉;;藍莓果汁粉;;羥丙基纖維素;;葡萄香料粉;;藍莓香料粉;;硬脂酸鎂;;二氧化矽;;蔗糖素;;酒精;;維他命E 50%;;麥芽糖粉末;;乳糖;;D-甘露醇;;維生素C 97%;;綜合蔬果萃取粉末（葡萄、柳橙、葡萄柚、山桑子、木瓜、鳳梨、草莓、蘋果、杏桃、櫻桃、黑醋栗、蕃茄、胡蘿蔔、綠茶、青花菜、綠色高麗菜、洋蔥、大蒜、橄欖、小麥胚芽、黃瓜、蘆荀22種蔬果萃取物）;;微結晶狀ALPHA-纖維素;;紅葡萄果汁粉"
"1015061665","活立旺綜合維他命","Vitamin Complex Plus","1070305","1020305","臣紀企業有限公司","07-7930098","高雄市小港區桂林里桂華街482號9樓","維生素A（11.5%）;;維生素D3（0.25%）;;維生素E（50%）;;維生素B1;;維生素B2;;維生素B6;;維生素B12;;維生素C;;葉酸;;生物素;;碳酸鈣;;菸鹼醯胺;;硫酸亞鐵;;葡萄糖酸鋅;;葡萄糖酸銅;;氧化鎂;;硫酸錳;;肌醇;;檸檬酸鉀;;蜆精;;硒酵母;;鉻酵母;;微結晶狀ALPHA-纖維素;;羥丙基甲基纖維素;;食用紅色四十號鋁麗基;;食用黃色四號鋁麗基"
"1015062768","尊盟B群錠食品","","1070117","1020117","賓懋實業有限公司","04-22597545","台中市西屯區龍門路69號","鹽酸口比哆辛;;氰鈷胺明;;L-抗壞血酸;;乾燥維生素E 50%;;肌醇;;重酒石酸膽鹼;;硝酸硫胺明;;核黃素;;葉酸;;菸鹼醯胺;;硒酵母;;葡萄糖酸鋅;;硫酸錳;;氧化鎂;;本多酸鈣;;硫酸銅;;L-天冬胺酸;;鹽酸L-二胺基己酸;;L-異白胺酸;;L-ALPHA-胺基異戊酸;;DL-蛋胺酸;;麩醯胺酸;;L-羥丁胺酸;;L-苯丙胺酸;;乳糖;;微結晶狀ALPHA-纖維素;;二氧化鈦;;食用黃色四號;;食用紅色六號;;食用藍色一號;;羥丙基甲基纖維素"
"1020013266","＂歐業＂宜百齡膠囊","UBELIN CAPSULES ”K.B.”","1070906","1020906","歐業藥品股份有限公司","07-7355113","高雄市鳥松區坔埔里松埔路11之10號1樓","dl-alpha-生育醇琥珀酸鈣;;維生素A醋酸酯 55.5%(維生素A醋酸酯、花生油、DL-ALPHA-生育醇);;抗壞血酸;;硝酸硫胺明;;核黃素;;鹽酸口比哆辛;;二氧化矽;;聚乙烯口比咯烷酮;;乳糖;;明膠;;食用藍色一號;;食用黃色五號;;二氧化鈦;;食用紅色六號;;食用黃色四號"
"1025001488","克諾明軟膠囊食品","Caroutein Softgels","1070221","1020221","永和興實業有限公司","07-2268939","高雄市苓雅區金門街9號","β-胡蘿蔔素 30%;;金盞花萃取物(含葉黃素);;維他命E;;維他命C;;葡萄糖酸鋅;;藍莓萃取粉末;;大豆油;;卵磷脂;;黑大豆萃取;;明膠;;甘油;;純水"
"1025004653","威粒TM他命微粒膠囊","Vit B complex pellet capsule","1070412","1020412","基盛生物技術股份有限公司","02-25798350","台北市中正區羅斯福路1段46號5樓之1","鹽酸口夫喃硫胺（維生素B1）;;維生素B2;;菸鹼醯胺;;維生素B6;;維生素E 50%;;維生素B12;;葉酸;;微結晶纖維素;;明膠;;食用黃色四號;;食用黃色五號"
