申請公司名稱,製造商名稱,申請產品名稱,抑制肉毒桿菌因子,查驗登記字號,發證日期,有效日期
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","沙茶芝麻豆干","商業滅菌","016010001","100年11月21日","105年11月21日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","醬燒豆乾","商業滅菌","016010002","100年11月21日","105年11月21日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","滷肉杏仁豆干","商業滅菌","016010003","100年11月21日","105年11月21日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","日式素豆干(原味)","商業滅菌","016010004","100年11月21日","105年11月21日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","日式素豆干(綠茶)","商業滅菌","016010005","100年11月21日","105年11月21日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","五香醬燒豆干","商業滅菌","016010006","100年11月21日","105年11月21日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","香辣醬燒豆干","商業滅菌","016010007","100年11月21日","105年11月21日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","沙茶豆乾","商業滅菌","016010008","100年11月21日","105年11月21日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","日式素豆干(香辣)","商業滅菌","016010009","100年11月21日","105年11月21日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","大阪豆乾(辣味)","商業滅菌","016010010","100年11月21日","105年11月21日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","大阪豆乾(綠茶)","商業滅菌","016010011","100年11月21日","105年11月21日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","滷肉豆乾","商業滅菌","016010012","100年11月21日","105年11月21日"
"天仁茶業(股)","福記冷凍食品股份有限公司","綠茶豆干","商業滅菌","001010001","100年11月21日","105年11月21日"
"金嘉隆商行","金嘉隆商行","炭燒豆干","冷藏10天","015010001","100年11月21日","105年11月21日"
"天素食品有限公司","天素食品有限公司","豆乾","水活性<0.85","009010001","100年11月21日","105年11月21日"
"吉香食品行","新東陽(股)","麻辣酵母豆腐","商業滅菌","005010001","100年11月21日","105年11月21日"
"大房食品股份有限公司","得意中華食品股份有限公司","大房五香豆干丁","商業滅菌","005050003","100年12月27日","105年12月27日"
"大房食品股份有限公司","得意中華食品股份有限公司","大房綜合豆干(原味、香椿)","商業滅菌","005050008","100年1月13日","105年1月13日"
"大房食品股份有限公司","得意中華食品股份有限公司","大房綜合豆干(沙茶、桂花)","商業滅菌","005050009","100年1月13日","105年1月13日"
"大房食品股份有限公司","得意中華食品股份有限公司","大房真空手工烏豆干","商業滅菌","005050004","100年12月27日","105年12月27日"
"大房食品股份有限公司","得意中華食品股份有限公司","大房原味豆干丁","商業滅菌","005050001","100年12月27日","105年12月27日"
"大房食品股份有限公司","得意中華食品股份有限公司","大房辣味豆干丁","商業滅菌","005050002","100年12月27日","105年12月27日"
"大房食品股份有限公司","得意中華食品股份有限公司","大房紅麴豆干","商業滅菌","005050007","100年1月13日","105年1月13日"
"大房食品股份有限公司","得意中華食品股份有限公司","大房國寶級豆干-真空手工烏豆干","商業滅菌","005050005","100年12月27日","105年12月27日"
"大房食品股份有限公司","得意中華食品股份有限公司","大房真空干","商業滅菌","005050006","100年12月28日","105年12月28日"
"大和食品廠","大和食品廠","大溪大豆干","商業滅菌","005020001","100年12月1日","105年12月1日"
"大和食品廠","大和食品廠","大溪黑豆干","商業滅菌","005020010","100年12月1日","105年12月1日"
"大和食品廠","大和食品廠","大溪麻辣豆干","商業滅菌","005020009","100年12月1日","105年12月1日"
"大和食品廠","大和食品廠","大溪黑胡椒炸豆腐","商業滅菌","005020008","100年12月1日","105年12月1日"
"大和食品廠","大和食品廠","大溪黑胡椒豆干","商業滅菌","005020007","100年12月1日","105年12月1日"
"大和食品廠","大和食品廠","大溪黑豆干2入","商業滅菌","005020006","100年12月1日","105年12月1日"
"大和食品廠","大和食品廠","大溪沙茶豆干","商業滅菌","005020002","100年12月1日","105年12月1日"
"大和食品廠","大和食品廠","大溪百頁豆腐","商業滅菌","005020011","100年12月1日","105年12月1日"
"大和食品廠","大和食品廠","大溪蜜汁豆干","商業滅菌","005020003","100年12月1日","105年12月1日"
"大和食品廠","大和食品廠","大溪五香滷印干","商業滅菌","005020004","100年12月1日","105年12月1日"
"大和食品廠","大和食品廠","大溪魯豆腱","商業滅菌","005020005","100年12月1日","105年12月1日"
"帝王食品企業","大和食品廠","大溪大豆干","商業滅菌","005030001","100年12月14日","105年12月14日"
"豐譽食品工業股份有限公司","大和食品廠","大溪黑胡椒炸豆腐","商業滅菌","005040007","100年12月23日","105年12月23日"
"豐譽食品工業股份有限公司","大和食品廠","大溪百頁豆腐","商業滅菌","005040010","100年12月23日","105年12月23日"
"豐譽食品工業股份有限公司","大和食品廠","大溪大豆干","商業滅菌","005040001","100年12月23日","105年12月23日"
"豐譽食品工業股份有限公司","大和食品廠","大溪黑豆干2入","商業滅菌","005040011","100年12月23日","105年12月23日"
"豐譽食品工業股份有限公司","大和食品廠","大溪魯豆腱","商業滅菌","005040005","100年12月23日","105年12月23日"
"豐譽食品工業股份有限公司","大和食品廠","大溪黑豆干","商業滅菌","005040009","100年12月23日","105年12月23日"
"豐譽食品工業股份有限公司","大和食品廠","大溪黑胡椒豆干","商業滅菌","005040006","100年12月23日","105年12月23日"
"豐譽食品工業股份有限公司","大和食品廠","大溪蜜汁豆干","商業滅菌","005040003","100年12月23日","105年12月23日"
"豐譽食品工業股份有限公司","大和食品廠","大溪沙茶豆干","商業滅菌","005040002","100年12月23日","105年12月23日"
"豐譽食品工業股份有限公司","大和食品廠","大溪五香滷印干","商業滅菌","005040004","100年12月23日","105年12月23日"
"豐譽食品工業股份有限公司","大和食品廠","大溪麻辣豆干","商業滅菌","005040008","100年12月23日","105年12月23日"
"吉香食品行","金春勝食品冷凍股份有限公司","麻辣酵母豆腐","商業滅菌","005010002","100年12月1日","105年12月1日"
"吉香食品行","金春勝食品冷凍股份有限公司","香筍酵母豆腐","商業滅菌","005010003","100年12月1日","105年12月1日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","多層乾(香辣)","商業滅菌","016010013","100年12月23日","105年12月23日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","阿里山茶豆干","商業滅菌","016010014","100年12月23日","105年12月23日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","多層干(三星蔥)","商業滅菌","016010015","100年12月24日","105年12月24日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","阿薩米紅茶豆乾丁","商業滅菌","016010016","100年12月23日","105年12月23日"
"嘉軒食品廠有限公司","嘉軒食品廠有限公司","壽司皮(長方形)","商業滅菌","002010001","100年12月14日","105年12月14日"
"嘉軒食品廠有限公司","嘉軒食品廠有限公司","壽司皮(三角形)","商業滅菌","002010002","100年12月14日","105年12月14日"
"戴記素食行","戴記素食行","白雞","冷凍","007010001","100年12月14日","105年12月14日"
"嘉軒食品廠有限公司","嘉軒食品廠有限公司","壽司皮(四角形)","商業滅菌","002010003","100年12月30日","105年12月30日"
"得意中華食品股份有限公司","得意中華食品股份有限公司","頑皮原味豆干(80g)","商業滅菌","016020001","100年12月30日","105年12月30日"
"大興吉國際企業有限公司","嘉軒食品廠有限公司","壽司皮(四角形)","商業滅菌","002020002","101年1月12日","106年1月12日"
"大興吉國際企業有限公司","嘉軒食品廠有限公司","壽司皮(三角形)","商業滅菌","002020003","101年1月12日","106年1月12日"
"新蓬萊食品股份有限公司","新蓬萊食品股份有限公司","香辣豆瓣醬","pH值<4.6","005060001","101年1月12日","106年1月12日"
"新蓬萊食品股份有限公司","新蓬萊食品股份有限公司","陳年豆醬","pH值<4.6","005060002","101年1月12日","106年1月12日"
"新蓬萊食品股份有限公司","新蓬萊食品股份有限公司","壺底蔭醬","pH值<4.6","005060003","101年2月8日","106年2月8日"
"黃大目食料品股份有限公司","黃大目食料品股份有限公司(西螺廠)","手作豆干","商業滅菌","005070001","101年1月18日","106年1月18日"
"醍醐大師店","福記冷凍食品股份有限公司","三星蔥醬燒豆干","商業滅菌","002030003","101年2月9日","106年2月9日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","奮起湖茶葉豆干(香辣)","商業滅菌","016010017","101年1月31日","106年1月31日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","奮起湖茶葉豆干(綠茶)","商業滅菌","016010018","101年1月31日","106年1月31日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","大阪燒豆干(原味)","商業滅菌","016010019","101年1月31日","106年1月31日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","大阪燒豆干(香辣)","商業滅菌","016010020","101年1月31日","106年1月31日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","大阪燒豆干(綠茶)","商業滅菌","016010021","101年1月31日","106年1月31日"
"福記冷凍食品股份有限公司","福記冷凍食品股份有限公司","日式生機大黑干","商業滅菌","016010022","101年1月31日","106年1月31日"
"得意中華食品股份有限公司","得意中華食品股份有限公司","頑皮原味豆干(80g)","商業滅菌","016020001","101年1月18日","106年1月18日"
"得意中華食品股份有限公司","得意中華食品股份有限公司","頑皮辣味豆干(80g)","商業滅菌","016020002","101年2月8日","106年2月8日"
"得意中華食品股份有限公司","得意中華食品股份有限公司","原味豆干(6片)","商業滅菌","016020003","101年1月18日","106年1月18日"
"得意中華食品股份有限公司","得意中華食品股份有限公司","辣味豆干(6片)","商業滅菌","016020004","101年2月22日","106年2月22日"
"得意中華食品股份有限公司","得意中華食品股份有限公司","紅麴豆干(2入)","商業滅菌","016020005","101年2月22日","106年2月22日"
"得意中華食品股份有限公司","得意中華食品股份有限公司","香椿豆干(2入)","商業滅菌","016020006","101年2月22日","106年2月22日"
"得意中華食品股份有限公司","得意中華食品股份有限公司","辣味豆干(2入)","商業滅菌","016020007","101年2月22日","106年2月22日"
"得意中華食品股份有限公司","得意中華食品股份有限公司","咖哩豆干(2入)","商業滅菌","016020008","101年2月22日","106年2月22日"
"得意中華食品股份有限公司","得意中華食品股份有限公司","原味豆干(2入)","商業滅菌","016020009","101年2月22日","106年2月22日"
"山地屋商行","福記冷凍食品股份有限公司","雲南擺夷豆干(香辣)","商業滅菌","012010001","101年2月22日","106年2月22日"
"山地屋商行","福記冷凍食品股份有限公司","雲南擺夷豆干(綠茶)","商業滅菌","012010002","101年2月22日","106年2月22日"
"博士鴨畜產品實業有限公司","得意中華食品股份有限公司","原味豆干(150g)","商業滅菌","004010001","101年7月26日","106年7月26日"
"博士鴨畜產品實業有限公司","得意中華食品股份有限公司","辣味豆干(150g)","商業滅菌","004010002","101年7月26日","106年7月26日"
"黃大目食料品股份有限公司","黃大目食料品股份有限公司","真空滷百頁豆腐","冷藏並保存十天","005070005","101年5月9日","106年5月9日"
"黃大目食料品股份有限公司","黃大目食料品股份有限公司","真空滷豆干(大)","冷藏並保存十天","005070002","101年5月9日","106年5月9日"
"黃大目食料品股份有限公司","黃大目食料品股份有限公司","真空滷豆干(小)","冷藏並保存十天","005070003","101年5月9日","106年5月9日"
"黃大目食料品股份有限公司","黃大目食料品股份有限公司","真空滷素雞","冷藏並保存十天","005070004","101年5月9日","106年5月9日"
"金椿茶油工房有限公司","福記冷凍食品股份有限公司","茶油原味豆乾(2入)","商業滅菌","008010001","101年4月12日","106年4月12日"
"金椿茶油工房有限公司","福記冷凍食品股份有限公司","茶油辣味豆乾(2入)","商業滅菌","008010002","101年4月12日","106年4月12日"
"歐力福龍虎商行","福記冷凍食品股份有限公司","龍虎功夫豆干(茶燻)","商業滅菌","016030002","101年4月12日","106年4月12日"
"歐力福龍虎商行","福記冷凍食品股份有限公司","龍虎功夫豆干(香辣)","商業滅菌","016030001","101年4月12日","106年4月12日"
