縣市,業者名稱,地址,公告類別,每日最大安全生產量_餐食份
"基隆市","佳美開發美食有限公司","基隆市安樂區基金一路379巷23號1樓","餐盒食品工廠","9,000"
"基隆市","尚吉康興業有限公司","基隆市七堵區東新街91號1樓","餐盒食品工廠","10,000"
"基隆市","連合發企業股份有限公司","基隆市七堵區東新街91號6樓","餐盒食品工廠","9,000"
"基隆市","聯華食品工業股份有限公司基隆分公司","基隆市安樂區中崙里武訓街43號1樓","餐盒食品工廠","240,000"
"屏東縣","阿米多福食品有限公司","屏東縣屏東市工業五路7號","餐盒食品工廠","10,000"
"屏東縣","軒成食品有限公司","屏東縣崁頂鄉北勢村後部路24-10號","餐盒食品工廠","5,600"
"屏東縣","大聚便當有限公司","屏東縣內埔鄉豐田村興忠二巷26號","餐盒食品工廠","8,000"
"屏東縣","天青合食品股份有限公司東港廠","屏東縣東港鎮興農里興農路1之23號","餐盒食品工廠","8,000"
"屏東縣","統津企業股份有限公司屏東九如廠","屏東縣九如鄉洽興村昌榮路158-1號","餐盒食品工廠","2,000"
"屏東縣","福晟有限公司","屏東縣恆春鎮恆公路898號","餐盒食品工廠","5,000"
"高雄市","佳琪食品股份有限公司鳥松廠","高雄市鳥松區仁美里美庄路10號","餐盒食品工廠","15,000"
"高雄市","蕭記食品有限公司","高雄市橋頭區甲南里鹽南路17號","餐盒食品工廠","15,000"
"高雄市","高雄空廚股份有限公司","高雄市小港區中山四路2-10號","餐盒食品工廠","80,000"
"高雄市","統一武藏野股份有限公司高雄廠","高雄市大社區中正路397號","餐盒食品工廠","400,000"
"高雄市","味帝企業股份有限公司","高雄市大寮區大寮里興業路12號","餐盒食品工廠","16,000"
"高雄市","芳味香食品企業有限公司","高雄市大寮區鳳屏一路86號","餐盒食品工廠","8,100"
"高雄市","以晟聯合實業有限公司","高雄市大寮區華東路50號","餐盒食品工廠","3,000"
"高雄市","軒成食品有限公司","高雄市前鎮區新芽路286-8號","餐盒食品工廠","9,800"
"高雄市","耕域食品有限公司","高雄市仁武區工業二路17巷76號","餐盒食品工廠","10,000"
"高雄市","晉欣食品股份有限公司","高雄市岡山區嘉新東路1-1號","餐盒食品工廠","14,000"
"高雄市","立緯食品有限公司","高雄市小港區崇明街166號","餐盒食品工廠","13,000"
"台東縣","松陽餐飲股份有限公司","台東市大道路1號","餐盒食品工廠","2,000"
"嘉義縣","維力便當工廠","嘉義縣太保市南新里北港路二段105巷85號","餐盒食品工廠","10,000"
"嘉義縣","大佳食品便當工廠","嘉義縣太保市南新里15鄰北港路2段105巷27號","餐盒食品工廠","8,000"
"嘉義縣","高松食品股份有限公司","嘉義縣民雄鄉民雄工業區成功五街9號","餐盒食品工廠","4,000"
"嘉義縣","高鮮食品工廠","嘉義縣水上鄉龍德村十一指厝90之10號","餐盒食品工廠","12,000"
"南投縣","同美便當廠","南投縣竹山鎮集山路3段655-1號","餐盒食品工廠","8,000"
"南投縣","玖玖便當廠","南投縣草屯鎮山腳里虎山路391號1樓","餐盒食品工廠","5,000"
"南投縣","愛心便當廠","南投市平山里平山1路99號","餐盒食品工廠","3,000"
"南投縣","嘉和餐盒食品工廠","南投市嘉和2路99號","餐盒食品工廠","2,000"
"南投縣","興味有限公司","南投縣草屯鎮上林路太平路1段51號","餐盒食品工廠","2,000"
"南投縣","興新豐餐盒食品工廠","南投縣草屯鎮玉峰里博愛路339號","餐盒食品工廠","6,000"
"新竹縣","美麒食品有限公司","新竹縣竹北市聯興里中正西路839號","餐盒食品工廠","3,000"
"新竹縣","松大食品股份有限公司","新竹縣竹東鎮中山里4鄰中山路125號","餐盒食品工廠","6,000"
"新竹縣","俊耀食品有限公司","新竹縣竹北市泰和路87-1號","餐盒食品工廠","4,000"
"雲林縣","豐味便當工廠","雲林縣北港鎮劉厝里137-3號","餐盒食品工廠","1,200"
"雲林縣","松之林餐盒工廠","雲林縣土庫鎮宮北里建國路120號","餐盒食品工廠","9,000"
"雲林縣","味達香食品工廠","雲林縣虎尾鎮惠來里73-43號","餐盒食品工廠","7,000"
"雲林縣","助民新鮮食品工廠","雲林縣西螺鎮大園里中山東路38號","餐盒食品工廠","12,000"
"雲林縣","梅景食品股份有限公司","雲林縣西螺鎮福田里社口路68-19號","餐盒食品工廠","15,000"
"嘉義市","芳茂食品工廠","嘉義市頂寮里信興街78巷2號","餐盒食品工廠","2,500"
"嘉義市","鵝媽媽餐盒食品工廠","嘉義市頂寮里南興路192-1號","餐盒食品工廠","2,500"
"嘉義市","家美食品便當工廠","嘉義市東區後湖里忠孝二街68號","餐盒食品工廠","3,000"
"嘉義市","新嘉餐盒食品工廠","嘉義市西區湖內里民生南路795巷81號","餐盒食品工廠","5,000"
"台南市","華品食品二廠","台南市佳里區海澄里萊芊寮17-4號","餐盒食品工廠","3,700"
