廢止日期,廠名,原因
"106.06.22","易生堂製藥廠股份有限公司新竹廠 (新竹縣湖口鄉鳳凰村四維路30號)","歇業"
"106.04.18","道濟製藥廠股份有限公司 (屏東縣萬丹鄉社上村社上路99號)","停業(106年5月11日起至107年5月10日)"
"106.03.29","威尼斯藥廠有限公司 (桃園市蘆竹區外社里草仔崎路88號)","停業(106年3月11日起至107年3月10日)"
"106.03.23","東洲化學製藥廠股份有限公司 (新北市蘆洲區中山二路195巷12號)","停業(106年3月25日起至107年3月24日)"
"106.01.20","惠民製藥股份有限公司淡水一廠 (新北市淡水區埤島里中山北路三段113號)","停業(106年1月11日起至107年1月12日)"
"106.01.05","居禮化學藥品股份有限公司淡水廠 (新北市淡水區忠山里行忠路521號)","停業(106年1月27日起至107年1月26日)"
"105.12.28","詠大製藥股份有限公司 (彰化縣和美鎮彰美路二段119號)","歇業"
"105.12.06","健喬信元醫藥生技股份有限公司 (新竹縣湖口鄉湖南村光復北路21巷4號)","停業(106年1月1日起至106年12月31日)"
"105.11.22","內外化學工業股份有限公司 (雲林縣斗六市榴中里復興路3號)","歇業"
"105.11.15","信華氣體股份有限公司 (新北市樹林區三龍街68號1-4樓及1樓夾層)","歇業"
"105.10.19","永昌藥品股份有限公司 (台中市大甲區興安路148號)","停業(105年7月7日起至106年7月6日)"
"105.08.10","香港商信可股份有限公司台灣分公司 (桃園縣大園鄉中山南路472號)","歇業"
"105.06.13","景德製藥股份有限公司土城廠 (新北市土城區中央路2段104號)","歇業"
"105.05.13","高氧實業有限公司岡山本洲廠 (高雄市岡山區本洲里本工三路20號)","製造許可已逾期，未能展延"
"105.05.11","景岳生物科技股份有限公司 (南部科學工業園區 臺南市善化區南科七路8號)","歇業"
"105.05.09","木村藥化企業股份有限公司 (彰化縣員林鎮中山路一段110號)","歇業"
"105.03.09","救人實業股份有限公司 (新北市淡水區北新路三段123號)","歇業"
"105.01.22","南都化學製藥股份有限公司 (台南市佳里區佳化里佳里興39號)","歇業"
"104.11.19","亞東工業氣體股份有限公司竹北廠 (新竹縣竹北市泰和里沿河街42號)","歇業"
"104.10.22","衛生福利部疾病管制署 (台北市昆陽街161號)","歇業"
"104.09.10","國嘉製藥工業股份有限公司 (台中市大甲區幼獅工業區青年路155 號)","歇業"
"104.08.28","厚生製藥廠股份有限公司 (彰化市和調里中山路三段119號)","歇業"
"104.08.26","錦德氣體有限公司 (高雄市岡山區本洲工業區本工五路15號)","歇業"
"104.08.20","聯邦化學製藥股份有限公司 (新北市蘆洲區正和街19號)","歇業"
"104.06.10","華健醫藥生技股份有限公司 (新竹市科學園區工業東四路18之1號)","歇業"
"104.05.29","龍德製藥廠股份有限公司 (高雄市永安區永工九路2號)","歇業"
