UNIQUE_IDENTIFIER,PRODUCT_TYPE,PRODUCT,NAME,EVENT,APPLICANT,DATE_OF_EXPIRATION,DATE_OF_APPROVAL
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6xSYN-IR162-4xMON-ØØ6Ø3-6","Stacked trait","Corn","TC1507 x MON810 x MIR162 x NK603 Maize","TC1507xMON810xMIR162xNK603","DuPont Taiwan","2018-05-02","2013-05-02"
"SYN-IR162-4","Single trait","Corn","Insect-resistant Corn","MIR162","Syngenta Taiwan Ltd.","2019-04-20","2009-04-20"
"DP-3Ø5423-1","Single trait","Soybean","High Oleic Soybean","DP-305423-1","DuPont Taiwan","2020-07-23","2010-07-23"
"MON-877Ø1-2","Single trait","Soybean","Insect-Protected Soybean","MON87701","香港商孟山都遠東股份有限公司台灣分公司","2021-07-06","2011-07-06"
"MON-89Ø34-3xDAS-Ø15Ø7-1xMON-ØØ6Ø3-6","Stacked trait","Corn","MON89034xTC1507xNK603 Corn","MON89034xTC1507xNK603","Dow AgroSciences Taiwan Ltd.","2021-08-22","2011-08-22"
"DAS-81419-2xDAS-444Ø6-6","Stacked trait","Soybean","Combined Trait Soybean","DAS-81419-2xDAS-44406-6","Dow AgroSciences Taiwan Ltd.","2021-07-12","2016-07-12"
"ACS-BNØØ5-8xACS-BNØØ3-6xMON-ØØØ73-7","Stacked trait","Canola","MS8 x RF3 x GT73 Canola","MS8xRF3xGT73","Bayer Taiwan Ltd.","2021-04-22","2016-04-22"
"MON-87427-7xMON-89Ø34-3xSYN-IR162-4xMON-ØØ6Ø3-6","Stacked trait","Corn","MON87427 x MON89034 x MIR162 x NK603 Corn","MON87427xMON89034xMIR162xNK603","香港商孟山都遠東股份有限公司台灣分公司","2021-05-05","2016-05-05"
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6","Stacked trait","Corn","TC1507 x MON810 Maize","TC1507xMON810","DuPont Taiwan","2019-11-20","2014-11-20"
"MON-ØØØ21-9xACS-ZMØØ3-2","Stacked trait","Corn","GA21 x T25 Maize","GA21xT25","Syngenta Taiwan Ltd.","2019-11-21","2014-11-21"
"MON-ØØØ21-9","Single trait","Corn","Glyphosate tolerant Corn","GA21","Syngenta Taiwan Ltd.","2018-07-23","2008-07-23"
"DP-Ø73496-4","Single trait","Canola","73496 Canola","73496","DuPont Taiwan","2021-05-13","2016-05-13"
"DAS-Ø15Ø7-1xMON-ØØ81Ø-6xSYN-IR6Ø4-5xMON-ØØ6Ø3-6","Stacked trait","Corn","TC1507xMON810xMIR604xNK603 Maize","TC1507xMON810xMIR604xNK603","DuPont Taiwan","2019-09-02","2014-09-02"
