註銷日期,廠名,證明書字號,原因
"104.02.25","健喬信元醫藥生技股份有限公司","(A)0084021[EcGMP000030]","正本未返還，逕予註銷"
"104.02.25","臺灣汎生製藥廠股份有限公司","衛署廠證字第(A)0282007號[CcGMP000016]","正本未返還，逕予註銷"
"104.02.17","溫士頓醫藥股份有限公司","流水號1750-1754","核發內容有誤"
"103.12.26","皇佳化學製藥股份有限公司","衛署廠證字第(A)0016012號[CcGMP000020]","廠商確認遺失"
"103.12.16","福元化學製藥股份有限公司","(A)0071012[EcGMP000013]","廠商確認遺失"
"103.10.20","友華生技醫藥股份有限公司桃園製藥廠","(A)0010042[EcGMP000063]","廠商確認遺失"
"103.10.05","明德製藥股份有限公司","衛署廠證字第(A)0095016號[證書流水號EcGMP000023]","廠商確認遺失"
"102.12.11","優良化學製藥股份有限公司","1. 衛署廠證字第(A)0004004號[證書流水號CcGMP000013] 2. (A)0004003[EcGMP000005] 3. 1670-1679","歇業，GMP核備廢止"
"102.12.04","井田製藥工業股份有限公司","1.衛署廠證字第(A)0142008號[證書流水序號CcGMP000015] 2.(A)0142006[EcGMP000009] 3.1235-1244、2214-2223","GMP製造許可廢止"
"102.08.19","榮民製藥股份有限公司","7979-7983","修正英文廠址"
"102.08.16","聯亞生技開發股份有限公司新竹二廠","7945-7948","內容刊載有誤"
"102.07.10","百及物流股份有限公司","1.衛署廠證字第(B)0008001號[CcGMP000031] 2.(B)0008001 [EcGMP000020]","歇業，GMP製造許可廢止"
"102.05.24","明德製藥股份有限公司","8161-8165","內容刊載有誤"
"102.04.24","瑞士藥廠股份有限公司","1.衛署廠證字第(A)0053009號[證書流水序號CcGMP000017] 2.(A)0053007[EcGMP000010] 3.0715-0724、4020-4024、5990-5994","GMP製造許可廢止"
"102.04.15","順生製藥股份有限公司","1.衛署廠證字第(A)0226055號[證書流水序號CcGMP000098] 2.4785-4789","GMP製造許可廢止"
"102.02.08","三洋藥品工業股份有限公司大發廠","衛署廠證字第(A)0065026號[證書流水序號CcGMP000041]","因廠商來文確認遺失"
"101.07.10","仁興化學製藥股份有限公司","4173-4177","GMP製造許可廢止"
"101.07.03","生春堂製藥工業股份有限公司","1085-1094、1942-1951、2344-2353、3397-3406","歇業，GMP製造許可廢止"
"101.05.09","安主藥化工業股份有限公司","4213-4217","GMP製造許可廢止"
"101.04.30","安成國際藥業股份有限公司中壢廠","1. 衛署廠證字第(A)0414018號[證書流水序號CcGMP000030] 2. (A)0414014 [證書流水序號EcGMP000018]","因廠商來文確認遺失"
"100.11.23","永新藥品工業股份有限公司","(A)0070043 [證書流水序號EcGMP000065]","歇業，GMP製造許可廢止"
"100.11.08","德周製藥股份限公司","0585-0594","GMP製造許可廢止"
"100.11.08","保力達股份有限公司新竹廠","1.衛署廠證字第(A)0098003號[證書流水序號CcGMP000006] 2.(A)0098002[證書流水序號EcGMP000004]","GMP製造許可廢止"
"100.11.08","銳擘科技股份有限公司觀音廠","1. 4218-4223 2. 衛署廠證字第(A)0417047號[證書流水序號CcGMP000075]","因歇業，已函文廢止"
"100.03.28","台灣第一三共製藥股份有限公司中壢工廠","1436-1455","歇業，GMP製造許可廢止"
