1	忠興	524	台中市	南屯路2段162巷1號	04-24753818	103/9/5 16:00	
2	吉星	30	台中縣	大甲鎮信義路44號	04-26884381	103/9/5 16:00	
3	信通行	41	南投縣	草屯鎮太平路2段60號	04-92318369	103/9/5 16:00	
4	凰淋	209	南投縣	草屯鎮東山路自強巷16號	04-92550031	103/9/5 16:00	
5	品欣食品	450	台中市	神岡區中山路228號	04-25240698	103/9/5 16:00	
6	原料徐	168	彰化縣	埔心鄉中正路一段23號	04-8295046	103/9/5 16:00	
7	億全	170	彰化市	英士路37號	04-7112903	103/9/5 16:00	
8	合記	10	台中市	大里市愛心一街20號	04-24062757	103/9/5 16:00	
9	宏茆	83	台中市	烏日區環中路七段221~223號	04-23363030	103/9/5 16:00	
10	青海行	20	台中市	西屯區光明路52號	04-24521699	103/9/5 16:00	
11	英辰	121	台中市	大里區化工19路6號	04-24919666	103/9/5 16:00	
12	美食達人	229	台中市	南屯區工業區23路30號	04-36091465	103/9/5 16:00	
13	立晟食品	51	台中市	潭子區中山路三段491號	04-25317979	103/9/5 16:00	
14	榮華行	20	台中市	大里區仁化路310巷9號	04-24922552	103/9/5 16:00	
15	這一鍋餐飲	191	台中市	西屯區工業區32路51號	04-36093100	103/9/5 16:00	
16	大謹發農產	50	台中市	沙鹿區福至路150巷10-1號	04-26625943	103/9/5 16:00	
17	順發商行	25	台中市	北屯區豐樂路11-1號	04-24220129	103/9/5 16:00	
18	永明	90	彰化縣	和美鎮彰草路2段120-8號	04-7619348	103/9/5 16:00	
19	麥可利	40	台中縣	神岡鄉社口街10巷10號	04-25633579	103/9/5 16:00	
20	金懋豐	200	南投縣	埔里鎮中正路890號	049-2982780	103/9/5 16:00	
21	宋國雄	350	嘉義縣	太保市啤麻腳32號	05-2381090	103/9/5 16:00	
22	達成	100	嘉義市	福松里民族路593號1F	05-2222072	103/9/5 16:00	
23	九龍	80	嘉義縣	新港鄉南港村甲地22號	05-7811885	103/9/5 16:00	
24	陳忠	8	嘉義市	大同路12號	05-2856529	103/9/5 16:00	
25	嘉益	180	嘉義市	劉厝路251號	05-2360449	103/9/5 16:00	
26	慶豐金	100	雲林縣	斗六市興南街19號	05-5323670	103/9/5 16:00	
27	合信	10	嘉義縣	民雄鄉福興村牛稠溪121號1樓	05-2201476	103/9/5 16:00	
28	宗泰	60	雲林縣	北港鎮文昌路140號	05-7833992	103/9/5 16:00	
29	上泓	70	彰化縣	永靖鄉中山路三段181-11號	04-8232147	103/9/5 16:00	
30	九龍	14	彰化市	大埔路345-1號	04-7126609	103/9/5 16:00	
31	玉珍齋	45	彰化縣	彰化縣鹿港鎮中山路444號	04-7742272	103/9/5 16:00	
32	新寶珍	10	嘉義縣	六腳鄉蒜頭村77-28號	05-3802203	103/9/5 16:00	
33	佳慶	583	雲林縣	麥寮鄉後安村19-6號	05-6935977	103/9/5 16:00	
34	肉圓生	1	彰化縣	北斗鎮中華路192號	04-8871349	103/9/5 16:00	
35	基發	150	彰化市	華山路76號	04-7295398	103/9/5 16:00	
36	東榮	5	彰化市	旭光路297號	04-7274159	103/9/5 16:00	
37	自柳	24	彰化縣	員林鎮靜修路1-12號	04-8322852	103/9/5 16:00	
38	金元寶	150	雲林縣	虎尾鎮浀頭里13-8號	938651950	103/9/5 16:00	
39	昇陽	170	桃園市	長春路15號	03-3343376	103/9/5 16:00	
40	天隆	10	苗栗縣	頭份鎮中華路641號	037-672622	103/9/5 16:00	
41	信昌	110	新竹縣	竹東鎮工業二路101巷3號	03-5969711	103/9/5 16:00	
42	台益	3738	桃園縣	平鎮市新富街8號	03-4598521	103/9/5 16:00	
43	崇禮	10	桃園縣	八德鄉高銘村高成九街7號	03-3716274	103/9/5 16:00	
44	萬昌	18	桃園縣	平鎮市環南路66巷18弄24號	03-4924558	103/9/5 16:00	
45	宗益	10	桃園市	新生路60號	03-3322589	103/9/5 16:00	
46	台威	115	桃園縣	龜山鄉東萬壽路311巷2號	03-3291111	103/9/5 16:00	
47	苗林	59	苗栗市	復興路一段488-1號	037-329557	103/9/5 16:00	
48	福記	10	新竹縣	竹北市中華路692號	03-5552510	103/9/5 16:00	
49	總和	50	桃園縣	八德市富榮街36巷2號	03-2181336	103/9/5 16:00	
50	日丰	202	新竹市	西濱路三段250號	03-5306110	103/9/5 16:00	
51	品皓	260	新竹市	平和街33號	03-5261249	103/9/5 16:00	
52	參發	20	桃園市	民生路622號	03-3382396	103/9/5 16:00	
53	和泰	60	桃園市	八德市廣福路132號	03-3613870	103/9/5 16:00	
54	合泰	1073	苗栗縣	頭份鎮東興路32號	037-663549	103/9/5 16:00	
55	永興	150	新竹縣	竹東鎮自強路82號	03-5515141	103/9/5 16:00	
56	紅杮子	6	桃園縣	中壢市民權路三段334巷46號	03-4278984	103/9/5 16:00	
57	日祥	40	桃園縣	大園鄉三民路二段490號	03-3838779	103/9/5 16:00	
58	洋茂	40	苗栗縣	後龍鎮三民路114號	037-722331	103/9/5 16:00	
59	盈芳	25	苗栗縣	苑裡鎮社苓里110-11號	037-743615	103/9/5 16:00	
60	日富	318	苗栗縣	後龍鎮厝勝路202-8號	037-720768	103/9/5 16:00	
61	松發	35	苗栗縣	平新一路191號	03-7752023	103/9/5 16:00	
62	南洋	55	桃園縣	中壢市中正路二段16-1號	03-4922175	103/9/5 16:00	
63	銳陽	50	桃園縣	楊梅市永美路2號	03-4641530	103/9/5 16:00	
64	味都	167	新北市	新莊區雙鳳路107號6樓	02-29064536	103/9/5 16:00	
65	欣財	40	新北市	中和區福美街301巷29號	02-22486140	103/9/5 16:00	
66	黑龍江	185	新北市	中和區忠孝街101巷13號1樓	02-29456978	103/9/5 16:00	
67	良晟	1	桃園縣	八德市永豐路236巷12號	03-3712121	103/9/5 16:00	
68	明泰	213	新北市	中和區興南路一段125號	02-29451202	103/9/5 16:00	
69	齊魯	301	新北市	泰山區同義街96-2號	02-22960050	103/9/5 16:00	
70	芳春	30	新北市	土城區仁愛路22號	02-22659977	103/9/5 16:00	
71	大家發	57	新北市	板橋區三民路一段101號	02-89539211	103/9/5 16:00	
72	趙明堂	450	新北市	鶯歌區德昌二街70巷34弄4號1樓	02-26788869	103/9/5 16:00	
73	天頌	30	新北市	中和區莊敬路24號	02-22428662	103/9/5 16:00	
74	巧紳	1259	新北市	中和區景平路632號	02-22483856	103/9/5 16:00	
75	福利	1	新莊區	後港一路76巷10弄8號	02-22042085	103/9/5 16:00	
76	太魯閣	20	新北市	三重區中正北路193巷41號	02-29848554	103/9/5 16:00	
77	竹間	2	新北市	三重區重新路2段92號	02-29785222	103/9/5 16:00	
78	佛晨	453	台北市	龍江路429巷8號1樓	02-25024707	103/9/5 16:00	
79	員購	130	新北市	樹林區西俊街2段135巷2-7號	02-26800708	103/9/5 16:00	
80	油蔥	1468	基隆市	西定路139號	02-2428-2527	103/9/5 16:00	
81	嘉美	170	基隆市	豐捻街130號	02-24621963	103/9/5 16:00	
82	裕順	116	宜蘭縣	五結鄉五結路三段438號	03-9605500	103/9/5 16:00	
83	本居立	125	花蓮市	中華路219號	03-8360784	103/9/5 16:00	
84	相正	400	花蓮縣	吉安鄉和平路一段138號	03-8460087	103/9/5 16:00	
85	津展	403	宜蘭市	延平路39-8號	03-9380555	103/9/5 16:00	
86	宏陽	300	宜蘭縣	羅東鎮興東路243巷22號	03-9542430	103/9/5 16:00	
87	大永進	70	宜蘭縣	蘇澳鎮中原路85號	03-9962264	103/9/5 16:00	
88	福新	20	新北市	淡水鎮北投子1-2號	02-86315243	103/9/5 16:00	
89	皇品	3	台北市	內湖區內湖路一段203巷11號	02-27971305	103/9/5 16:00	
90	龍丸	20	花蓮市	吉安鄉民治路90號	03-8527715	103/9/5 16:00	
91	順興米行	102	花蓮市	進豐街32號	03-8324014	103/9/5 16:00	
92	公道伯	5	基隆市	七堵區百五街64巷16號	02-24527113	103/9/5 16:00	
93	日升行	100	宜蘭市	力行街力行巷27-5號	03-9322182	103/9/5 16:00	
94	福客來	50	宜蘭縣	員山鄉永同路一段183號	937535355	103/9/5 16:00	
95	美加源	10	台北市	龍江路356巷68號1樓	02-25153071	103/9/5 16:00	
96	李鵠	812	基隆市	仁三路90號	02-24223007	103/9/5 16:00	
97	天送埤	230	宜蘭縣	三星鄉三星路七段305號	03-9892960	103/9/5 16:00	
98	丰禾興	156	花蓮市	中華路296-2號	03-8323436	103/9/5 16:00	
99	黑金饌	1	新莊區	五權一路70-1號	02-22988223	103/9/5 16:00	
100	林振昌	1	新莊區	民安西路24巷6弄8號	928464368	103/9/5 16:00	
101	佳良	90	基隆市	暖暖區興隆街10-1號	02-24585208	103/9/5 16:00	
102	殷成	10	新北市	三重區永安北路二段131-1號	02-22828203	103/9/5 16:00	
103	廣眞香	60	新北市	三重區長壽街1-5號	02-29759998	103/9/5 16:00	
104	阿里八八	10	桃園市	力行路16號	03-3314251	103/9/5 16:00	
105	陳清田	30	台南市	佳里區延平路215號	956098177	103/9/5 16:00	
106	林太太	60	台南市	中華東路2段226巷47號	928551393	103/9/5 16:00	
107	東穎	50	高雄市	左營區左營大路345巷9號	07-5821538	103/9/5 16:00	
108	泰田	35	高雄市	楠梓區又昌和光街31號	07-3642915	103/9/5 16:00	
109	協成	80	高雄市	左營區左營下路264號	07-5815879	103/9/5 16:00	
110	洪清政	85	澎湖縣	馬公市陽明路31號	06-9276157	103/9/5 16:00	
111	金利華	2950	高雄市	前鎮區新大路5號	07-8111166	103/9/5 16:00	
112	大直	20	高雄市	大寮區正心路390巷212號	07-7877182	103/9/5 16:00	
113	耕新	50	高雄市	三民區褒揚街337號	07-3845303	103/9/5 16:00	
114	啟旺	110	高雄市	新興區球庭路23號1樓	07-2919318	103/9/5 16:00	
115	黃順治	140	澎湖縣	馬公市林森路63號	06-9279323	103/9/5 16:00	
116	冠塘	1	高雄市	鳳山區過埤路51巷12-2號	07-7923024	103/9/5 16:00	
117	松記	680	高雄市	鼓山區篤敬路35號6樓之1	07-5883481	103/9/5 16:00	
118	劉文芳	100	高雄市	楠梓區後勁中街108巷4號	07-3623885	103/9/5 16:00	
119	有味珍	4	高雄市	楠梓區中泰街29號	07-3619616	103/9/5 16:00	
120	華岑	35	高雄市	阿蓮區信義路256號	07-6310880	103/9/5 16:00	
121	瑞昇	70	高雄市	岡山區華園路26號	07-6213304	103/9/5 16:00	
122	大慶成	145	高雄市	岡山區維新路58號	07-6212945	103/9/5 16:00	
123	程清森	270	高雄市	路竹區中山路586巷6-1號	07-6964348	103/9/5 16:00	
124	永春珠	20	高雄市	岡山區阿公店路2段210號	07-6256612	103/9/5 16:00	
125	大聯	95	高雄市	岡山區柳橋西路１３號	(07)6251111	103/9/5 16:00	
126	聖華	185	高雄市	左營區埤仔頭街71號	07-5824295	103/9/5 16:00	
127	祥有味	45	高雄市	燕巢區安北路２８３－１號	6166247	103/9/5 16:00	
128	錦美	85	高雄市	楠梓區東街９５巷５號	 07-3511282     	103/9/5 16:00	
129	聯豐	270	高雄市	鳳山區南華路151-1號	07-7158823	103/9/5 16:00	
130	老鄉	40	高雄市	新興區東海街２４一１號	2267798	103/9/5 16:00	
131	大直	970	高雄市	鳥松區松埔北巷58號	07-7354699	103/9/5 16:00	
132	信利	85	高雄市	前鎮區憲德市場巷２８號	7710727	103/9/5 16:00	
133	世昌	18	高雄市	前鎮區擴建路１一３５號	8111587	103/9/5 16:00	
134	旺來昌	110	高雄市	前鎮區公正路181號	07-7135345	103/9/5 16:00	
135	雅芳	85	高雄市	三民區昌裕街１９８號	3832807	103/9/5 16:00	
136	永大	210	高雄市	三民區遼寧二街224號	07-3216975	103/9/5 16:00	
137	旺來興	240	高雄市	鳥松區本管路151號	07-3702223	103/9/5 16:00	
138	進益	25	高雄市	三民區灣興街４０號	3827408	103/9/5 16:00	
139	旺來興明誠	35	高雄市	鼓山區明誠三路461號	 07-5505991  	103/9/5 16:00	
140	旺來昌博愛	42	高雄市	左營區博愛三路466號	07-3453355 	103/9/5 16:00	
141	又達(宏欣)	70	高雄縣	鳳山市過埤里鳳頂路142號		103/9/5 16:00	
142	億源	50	高雄市	苓雅區輜汽北二路２３號	7235288	103/9/5 16:00	
143	佃彥	110	高雄市	三民區鼎昌街693巷10號	07-3475588	103/9/5 16:00	
144	旺來發	60	高雄市	三民區鼓山區興隆路108號	3753588	103/9/5 16:00	
145	盛祿隆	3	高雄市	大寮區過溝里濃公路256巷41號	7872226	103/9/5 16:00	
146	巨霖	12	高雄市	小港區台機路10號	 07-8065236	103/9/5 16:00	
147	台糖	3	台南市	仁德區田厝村文華路2段326號	0921-220788 	103/9/5 16:00	
148	百康	80	高雄市	三民區同德里孝順街70號1樓	7312833	103/9/5 16:00	
149	味橋	180	高雄市	仁武區鳳仁路２巷１０－２３號	07-3714125         	103/9/5 16:00	
150	豐茂	40	屏東市	福州街５６號	 08-7323573	103/9/5 16:00	
151	順記	20	屏東市	大埔柳州街１０－１號	08-7323955	103/9/5 16:00	
152	四海	35	屏東市	民生路１８０－５號	7335595	103/9/5 16:00	
153	隆達	100	屏東市	萬丹鄉萬丹路三段263號	08-7522602	103/9/5 16:00	
154	新益成	573	屏東縣	屏東市民生路７９－４號	7229696	103/9/5 16:00	
155	啟順	50	屏東市	和生路三段606號	08-7237896	103/9/5 16:00	
156	陳啟宗	5	屏東市	頂柳路２６１巷５號	7524989	103/9/5 16:00	
157	義豐行	90	屏東市	和生路三段８５０號	08-7558809	103/9/5 16:00	
158	鴻發	50	屏東市	前進里崁頂路１之２７號	08-7551568	103/9/5 16:00	
159	建泰	10	屏東縣	潮州鎮西市路１３一１號	(08)7882240 	103/9/5 16:00	
160	泰昌	488	屏東縣	潮州鎮四維路７３號	08-7883203 	103/9/5 16:00	
161	佳新	540	屏東縣	潮州鎮光春路１３８號	08-7883369   	103/9/5 16:00	
162	瑞豐	137	屏東縣	長治鄉繁華村中正路１１號	 08-7626469 	103/9/5 16:00	
163	大芳	230	屏東縣	潮洲鎮南京路１５３號	 08-7892555     	103/9/5 16:00	
164	清香	57	屏東市	自立南路18號	7534738	103/9/5 16:00	
165	裕軒	240	屏東縣	潮洲鎮太平路４７３號	08-7887835 	103/9/5 16:00	
166	陳聰吉	53	屏東縣	萬丹鄉萬心路１２２２號	08-7776574                                                                      	103/9/5 16:00	
167	富統	2	屏東縣	萬丹鄉泉順街４３９巷３７號	(08)777-2747  	103/9/5 16:00	
168	順成	4	屏東縣	新園鄉共和村中正路１０５號	  08-8331378   	103/9/5 16:00	
169	成珍香	1	屏東縣	東港鎮東隆街３０號	08-8322078	103/9/5 16:00	
170	迎裕	50	屏東縣	崁頂鄉園寮村南州路５巷９號	08-8646389  	103/9/5 16:00	
171	建和	4	高雄市	大寮區鳳屏二路２５８號	6512136	103/9/5 16:00	
172	正通	179	屏東市	興豐路１７４號	7384176	103/9/5 16:00	
173	慶祥	700	屏東縣	東港鎮延平路１８０號	  08-8328783	103/9/5 16:00	
174	永祥	90	屏東縣	東港鎮信義街１６號	8324531	103/9/5 16:00	
175	簡炎輝	333	屏東市	龍榮里（路）５５５號	7516687	103/9/5 16:00	
176	永隆興	175	高雄市	鳳山區鳳仁路９２－１０號	7467463	103/9/5 16:00	
177	信鴻	150	高雄市	前鎮區鎮海三街8號	7536000	103/9/5 16:00	
178	振亨	60	高雄市	林園區文賢南路１２４巷６號	6423635	103/9/5 16:00	
179	順生	600	高雄市	苓雅區尚武路４２號	7882667	103/9/5 16:00	
180	簡坤柱	170	高雄市	前鎮區崗山中街８５之１號	7616879	103/9/5 16:00	
181	明德	75	台東市	傳廣路３６９號	089-336266 	103/9/5 16:00	
182	家華	178	台東市	中華路一段２２７號	089-343780    	103/9/5 16:00	
183	三能	100	台東市	四維路一段５１２號	089-353589  	103/9/5 16:00	
184	良品	20	高雄市	林園區鳳林路２段７２８號	6466999	103/9/5 16:00	
185	余峰瑞	16	高雄市	大寮區濃公路２５６巷５３號	7880080	103/9/5 16:00	
186	銘冠	400	高雄市	左營區自由４路３９９號	3598977	103/9/5 16:00	
187	優品	20	台東市	康樂路３號	 08-9356520   	103/9/5 16:00	
188	成典	164	台東市	豐谷北路７３號	089-333595	103/9/5 16:00	
189	裕軒	32	屏東市	廣東路３９８號	08-7374759	103/9/5 16:00	
190	劉文通	50	屏東縣	東港鎮興漁里順漁路65巷1弄1號	0955-817978 	103/9/5 16:00	
191	沈正雄	30	屏東縣	萬丹鄉萬丹路一段262號	  08-7760049  	103/9/5 16:00	
192	叢林之屋	1	台東市	光明路１５８號	089-322268   	103/9/5 16:00	
193	饌師父	30	屏東縣	九如鄉光復街２８７號	08-7390424        	103/9/5 16:00	
194	鄭師父	8	屏東市	復興南路１段２０２號	 0957-786288	103/9/5 16:00	
195	金泰	70	台南縣	新營市三民路１１９號	06-6324623 	103/9/5 16:00	
196	姚錫銘	20	台南市	新建路５３巷４號	06-2634602 	103/9/5 16:00	
197	信益	2748	台南市	長榮路五段４１９號	2515206	103/9/5 16:00	
198	慶泰	260	台南市	西區府前路２段２２０號	2220227	103/9/5 16:00	
199	正裕	650	台南市	西門路一段３６８號	 06-2633687  	103/9/5 16:00	
200	永豐	4	台南市	南區賢南街５１號	 06-2911031      	103/9/5 16:00	
201	元茂	55	台南縣	麻豆鎮興南路１８１號	06-5726447	103/9/5 16:00	
202	滋味珍	37	台南市	中華西路一段１０３號	 06-2614186#247	103/9/5 16:00	
203	長安農產	300	台南市	長溪路3段380巷１００一１號	06-2552553	103/9/5 16:00	
204	早安美芝城	600	台南市	安平工業區新平路７－１號	06-2970033	103/9/5 16:00	
205	豐泉	580	台南縣	關廟鄉深坑村南雄路一段395號	06-5957632	103/9/5 16:00	
206	祥發	50	台南縣	佳里鎮忠孝路２１７號	06-7225687	103/9/5 16:00	
207	楊記	80	台南縣	新營市民生路４２０巷２９號	 06-6572250   	103/9/5 16:00	
208	品味軒	40	台南市	麻豆區苓子林16號	0937-362155/06-5700007	103/9/5 16:00	
209	唐明	1009	台南市	永康區大灣路187號	06-2712590	103/9/5 16:00	
210	永昌	50	台南市	崇學路203巷2號	06-2377115	103/9/5 16:00	
211	好帝一	926	台南市	新市區大營里豐榮160號	06-5994665	103/9/5 16:00	
212	永全	190	台南市	歸仁區七甲里南丁路401號	06-2394503	103/9/5 16:00	
213	糧元	130	台南市	中華東路2段208號	06-2349696	103/9/5 16:00	
214	銘勝	200	台南市	中西區樹林街2段6號	06-2132877	103/9/5 16:00	
215	葉忠誠	500	台南市	善化區什乃里18-22號	06-5837253	103/9/5 16:00	
216	大東	233	台南市	永康區大橋3街52號	06-2022955	103/9/5 16:00	
217	旺來鄉	40	台南市	仁德區仁德里中山路797號1樓	06-2498701	103/9/5 16:00	
218	金德	108	台南市	府安路5段144巷3號	06-2595359	103/9/5 16:00	
219	五花馬	900	台南市	新化區大智路(竹子腳)200號	0918-804046	103/9/5 16:00	
220	久芳	113	台南市	東山區聖賢里頂窩68號	06-6328479	103/9/5 16:00	
221	品高	16	雲林縣	斗六市中南路290巷10-2號	05-5518011	103/9/5 16:00	
222	陸仕	297	屏東縣	內埔鄉北寧路二段88號	08-7799701	103/9/5 16:00	
223	奇美	320	高雄市	湖內區公館里中山路二段51號	07-6993901	103/9/5 16:00	
224	協和	30	台南市	新化區大新路18號	06-5982783	103/9/5 16:00	
225	憶霖	135	新北市	三重區重新路五段317巷1弄14號	02-9953660	103/9/5 16:00	
226	盛香珍	491	台中市	梧棲區自強一街146號	042-6352711	103/9/5 16:00	
227	亞士家	14	雲林縣	莿桐鄉大美路21-10號	05-5850150	103/9/5 16:00	
228	吳記	70	高雄市	鳳山區新興里光遠路284-1號	07-7331519	103/9/5 16:00	
229	欣冠	33	高雄市	大寮區大發工業區利民街30號	07-7888099	103/9/5 16:00	
230	工研	4611	台北市	臺北市內湖區西湖里基湖路３５巷１６號８樓之４	02-8751-3339	103/9/5 16:00	
231	台灣欣榮	210	高雄市	旗山區三協里磚廠巷16號	07-6625848	103/9/5 16:00	
232	味全	1390	高雄市	路竹區中山南路51號	07-6962453#400	103/9/5 16:00	
233	味王	345	台北市	中山北路二段79號5樓	022-5717271-517	103/9/5 16:00	
234	員工	266	高雄市	大寮區鳳屏一路808號		103/9/5 16:00	
235	樂金(萊爾富)	90	新北市	五股工業區五工6路15號1樓	02-22999748-114	103/9/5 16:00	
