回收分級,文號,日期,產品,許可證字號,批號,許可證持有者,原因,
"2","FDA藥字第0991414307號函","2010-11-12","安得理那寧注射液","衛署藥製字第000480號","94P410","中國化學製藥股份有限公司新豐工廠","針劑內有玻璃碎片",
"2","FDA藥字第0991414234號函","2010-11-12","＂合誠＂好克痛錠100公絲","衛署藥製字第043139號","YF1143","合誠化學製藥股份有限公司","檢驗未合格（游離水楊酸限量）",
"第二級","105年4月22日部授食字第1051102202號(食藥署風管組)","2016-05-01","克淨乾洗手液","衛署成製字第012620號","5304及5341B","天乾製藥有限公司","未依GMP規定生產及儲存藥品，生產紀錄填寫不實，藥品儲存環境不良。",
"2","署授食字第0991104336號函","2010-12-28","＂成大＂酸痛軟膏10公絲/公克（吲哚美洒辛）；克痛炎凝膠1%（待克菲那）（批號C92902）、＂成大＂酸痛軟膏10公絲/公克（吲哚美洒辛）（批號C91501）；包裝室所發現之「生產流程進度表」內所列之所有產品","衛署藥製字第041839號；衛署藥製字第036867號、衛署藥製字第041839號","","成大藥品股份有限公司","未在潔淨管制區之生產區生產；使用同一批號生產多批產品，無原物料領用紀錄、批次製造紀錄及最終產品檢驗紀錄等，無法確保使用該批號出貨之所有產品是否符合GMP規範；無生產批號、批次製造紀錄及原物料領用紀錄等",
"2","FDA風字第0991104088號函","2010-12-06","立平黴素膠囊300公絲","衛署藥製字第028140號","HJ130","景德製藥股份有限公司","含量不合格",
"2","FDA藥字第0991414862號函","2010-11-22","＂明德＂使立舒錠100毫克（阿斯匹林）","衛署藥製字第033293號","","明德製藥股份有限公司","檢驗未合格（游離水楊酸限量）",
"2","FDA藥字第0991414740號書函","2010-11-22","＂美時＂全妥噴鼻液10毫克/毫升","衛署藥製字第046641號","030501、030502、 930502","美時化學製藥股份有限公司","因封膜脫落致藥液減少",
"2","署授食字第0991103875號函","2010-11-23","＂中菱＂沙復因錠（鹽酸假麻黃鹼）；美可保注射液500毫克/公撮（甲鈷胺明）（批號II0281）、泰普拉寧靜脈乾粉注射劑（批號II0171）","衛署藥製字第018738號、衛署藥製字第032369號、衛署藥製字第048574號","","中菱醫藥有限公司、政德製藥股份有限公司、台灣默克股份有限公司","產品製造處方及檢驗規格與原查驗登記資料不符；無法確保該無菌試驗之有效性",
"2","署授食字第0991103752號函","2010-10-28","凍晶注射劑產品","","","順華藥品工業股份有限公司三峽工廠","無菌操作人員未經完善之無菌操作訓練及考核，且其作業場所、設備、器械等皆未能保持於無菌狀態",
"2","FDA風字第0991103677號函","2010-10-27","＂天乾＂雙氧水、通皮軟膏","衛署藥製字第014141號、衛署藥製字第036461號","","天乾製藥有限公司","產品製造處方與原查驗登記處方不符",
"2","署授食字第0991103474號函","2010-09-30","哈泰利咳露（批號M127）、＂尼斯可＂立淨黴乳膏（批號M104、M168、M176）","內衛藥製字第007931號、衛署藥製字第048458號","","尼斯可股份有限公司新莊廠","檢驗規格及處方變更未經衛生署核准即生產並販賣",
"2","FDA藥字第0991411656號書函","2010-09-06","維力葡輸注液","衛署藥製字第019935號","1F0083B","南光化學製藥股份有限公司","未使用藥瓶內有懸浮物",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂ 痛熱好糖漿","衛署藥製字第028900號","有效期限2020年11月24日以前之所有批號","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂ 舒喉口含錠","衛署藥製字第029081號","有效期限2019年03月23日以前之所有批號","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"第二級","FDA風字第1011102369號函","2012-10-17","治咳膠囊、瑪克芬錠10公絲（貝可芬）、喜鼻樂膠囊、愛補膠囊、富寧糖衣錠906公絲（銀杏葉類黃酮配醣体）、衛痛錠、優鈣錠500公絲（碳酸鈣）、＂順生＂速拿潰錠1000公絲（斯克拉非）、頸肩背錠、祿祿糖衣錠40公絲、＂順生＂不留痢膠囊200公絲（尼福歐洒塞）、賜康感冒膠囊；癒百炎錠400公絲（伊普）、敏得朗軟膏","衛署藥製字第037035號、衛署藥製字第034238號、衛署藥製字第020123號、衛署藥製字第035297號、衛署藥製字第036658號、衛署藥製字第042810號、衛署藥製字第033885號、衛署藥製字第036203號、衛署藥製字第043080號、衛署藥製字第046078號、衛署藥製字第037034號、衛署藥製字第034828號；衛署藥製字第034804號、衛署藥製字第013626號","803031、101013；810049、902012、908061、001050、102062；806063、103106；103099；808034、001060、108046；105054；902045、902046、904035、904036、905088、905089；907010、907011、908081、908082、911054、911055；912078、912079、001073、001074、004037、004038、005077、005078、001050、106030、106031；003070、107062；901048、907043、911082、108004；802065、811044、904010、907030、911083、002037、004079、102061、108045；903016、909038、007031、102085；806035、901060、906018、003015、006036、106079；701007、701008、701009、702014、702015、706068、706069、706070、709011、709012、709013、711031、711032、711033、803073、803074、803075、808001、808002、808003、809066、809067、809068、901091、901092、901093、905064、905065、905066、909011、909012、909013、912052、912053、912054、002030、002031、003063、003064、003065、003066、008017、008018、008019、008020、010015、010016、010017、012064、012065、012066、103075、103076、103077；801036、803001、804025、804026、806001、806002、807070、808020、808021、808046、810004、810005、812019、812020、902001、902002、903064、904008、904009、905068、905069、907064、907065、907066、909002、909003、910073、910074、912032、912033、002048、002049、003016、004064、005045、005046、007056、007057、008071、008072、010041、010042、010051、010052、011092、011093、101024、101025、102065、102066、105006、105007、106088、106089、108063、108064、108065、108066等批號","順生製藥股份有限公司","於他廠進行PTP分裝；與原查驗登記不符",
"第二級","105年5月26日FDA風字第1051102888號(食藥署風管組)","2016-05-26","＂大豐＂ 治過敏膠囊","衛署藥製字第029082號","有效期限2020年07月26日以前之所有批號","大豐製藥股份有限公司","未依GMP規定改包裝及儲存藥品、生產及銷毀紀錄填寫不實。",
"2","104年8月26日 FDA藥字第1040033682A號(食藥署藥品組)","2015-09-07","＂信隆＂ 來骨素膠囊 LIGLUSAN CAPSULES ＂S.L.＂","衛署藥製字第046980號","6210913、8210915、6170222、6180223、6080524、8080526、6260728、8260720、6231020、8231022、6210230、8210232、6280530、8280532、6060837、8060839、6041130、8041132、6210242、8210244、6060344、5060848、6060849(共23批)","信隆藥品工業股份有限公司","廠商自主通報藥品使用不符合規定之原料藥",
