機構狀態,機構名稱,地址縣市別,地址鄉鎮市區,地址街道巷弄號,負責人姓名,負責人性別,電話,是否為健保特約藥局
"開業","易昌大藥局","臺北市","中正區","懷寧街22號","林明雄","男","","Y"
"開業","和平藥局","臺北市","中正區","中華路二段四十三號","曾德繁","男","23755303","Y"
"開業","三元藥局","臺北市","中正區","三元街１５８號","簡素雲","女","0223052839","Y"
"開業","71恩典藥局","臺北市","中正區","信義路二段71號","洪增陽","男","23223371","Y"
"開業","保德中華藥局","臺北市","中正區","中華路二段159號","蕭宇凱","男","02-23027720","Y"
"開業","汀州健康人生藥局","臺北市","中正區","汀州路三段211號","蔣采蓁","女","2368-8902","Y"
"開業","永興藥局","臺北市","中正區","汀州路一段９２巷２８號","蔡堅城","男","0223050986","Y"
"開業","琪基藥局","臺北市","中正區","杭州南路1段89號","潘玉琪","女","23414988","Y"
"開業","豐仁藥局","臺北市","中正區","寧波西街161號","黃敬堯","男","02-23033908","Y"
"開業","新三醫藥局","臺北市","中正區","汀州路三段125號","郭耀鴻","男","2364-4818","Y"
"開業","躍獅東門藥局","臺北市","中正區","金山南路一段108之1號","陳彥如","","02-23920339","Y"
"開業","北車維康藥局","臺北市","中正區","青島西路7號","翁嘉吟","女","23613509","Y"
"開業","汀海藥局","臺北市","中正區","汀州路一段166號","郭子汶","男","2305-2016","Y"
"開業","躍獅南寧藥局","臺北市","中正區","南昌路一段81號","陳盈宏","男","2396-7072","Y"
"開業","宏越藥局","臺北市","中正區","中華路二段313巷4號","李孟樵","男","2305-0880","Y"
"開業","民生藥局","臺北市","中正區","濟南路二段45之1號","吳肇修","男","0223416470","Y"
"開業","連雲藥局","臺北市","中正區","連雲街79號","徐信誠","男","02-23410504","Y"
"開業","吉星藥局","臺北市","中正區","襄陽路１９號１樓","謝素怡","女","23118438","Y"
"開業","全民藥局","臺北市","中正區","廈門街八十七號","張淑慧","","0223695759","Y"
"開業","進達健保藥局","臺北市","中正區","中華路二段453號","阮思維","男","23039829","Y"
"開業","活力健康藥妝藥局","臺北市","中正區","中華路二段315巷1號","蕭聖鈞","男","0982757037-23392625","Y"
"開業","信康藥局","臺北市","中正區","南昌路一段143號","曾資尹","女","23961979","Y"
"開業","中英大藥局","臺北市","中正區","永綏街6號","呂麗珠","女","02-23617551","Y"
"開業","濟仁藥局","臺北市","中正區","濟南路二段２２號","徐慧文","女","0223514576","Y"
"開業","安藤健保調劑藥局","臺北市","中正區","南昌路一段130、132號","陳澤鈞","男","02-23962120","Y"
"開業","台醫藥局","臺北市","中正區","公園路30巷4號","江孟勳","","23141202","Y"
"開業","古亭藥局","臺北市","中正區","汀州路三段１１７號","廖秀香","女","","Y"
"開業","新獻安藥局","臺北市","中正區","羅斯福路一段１５號","李宏仁","男","0223519891","Y"
"開業","日生大藥局","臺北市","中正區","汀州路一段５３號１樓","李志剛","男","0223031393","Y"
"開業","新德星中西藥局","臺北市","中正區","信陽街３號１樓","鍾權隆","男","0223614598","N"
"開業","慶安藥局","臺北市","中正區","忠孝東路二段20號","陳朝揚","","02-23582358","Y"
"開業","祥全藥局","臺北市","中正區","信義路二段７９巷１５號之８一樓","白昭豐","男","0223939339","Y"
"開業","國杏藥師示範藥局","臺北市","中正區","延平南路１７１巷３號","費工梅","","0223811322","Y"
"開業","華南藥局","臺北市","大同區","迪化街二段二一五號之一","楊伸夫","男","0225921093","N"
"開業","立生藥局","臺北市","大同區","延平北路三段６１號之３","李瓊璘","男","0225925727","Y"
"開業","宏泰藥師藥局","臺北市","大同區","酒泉街131號","王宥筑","女","25957025","Y"
"開業","佳禾藥局","臺北市","大同區","大龍街262號","周芳如","女","25953806","Y"
"開業","延平新聖安藥局","臺北市","大同區","延平北路三段35號","盧智仁","男","","Y"
"開業","德芳藥局","臺北市","大同區","民生西路91號","簡德榮","男","25576869","Y"
"開業","大同民生藥局","臺北市","大同區","民生西路128、130號","陳雅芳","女","02-25558886","Y"
"開業","春鄰藥局","臺北市","大同區","長安西路35號","林憲為","男","25492000","Y"
"開業","旭豐藥局","臺北市","大同區","昌吉街96號","施存豐","男","25853880","Y"
"開業","儷安藥局","臺北市","大同區","錦西街53巷16號","王麗蕙","女","25578033","Y"
"開業","躍獅雙蓮藥局","臺北市","大同區","涼州街4號","蘇瑞婷","女","02-25537551","Y"
"開業","大愛藥師藥局","臺北市","中山區","吉林路255號","陳士昌","男","25424723","Y"
"開業","立大藥局","臺北市","中山區","吉林路144巷14號","毛碧君","女","0225313844","Y"
"開業","美日藥局","臺北市","中山區","天津街六十六號一樓","黃建嘉","男","25631662","Y"
"開業","東東藥局","臺北市","中山區","長春路257之2號","吳崑山","男","25031730","Y"
