許可證字號,中文品名,英文品名,有效日期,申請商名稱,發證日期,申請商電話,劑型,用途,簽審文件,製造廠國別,成分,申請商地址,包裝量及單位
"衛部添製字 002217","TM-204 增稠劑","TM-204 THICKENER","2019-01-23","品元實業股份有限公司","2014-01-23","02-28206996","粉劑","粘稠劑","","","STARCH SODIUM OCTENYL SUCCINATE;;HYDROXYPROPYL STARCH","","10.00000公斤;12.50000公斤;20.00000公斤;25.00000公斤"
"衛部添製字 002316","醋酸澱粉","STARCH ACETATE (TM-180)","2019-04-24","品元實業股份有限公司","2014-04-24","02-28206996","粉劑","粘稠劑","","","STARCH ACETATE","","20.00000公斤;25.00000公斤"
"衛部添製字 002371","鹿角菜膠","CARRAGEENAN","2019-06-10","盛美股份有限公司","2014-06-10","06-2551356","粉劑","粘稠劑","","","CARRAGEENAN","","1.00000公斤;5.00000公斤;10.00000公斤"
"衛部添製字 002354","乾酪素鈉","SODIUM CASEINATE","2019-05-26","盛美股份有限公司","2014-05-26","06-2551356","粉劑","粘稠劑","","","SODIUM CASEINATE","","1.00000公斤;5.00000公斤;10.00000公斤"
"衛部添製字 002353","結蘭膠","GELLAN GUM","2019-05-26","盛美股份有限公司","2014-05-26","06-2551356","粉劑","粘稠劑","","","GELLAN GUM","","1.00000公斤;5.00000公斤;10.00000公斤"
"衛署添製字 001108","淇淋星ＩＣ－１０６ 粉劑　　　　　　　　　　　　　　　　","CREAM STAR IC-106","2019-05-27","振芳股份有限公司","1994-05-27","02-23415137","粉劑","粘稠劑","","","GLYCERIN FATTY ACID ESTER;;LOCUST BEAN GUM(CAROB BEAN GUM);;GUAR BEAN GUM;;CARRAGEENAN","",""
"衛署添製字 001691","環己基(代)磺醯胺酸鈉","SODIUM CYCLAMATE","2020-03-10","宏俊實業股份有限公司","2005-03-10","07-3511595","結晶性粉末","甜味劑","","","SODIUM CYCLAMATE","","1.00000磅;55.00000磅;55.00000磅"
"衛署添製字 001700","甘草萃","LICORICE EXTRACTS","2020-10-14","宏俊實業股份有限公司","2005-10-14","07-3511595","粉劑","甜味劑","","","LICORICE EXTRACTS","","20.00000公斤;20.00000公斤;20.00000公斤;25.00000公斤;25.00000公斤;25.00000公斤"
"衛署添輸字 007305","核黃素","RIBOFLAVIN (FINE POWDER)","2019-10-14","台灣巴斯夫股份有限公司","2004-10-14","02-25068131","粉劑","營養添加劑;;著色劑","DHB0C007305009","韓國","RIBOFLAVIN","","10.00000公斤;25.00000公斤"
"衛署添輸字 007380","核黃素","RIBOFLAVIN HIGH FLOW 100","2020-01-27","台灣巴斯夫股份有限公司","2005-01-27","02-25068131","粉劑","營養添加劑;;著色劑","DHB0C007380000","韓國","RIBOFLAVIN","","10.00000公斤;25.00000公斤"
