103.12.16	部授食字第1031106356號	Ipsen Biopharm Ltd.	英國	Ash Road, Wrexham Industrial Estate, Wrexham, CLWYD LL13 9UF, U.K.	凍晶注射劑（無菌製備）-肉毒桿菌毒素	海喬國際股份有限公司	逾期未辦理工廠定期檢查	
103.12.16	部授食字第1031106355號	Norton Waterford T/A Ivax Pharmaceuticals Ireland	愛爾蘭	IDA Industrial Park, Waterford, Ireland	懸液劑及溶液劑	海喬國際股份有限公司	逾期未辦理工廠定期檢查	
103.12.11	部授食字第1036070201號	Hoe Pharmaceuticals Sdn. Bhd.	馬來西亞	Lot 10, Jalan Sultan Mohamed 6, Bandar Sultan Suleiman, 42000 Port Klang, Selangor, Malaysia	100月9日6署授食字第0990074958號函：溶液劑及乳膏劑(含凝膠劑)	景康管理顧問有限公司	自請註銷	
103.12.11	部授食字第1036069383號	UCB Pharma SA	比利時	Chemin Du Foriest, 1420 Braine-l'Alleud, Belgium	99年10月5日署授食字第0991103121號函：錠劑	新加坡商美納里尼醫藥有限公司台灣分公司	自請註銷	
103.12.11	部授食字第1036069252號	A. Nattermann & Cie. GmbH	德國	Nattermannallee 1, D-50829 Cologne, Germany	101年12月22日署授食字第1015031088號函及98年4月14日署授食字第0980003554號函：膠囊劑	賽諾菲股份有限公司	自請註銷	
103.11.13	部授食字第1030048439號	Norton Waterford T/A Ivax Pharmaceuticals Ireland	愛爾蘭	IDA Industrial Park, Waterford, Ireland	溶液劑	香港商艾維斯有限公司台灣分公司	自請註銷	
103.11.12	部授食字第1036062662號	Tillotts Pharma AG	瑞士	Hauptstrasse 27, 4417 Ziefen, Switzerland	包裝作業及膜衣錠之分裝作業	科懋生物科技股份有限公司	自請註銷	
103.11.05	部授食字第1036061353號	MedImmune Pharma B.V.	荷蘭	Lagelandseweg 78, 6545 CG Nijmegen, The Netherlands	100年1月4日署授食字第0990055294號函：凍晶注射劑（無菌製備）	美商默沙東藥廠股份有限公司台灣分公司	自請註銷	
103.11.05	部授食字第1030045749號	Sanwa Kagaku Kenkyusho Co., Ltd. Kumamoto Factory	日本	2100-1, Urogogawa, Iwakoso-machi, Uto-shi, Kumamoto, Japan	100年1月21署授食字第0991104183號函：糖衣錠（含膜衣錠）	扶陞貿易有限公司	自請註銷	
103.10.31	部授食字第1036060345號	Fushimi Pharmaceutical Co. Ltd. Showacho Plant	日本	103-1, Show-cho, Marugame-shi, kagawa, 763-8605, Japan	100年1月5日署授食字第0991104274號函：散劑	衛采製藥股份有限公司	自請註銷	
103.10.27	部授食字第1036060378號	Pharmascience Inc.	加拿大	6111 Royalmount Suite #100 Montreal, Quebec, Canada H4P 2T4	99年12月31日署授食字第0991103808號函：膜衣錠	鴻汶醫藥實業有限公司	自請註銷（將使用他家代理商核備函）	
103.10.13	部授食字第1030038634號	Nipro Pharma Corporation Inc., Shiki Factory	日本	6-19, Furumachi 2-chome, Kashiwara City, Osaka, Japan	99年9月23日署授食字第0980029472號函：注射液劑（無菌製備）	武璋貿易有限公司	定期檢查送審資料不全	
103.10.8	部授食字第1030042586號	Taisho Pharmaceutical lndustries Ltd.	日本	3, Oharaichiba, Koga-Cho Koga-Shi, Shiga, Japan	100年8月8日署授食字第1005018577號函:軟膠囊劑之包裝作業及錠劑(含顆粒劑)	大正貿易有限公司	自請註銷	
103.10.8	部授食字第1036055365號	Bard Pharmaceuticals Limited	英國	Unit 191, Cambridge Science Park, Milton Road, Cambridge, Cambrigeshire, CB4 0GW, U.K.	99年11月1日署授食字第0991103253號函:膜衣錠及膠囊劑	嘉德藥品企業有限公司	自請註銷（將使用他家代理商核備函）	
103.10.3	部授食字第1036019263號	Mundipharma GmbH	德國	Mundipharmastrasse 2, D-65549 Limburg/Lahn, Germany	99年9月3日署授食字第0991103150號函:溶液劑、栓劑及軟膏劑(含乳膏劑)	嘉德藥品企業有限公司	自請註銷（將使用他家代理商核備函）	
103.10.2	部授食字第1030039995號	Astellas Pharma Technologies, Inc.	美國	3300 Marshall Ave. Norman, OK 73072, U.S.A.	99年12月16日署授食字第0991103924號函：膠囊劑	台灣第一三共股份有限公司	自請註銷	
103.9.10	部授食字第1036049978號	Rechon Life Science ABH	瑞典	Soldattorpsvagen 5, P.O. Box 60043, SE-216 10 Limhamn, Sweden	99年12月20日署授食字第0991103316號函:注射液劑（無菌製備）	輝凌藥品股份有限公司	自請註銷	
103.9.5	部授食字第1031104366號	Wasserburger Arznimittelwerk GmbH	德國	Herderstraße 2, D-83512 Wasserburg, Germany	99年11月11日署授食字第0990000974號函:凍晶注射劑（無菌製備）	海喬國際股份有限公司	逾期未辦理工廠定期檢查	
103.8.28	部授食字第1036046889號	SSL International PLC	英國	Traynor Way, Whitehouse Industrial Park, Peterlee, Durham, SR8 2RU, U.K.	99年7月23日署授食字第0990010691號函:溶液劑	台灣大昌華嘉股份有限公司	自請註銷	
103.8.28	部授食字第1036046888號	iNOVA Pharmaceuticals (Australia) Pty Limited	澳洲	9-15 Chilvers Road, Thornleigh, N.S.W. 2120, Australia	99年8月16日署授食字第1015044492號函:錠劑	台灣大昌華嘉股份有限公司	自請註銷	
103.8.27	部授食字第1036047187號	Gilead Sciences Inc.	美國	502 Covina Boulevard, San Dimas, CA91773, USA	102年2月1日署授食字第1015044492號函:注射液劑(無菌製備)	輝瑞大藥廠股份有限公司	自請註銷	
103.8.15	部授食字第1036044374號	Wyeth Pharmaceuticals Division of Wyeth Holdings Corporation	美國	401 North Middletown Rd., Pearl River, NY10965, USA	99年12月1日署授食字第0991103377號函：
（一）沛兒肺炎球菌七價接合型疫苗原料藥（無菌製備）：發酵（Fermentation）、淨化（Clarification）及Polysaccharides之純化（Purification）
（二）注射液劑（無菌製備）-沛兒肺炎球菌七價接合型疫苗，自原料藥至formulated bulk	美商惠氏藥廠(亞洲)股份有限公司台灣分公司	自請註銷	
103.8.15	部授食字第1036044375號	Wyeth Pharmaceuticals Division of Wyeth Holdings Corporation	美國	4300 Oak Park, Sanford, North Carolina 27330, USA	99年12月1日署授食字第0991103382號函：沛兒肺炎球菌七價接合型疫苗原料藥中Polysaccharides之Activation及Conjugation	美商惠氏藥廠(亞洲)股份有限公司台灣分公司	自請註銷	
103.8.15	FDA風字第1030034256號	Sato Yakuhin Kogyo Co., Ltd.	日本	9-2 Kannonji-Cho, Kashihara City, Nara prefecture 634-8567, Japan	99年12月2日署授食字第0991103869號函：錠劑之顆粒製程	台灣武田藥品工業股份有限公司	自請註銷	
103.8.11	部授食字第1036042917號	Famar France	法國	Site Industriel d'Orléans, Avenue du Champ de Mars 45072 Orleans Cedex 2, France	99年9月7日署授食字第0990010017號函：溶液劑及散劑	台灣諾華股份有限公司	自請註銷	
103.7.28	部授食字第1036029083號	Fresenius Biotech GmbH	德國	Am Haag 6-7, 82166 Gräfelfing, Germany	99年9月16日署授食字第0991102892號函：注射液劑(無菌製備)-血清製劑	海喬國際股份有限公司	自請註銷	
103.7.28	部授食字第1030031371號	Mibe GmbH Arzneimittel	德國	Münchener Straβe 15, 06796 Brehna, Germany	99年8月16日署授食字第0990014892號函：懸液劑(含溶液劑)、軟膏劑(含乳膏劑)、糖衣錠(含膜衣錠、錠劑、顆粒劑及散劑)及膠囊劑	台灣美強股份有限公司	自請註銷	
103.7.21	部授食字第1036039114號	Ebewe PharmaGes.m.b.H Nfg. KG	奧地利	Mondseestraβe 11 A-4866 Unterach, Austria	100年1月21日署授食字第0991104385號函：注射液劑（最終滅菌）	美商亞培股份有限公司台灣分公司	自請註銷	
103.7.21	部授食字第1036038883號	Corden Pharma S.P.A. (for AstraZeneca UK Limited)	義大利	Viale Dell Industria 3, 20040 Caponago, (Milan), Italy	99年11月18日署授食字第099110265號函：注射液劑（最終滅菌）	台灣阿斯特捷利康股份有限公司	自請註銷	
103.6.6	部授食字第1026030028號	Towa Pharmaceutical Co., Ltd. (Okayama Plant)	日本	34-2, Taiheidai, Shoo-Cho, Katsuta-Gun Okayama, Japan	99年10月6日署授食字第0990000222號函之下列核准劑型：軟膏劑(含乳膏劑)	喆森科技顧問社	自請註銷	
103.5.30	部授食字第1030022175號	Famar S.A.	希臘	48 Km, National Road Athens-Lamia 19011, Avlonas, Greece	99年11月10日署授食字第0990018392號函：無菌試驗	富富企業有限公司	自請註銷	
103.5.29	部授食字第1026031035號	Ukima Plant of Chugai Pharma Manufacturing Co. Ltd.	日本	5-1, Ukima 5-Chome, Kita-ku, Tokyo, Japan	100年12月9日署授食字第1000031183號函之下列核准劑型：軟膠囊劑	台灣中外製藥股份有限公司	自請註銷	
103.5.12	部授食字第1036024089號	Weimer Pharma GmbH	德國	Im Steingerüst 30, D-76437 Rastatt, Germany	99年8月26日署授食字第0980028974號函：膜衣錠	康百佳實業有限公司	自請註銷	
103.5.7	部授食字第1030018737號	Wakunaga of America Co., Ltd.	美國	23501 Madero Mission Viejo, California 92691, U.S.A.	100年6月29日署授食字第1005013567號函：膜衣錠(不含分裝及包裝作業)	明億實業有限公司	自請註銷	
103.5.6	部授食字第1026019410號	Novartis Saglik Gida ve Tarim Urunleri Sanayi ve Ticaret A.S.	土耳其	Yenisehir Mahallesi, Dedepasa Cadessi No.17 (11.sok No.2) 34912 Kurtkoy, Istanbul, Turkey	100年1月19日署授食字第0991103646號函：膜衣錠	新加坡商美納里尼醫藥有限公司台灣分公司	自請註銷	
103.4.23	部授食字第1036021284號	Grünenthal GmbH	德國	Zweifaller Straße 112, D-52224 Stolberg, Germany	99年8月4日署授食字第0991102756號函：注射液劑（最終滅菌，不含包裝作業）及溶液劑（不含包裝作業）	禾利行股份有限公司	自請註銷	
103.4.22	部授食字第1026013792號	Pharminicio, S.L.U.	西班牙	C/ Juan XXIII 15-19, 08950 Esplugues de Llobregat Barcelona, Spain	99年9月10日署授食字第0990005412號函：錠劑及膠囊劑	興采股份有限公司	無原產國主管機關之製造作業許可	
103.4.18	部授食字第1030015972號	Pierre Fabre Medicament Production	法國	Etablissement Progipharm Rue du Lycee 45500 Gien, France	99年7月9日署授食字第0980029474號函：乳膏劑	友華生技醫藥股份有限公司	自請註銷	
103.4.17	部授食字第1026013565號	Abbott GmbH & Co. KG	德國	Knollstraße50, 67061 Ludwigshafen, Germany	99年10月29日署授食字第0991103437號函:錠劑	新加坡商美納里尼醫藥有限公司台灣分公司	自請註銷	
103.4.10	部授食字第1031101580號	Matsumoto Pharm. Ind. Co., Ltd.	日本	160, Oharaichiba, Koka-cho, Koka-city, Shiga, Japan	100年4月8日署授食字第1005014293號函之下列核准劑型：丸劑	德佑藥品有限公司	逾期未辦理工廠定期檢查	
