年度,醫院,診所,藥局,西藥製造業,西藥販賣業,獸醫診療機構,畜牧診療機構,動物用藥製藥,動物用藥販賣,醫藥教育研究試驗機構,合計
"92年數量","567","6,824","2,038","154","493","822","31","19","13","153","11,664"
"93年數量","564","6,896","2,810","150","510","841","35","20","14","185","12,025"
"94年數量","546","6,909","3,056","140","522","848","35","23","14","219","12,312"
"95年數量","534","6,936","3,047","138","514","835","35","22","7","240","12,308"
"96年數量","511","6,938","3,130","138","498","840","38","23","7","241","12,364"
"97年數量","496","6,921","3,291","140","467","831","34","23","8","256","12,467"
"98年數量","497","6,944","3,625","139","481","821","31","23","8","264","12,833"
"99年數量","496","7,086","3,943","137","490","827","31","26","9","262","13,307"
"100年數量","493","7,186","4,296","133","481","839","28","25","9","270","13,760"
"101年數量","488","7,294","4,596","133","473","846","29","23","11","275","14,168"
"102年數量","486","7,354","4,881","133","469","853","31","22","9","273","14,511"
