機構名稱,地址,電話
"各縣市毒品危害防制中心(免付費諮詢專線)","","0800-770-885(請請你，幫幫我)"
"衛生福利部","臺北市南港區忠孝東路6段488號","(02)8590-6666"
"衛生福利部食品藥物管理署(諮詢服務專線)","臺北市南港區昆陽街161-2號","(02)2787-8200"
"台北榮民總醫院毒藥物防治諮詢中心","臺北市北投區石牌路二段201號","(02)2871-7121"
"台北市立聯合醫院松德院區成癮防治科","臺北市信義區松德路309號","(02)2726-3141#1350"
"衛生福利部草屯療養院成癮治療中心","南投縣草屯鎮玉屏路161號","(049)256-0289"
"高雄市立凱旋醫院成癮防治科","高雄市苓雅區凱旋二路130號","(07)751-3171#2135"
"財團法人基督教晨曦會","臺北縣永和市保福路2段23巷37號","(02)2231-7744"
"財團法人台灣基督教主愛之家輔導中心","花蓮縣秀林鄉佳民村1號","(03)826-0360"
"財團法人屏東縣私立基督教沐恩之家","高雄市苓雅區中正一路372號12樓之3","(07)723-0595"
"中華民國反毒運動促進會","臺北市中正區重慶南路1段10號8樓801室","(02)2381-5225"
"財團法人台灣更生保護會","臺北市大安區基隆路2段170號","(02)2737-1232"
"台北市少年輔導委員會","臺北市信義路五段180號9樓","(02)2346-7601"
"社團法人中華民國更生少年關懷協會","臺北市松山區民生東路五段36巷8弄7號1樓","(02)2769-3258"
"社團法人台南市噶瑪噶居戒癮協進會","臺南市安平區建平十七街33號4樓之5","(06)297-7071"
"宜蘭縣渡安居女性關懷協會","宜蘭市健康路2段50號","(03)933-2073"
