類別,藥物名稱,俗名,分級,醫療用途,濫用方式,說明,圖片,圖片文字
"中樞神經抑制劑(麻醉藥品類)","海洛因","四號、白粉、細仔","第一級毒品","無","注射吸食","　　海洛因(Heroin)之學名為二乙醯嗎啡，是由嗎啡與醋酸酐(Acetic anhydride)加熱反應而得；屬中樞神經抑制劑。吸食後最典型之感覺為興奮及欣快感，但隨之而來的是陷入困倦狀態，長期使用會產生耐受性及心理、生理依賴性，即需增加劑量才可達到主觀相同的效果，一旦停止使用，除產生戒斷反應外，心理的渴藥性是吸毒者最難克服的問題。 　　使用海洛因之副作用包括呼吸抑制、噁心、嘔吐、眩暈、精神恍惚、焦慮、搔癢、麻疹、便秘、膽管痙攣、尿液滯留、血壓降低等。部份病人會產生胡言亂語、失去方位感、運動不協調、失去性慾或性能力等現象。戒斷症狀包括渴藥、不安、打呵欠、流淚、流鼻水、盜汗、失眠、厭食、腹瀉、噁心、嘔吐、發冷、腹痛、肌肉疼痛、『冷火雞』等症狀，約經七至十天症狀會漸趨緩和。　　 海洛因之毒性為嗎啡之10倍，極易中毒，且成癮性強，戒斷症狀甚強，許多國家皆已禁止醫療使用。 濫用者常因共用針頭注射毒品或使用不潔之針頭，而感染愛滋病、病毒性肝炎(B或C型肝炎)、心內膜炎、靜脈炎等疾病。","https://consumer.fda.gov.tw/Files/Drug_Abuse/1/Heroin(無管管局logo) - 檢出Heroin_1.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/1/Heroin(無管管局logo) - 檢出Heroin_2.jpg","海洛因;;海洛因"
"中樞神經抑制劑(麻醉藥品類)","嗎啡","魔啡","第一級毒品","鎮痛","注射口服","一、緣起及危害性　　　　鴉片經抽提可得嗎啡(Morphine)，屬中樞神經抑制劑。吸食後最典型之感覺為興奮及欣快感，但隨之而來的是陷入困倦狀態，長期使用會產生耐受性及心理、生理依賴性，即需增加劑量才可達到主觀相同的效果，一旦停止使用，除產生戒斷反應外，心理的渴藥性是吸毒者最難克服的問題。副作用包括呼吸抑制、噁心、嘔吐、眩暈、精神恍惚、焦慮、搔癢、麻疹、便秘、膽管痙攣、尿液滯留、血壓降低等。部份病人會產生胡言亂語、失去方位感、運動不協調、失去性慾或性能力等現象。戒斷症狀包括渴藥、不安、打呵欠、流淚、流鼻水、盜汗、失眠、厭食、腹瀉、噁心、嘔吐、發冷、腹痛、肌肉疼痛、『冷火雞』等症狀，約經七至十天症狀會漸趨緩和。我國將其列為第一級管制藥品及毒品。","https://consumer.fda.gov.tw/Files/Drug_Abuse/288-01.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/2/Morphine(無管管局logo)_併檢出Codeine.jpg","嗎啡 ;;嗎啡"
"中樞神經抑制劑(麻醉藥品類)","鴉片","福壽膏、芙蓉膏","第一級毒品","無","經口吸食","一、緣起　　 取自於罌粟(Papaver somniferum)未成熟之蒴果，以刀劃開蒴果之表皮，採集所流出之乳汁，使其凝固後所得即為鴉片(Opium)。二、危害性　　 吸食鴉片最典型之感覺為興奮及欣快感，但隨之而來的是陷入困倦狀態，長期使用會產生藥物耐受性及心理、生理依賴性，即需增加劑量才可達到主觀相同的效果，一旦停止使用，除產生戒斷反應外，心理的渴藥性是吸毒者最難克服的問題。 　　使用鴉片後之副作用包括呼吸抑制、噁心、嘔吐、眩暈、精神恍惚、焦慮、搔癢、麻疹、便秘、膽管痙攣、尿液滯留、血壓降低等。部份病人會產生胡言亂語、失去方位感、運動不協調、失去性慾或性能力等現象。戒斷症狀包括渴藥、不安、打呵欠、流淚、流鼻水、盜汗、失眠、厭食、腹瀉、噁心、嘔吐、發冷、腹痛、肌肉疼痛、『冷火雞』等症狀，約經七至十天症狀會漸趨緩和。","https://consumer.fda.gov.tw/Files/Drug_Abuse/3/鴉片.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/3/鴉片3.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/3/鴉片.bmp","鴉片;;鴉片;;鴉片"
"中樞神經抑制劑(鎮靜安眠劑)","苯二氮平類","苯二氮平類","第三級毒品、第四級毒品","鎮靜安眠","注射、口服","一、緣起　　苯二氮平類(Benzodiazepines，BZD)是目前最常用的安眠鎮靜藥物，可分為短效、中效及長效製劑；臨床上常用於安眠、鎮靜、抗焦慮及治療癲癇等用途。二、危害性　　由於該類藥物具成癮性，在國內藥物濫用問題日趨嚴重時刻，Benzodiazepines類藥物被濫用的情形亦有增加之趨勢，如下毒當作強暴犯罪工具（將被害者迷昏予以性侵害）、自殺工具等。　　施用後之副作用包括欲睡、噁心、嘔吐、近期記憶喪失（可逆性）、反彈性失眠、幻覺、憂鬱、呼吸抑制等。服用此類藥物時動作反應可能較為遲緩，應避免使用危險性機器或駕駛汽車；也應避免飲用酒精性飲料或與其它中樞神經抑制劑併用，否則會增加副作用的產生。該類藥品長期使用會產生耐受性、依賴性及出現嗜睡、步履不穩、注意力不集中、記憶力和判斷力減退等症狀；突然停藥可能產生戒斷症狀包括初期的表徵類似焦慮症狀，接著可能會出現焦慮增加、感覺障礙（如感覺異常、畏光、嗜睡、有金屬味覺）、類似流行性感冒症狀、注意力無法集中、疲倦、不安、厭食、頭暈、出汗、嘔吐、失眠、暴躁、噁心、頭痛、肌肉緊張/抽搐、顫抖等症狀。　　使用過量患者，大都呈現肌肉過度鬆弛及深度睡眠狀態，較少造成死亡，惟若與酒精或其它中樞神經抑制劑併用，則危險性大為提高，亦有許多濫用者因精神恍惚造成意外或因吸入嘔吐物而致死。","https://consumer.fda.gov.tw/Files/Drug_Abuse/4/92020101-三唑他(無管管局LOGO)_檢出Triazolam_1.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/4/92050814 - Flunitrazepam(無管管局logo)_檢出Flunitrazepam,Caffeine.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/4/93040928 -Flunitrazepam(無管管局logo)_檢出Flunitrazepam_2.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/4/92030481 -三唑他(無管管局LOGO)_檢出Triazolam_2.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/4/Flunitrazepam(無管管局logo)_檢出Flunitrazepam_3.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/4/92111861 -Flunitrazepam(無管管局logo)_檢出 Flunitrazepam_1.jpg","苯二氮平類;;苯二氮平類;;苯二氮平類;;苯二氮平類;;苯二氮平類;;苯二氮平類"
"中樞神經抑制劑(鎮靜安眠劑)","佐沛眠(Zolpidem)","佐沛眠","第四級毒品","失眠症的短期治療","口服","一、緣起 　　佐沛眠(Zolpidem)為新興的類苯二氮平神經抑制劑，臨床上用於失眠症的短期治療，屬苯二氮平類受體促進劑種類的藥物，但卻無苯二氮平類藥物的化學結構。具有鎮靜、抗痙攣、抗焦慮及肌肉鬆弛的效果，Zolpidem tartrate外觀為白色至灰白色結晶粉末，極不溶於水、酒精及丙醯甘醇(propylene glycol)。　　佐沛眠具有雙向(biphasic)吸收的特徵，因此可迅速由胃腸道吸收，並且在藥物施用後三個小時擴散至血漿中，生物可利用率可達70%。二、危害性 　　由於佐沛眠的鎮靜安眠效果，所以藥物濫用者多在施用甲基安非他命、古柯、MDMA或安非他命等興奮藥物之後，會服用佐沛眠讓自己從興奮狀恢復，但此舉會引起藥物的交互作用，產生不可預期的傷害。　　佐沛眠的副作用依個人之情況會有不同，可能出現眩暈、頭暈、昏暈、心跳加速、迷幻(包括視覺、聽覺或幻覺)、皮膚疹、臉部腫脹、睡眠困難、不正常的興奮、神經質、急躁、哮喘、呼吸困難、跌倒、動作笨拙(clumsiness)、不穩(unsteadiness)、心智沮喪及昏亂(confusion)等。有些臨床案例顯示長期使用Zolpidem會導致藥物依賴與耐受性，且停止使用佐沛眠會有輕微的戒斷症狀。但有些則有腹部及肌肉痙攣、嘔吐、冒汗、顫抖等較嚴重症狀，同時也經常伴隨反彈性失眠(rebound insomnia)的症狀。藥物施用過量會有動作笨拙或不穩、眩暈、複視或其他視覺問題、昏昏欲睡、嘔吐、呼吸混亂(troubled breathing)、心跳減慢、噁心等較嚴重的症狀發生。若懷孕期間服用鎮靜安眠類藥物，會使胎兒於出生之後就有戒斷症狀發生的可能性，此外，也有報導指出可能會引起胎兒肌肉軟弱等現象。　　佐沛眠之濫用性(特別是Ambien brand)漸漸地受到年輕人的青睞，藥物濫用者宣稱強迫自己“抵抗”此藥物的作用，若強迫讓自己保持清醒可引起視幻(vivid visual)及興奮，但此舉並非人體的自然反應，容易導致意外的產生。","https://consumer.fda.gov.tw/Files/Drug_Abuse/5/Zolpidem(無管管局logo)_1 .jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/5/Zolpidem(無管管局logo)_2.jpg","Zolpidem;;Zolpidem"
"中樞神經抑制劑(鎮靜安眠劑)","巴比妥酸鹽類(Barbiturates)","巴比妥酸鹽類","第三級毒品、第四級毒品","鎮靜、安眠","注射、口服、吸食","一、緣起 　　巴比妥酸鹽類(Barbiturates)屬中樞神經抑制劑，臨床上用於治療失眠、鎮靜、誘導麻醉及癲癇等。巴比妥酸鹽安眠鎮靜劑是早期開發用於治療焦慮、失眠之安眠鎮靜劑，因使用後會產生宿醉之作用(Hangover)較苯二氮平類(Benzodiazepines)安眠鎮靜劑嚴重，易產生生理依賴性，臨床上已較少使用。　　這類藥品中常被濫用者主要為Secobarbital (Seconal)因其藥品膠囊外觀為紅色，故俗稱紅中；Amobarbital(Amytal)因其藥品膠囊為青色，所以俗稱為青發。二、危害性　　此類藥物因會抑制中樞神經，造成意識障礙，偶爾有欣快感。長期使用會產生耐受性、依賴性及出現嗜睡、步履不穩、注意力不集中、記憶力和判斷力減退等症狀。服用過量會造成運動失調、暈眩、呼吸困難、低血氧、酸中毒、循環障礙、視覺障礙、昏迷、甚至致死。突然停藥會有戒斷症狀發生，如頭痛、噁心、虛弱、焦慮不安、盜汗、顫抖、腹部疼痛、甚至產生發燒、痙攣、昏迷致死。","https://consumer.fda.gov.tw/Files/Drug_Abuse/302-01.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/6/青發.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/6/紅中.jpg","巴比妥酸鹽類 ;;青發.jpg;;紅中.jpg"
"中樞神經抑制劑(其他類)","愷他命(Ketamine)","卡門、K他命、K仔、Special K、Cat Valium","第三級毒品","手術痲醉","口服、鼻吸、煙吸、注射","一、緣起　　Ketamine(愷他命、K他命)俗稱K仔、Special K或K，為非巴比妥鹽類之麻醉、止痛劑，與PCP(Phencycline)同屬芳基環己胺類結構，是一種用於人或動物麻醉之速效、全身性麻醉劑，常用於診斷或不需肌肉鬆弛之手術，尤其適合用於短時間之小手術或全身麻醉時誘導之用。二、危害性　　使用愷他命較常見之副作用為心搏過速、血壓上升、震顫、肌肉緊張而呈強直性、陣攣性運動等，部分病人在恢復期會出現不愉快的夢、意識模糊、幻覺、無理行為及胡言亂語，發生率約12％。　　Ketamine之藥效可維持1小時，但影響吸食者感覺、協調及判斷力則可長達16至24小時，並可產生噁心、嘔吐、複視、視覺模糊、影像扭曲、暫發性失憶及身體失去平衡等症狀。長期使用會產生耐受性及心理依賴性，造成強迫性使用，且不易戒除。","https://consumer.fda.gov.tw/Files/Drug_Abuse/7/檢出愷他命(無管管局logo).jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/7/愷他命(無管管局logo)-檢出acetaminophen,ketamine,methylephedrine.jpg","K他命;;K他命"
"中樞神經抑制劑(其他類)","液態搖頭丸(GHB)","液態搖頭丸、Liquid Ecstasy、Georgia Home Boy、G水","第二級毒品","無","口服","一、緣起　　GHB俗稱Liquid Ecstasy、Georgia Home Boy或G水。是一種澄清無嗅液體，有白色粉末、藥片和膠囊等劑型。1960年首次由法國化學家Dr. H. Laborit合成，具鎮靜及麻醉效果，屬於中樞神經抑制劑。二、危害性　　服用GHB 後約15 分鐘產生之不良反應，會依所使用之劑量不同，產生昏睡、暈眩、噁心、暫時記憶性喪失、視幻覺、血壓心搏減慢、痙攣、呼吸抑制、昏迷等。施用大劑量產生之中毒症狀包括心搏徐緩、痙攣性肌肉收縮、胡言亂語、幻覺性幻想（Dream-like confusional state）、知覺喪失、嘔吐、腹痛、高鈣症、代謝性鹼中毒、肝衰竭、震顫、痙攣、昏迷、嚴重呼吸抑制、暴力或自殘行為、輕躁症、尿失禁等不良反應。GHB常被認為具欣快與幻覺作用及增強性能力（Enhancer of sexual activity)而被濫用。　　由於GHB無臭、無味、易溶於水，方便加入飲料中，加上前述作用，近年來常被利用為性犯罪工具，而列為約會強暴丸。在美國GHB與Ketamine和FM2同列為約會強暴丸，並被列為第一級管制藥品。目前國內列為第二級管制藥品及毒品。","https://consumer.fda.gov.tw/Files/Drug_Abuse/8/檢出GHB(無管管局logo)_1.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/8/檢出GHB(無管管局logo)_2.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/8/檢出GHB(無管管局logo)_3 .jpg","液態搖頭丸;;液態搖頭丸;;液態搖頭丸"
"中樞神經興奮劑(古柯類)","古柯鹼","可卡因、快克(Crack)","第一級毒品","局部麻醉、止流鼻血","經口鼻吸煙吸","一、緣起　　 古柯鹼於1855年從古柯植物葉中提取的一種生物鹼，經與鹼加熱反應去除鹽酸，可製得俗稱快克(Crack)之產物。古柯鹼在1880年代被引進美國，並於1980年代開始盛行，隨後逐漸蔓延至歐洲、印度等地，成為嚴重的藥物濫用問題。二、危害性　　古柯鹼屬終須神經興奮劑，亦具有局部麻醉及血管收縮作用，臨床上大多用於眼科及耳鼻喉科局部麻醉之用。吸食初期會產生欣快感、精力旺盛、注意力敏銳、思路清晰等主觀感覺，使用劑量增加後則會產生視幻覺、觸幻覺、聽幻覺、感覺扭曲、多疑、猜忌、妄想等精神症狀。 　　　　濫用者以鼻吸方式施用，往往會使鼻粘膜血管收縮，造成鼻子輕微出血的現象。當反覆吸入使用則會造成慢性鼻炎，有些人更因血管收縮出現鼻中隔穿孔症狀。使用過量會產生胡言亂語、呼吸衰竭、心臟麻痺等症狀，甚至導致死亡。懷孕婦女如長期使用古柯鹼會造成流產、早產、胎兒體重過輕與腦部發育受損等情況。　　濫用古柯鹼會產生生理及心理上的依賴性，長期使用或僅藉古柯鹼狂歡幾天，突然停止使用即產生憂鬱、焦慮、渴求藥物而變為全身疲勞、嗜睡等現象，經喚醒後發生過度攝食、繼續再睡、憂鬱及快感缺乏等現象之戒斷症狀。","https://consumer.fda.gov.tw/Files/Drug_Abuse/290-01.jpg;;https://consumer.fda.gov.tw/Files/Drug_Abuse/9/古柯鹼1.jpg","古柯鹼;;古柯鹼"
"中樞神經興奮劑(安非他命及相似濫用物質)","(甲基)安非他命","冰塊，安公子，冰糖，安仔，炮仔，鹽","第二級毒品","無","經口，煙吸，注射","一、緣起 　　甲基安非他命是安非他命的一種衍生物，其脂溶性較高，藥效較快產生，一般市面上查獲的多屬甲基安非他命。二、危害性　　 安非他命與（甲基）安非他命均屬中樞神經興奮劑，使用者於初用時會有提神、疲勞感消失、活動力增加、食慾減退、欣快感及衝動、心跳加快與體溫升高等。長期使用會造成依賴性（心理及生理）及成癮性，並且會出現妄想型精神分裂症，症狀包括猜忌、多疑、妄想、情緒不穩、易怒、視幻覺、聽幻覺、觸幻覺、強迫或重覆性的行為及睡眠障礙等，也常伴有自殘、暴力攻擊行為等。成癮後一旦停止吸食，便會產生戒斷症狀，包括疲倦、沮喪、焦慮、易怒、全身無力等。　　因安非他命具有抑制食慾的作用，常被不法人士摻入非法減肥藥中非法販賣，使用藥者在不知情的情況成癮，並造成精神分裂、妄想症等副作用。","https://consumer.fda.gov.tw/Files/Drug_Abuse/10/(甲基)安非他命 (無管管局logo).jpg","(甲基)安非他命"
