管制級別,藥品名稱,藥品英文名稱,主要成分,適應症,有效期間,售價單位,售價單價,包裝規格,健保藥品代碼,分裝,備註
"1","阿片粉","Powdered Opium","無水嗎啡100mg/Gm","鎮痛(製劑用原料)","如標籤","公克","30","1000Gm/罐、 500Gm/罐","A006235177","1gm A006235199",""
"1","阿片酊","Opium Tincture","無水嗎啡 10mg/ml","鎮痛","如標籤","毫升","2.3","25000ml/桶","A005869155","1ml A005869199",""
"4","阿片樟腦酊","Camphorated Opium Tincture","無水嗎啡 0.5mg/ml","鎮痛、鎮咳","三年","毫升","0.27","500ml/瓶","A005863177","1ml A005863199","(暫停供應)"
"1","＂管制藥品廠＂硫酸嗎啡口服液 ","＂PPCD＂ Morphine Sulfate Oral Solution","硫酸嗎啡 2mg/ml","解除末期癌症病人之嚴重疼痛","二年","瓶","240","120ml/瓶","AC49758157","",""
"1","鹽酸嗎啡","Morphine Hydrochloride","鹽酸嗎啡","鎮痛(調劑或製劑用原料)","如標籤","公克","90","10Gm/瓶","","","(暫停供應)"
"1","鹽酸嗎啡注射液10毫克/毫升","Morphine Hydrochloride Injection 10mg/ml","鹽酸嗎啡10mg/ml","鎮痛","二年","支","16","1ml/安瓿、 10支/盒","AC05891209","",""
"1","鹽酸嗎啡注射液20毫克/毫升","Morphine Hydrochloride Injection 20mg/ml","鹽酸嗎啡20mg/ml","鎮痛","二年","支","18","1ml/安瓿、 10支/盒","AC05886209","",""
"1","鹽酸嗎啡錠10毫克","(Morphine Hydrochloride Tablets 10mg)","鹽酸嗎啡10mg/Tab","鎮痛","二年","粒","2.8","100Tab/盒","AC05860100","","(暫停供應)"
" 1"," ＂管制藥品廠＂硫酸嗎啡錠15毫克","＂PPCD＂ Morphine Sulfate Tablets 15mg","硫酸嗎啡15mg/Tab","重度疼痛之緩解","二年","粒","3.3","100Tab/盒","AC56306100","","(101年12月17日開始銷售)"
"1","”管制藥品廠”嗎啡長效膜衣錠30毫克","Morphine Sulfate Sustained Release F.C.Tablets 30mg”PPCD”","硫酸嗎啡30mg/Tab","緩解嚴重及頑固性疼痛","二年","粒","12.5","50Tab/盒","AC42534100","",""
"1","硫酸嗎啡長效膜衣錠60毫克","MST Continus Tablets 60mg","硫酸嗎啡60mg/Tab　","緩解嚴重及頑固性疼痛","如標籤","粒","80","30Tab/盒","BC19000100","",""
"1","默痛舒持續性藥效膠囊60mg/cap","MXL Capsule 60mg","硫酸嗎啡 60 mg/cap","解除末期癌症病患之嚴重疼痛","如標籤","粒","95","28Cap/盒","BC23779100","","(100年6月1日開始銷售）"
"2","釋通緩釋錠8毫克","Jurnista Prolonged-Release Tablets 8mg","Hydromorphone HCl 8mg/Tab","解除癌症末期病患之嚴重疼痛","二年","粒","135","28Tab/盒","BC26037100","","(103年7月25日開始銷售)"
