產地,主旨,原因,進口商名稱,進口商地址,貨品分類號列,不合格原因暨檢出量詳細說明,法規限量標準,製造廠或出口商名稱,製造商代碼,牌名,重量,處置情形,發布日期,報驗受理日期,附圖
"丹麥","萵苣綜合生菜(FRESH MESCLUM MIXED BABY SALADS)","殘留農藥含量不符規定","東遠國際有限公司","台北市中正區金門街9之14號1樓","0705.19.00.00-7","檢出殘留農藥賽普洛0.26 ppm 、護汰寧0.13 ppm","依據「農藥殘留容許量標準」，農藥賽普洛、護汰寧限值均為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","PARIS GASTRONOMY","","PARIS GASTRONOMY","8","案內不符合商品依規定退運或銷毀。","2015-04-14","2015-03-19","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4168&type=unsafefood"
"日本","黃豆粉豆","其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)","東西國際貿易有限公司","高雄市左營區新庄仔路652巷14號","2106.90.99.90.3","產品外箱製造商地址標示為東京都，經查其公司網址上僅有一間工廠，地址為千葉縣，業者表示該公司之工廠不僅只有網站上所顯示的一家，還有其他工廠，但無法提具相關證明","不符合食品安全衛生管理法第4條規定。","小林製菓株式會社","","小林製?株式會社","296","案內不符合商品依規定不得輸入","2015-04-17","2015-04-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4169&type=unsafefood"
"日本","海苔豆","其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)","東西國際貿易有限公司","高雄市左營區新庄仔路652巷14號","2008.11.92.00.4","產品外箱製造商地址標示為東京都，經查其公司網址上僅有一間工廠，地址為千葉縣，業者表示該公司之工廠不僅只有網站上所顯示的一家，還有其他工廠，但無法提具相關證明","不符合食品安全衛生管理法第4條規定。","小林製菓株式會社","","小林製?株式會社","222","案內不符合商品依規定不得輸入","2015-04-17","2015-04-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4170&type=unsafefood"
"日本","磯小判(綜合豆菓子)","其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)","東西國際貿易有限公司","高雄市左營區新庄仔路652巷14號","2008.11.92.00.4","產品外箱製造商地址標示為東京都，經查其公司網址上僅有一間工廠，地址為千葉縣，業者表示該公司之工廠不僅只有網站上所顯示的一家，還有其他工廠，但無法提具相關證明","不符合食品安全衛生管理法第4條規定。","小林製菓株式會社","","小林製?株式會社","318","案內不符合商品依規定不得輸入","2015-04-17","2015-04-09","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4171&type=unsafefood"
"越南","紅茶(BLACK TEA FA)","殘留農藥含量不符規定","煥翔實業有限公司","新北市樹林區備內街1巷45號之1","0902.40.90.00.2","檢出殘留農藥芬普尼0.007 ppm","依據「農藥殘留容許量標準」，農藥芬普尼限值為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。","THANG LONG TEA CO.,LTD.","","","12,400","案內不符合商品依規定退運或銷毀。","2015-04-21","2015-03-19","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4172&type=unsafefood"
"美國","KIRKLAND SIGNATURE冷凍藍莓","殘留農藥含量不符規定","好市多股份有限公司","高雄市前鎮區中華五路656號1樓","0811.90.29.00-7","檢出殘留農藥賽普洛0.02 ppm","本案不符合食品衛生管理法第15條有關「殘留農藥安全容許量標準」規定","CILUMBIA FRUIT","","","653.76","案內不合格商品依規定退運或銷毀。","2013-07-30","2013-06-26","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2779&type=unsafefood"
"肯亞","茵陳蒿(FRESH TARRAGON)","殘留農藥含量不符規定","柏翊企業有限公司","臺北市中山區建國北路二段110號6樓","0709.99.90.90.8","檢出殘留農藥亞托敏0.02 ppm","依據「農藥殘留容許量標準」，農藥亞托敏限值為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。","GREENERY PRODUCE","","GREENERY PRODUCE","3","案內不符合商品依規定已於2015年1月23日完成銷毀。","2015-02-10","2015-01-10","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=3930&type=unsafefood"
"越南","美國香菜","殘留農藥含量不符規定","楊逸萍","嘉義市東區安寮里吳鳳南路521巷16弄42號","0709.90.90.90-7","檢出殘留農藥芬普尼0.177 ppm及待克利1.64 ppm。","依「殘留農藥安全容許量標準」農藥芬普尼限量0.001 ppm、農藥待克利為不得檢出，本案不符合食品衛生管理法第十一條規定。","KHANG GIAI CO.,LTD.","","KHANG","100","案內不合格商品依規定退運或銷毀。","2012-10-09","2012-09-17","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=2355&type=unsafefood"
"美國","伯爵茶(TEA BLEND)","殘留農藥含量不符規定","聯夏食品工業股份有限公司","台北市中正區仁愛路一段22號6樓","0902.40.90.00.2","檢出殘留農藥賽果培0.20 ppm","依據「農藥殘留容許量標準」，農藥賽果培限值為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。","NORTH AMERICAN TEA & COFFEE INC","","NORTH AMERICAN TEA","22.67","案內不符合商品依規定退運或銷毀。","2015-06-03","2015-04-30","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4401&type=unsafefood"
"韓國","納喬起司醬(Otherarticlesofheadingno.2103)","防腐劑含量不符規定","陪你有限公司","高雄市左營區文學路455號","2103.90.90.90.5","檢出防腐劑(以對羥苯甲酸乙酯計0.145 g/kg)","依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用食品範圍，本案不符合食品安全衛生管理法第18條規定。","SIAS CO LTD","","SIAS","10","案內不符合商品依規定退運或銷毀。","2015-06-10","2015-05-05","https://consumer.fda.gov.tw/DownloadMethod/ashx/showImage.ashx?id=4445&type=unsafefood"
