許可證字號,中文品名,英文品名,申請商
"藥輸025224","脈泰克膜衣錠400毫克","Multaq 400mg film-coated tablets","賽諾菲安萬特股份有限公司"
"菌疫輸000918","保骼麗注射液","Prolia","荷商葛蘭素史克藥廠股份有限公司台灣分公司?"
"藥輸025436","金贊樂注射劑","Zypadhera","臺灣禮來股份有限公司"
"菌疫輸000897","恩瑞舒凍晶注射劑250毫克","Orencia Lyophilized Powder for IV Infusion 250mg　","臺灣必治妥施貴寶股份有限公司"
"藥輸025550","雅睫思睫毛用液劑","Latisse(bimatoprost) 0.03%","台灣愛力根藥品股份有限公司"
"菌疫輸000920","喜達諾 注射液","Stelara Solution for Injection　","嬌生股份有限公司"
"菌疫輸000580","＂瑞士＂宜保利血注射液10000單位/公撮","EPREX INJECTION 10000IU/ML","嬌生股份有限公司"
"菌疫輸000581","＂瑞士＂宜保利血注射液2000單位/公撮","EPREX INJECTION 2000IU/ML","嬌生股份有限公司"
"菌疫輸000582","＂瑞士＂宜保利血注射液4000單位/公撮","EPREX INJECTION 4000IU/ML","嬌生股份有限公司"
"菌疫輸000828","＂瑞士＂ 宜保利血注射液40000單位/公撮","Eprex Injection 40000 IU/ml","嬌生股份有限公司"
"菌疫輸000911","欣普尼注射液","Simponi (golimumab), Solution for Injection","嬌生股份有限公司"
"藥輸025814","恩臨 TM 膜衣錠 25 毫克","EdurantTM Film Coated Tablets 25mg","嬌生股份有限公司"
"菌疫輸000935","奔麗生凍晶注射劑","Benlysta Powder for Solution for Infusion","荷商葛蘭素史克藥廠股份有限公司台灣分公司"
"菌疫輸000907","安挺樂 靜脈點滴注射劑","Actemra Solution for Infusion","臺灣中外製藥股份有限公司"
"菌疫輸000807","癌思停注射劑","AvastinR Injection","羅氏大藥廠股份有限公司"
"菌疫輸000924","癌骨瓦 注射液","Xgeva(Denosumab 70mg/mL","荷商葛蘭素史克藥廠股份有限公司台灣分公司"
"罕藥輸000027","止蹈釘12.5毫克","Xenazine 12.5mg","吉泰藥品股份有限公司"
"罕藥輸000026","止蹈釘25毫克","Xenazine 25mg","吉泰藥品股份有限公司"
"藥輸025872","穩爾糖注射劑 2毫克","","臺灣必治妥施貴寶股份有限公司"
"罕菌疫輸000022","泰吉利濃縮靜脈輸注液300毫克","TYSABRI Concentrate for Solution for Infusion 300mg","華宇藥品股份有限公司"
"藥輸026031","妥復克膜衣錠20毫克","Giotrif Film-Coated Tablets 20 mg","台灣百齡佳殷格翰股份有限公司"
"藥輸026032","妥復克膜衣錠30毫克","Giotrif Film-Coated Tablets 30 mg","台灣百齡佳殷格翰股份有限公司"
"藥輸026033","妥復克膜衣錠40毫克","Giotrif Film-Coated Tablets 40 mg","台灣百齡佳殷格翰股份有限公司"
"藥輸026034","妥復克膜衣錠50毫克","Giotrif Film-Coated Tablets 50 mg","台灣百齡佳殷格翰股份有限公司"
"罕藥輸000025","捷力能膠囊0.5毫克","Gilenya Capsules 0.5mg","台灣諾華股份有限公司"
"藥輸025214","瑞復美膠囊25毫克","Revlimid Capsules 25mg","賽基有限公司"
"藥輸025215","瑞復美膠囊15毫克","Revlimid Capsules 15mg","賽基有限公司"
"藥輸025216","瑞復美膠囊10毫克","Revlimid Capsules 10mg","賽基有限公司"
"藥輸025217","瑞復美膠囊5毫克","Revlimid Capsules 5mg","賽基有限公司"
"衛署藥製030587","癲妥錠200公絲（卡巴馬平）　","TEGOL TABLETS 200MG (CARBAMAZEPINE) ＂YU SHENG＂　","優生製藥廠股份有限公司　"
"衛署藥製046241","癲舒液　","CARBATOL 20MG/ML MIXTURE　","歐強國際有限公司"
"衛署藥製036020","癲通錠200公絲（卡巴馬平）　","TEGRETOL TABLETS 200MG (CARBAMAZEPINE)　","臺灣諾華股份有限公司　"
"衛署藥輸016028","癲通長效膜衣錠200毫克　","TEGRETOL CR 200MG FILM-COATED TABLETS (DIVISIBLE)　","臺灣諾華股份有限公司　"
"衛署藥輸016033","癲通長效膜衣錠400毫克　","TEGRETOL CR 400MG FILM-COATED TABLETS (DIVISIBLE)　","臺灣諾華股份有限公司　"
"衛署藥輸022208","癲通錠200公絲　","TEGRETOL TABLETS 200MG　","臺灣諾華股份有限公司　"
"衛署藥輸021027","癲舒緩釋錠300公絲　","NEUROTOL SLOW TABLETS 300 MG　","臺灣美強股份有限公司　"
"衛署藥輸021028","癲舒緩釋錠200公絲　","NEUROTOL SLOW TABLETS 200MG　","臺灣美強股份有限公司　"
"衛署藥製029375","＂培力＂卡馬平錠200毫克（卡巴馬平）　","CAMAPINE TABLETS 200MG ＂P.L.＂ (CARBAMAZEPINE)　","培力藥品工業股份有限公司　"
"衛署藥製041574","培力卡馬平長效錠400公絲（卡巴氮平）　","CARMAPINE C.R. TABLELS 400MG ＂P.L.＂ (CARBAMAZEPINE)　","培力藥品工業股份有限公司　"
"衛署藥製046486","＂培力＂ 卡馬平長效膜衣錠200毫克(卡巴氮平)　","CARMAPINE C.R. FILM COATED TABLETS 200MG ＂P.L.＂ (CARBAMAZEPINE)　","培力藥品工業股份有限公司　"
"衛署藥製041745","腦癲寧錠200公絲(卡巴氮平)　","NODERIN TABLETS 200MG (CARBAMAZEPINE)　","健喬信元醫藥生技股份有限公司　"
"衛署藥製041247","卡賓錠200公絲　","CARPINE TABLETS 200MG ＂S.T.＂(CARBAMAZEPINE)　","信東生技股份有限公司　"
"衛署藥製048516","羅喜糖 膜衣錠4毫克","Rosizone Film Coated Tablets 4mg","永信藥品工業股份有限公司"
"衛署藥製049615","“信東”維地雅膜衣錠 4 毫克","Vidya Film Coated Tablets 4 mg (Rosiglitazone)","信東生技股份有限公司"
"衛署藥製049625","“生達”格理醣膜衣錠 4 毫克","Rosiglit F.C. Tablets 4mg“Standard”(Rosiglitazone)","生達化學製藥股份有限公司"
"衛署藥製050171","溫血醣膜衣錠","Winsepal Film-Coated Tablets","溫士頓醫藥股份有限公司"
"衛署藥製050426","諾醣達膜衣錠 4 毫克","Rovendia F.C. Tablets 4mg","瑪科隆股份有限公司"
"衛署藥製055011","萊斯妥 膜衣錠 4 毫克","Rosital F.C. Tablets 4mg","瑞安大藥廠股份有限公司"
"衛署藥製056669","柔平醣膜衣錠4毫克","Rositazone F.C. Tablets 4mg","瑞士藥廠股份有限公司"
"衛署藥輸024459","＂西班牙＂梵帝美膜衣錠 2毫克/500毫克","Avandamet F.C. Tablets 2mg/500mg ＂Spain＂","荷商葛蘭素史克藥廠股份有限公司台灣分公司"
"衛署藥輸024780","“西班牙”梵帝雅膜衣錠4毫克","Avandia F.C. Tablet 4mg ”Spain”","荷商葛蘭素史克藥廠股份有限公司台灣分公司"
"衛署藥製047130","醣切錠15毫克","Vippar Tablets 15mg (pioglitazone)","世育興業股份有限公司"
"衛署藥製048007","＂生達＂ 順醣錠30毫克","Pioglit Tablets 30mg ＂Standard＂ (Pioglitazone)","生達化學製藥股份有限公司"
"衛署藥製048057","安索糖錠30毫克","Anxotos Tablets 30mg","瑩碩生技醫藥股份有限公司"
"衛署藥製048098","泌特士錠30毫克","Glitos Tablets 30mg","中國化學製藥股份有限公司新豐工廠"
"衛署藥製048333","欣促胰錠30毫克","Glutazone Tablets 30mg","永信藥品工業股份有限公司"
"衛署藥製048602","＂正和＂ 糖立敏錠15毫克","Diazone Tablets 15mg ＂C.H.＂","正和製藥股份有限公司新營廠"
"衛署藥製048753","必胰靈 錠 30毫克","Piota Tablets 30 mg","世強化學製藥股份有限公司"
"衛署藥製049085","必糖諾 錠 30 毫克","Pitazone Tablet 30 mg","健喬信元醫藥生技股份有限公司"
"衛署藥製049116","”培力”安醣錠 30 毫克","Piotas Tablets 30 mg ”P.L.”","培力藥品工業股份有限公司"
"衛署藥製049119","比非醣錠 30 毫克","Befree Tablets 30mg","瑞士藥廠股份有限公司"
"衛署藥製049429","降糖皮爾錠 30 毫克","U-CHU Piozon Tablets 30 mg","五洲製藥股份有限公司"
