許可證字號,發證日,商品名,許可證持有者,監視終止
"藥輸024980","98.02.24","3M DuraPrep Surgical Solution","臺灣明尼蘇達礦業製造股份有限公司","103.02.24"
"藥輸024988","98.03.09","Isentress Film coated Tablets 400mg","美商默沙東藥廠股份有限公司台灣分公司","103.03.09"
"藥輸024988","98.03.09","Isentress Film coated Tablets 400mg","美商默沙東藥廠股份有限公司台灣分公司","103.03.09"
"藥輸024995","98.03.24","Lyrica hard capsule 75mg","輝瑞大藥廠股份有限公司","103.03.24"
"藥輸024996","98.03.24","Lyrica hard capsule 150mg","輝瑞大藥廠股份有限公司","103.03.24"
"藥輸024997","98.03.24","Lyrica hard capsule 300mg","輝瑞大藥廠股份有限公司","103.03.24"
"菌疫輸000879","98.03.30","Lucentis 10mg/ml solution for injection","台灣諾華股份有限公司","103.03.30"
"藥輸025003","98.04.01","Byetta Injection 0.25mg/ml ＂U.K.＂","台灣禮來股份有限公司","103.04.01"
"藥輸025004","98.04.01","Byetta Injection 0.25mg/ml ＂USA＂","台灣禮來股份有限公司","103.04.01"
"藥輸025041","98.06.09","Janumet 50/850 mg film-coated tablets","美商默沙東藥廠股份有限公司台灣分公司","103.06.09"
"藥輸025042","98.06.09","Janumet 50/1000 mg film-coated tablets","美商默沙東藥廠股份有限公司台灣分公司","103.06.09"
"藥輸025043","98.06.11","Janumet 50/500 mg film-coated tablets","美商默沙東藥廠股份有限公司台灣分公司","103.06.09"
"藥輸025045","98.06.11","Preterax 2.5mg/0.625mg","新加坡商施維雅股份有限公司台灣分公司","103.06.11"
"藥輸025046","98.06.11","Acertil Plus 5mg/1.25mg","新加坡商施維雅股份有限公司台灣分公司","103.06.11"
"藥輸025053","98.07.14","Ixempra for injection","台灣必治妥施貴寶股份有限公司","103.07.14"
"藥輸025066","98.08.06","Finibax for injection 0.25g","台灣鹽野義製藥股份有限公司","103.08.06"
"藥輸025079","98.08.20","Tetraspan 10% Solution for infusion","台灣柏朗股份有限公司","103.08.20"
"藥輸025080","98.08.20","Tetraspan 6% Solution for infusion","台灣柏朗股份有限公司","103.08.20"
"藥輸025081","98.08.20","Intelence Tablets 100mg","嬌生股份有限公司","103.08.20"
"藥輸025091","98.09.18","Volulyte 6% Solution for Infusion","台灣費森尤斯卡比股份有限公司","103.09.18"
"藥輸025092","98.09.18","Foster","友華生技醫藥股份有限公司","103.09.18"
"藥輸025115","98.11.24","Azarga Eye drops suspension","瑞士商愛爾康大藥廠股份有限公司台灣分公司","103.11.24"
"菌疫輸000891","98.11.25","Synflorix","荷商葛蘭素史克藥廠股份有限公司台灣分公司","103.11.25"
"藥製052337","98.12.07","Glufast Tablets 10mg","友華生技醫藥股份有限公司","103.12.07"
"藥輸025126","98.12.10","Arixtra 2.5mg/0.5ml solution for injection, pre-filled syringe","荷商葛蘭素史克藥廠股份有限公司台灣分公司","103.12.10"
"藥輸025129","98.12.16","Xarelto film-coated tablets 10mg","台灣拜耳股份有限公司","103.12.16"
"衛署藥輸字第025872號","102.3.9","BYDUREON 2mg","臺灣必治妥施貴寶股份有限公司","103.4.1"
"衛部藥輸字第026164號","102.10.7","JANUMET XR Tablets 50/1000 mg","美商默沙東藥廠股份有限公司台灣分公司","103.6.9"
"衛部藥輸字第026165號","102.10.7","JANUMET XR Tablets 50/500 mg","美商默沙東藥廠股份有限公司台灣分公司","103.6.9"
"衛部藥輸字第026166號","102.10.7","JANUMET XR Tablets 100/1000 mg","美商默沙東藥廠股份有限公司台灣分公司","103.6.9"
"藥輸025140","99.01.29","REGPARA TABLETS 75MG","台灣協和醱酵麒麟股份有限公司","104.01.29"
"藥輸025141","99.01.29","REGPARA TABLETS 25MG","台灣協和醱酵麒麟股份有限公司","104.01.29"
"菌疫輸000894","99.02.11","Rabipur PCEC Rabies Vaccines Behring Powder and solvent for solution for injection","台灣諾華股份有限公司","104.02.11"
"菌疫輸000894","99.02.11","Rabipur PCEC Rabies Vaccines Behring Powder and solvent for solution for injection","台灣諾華股份有限公司","104.02.11"
"藥輸025150","99.03.01","SMOFKABIVEN PERIPHERAL EMULSION FOR INFUSION","台灣費森尤斯卡比股份有限公司","104.03.01"
"藥輸025150","99.03.01","SMOFKABIVEN PERIPHERAL EMULSION FOR INFUSION","台灣費森尤斯卡比股份有限公司","104.03.01"
"藥輸025154","99.03.09","Vidaza for Injectable Suspension　","賽基有限公司","104.03.09"
