項次,發函文號,編號,通過單位,合格範圍或試驗項目,有效期限
"1","103年1月24日 FDA風字第1031100303號 (原102年10月1日 FDA風字第1021150801號)","GLP0990002","財團法人農業科技研究院-生物安全測試實驗室","１、藥品之生物安全測試 (1) 黴漿菌檢測 (2) 細胞種源鑑定檢測(Isoenzyme Analysis) (3) 反轉錄病毒檢測 (4) 非內源性病毒體外感染試驗 (5) 豬病毒體外感染試驗 (6) 病毒定性檢測 (7) 基因穩定性檢測(轉殖基因套數檢測、轉殖基因穩定性分析) (8) 其它試驗(無菌試驗、內毒素試驗、病毒清除確效) ２、藥品之臨床前毒性試驗 (1) 基因毒性試驗(細菌基因突變測試法) (2) 細胞毒性試驗(Agar Diffusion) ３、生醫材料之生物安全測試 (1) 細胞毒性試驗(Agar Diffusion) (2) 內毒素試驗 (3) 病毒清除確效","105年9月30日"
"2","102年4月3日 FDA風字第1021100665號 (原98年9月4日 衛署藥字第0980334622號)","GLP0990003","進階生物科技股份有限公司/臨床前試驗中心","１、藥品之臨床前毒性試驗 (1) 單一/重覆劑量毒性試驗 (2) 基因毒性試驗(細菌基因突變測試法、體外哺乳類染色體異常試驗、囓齒類周邊血液微核測試法) (3) 生殖與發育毒性試驗 (4) 皮膚過敏性試驗 (5) 刺激性試驗(皮膚) ２、醫療器材之生物相容性試驗 (1) 細胞毒性試驗 (2) 基因毒性試驗(細菌基因突變測試法、體外哺乳類染色體異常試驗、囓齒類周邊血液微核測試法) (3) 過敏性試驗 (4) 刺激性試驗(眼/皮膚/皮內) (5) 急性/亞急/亞慢性毒性試驗 (6) 植入試驗(骨骼/肌肉/皮下) (7) 內毒素試驗(LAL試驗) (8) 熱原試驗 ３、化粧品之基因毒性試驗 (1) 細菌基因突變測試法 ４、健康食品安全性評估試驗 (1) 基因毒性試驗(細菌基因突變測試法、體外哺乳類染色體異常試驗、囓齒類周邊血液微核測試法) (2) 口服急性毒性試驗 (3) 餵食毒性試驗(28天/90天) (4) 致畸試驗","105年4月2日"
"3","103年4月2日 FDA風字第1031101442號 (原98年9月4日 衛署藥字第0980334623號)","GLP0990004","昌達生化科技股份有限公司","１、生物檢體中藥物濃度測試（Determination of Drug Levels in Biological Matrices） ２、生物製劑、抗藥物抗體、藥物中和抗體及生物標記之定量分析（Quantitative Bioanalysis of Biologics, Anti-Drug Antibodies, Neutralizing Antibodies and Biomarkers）","106年4月2日"
"4","102年10月1日 FDA風字第1021150800號 (原98年9月9日 衛署藥字第0980362776號)","GLP0990005","佳生科技顧問股份有限公司-藥物動態學分析實驗室","生物檢體中藥物濃度測試（Determination of Drug Levels in Biological Matrices）","105年9月30日"
"5","1. 102年3月11日 FDA風字第1021100665號 (原98年9月11日 衛署藥字第0980362777號)","GLP0990006","麥德凱生科股份有限公司/麥德凱生命科學研究所","１、藥品之臨床前毒性試驗之急性毒性試驗 ２、醫療器材之生物相容性試驗 (1) 體外細胞毒性試驗 (2) 皮膚敏感性試驗 (3) 刺激性試驗(眼、皮膚、皮內) (4) 系統性毒性試驗 (5) 熱原試驗 (6) 內毒素試驗 (7) 肌肉植入試驗 (8) 基因毒性試驗(微生物基因突變試驗、體外哺乳類細胞染色體結構異常試驗、體外哺乳類細胞染色體SCE試驗) ３、化粧品之安全性評估試驗 (1) 皮膚敏感性試驗 (2) 刺激性試驗(眼、皮膚) (3) 基因毒性試驗(微生物基因突變試驗、體外哺乳類細胞染色體結構異常試驗、體外哺乳類細胞染色體SCE試驗) ４、健康食品之安全性評估試驗 (1) 基因毒性試驗(微生物基因突變分析、體外哺乳類細胞染色體結構異常試驗、周邊血液之微核測試法) (2) 口服急毒性試驗","105年3月11日"
"6","103年9月17日 FDA風字第1031104559號 (原99年12月24日 FDA器字第0991618446號)","GLP0990009","財團法人生物技術開發中心-生技藥品檢驗中心","１、藥品之生物安全測試 (1) 毒物動力學試驗 (2) 外源性病毒動物感染檢測 (3) 非內源性病毒體外感染檢測 (4) 細菌庫生物安全檢測 (5) 免疫原性測試 (6) 異常毒性試驗","106年9月17日"
"7","103年9月26日 FDA風字第1031104650號 (原100年1月17日 FDA器字第0991620387號)","GLP0990011","維州生物科技股份有限公司-分析實驗室","生物檢體中藥物濃度測試（Determination of Drug Levels in Biological Matrices）","106年9月29日"
"8","103年12月25日 FDA風字第1031106473號 (原100年7月28日 FDA器字第1001604372號)","GLP1000012","鴻諭藥品生技股份有限公司-分析實驗室","生物檢體中藥物濃度測試（Determination of Drug Levels in Biological Matrices）","106年12月25日"
"9","103年12月25日 FDA風字第1031106476號 (原100年12月5日 FDA器字第1005051108號)","GLP1000016","財團法人生物技術開發中心-藥品代謝動力組","生物檢體中藥物濃度測試（Determination of Drug Levels in Biological Matrices）","106年12月25日"
"10","101年10月31日 FDA風字第1011102252號","GLP1010003","鎂陞科技股份有限公司蛋白質分析實驗室","認可合格範圍: 1. 生物相似藥 2. 研發中蛋白質新藥 試驗項目: 1.蛋白質藥物全序列比對 2.複雜樣品中蛋白質鑑定 3.蛋白質相對定量 4.轉譯後修飾分析","104年10月31日"
