機構名稱,聯絡人,聯絡人電話,機構地址,認可項目,認可字號
"台灣檢驗科技股份有限公司濫用藥物台北實驗室","邱雅麗","(02)22993279 轉2515","新北市五股區新北產業園區五工路136之1號","1.海洛因、鴉片代謝物：嗎啡及可待因 2.安非他命類藥物：安非他命、甲基安非他命、MDMA及MDA 3.大麻代謝物：四氫大麻酚-9-甲酸 4.愷他命代謝物：愷他命、去甲基愷他命","A0001"
"台灣尖端先進生技醫藥股份有限公司","馮志傑","(02)26926222 轉710","新北市汐止區康寧街169巷31-1號2樓之3","1.海洛因、鴉片代謝物：嗎啡及可待因 2.安非他命類藥物：安非他命、甲基安非他命、MDMA及MDA 3.大麻代謝物：四氫大麻酚-9-甲酸 4.愷他命代謝物：愷他命、去甲基愷他命","A0002"
"臺北榮民總醫院","陳慧懋","(02)28757525 轉805","台北市石牌路二段201號","1.海洛因、鴉片代謝物：嗎啡及可待因 2.安非他命類藥物：安非他命、甲基安非他命、MDMA及MDA 3.大麻代謝物：四氫大麻酚-9-甲酸 4.愷他命代謝物：愷他命、去甲基愷他命","A0003"
"慈濟大學濫用藥物檢驗中心","胡安仁","(03)8565301轉2334","花蓮市中央路三段701號","1.海洛因、鴉片代謝物：嗎啡及可待因 2.安非他命類藥物：安非他命、甲基安非他命、MDMA及MDA 3.大麻代謝物：四氫大麻酚-9-甲酸 4.愷他命代謝物：愷他命、去甲基愷他命","A0004"
"長榮大學職業暨環境與食品安全研究中心","許憲呈","(06)2785123 轉3116","台南市歸仁區長大路1號","1.海洛因、鴉片代謝物：嗎啡及可待因 2.安非他命類藥物：安非他命、甲基安非他命、MDMA及MDA 3.大麻代謝物：四氫大麻酚-9-甲酸 4.愷他命代謝物：愷他命、去甲基愷他命","A0005"
"詮昕科技股份有限公司","翁昭容","(04)26338389","台中市龍井區遠東街60號1樓","1.海洛因、鴉片代謝物：嗎啡及可待因 2.安非他命類藥物：安非他命、甲基安非他命、MDMA及MDA 3.大麻代謝物：四氫大麻酚-9-甲酸 4.愷他命代謝物：愷他命、去甲基愷他命","A0006"
"台灣檢驗科技股份有限公司濫用藥物高雄實驗室","陸瑞坤","(07)3012121轉3300","81170 高雄市楠梓加工出口區開發路61號","1.海洛因、鴉片代謝物：嗎啡及可待因 2.安非他命類藥物：安非他命、甲基安非他命、MDMA及MDA 3.大麻代謝物：四氫大麻酚-9-甲酸 4.愷他命代謝物：愷他命、去甲基愷他命","A0008"
"中山醫學大學附設醫院","陳素琴","04-24739595轉32255","台中市南區建國北路一段110號","1.海洛因、鴉片代謝物：嗎啡及可待因 2.安非他命類藥物：安非他命、甲基安非他命、MDMA及MDA 3.大麻代謝物：四氫大麻酚-9-甲酸 4.愷他命代謝物：愷他命、去甲基愷他命","A0009"
"交通部民用航空局航空醫務中心","羅盛強","(02)25456700轉266","台北市松山區敦化北路340號之9","1.海洛因、鴉片代謝物：嗎啡及可待因 2.安非他命類藥物：安非他命、甲基安非他命、MDMA及MDA 3.大麻代謝物：四氫大麻酚-9-甲酸","A0010"
"三軍總醫院臨床病理科臨床毒藥物檢驗室（僅受理軍方檢體）","莊千慧","(02)87923311轉17278","台北市內湖區成功路二段325號","1.海洛因、鴉片代謝物：嗎啡及可待因 2. 安非他命類藥物： 安非他命、甲基安非他命、MDMA及MDA 3.愷他命代謝物：愷他命、去甲基愷他命","A0011"
"高雄醫學大學附設中和紀念醫院（檢驗醫學部毒物室)","曾麗憑","(07)3121101 轉 7252","高雄市三民區自由一路100號","1.海洛因、鴉片代謝物：嗎啡及可待因 2.安非他命類藥物：安非他命、甲基安非他命、MDMA及MDA 3.大麻代謝物：四氫大麻酚-9-甲酸 4.愷他命代謝物：愷他命、去甲基愷他命","A0012"
"高雄市立凱旋醫院","陳香蘭","(07)7513171轉 2218","高雄市苓雅區凱旋二路 130 號","1.海洛因、鴉片代謝物：嗎啡及可待因 2.安非他命類藥物：安非他命、甲基安非他命、MDMA及MDA 3.大麻代謝物：四氫大麻酚-9-甲酸 4.愷他命代謝物：愷他命、去甲基愷他命","A0013"
"正修學校財團法人正修科技大學超微量研究科技中心","林淑芬","(07)7310606 轉 2620","高雄市鳥松區澄清路840號","1.海洛因、鴉片代謝物：嗎啡及可待因 2.安非他命類藥物：安非他命、甲基安非他命、MDMA及MDA 3.大麻代謝物：四氫大麻酚-9-甲酸 4.愷他命代謝物：愷他命、去甲基愷他命","A0014"
"台灣檢驗科技股份有限公司濫用藥物台中實驗室","馬世仁","(04)23591515轉1506","台中市西屯區工業區十四路9號","1.海洛因、鴉片代謝物：嗎啡及可待因 2.安非他命類藥物：安非他命、甲基安非他命、MDMA及MDA 3.大麻代謝物：四氫大麻酚-9-甲酸 4.愷他命代謝物：愷他命、去甲基愷他命","A0015"
