認證編號,實驗室名稱,實驗室地址,實驗室電話,實驗室網站,通過日期,檢驗項目,公告資訊名稱,公告資訊連結,認證證書連結
"D001","台灣檢驗科技股份有限公司 （超微量工業安全實驗室）","24890新北市五股區新北產業園區五權七路38號","(02) 22993279＃2200","http://www.tw.sgs.com/zh_tw/home_tw_v2?","105.10.31","中藥材及中藥製劑：重金屬5項、總重金屬（以鉛計）、黃麴毒素、農藥殘留25項、二氧化硫。 化粧品：重金屬、總生菌數、黴菌及酵母菌、白色念珠菌、沙門氏菌、大腸桿菌、金黃色葡萄球菌、綠膿桿菌、甲醛、防曬系數、塑化劑、壬基酚、壬基苯酚聚乙氧基醇、杜鵑醇、對苯二酚、維他命A酸、防腐劑12項。 醫療器材：內毒素試驗、紅血球毒性試驗。 西藥：內毒素。","衛生福利部 105年10月31日 部授食字第1051106000號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=58555&chk=3a286319-7102-4976-a85e-8c8aa1ecef9c","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29368&chk=71423d09-2749-4a5d-a1c3-d2d02b864db2"
"D002","台美檢驗科技有限公司 （檢驗中心）","新北市新莊區五股工業區五工五路21號","(02) 22981887","http://www.superlab.com.tw/","106.01.25","中藥材及中藥製劑：二氧化硫、黃麴毒素、總重金屬、好氧性微生物總數、酵母菌與黴菌總數、大腸桿菌、沙門氏桿菌、金黃色葡萄球菌、綠膿桿菌。 化粧品：總生菌數、金黃色葡萄球菌、綠膿桿菌、大腸桿菌、防腐劑12項、染髮劑、pH值及酸鹼性、防曬劑9項、對苯二酚、杜鵑醇、維他命A酸、黴菌及酵母菌、重金屬5項。 西藥：好氧性微生物總數、酵母菌與黴菌總數、大腸桿菌、沙門氏桿菌、金黃色葡萄球菌、綠膿桿菌、膽鹽耐受性革蘭氏陰性菌、梭狀芽胞桿菌、白色念珠菌。","衛生福利部 106年01月25日 衛授食字第1061100591號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=62315","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=29382"
"D003","聯群生技有限公司 （藥物食品化粧品研發檢測中心）","82443高雄市燕巢區安招里安林四街22號","(07) 6142706","http://www.lin-fb.com/","105.11.07","中藥材：乾燥減重、稀醇抽提物、水抽提物。 化粧品：傳明酸、3-O-Ethyl Ascorbic Acid。","衛生福利部 105年11月07日 部授食字第1051106196號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=59138&chk=00e2b1a8-8a65-48b4-98e1-b0d0b384c961","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29383&chk=0fbec181-b5da-45a9-8e40-2a4f50a9a68d"
"D004","財團法人醫藥工業技術發展中心 (分析實驗組)","24886新北市五股區五權路9號7樓","(02) 66251166","http://www.pitdc.org.tw/indexPDC.asp","105.05.18","中藥材及中藥製劑：總重金屬。","衛生福利部 105年05月18日 部授食字第 1051102756號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=54296&chk=367f14ef-505f-4960-8a06-72fde9c1f5f0","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29384&chk=e89e73b1-8366-4995-8df5-58b6cc490ab1"
"D005","艾默生物醫學股份有限公司 （研究發展部）","25170新北巿淡水區中正東路二段29-1號8樓","(02) 28096390","http://www.emobio.com/","104.11.16","藥品：內毒素。","衛生福利部 104年11月16日 部授食字第1041107323號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=47923&chk=75a0a712-e085-4f7b-91b2-9e5fdd5d5364","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29385&chk=205762db-09f0-48f7-bad6-815bdf42886b"
"D006","全國公證檢驗股份有限公司 （化學與微生物實驗室）","114台北市內湖區瑞光路423號8樓","(02) 66022275","http://www.intertek-twn.com/big5/news/index_news.asp?page_id=7&project_code=0","106.01.20","化粧品：好氣性生菌數、大腸桿菌、綠膿桿菌、金黃色葡萄球菌。 中藥材及中藥製劑：重金屬5項、總重金屬、二氧化硫、黃麴毒素、農藥殘留20項、總生菌數、大腸桿菌、金黃色葡萄球菌、沙門氏桿菌、酵母菌與黴菌總數、綠膿桿菌。 中藥製劑：西藥成分定性214項。 西藥：電子煙中尼古丁。","衛生福利部 106年01月20日 衛授食字第1061100458號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=62314","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=29386"
"D008","昭信標準檢驗股份有限公司 （食品、藥物化粧品檢測實驗室）","24355新北市泰山區明志路三段517號6樓","(02) 29064369","http://www.theosin.com.tw/theosin/index2.php","105.11.16","中藥材及中藥製劑：黃麴毒素、甘草酸、重金屬5項、總重金屬。 化粧品：Hydrogen Peroxide鑑別及含量測定。","衛生福利部 105年11月16日 部授食字第1051106326號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=59489&chk=ee4d26ee-8e9b-45b2-b7ac-80e4276f9823","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=29870"
"D009","台灣檢驗科技股份有限公司 （食品實驗室-高雄）","81170高雄市楠梓加工出口區開發路61號","(07) 3012121＃3200","http://www.tw.sgs.com/zh_tw/home_tw_v2?","106.05.01","中藥材及中藥製劑：好氧性微生物總數、酵母菌與黴菌總數、大腸桿菌、綠膿桿菌、金黃色葡萄球菌、沙門氏桿菌。 西藥：酵母菌與黴菌總數、好氧性微生物總數、大腸桿菌、綠膿桿菌、金黃色葡萄球菌。 化粧品：總生菌數、大腸桿菌、綠膿桿菌、金黃色葡萄球菌。","衛生福利部 106年05月01日 衛授食字第1061102615號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=133&id=64677","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29871&chk=c1591a42-204d-40ba-9bdf-e341676c3371"
"D010","仙豐股份有限公司 （仙豐檢測分析實驗室）","27050宜蘭縣蘇澳鎮大圳路63巷25號","(039) 905900","http://www.shengfoong.com.tw/","105.10.21","中藥材及中藥製劑：農藥殘留21項、黃麴毒素4項、重金屬5項、總重金屬。","衛生福利部 105年10月21日 部授食字第1051105875號","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=58156&chk=2dcae2c4-91fe-43ec-867f-feab59c4b229","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29872&chk=d8a56367-0134-47de-8ddb-3f3476fbb44f"
"D013","得生製藥股份有限公司 （品保部實驗室）","71041台南市永康區環工路42號","(06) 2311636＃112","http://www.tehseng.com/","105.08.30","西藥之藥膠布：黏性強度。","衛生福利部 105年08月30日 部授食字第1051104841號","http://www.fda.gov.tw/tc/includes/GetFile.ashx?mID=19&id=57036&chk=a88efddb-4378-4747-8891-52f310694ea7","http://www.fda.gov.tw/TC/includes/GetFile.ashx?mID=133&id=29874&chk=65a8fc5b-0c3e-43eb-b204-062286c3867a"
