類別,中文品名,英文品名,使用食品範圍及限量,使用限制,規格,類別說明
"(三) 抗氧化劑","第三丁基氫醌","Tertiary ButylHydroquinone","本品可使用於油脂、乳酪及奶油；用量為0.20g/kg以下。","","https://consumer.fda.gov.tw/Files/FoodAdditives/40\03013第三丁基氫醌Tertiary-Butyl Hydroquinone.doc","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(七) 品質改良用、釀造用及食品製造用劑","硬脂酸鈉","Sodium Stearate","本品可於各類食品中視實際需要適量使用。","限於食品製造或加工必須時使用。","","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(十) 香料","乙酸乙酯","Ethyl Acetate","本品可於各類食品中視實際需要適量使用","限用為香料。","https://consumer.fda.gov.tw/Files/FoodAdditives/514\10001乙酸乙脂Ethyl acetate.doc","1.香料含下列成分時，應顯著標示其成分名稱及含量。 2.飲料使用香料含下列成分時，應符合其限量標準。 品名 使用範圍 限量標準(mg/kg) 松蕈酸（Agaric acid） 飲 料 20 蘆薈素(Aloin） 0.10 β- 杜衡精(β- Asarone） 0.10 小檗鹼(Berberine） 0.10 古柯鹼(Cocaine） 不得檢出 香豆素(Coumarin） 2.0 總氫氰酸(Total Hydrocyanic Acid） 1.0 海棠素(Hypericine） 0.10 蒲勒酮(Pulegone） 100 苦木素(Quassine） 5 奎寧(Quinine） 85 黃樟素(Safrole） 1.0 山道年(Santonin） 0.10 (艸守)酮（α與β）(Thujones，αandβ） 0.5"
"(十) 香料","癸醇","Decyl Alcohol","本品可於各類食品中視實際需要適量使用","限用為香料。","https://consumer.fda.gov.tw/Files/FoodAdditives/569\10056癸醇Decyl alcohol.doc","1.香料含下列成分時，應顯著標示其成分名稱及含量。 2.飲料使用香料含下列成分時，應符合其限量標準。 品名 使用範圍 限量標準(mg/kg) 松蕈酸（Agaric acid） 飲 料 20 蘆薈素(Aloin） 0.10 β- 杜衡精(β- Asarone） 0.10 小檗鹼(Berberine） 0.10 古柯鹼(Cocaine） 不得檢出 香豆素(Coumarin） 2.0 總氫氰酸(Total Hydrocyanic Acid） 1.0 海棠素(Hypericine） 0.10 蒲勒酮(Pulegone） 100 苦木素(Quassine） 5 奎寧(Quinine） 85 黃樟素(Safrole） 1.0 山道年(Santonin） 0.10 (艸守)酮（α與β）(Thujones，αandβ） 0.5"
"(十) 香料","酯類","Esters","本品可於各類食品中視實際需要適量使用。","一 般認為安全無慮者始准使用。","","1.香料含下列成分時，應顯著標示其成分名稱及含量。 2.飲料使用香料含下列成分時，應符合其限量標準。 品名 使用範圍 限量標準(mg/kg) 松蕈酸（Agaric acid） 飲 料 20 蘆薈素(Aloin） 0.10 β- 杜衡精(β- Asarone） 0.10 小檗鹼(Berberine） 0.10 古柯鹼(Cocaine） 不得檢出 香豆素(Coumarin） 2.0 總氫氰酸(Total Hydrocyanic Acid） 1.0 海棠素(Hypericine） 0.10 蒲勒酮(Pulegone） 100 苦木素(Quassine） 5 奎寧(Quinine） 85 黃樟素(Safrole） 1.0 山道年(Santonin） 0.10 (艸守)酮（α與β）(Thujones，αandβ） 0.5"
"(十一) 調味劑","醋酸","Acetic Acid","本品可於各類食品中視實際需要適量使用","限 於食品製造或加工必須時使用","https://consumer.fda.gov.tw/Files/FoodAdditives/636\11020醋酸Acetic acid.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(十二) 粘稠劑（糊料）","玉米糖膠","Xanthan Gum","本品可於各類食品中視實際需要適量使用","","https://consumer.fda.gov.tw/Files/FoodAdditives/687\12017玉米糖膠Xanthan Gum.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(十二) 粘稠劑（糊料）","乙醯化磷酸二澱粉","Acetylated DistarchPhosphate","本品可於各類食品中視實際需要適量使用。","","","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(十五) 溶劑","乙酸乙酯","Ethyl Acetate","本品可使用於食用天然色素之萃取；但最終產品中不得殘留。","","","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(十七) 其他","矽樹脂","Silicon Resin","本品可使用於各類食品；用量為0.05g/kg以下。","限消泡用。","https://consumer.fda.gov.tw/Files/FoodAdditives/780\17003矽樹脂Silicon Resin.doc","本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(三) 抗氧化劑","L-抗壞血酸鈣","Calcium L-Ascorbate","本品可使用於各類食品；用量以Ascorbic Acid 計為1.3g/kg 以下。","限用為抗氧化劑。","https://consumer.fda.gov.tw/Files/FoodAdditives/41\03014抗壞血酸鈣Calcium Ascorbate.doc","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(三) 抗氧化劑","混合濃縮生育醇","TocopherolsConcentrate，Mixed","本品可使用於各類食品；用量同營養添加劑生育醇（維生素E ）之標準。","","https://consumer.fda.gov.tw/Files/FoodAdditives/42\03015混合濃縮生育醇Tocopherols Concentrate Mixed.doc","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(三) 抗氧化劑","濃縮 d-α-生育醇","d-α-TocopherolConcentrate","本品可使用於各類食品；用量同營養添加劑生育醇（維生素E ）之標準。","","https://consumer.fda.gov.tw/Files/FoodAdditives/43\03016濃縮 d-α-生育醇d-a-Tocopherol Concentrate.doc","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(三) 抗氧化劑","乙烯二胺四醋酸二鈉或乙烯二胺四醋酸二鈉鈣","EDTA Na2 or EDTA CaNa2","本品可使用於為防止油脂氧化而引起變味之食品；用量為0.10g/kg以下（以食品重量計）。","EDTA Na2於最終食品完成前必須與鈣離子結合成EDTA CaNa2 。","https://consumer.fda.gov.tw/Files/FoodAdditives/44\03017乙烯二胺四醋酸二鈉Disodium Ethylenediaminetetra acetate.doc@@@44\03017乙烯二胺四醋酸二鈉鈣Calcium Disodium Ethylene diaminetetra acetatenetetra acetate.doc","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
"(三) 抗氧化劑","亞硫酸鉀","Potassium Sulfite","1.本品可使用於麥芽飲料（不含酒精）；用量以SO2殘留量計為0.03 g/kg以下。2.本品可使用於果醬、果凍、果皮凍及水果派餡；用量以SO2殘留量計為0.1 g/kg以下。3.本品可使用於表面裝飾用途（薄煎餅之糖漿、奶昔及冰淇淋等產品之調味糖漿）；用量以SO2殘留量計為0.04 g/kg以下。4.本品可使用於含葡萄糖糖漿之糕餅；用量以SO2殘留量計為0.05 g/kg以下。","限於食品製造或加工必須時使用。","","1.抗氧化劑混合使用時，每一種抗氧化劑之使用量除以其用量標準所得之數值（即使用量／用量標準）總和應不得大於1 。 2.本表為正面表列，非表列之食品品項，不得使用該食品添加物。"
