燈號,標題名稱,內容,附檔,更新日期
"綠燈","美國Reichel Foods公司回收疑遭李斯特菌(Listeria Monocytogenes)污染之即食肉類及禽肉產品，該產品未輸入我國。","1.美國農業部食品安全檢驗局(FSIS)於8月6日宣布Reichel Foods公司回收即食肉類及禽肉產品約15,880磅，疑遭李斯特菌(Listeria Monocytogenes)污染。 2.問題產品包括(1) Armour Active Packs Turkey & Cheese Wrap：5.6 盎司裝Package Code 1026090112 或Case Code 27815-17994 (2) Armour Active Packs Ham & Cheese Wrap：5.6 盎司裝Package Code 1026090112 或 Case Code 27815-17995 。該問題產品生產於2012年7月23日至26日銷往印第安納州，明尼蘇達州，賓夕法尼亞州和德州之零售商。 3. 經查涉案產品未輸入國內，因此本案暫列綠燈。 ;;1. 食品藥物管理局呼籲民眾如自國外攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴美國旅遊，應注意相關回收警訊，避免購買及食用問題食品。 2. 一旦感染了李斯特菌症，每個人出現的症狀都可能會因為年齡、性別，和抵抗力強弱等等，而有所不同。但一般會在攝食污染此病菌之食物後大約十二小時內，出現類似感冒或腸胃不適。食品藥物管理局建議消費者保持個人及食物衛生，避免進食高風險的食物及飲品，生的肉類應該與蔬菜、煮熟的食物和即食的食物分開存放。避免進食存放在冰箱超過一天的即食食物。在處理完未經煮熟的食物後，要將手、刀和砧板洗乾淨。孕婦與免疫能力低的人應避免飲用未經消毒的牛奶、進食軟乾酪或未經煮熟的蔬菜，並應徹底煮熟食物才進食。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.t.aspx?site_content_sn=1953。","","2012-08-09"
"綠燈","美國Menno Beachy公司回收疑遭沙門氏菌汙染之番茄產品，該產品未輸入我國","一、 美國食品藥物管理局 (FDA)於101年8月8日公布愛荷華州Menno Beachy公司回收疑遭受沙門氏菌汙染之番茄產品，該產品於2012年7月26日至8月6日期間銷往美國明尼蘇達州、威斯康辛州、密西根州之零售店。 二、 問題產品之包裝為正方形透明塑膠盒，盒上標示有「Menno Beachy Certified Organic Grape Tomato」之字樣，UPC號碼為044419310176，塑膠盒上並未有產品批號及有效日期等標示，但是裝載塑膠盒之紙箱上標示有產品批號，本次回收批號為MB725GT3、MB725GT8、MB725GT0。案內產品未輸入我國，因此本案經評估列屬綠燈。;; 一、 食品藥物管理局呼籲民眾如自國外攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴加拿大與美國旅遊，應注意相關回收警訊，避免購買及食用問題食品。 二、 沙門氏桿菌廣泛存在自然界各種動物中，攝入汙染該菌食品，可能引發腸胃炎，沙門氏桿菌不耐熱，妥善料理與高溫烹調即可殺滅細菌，食品藥物管理局建議民眾，選購衛生乾淨之食品、妥善保存、生熟食分開、食物料理加熱要完全、用餐注意個人衛生習慣，即可有效預防細菌性食品中毒。 三、詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/content.aspx?site_content_sn=1942","","2012-08-10"
"綠燈","美國FDA公布回收Market Pantry與Archer Farms Deli Salad公司之產品，該產品疑遭受李斯特菌汙染","一、美國食品藥物管理局（FDA）公布勿食用Market Pantry與Archer Farms Deli Salad公司之產品，因該些產品疑遭受李斯特菌汙染，該問題產品目前自主回收中。 二、問題產品為： 216-24-0207, Archer Farms Four Bean Salad 14-oz 216-24-0102, Market Pantry American Potato Salad 3# 216-24-0107, Market Pantry American Potato Salad 16 oz 216-24-0103, Market Pantry Chicken Salad 12-oz 216-24-0106, Market Pantry Cole Slaw, 15-oz 216-24-0114, Market Pantry Cole Slaw, 44-oz 216-24-0109, Market Pantry Egg Salad, 12-oz 216-24-0101, Market Pantry Macaroni Salad 3# 216-24-0105, Market Pantry Macaroni Salad 16-oz 216-24-0104, Market Pantry Mustard Potato Salad 16-oz 216-24-0100, Market Pantry Mustard Potato Salad 3# 216-24-0116, Market Pantry Reduced Fat Mustard Potato Salad 16-oz 216-24-0108, Markel Pantry Tuna Salad 12-oz 216-24-0119, Market Pantry Italian Pasta Salad 14-oz 878-02-0051/0151 Layered Taco Dip三、 案內產品未輸入我國，因此本案經評估列屬綠燈。;; 一、食品藥物管理局呼籲民眾如自國外攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴美國旅遊，應注意相關回收警訊，避免購買及食用問題食品。 二、一旦感染李斯特菌症，每個人出現的症狀都可能會因年齡、性別和抵抗力強弱等，而有所不同，一般會在攝食汙染此菌之食物後約12小時內，出現類似感冒或腸胃不適等症狀。食品藥物管理局建議消費者保持個人及食物衛生，避免進食高風險的食物及飲品，生的肉類應該與蔬菜、熟食和即食食物分開存放。避免進食存放在冰箱超過1天的即食食物。在處理完未經煮熟的食物後，要將手、刀和砧板洗乾淨。孕婦與免疫能力低的人應避免飲用未經消毒的牛奶、進食軟乾酪或未經煮熟的蔬菜，並應徹底煮熟食物才進食。 三、詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/content.aspx?site_content_sn=1953","","2012-08-10"
"綠燈","日本檢出自中國大陸輸入日本之活文蛤殘留農藥，產品未輸入我國","1. 日本厚生勞働省於8月7日發布中國大陸輸入活文蛤檢出農藥prometry 0.03 ppm 2. 依經濟部國際貿易局「臺灣地區與大陸地區貿易許可辦法規定」，中國大陸活蛤產品不得輸入，因此本案經評估列屬綠燈。;;建議民眾於警訊期間如赴日本或中國大陸旅遊，應注意相關食品回收警訊，應避免食用相關產品以確保食品衛生安全。","","2012-08-10"
"綠燈","澳大利亞Grand Foods零售店回收自土耳其進口之乾薄荷產品，疑遭沙門氏菌(Salmonella)污染，該產品並未輸入我國。","一、 紐澳食品標準局(FSANZ)於101年8月9日發布，Grand Foods零售店回收自土耳其進口之乾薄荷產品(Mint Tr Kuru Nane (Tr))，疑遭沙門氏菌污染。 二、 問題產品為塑膠包裝(200公克/包)，有效期限至2013年8月8日，販售於墨爾本北部Campbellfield區Grand Foods零售店。 三、 案內產品未輸入我國，因此本案經評估列屬綠燈。 ;;一、 建議民眾於警訊期間如赴澳大利亞旅遊，應注意相關食品回收警訊，應避免購買或食用可能受污染之相關產品，並呼籲民眾避免購買網路上來路不明之產品，以確保食品衛生安全。 二、 沙門氏桿菌廣泛存在自然界各種動物中，攝入汙染該菌食品，可能引發腸胃炎，沙門氏桿菌不耐熱，妥善料理與高溫烹調即可殺滅細菌，食品藥物管理局建議民眾，選購衛生乾淨之食品、妥善保存、生熟食分開、食物料理加熱要完全、用餐注意個人衛生習慣，即可有效預防細菌性食品中毒。 三、 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/content.aspx?site_content_sn=1942。","","2012-08-10"
"綠燈","美國Tomales Bay Food公司自主回收2種起司產品，疑遭李斯特菌(Listeria Monocytogenes)污染，該產品未輸入我國","1. 美國加州Tomales Bay Food公司共回收133磅起司，疑遭李斯特菌污染。 2. 問題產品為Shepherd’s Way牌Big Woods Blue羊奶起司和Tumalo Farms牌Pondhopper起司，生產日期分別為2011年7月19日至27日與2012年6月28日。銷往在加州(California), 北卡羅來納州(North Carolina)和佛羅里達州(Florida)的零售店或餐館。 3. 經查涉案產品未輸入國內，因此本案暫列綠燈。 ;;食品藥物管理局呼籲民眾如自國外攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴美國旅遊，應注意相關回收警訊，避免購買及食用問題食品 2. 一旦感染了李斯特菌症，每個人出現的症狀都可能會因為年齡、性別，和抵抗力強弱等等，而有所不同。但一般會在攝食污染此病菌之食物後大約十二小時內，出現類似感冒或腸胃不適。食品藥物管理局建議消費者保持個人及食物衛生，避免進食高風險的食物及飲品，生的肉類應該與蔬菜、煮熟的食物和即食的食物分開存放。避免進食存放在冰箱超過一天的即食食物。在處理完未經煮熟的食物後，要將手、刀和砧板洗乾淨。孕婦與免疫能力低的人應避免飲用未經消毒的牛奶、進食軟乾酪或未經煮熟的蔬菜，並應徹底煮熟食物才進食。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/content.aspx?site_content_sn=1953。","","2012-08-10"
"綠燈","美國Fresco Green Farms公司回收疑遭沙門氏菌污染之香菜，該產品未輸入我國。","1.美國加州Fresco Green Farms公司回收香菜共1,643箱，該農產品疑遭沙門氏菌 （Salmonella）污染。 2. 問題農產品採收於2012年7月18日至27日間，於7月19日開始販賣於加州和明尼蘇達州的商店，8月6日前可能已售出或下架。以棕色橡皮筋綁成束，每束沒有識別標籤或批號，無相關病例報導。 3. 案內產品未輸入我國，本案經評估列屬綠燈。;; 1.食品藥物管理局呼籲民眾如自國外攜帶或網路購得上揭產品，應先暫停食用。並提醒民眾如赴加拿大與美國旅遊，應注意相關回收警訊，避免購買及食用問題食品 2.沙門氏桿菌廣泛存在自然界各種動物中，攝入汙染該菌食品，可能引發腸胃炎，沙門氏桿菌不耐熱，妥善料理與高溫烹調即可殺滅細菌，食品藥物管理局建議民眾，選購衛生乾淨之食品、妥善保存、生熟食分開、食物料理加熱要完全、用餐注意個人衛生習慣，即可有效預防細菌性食品中毒。 3. 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/content.aspx?site_content_sn=1942。","","2012-08-13"
"綠燈","美國Missa Bay公司自主回收含有疑遭Listeria monocytogenes汙染蘋果之蔬菜水果及三明治產品，該產品並未輸入我國","一、美國新澤西州Missa Bay公司自主回收含有可能遭Listeria monocytogenes汙染蘋果之蔬菜水果及三明治之包裝即食產品，計分別回收293,488箱及296,224份。 二、問題產品有效期限為2012年7月8日至8月20日間之產品，發生原因為產品中的切片蘋果疑遭汙染所導致，目前無相關病例報導。 三、經查該問題產品並無輸入我國紀錄，因此本案經評估列屬綠燈。;; 1.呼籲民眾如赴國外旅遊，應注意相關回收警訊，避免購買及食用公布回收之問題食品。 2. 一旦感染了李斯特菌症，每個人出現的症狀都可能會因為年齡、性別，和抵抗力強弱等等，而有所不同。但一般會在攝食污染此病菌之食物後大約十二小時內，出現類似感冒或腸胃不適。食品藥物管理局建議消費者保持個人及食物衛生，避免進食高風險的食物及飲品，生的肉類應該與蔬菜、煮熟的食物和即食的食物分開存放。避免進食存放在冰箱超過一天的即食食物。在處理完未經煮熟的食物後，要將手、刀和砧板洗乾淨。孕婦與免疫能力低的人應避免飲用未經消毒的牛奶、進食軟乾酪或未經煮熟的蔬菜，並應徹底煮熟食物才進食。 3.詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/gradation.aspx?site_content_sn=1953。","","2012-08-13"
"綠燈","美國猶他州回收疑遭大腸桿菌O157: H7污染之牛肉產品，該產品未輸入我國","美國FSIS於8月14日發布Dale T. Smith and Sons Meat Packing公司位於猶他州Draper的工廠（工廠編號：4975）回收約38,200磅疑遭大腸桿菌O157: H7汙染之牛肉產品。 問題產品為2012年8月7日生產之Various weight combo bins of Boneless Beef ＂50/50＂, ＂85/15＂, ＂90/10＂, ＂93/07＂ or ＂95/05＂以及Various weight boxes of primal cuts, subprimal cuts and boxed beef，已銷往美國加州及猶他州鹽湖城的批發商及零售商販售。 由於案內產品生產工廠並非我國核准輸入之QSA工廠，故該工廠牛肉產品不得輸入我國，本案經評估列屬綠燈。;; 涉案產品不得輸入國內，呼籲民眾如赴美國旅遊，應注意相關回收警訊，避免購買及食用公布回收之問題食品。 出血性大腸桿菌感染症可經由人接觸受感染的動物、食入受感染食物或飲水，或與患者直接接觸而感染，只需數十至數百個菌體即可致病。主要是發生於食用被污染的食物，常因烹煮不當的牛肉（特別是絞肉）、生牛奶或遭受污染之生菜類食物，另外也可以直接造成人與人之間的傳染，如發生於家庭中、幼兒照護中心（托兒所、幼稚園等）或拘留所等處，亦可經由受污染之水源（如未經消毒之飲用水、游泳池水）引起傳染。預防方法為： 詳細資料可參考食品藥物管理局食品中毒專區，連結http://www.fda.gov.tw/gradation.aspx?site_content_sn=1944。","","2012-08-15"
"綠燈","美國Blount Fine Foods公司回收可能含塑膠碎片之6款Wegmans Food Markets 16盎司杯裝湯品，該產品未輸入我國","一、美國FSIS於2012年8月15日發布Blount Fine Foods公司回收約4,100磅的可能含塑膠碎片的禽畜肉湯產品，由於接到多件消費者投訴而發現該情形。現已進行回收6款Wegmans Food Markets 16盎司之杯裝湯品，銷售範圍為美國麻州、馬里蘭、紐澤西、紐約、賓州及維吉尼亞等州。6款問題產品資訊如下： 問題產品 有效日期 Chicken and Dumpling Soup 2012. 8. 24 Italian Wedding Style Soup with Meatballs 2012. 9. 3 Gazpacho Soup 2012. 9. 2 Tomato Basil with Orzo Soup 2012. 9. 3 Caribbean Black Bean Soup 2012. 9. 3 Lobster Bisque 2012. 9. 3 二、案內產品未輸入我國，本案經評估列屬綠燈。;;建議民眾於警訊期間如赴美國旅遊，應注意相關食品回收警訊，避免購買或食用可能受污染之相關產品，並呼籲民眾避免購買網路上來路不明之產品，以確保食品衛生安全。","","2012-08-16"
