核備函字號,中文名稱,英文名稱,發證日期,有效日期,申請商名稱,申請商電話,申請商地址,劑型,包裝規格,成分,產地,簽審文件編號
"1046032364","益富益力壯高氮經典均衡營養配方","NU-LIFE HN CLASSIC","2015-11-03","2020-11-03","益富實業股份有限公司","02-28837300","台北市士林區承德路4段281號9樓","粉劑","23.00000公克;45.00000公克;57.00000公克;68.00000公克;79.00000公克;400.00000公克;3000.00000公克;800.00000公克","CANOLA OIL POWDER;MALTODEXTRIN;WHEY PROTEIN CONCENTRATE;ISOLATED SOY PROTEIN SUPRO 1610, IDENTITY;MALTODEXTRIN;SODIUM CHLORIDE;CALCIUM CARBONATE;MAGNESIUM CARBONATE;POTASSIUM CHLORIDE;SODIUM BICARBONATE;SILICON DIOXIDE;ZINC SULFATE;FERRIC PHOSPHATE;MANGANESE SULFATE;COPPER SULFATE;SODIUM SELENITE;CHROMIUM CHLORIDE;POTASSIUM IODIDE;SODIUM MOLYBDATE;SOY FIBER;POTASSIUM CHLORIDE;DICALCIUM PHOSPHATE ANHYDROUS;CHOLINE BITARTRATE;XANTHAN GUM;MALTODEXTRIN;SODIUM ASCORBATE;VIT E(DL-α-TOCOPHERYL ACETATE);NICOTINAMIDE;VITAMIN A ACETATE;CALCIUM PANTOTHENATE;VITAMIN D (CHOLECALCIFEROL);BIOTIN;PHYLLOQUINONE;PYRIDOXINE HYDROCHLORIDE;THIAMINE MONONITRATE;RIBOFLAVIN;FOLIC ACID;VITAMIN B12 (CYANOCOBALAMIN);VANILLA","台灣","DHD0A460323641"
"1046033986","益富福惜素調整胺基酸配方","","2016-01-22","2021-01-22","益富實業股份有限公司","02-28837300","台北市士林區承德路4段281號9樓","粉劑","15.00000公克","L-GLUTAMATE;MALTODEXTRIN;CANOLA OIL;SODIUM ASCORBATE","台灣","DHD0A460339860"
"1036008632","益富益力康高纖PLUS高纖均衡營養配方","NUTRI-AID HF PLUS","2014-10-23","2019-10-23","益富實業股份有限公司","02-28837300","台北市士林區承德路4段281號9樓","","750.00000公克;1000.00000公克;24.00000公克;48.00000公克;60.00000公克;72.00000公克;1.00000公斤;3.00000公斤","MALTODEXTRIN;Fat Powder(Canola);WHEY PROTEIN CONCENTRATE;SOY FIBER;INULIN;GUM ARABIC;MINERAL & VITAMIN PREMIX;TRICALCIUM PHOSPHATE;MAGNESIUM PHOSPHATE;MALTODEXTRIN;CHOLINE BITARTRATE;SODIUM ASCORBATE;FERRIC PYROPHOSPHATE;VITAMIN E ACETATE;SODIUM SELENITE;NIACINAMIDE;ZINC OXIDE;VITAMIN A ACETATE;SODIUM FLUORIDE;D-CALCIUM PANTOTHENATE;FOLIC ACID;BIOTIN;CYANOCOBALAMIN;CHOLECALCIFEROL;POTASSIUM IODIDE;THIAMINE MONONITRATE;RIBOFLAVIN;PYRIDOXINE HCL;MINERAL PREMIX;MALTODEXTRIN;SODIUM CHLORIDE;CALCIUM CARBONATE;MAGNESIUM CARBONATE;POTASSIUM CHLORIDE;SODIUM BICARBONATE;SILICONE DIOXIDE;ZINC SULFATE;FERRIC ORTHOPHOSPHATE;MANGANESE SULFATE;SODIUM FLUORIDE;CUPRIC SULFATE;CHROMIUM CHLORIDE;POTASSIUM IODIDE;SODIUM MOLYBDATE;SODIUM SELENITE;GUAR GUM;CHOLINE BITARTRATE;VITAMIN PREMIX;MALTODEXTRIN;SODIUM ASCORBATE;VITAMIN E ACETATE;SILICONE DIOXIDE;NIACINAMIDE;D-CALCIUM PANTOTHENATE;PHYTONADIONE;CHOLECALCIFEROL;VITAMIN A PALMITATE;BIOTIN;CYANOCOBALAMIN;PYRIDOXINE HYDROCHLORIDE;RIBOFLAVIN;THIAMINE MONONITRATE;FOLIC ACID;BETA-CAROTENE;VANILLIN;VITAMIN PREMIX;DICALCIUM PHOSPHATE ANHYDROUS;ASCORBIC ACID;MALTODEXTRIN;VITAMIN E ACETATE;NIACINAMIDE;VITAMIN A ACETATE;D-CALCIUM PANTOTHENATE;VITAMIN D3;VITAMIN B12;RIBOFLAVIN;PYRIDOXINE HYDROCHLORIDE;THIAMINE MONONITRATE;FOLIC ACID","台灣","DHD0A360086320"
"1056008195","均衡補體配方粉狀營養品","G-POWER COMPLETE NUTRITION POWDER","2016-09-30","2021-09-30","宜果國際股份有限公司","02-25027755","台北市中山區南京東路3段68號12樓","粉劑","29.00000公克;58.00000公克;290.00000公克;522.00000公克;696.00000公克;870.00000公克;580.00000公克;1044.00000公克;1392.00000公克;1740.00000公克;870.00000公克;1102.00000公克","芥花油粉;麥芽糊精;乳清蛋白;乾酪素鈉;蔗糖;小麥纖維;大豆蛋白;果寡糖;燕麥纖維;碳酸鈣;中鏈三酸甘油酯;香料;氯化鉀;重酒石酸膽鹼;氯化鈉;硬脂酸蔗糖酯;磷酸鈣;氧化鎂;抗壞血酸鈉;L-肉酸;牛磺酸;維生素E;鉬酵母;硫酸鋅;葡萄糖酸錳;焦磷酸鐵;硒酵母;菸鹼醯胺;本多酸鈣;維生素A粉末;β-胡蘿蔔素;維生素D3;生物素;維生素B12;維生素B6;維生素B2;維生素B1;維生素K1;硫酸銅;菸鹼酸鉻複合物(Niacin-bond chromium complex)(菸鹼酸鉻、氯化鈉);葉酸;碘化鉀","台灣","DHD0A560081953"
"1056047045","佳倍優佳鉻配方(糖尿病專用)","G-POWER LIQUID NUTRITION(DIABETIC FORMULA)","2016-12-18","2021-12-18","宜果國際股份有限公司","02-25027755","台北市中山區南京東路3段68號12樓","液劑","237.00000毫升","","台灣","DHD0A560470456"
"1015044928","佳貝能適康均衡含纖配方","NUTRI-CAM","2013-06-04","2018-06-04","佳貝生技有限公司","04-25344059","台中市北屯區平安里天津路四段94之2號3樓","粉劑","900.00000公克;1800.00000公克;1800.00000公克;65.00000公克;54.00000公克;43.00000公克;28.00000公克","芥花油粉;麥芽糊精;菊糖;難消化性麥芽糊精;氯化鉀;天然牛奶香料;氯化鈉;重酒石酸膽鹼;維生素A醋酸鹽;維生素C;SOY PROTEIN ISOLATE;SOY PROTEIN CONCENTRATE;WHEY PROTEIN CONCENTRATE;MCT FAT POWDER;磷酸鈣;麥芽糊精;維生素E醋酸鹽;菸鹼醯胺;泛酸鈣;BIOTIN ( 1% );VIT B12 (0.1% ON MANNITOL);VIT B6 PYRIDOXINE HYDROCHLORIDE;VIT D3 POWDER;VITAMIN B1 (THIAMINE MONONITRATE);VIT B2 RIBOFLAVIN;VITAMIN K1 5%;FOLIC ACID;碳酸鈣;檸檬酸鈉;氧化鎂;關華豆膠;HYDROLYSED WHEY PROTEIN;葡萄糖酸鋅;牛磺酸;L-肉酸;酵母鉬;酵母鉻;焦磷酸鐵;葡萄糖酸錳;酵母硒;葡萄糖酸銅;蔗糖素;VITAMIN K1;碘化鉀","台灣","DHD0A150449287"
"1056013136","佳貝固慎体均衡含纖配方","PRATEINFAR","2016-07-25","2021-07-25","佳貝生技有限公司","04-25344059","台中市北屯區平安里天津路四段94之2號3樓","粉劑","900.00000公克;1.80000公斤;1.80000公斤;54.00000公克","芥花油粉;麥芽糊精;菊糖;難消化性麥芽糊精;氯化鉀;天然牛奶香料;氯化鈉;重酒石酸膽鹼;維生素A醋酸鹽;維生素C;SOY PROTEIN ISOLATE;SOY PROTEIN CONCENTRATE;WHEY PROTEIN CONCENTRATE;MCT FAT POWDER;磷酸鈣;麥芽糊精;維生素E醋酸鹽;菸鹼醯胺;泛酸鈣;BIOTIN ( 1% );VIT B12 (0.1% ON MANNITOL);VIT B6 PYRIDOXINE HYDROCHLORIDE;VIT D3 POWDER;VITAMIN B1 (THIAMINE MONONITRATE);VIT B2 RIBOFLAVIN;VITAMIN K1 5%;FOLIC ACID;碳酸鈣;檸檬酸鈉;氧化鎂;關華豆膠;HYDROLYSED WHEY PROTEIN;葡萄糖酸鋅;牛磺酸;L-肉酸;酵母鉬;酵母鉻;焦磷酸鐵;葡萄糖酸錳;酵母硒;葡萄糖酸銅;蔗糖素;VITAMIN K1;碘化鉀","台灣","DHD0A560131363"
"1025006678","福寧補優質配方","FULL STEP-U","2014-02-20","2019-02-20","吉泰藥品股份有限公司","02-27845257","台北市大安區敦化南路二段128號15樓之6","粉劑","450.00000公克;30.00000公克;720.00000公克","麥芽糊精;芥花油粉;大豆蛋白;蔗糖(Sucrose);綜合維生素礦物質;麥芽糊精;重酒石酸膽鹼(含膽鹼 41%);L-抗壞血酸（維生素C）;葡萄糖酸鋅(含鋅12.9%);牛礦酸;鉻酵母(含鉻0.2%);乙酸-dl-α-生育醇酯 (維生素 E 33.5%);鉬酵母(含鉬0.2%);焦磷酸鐵(含鐵30%);硒酵母(含硒0.2%);菸鹼醯胺;泛酸鈣(含泛酸92%);葡萄糖酸銅(含銅14%);維生素 A;維生素 B12;鹽酸硫胺明（維生素B1）;鹽酸吡哆辛（維生素B6）;核黃素（維生素B2）;維生素 D3;β-胡蘿蔔素;維生素 K1;葉酸(含無水葉酸 90.5%);生物素;碘化鉀(含碘 76.5%);乾酪素鈣;乾酪素鈉;植物油粉(含椰子油42%);濃縮乳清蛋白;菊糖;碳酸鈣;香料;碳酸鎂(含鎂25%);氯化鉀;L-肉酸","台灣","DHD0A250066784"
"1061300460","藻體康均衡營養配方","GOODHEALTH","2017-02-20","2022-02-20","開曄生技有限公司","02-26082800","新北市林口區仁愛里文化二路1段260巷10號8樓","粉劑","23.00000公克;28.00000公克;45.00000公克;56.00000公克;68.00000公克;1008.00000公克;1792.00000公克;3024.00000公克;392.00000公克;840.00000公克;1736.00000公克","芥花油粉;麥芽糊精;大豆分離蛋白;濃縮乳清蛋白;菊糖;燕麥纖維;中鏈三酸甘油酯;磷酸鈣;氯化鉀;檸檬酸鈉;重酒石酸膽鹼;碳酸鈣;氧化鎂;硫酸銅;抗壞血酸鈉;氯化鈉;β-胡蘿蔔素;吡啶甲酸鉻;牛磺酸;維生素E;亞硒酸鈉;鉬酵母;焦磷酸鐵;硫酸鋅;葡萄糖酸錳;本多酸鈣;菸鹼醯胺;維生素A;生物素;維生素B12;維生素D3;維生素B6;維生素B2;維生素B1;維生素K1;葉酸;碘化鉀","台灣","DHD0A613004602"
"1036031499","速體壯均衡配方","NUSTRONG","2014-12-08","2019-12-08","佰岳生物科技股份有限公司","02-29182689","新北市新店區寶宏路5-1號5樓","粉劑","432.00000公克;810.00000公克;1836.00000公克;22.00000公克;27.00000公克;43.20000公克;54.00000公克;65.00000公克;79.00000公克;2970.00000公克;1836.00000公克","MALTODEXTRIN;CANOLA OIL POWDER;SOY PROTEIN;WHEY PROTEIN;SOYBEAN FIBERS;CALCIUM CARBONATE;POTASSIUM CHLORIDE;CHOLINE BITARTRATE;MCT OIL POWDER;CALCIUM PHOSPHATE TRIBASIC;MAGNESIUM CHLORIDE;FLAVOURS;MAGNESIUM OXIDE;SODIUM CHLORIDE;SODIUM ASCORBATE;TAURINE;MOLYBDENUM YEAST;VITAMIN E;ZINC SULFATE;CHROMIUM YEAST;MANGANESE GLUCONATE;β-CAROTENE;SELENIUM YEAST;FERRIC PYROPHOSPHATE;NICOTINAMIDE;CALCIUM PANTOTHENATE;BIOTIN;VITAMIN B12;COPPER SULFATE;VITAMIN A;VITAMIN D3;VITAMIN B6;VITAMIN B2;VITAMIN K1;VITAMIN B1;FOLIC ACID;POTASSIUM IODIDE","台灣","DHD0A360314990"
