主類別,次類別,名稱,附檔說明
"農藥","殺蟎劑","三亞蟎代謝物(Amitraz metabolites)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/27642-68.三亞蟎代謝物(Amitraz metabolites)專業版.doc"
"農藥","殺蟲劑","亞烈寧(Allethrin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/28018-Allethrin 亞列寧-專業版 -100.doc"
"農藥","殺蟲劑","免扶克(Benfluracarb)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/28056-免扶克修100.doc"
"農藥","殺蟲劑","必克蝨(Bufencarb)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/28095-Bufencarb 必克蝨 專業版修.doc"
"農藥","殺蟲劑","丁基加保扶(Carbosulfan)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/28105-Carbosulfan 丁基加保扶 -專業 -100.doc"
"農藥","殺蟲劑","蝨必殺(CPMC)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/28113-CPMC專業版修.doc"
"農藥","殺菌劑","賽氟滅(Thifluzamide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/139957-46.賽氟滅 ( Thifluzamide )專業版.doc"
"農藥","除草劑","氟草敏（Norflurazon）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/139958-47.氟草敏（Norflurazon）專業版.doc"
"農藥","殺菌劑","福美鋅(Ziram)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/139961-50.福美鋅(Ziram)專業版.doc"
"農藥","殺菌劑","賽氟滅(Thifluzamide)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/140111-46.賽氟滅 ( Thifluzamide )民眾版.doc"
"農藥","除草劑","氟草敏（Norflurazon）","http://consumer.fda.gov.tw/Files/HealthRisk/1213/140112-47.氟草敏（Norflurazon）民眾版.doc"
"農藥","殺菌劑","福美鋅(Ziram)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/140115-50.福美鋅(Ziram)民眾版.doc"
"農藥","殺菌劑","賽福座 (Triflumizole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136996-27.賽福座 (Triflumizole) 專業版 .doc"
"農藥","殺蟲劑","脫芬瑞 (Tolfenpyrad)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137045-23.脫芬瑞 (Tolfenpyrad) 民眾版.doc"
"農藥","殺菌劑","脫克松 (Tolclofos-methyl )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137046-24.脫克松 (Tolclofos-methyl )民眾版.doc"
"農藥","殺菌劑","三得芬(Tridemorph)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137048-25.三得芬(Tridemorph) 民眾版.doc"
"農藥","殺菌劑","賽福寧 (Triforine)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137051-26.賽福寧 (Triforine)民眾版.doc"
"農藥","殺菌劑","賽福座 (Triflumizole)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/137053-27.賽福座 (Triflumizole) 民眾版.doc"
"農藥","殺菌劑","白克列(Boscalid)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135883-更新60.白克列(Boscalid)民眾版.doc"
"農藥","殺菌劑","亞托敏(Azoxystrobin)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/135884-更新58.亞托敏(Azoxystrobin)專業版.doc"
"農藥","殺蟲劑","脫芬瑞 (Tolfenpyrad)","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136992-23.脫芬瑞 (Tolfenpyrad)專業版.doc"
"農藥","殺菌劑","脫克松 (Tolclofos-methyl )","http://consumer.fda.gov.tw/Files/HealthRisk/1213/136993-24.脫克松 (Tolclofos-methyl )專業版.doc"
